gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000053289	0.008140565	0.0025358053	-0.0029543017	0.036023833	0.023689117	0.049960323	-0.011826773	0.054903615	-0.03907353	0.03705972	0.0058241547	-0.017039234	0.02681269	0.062086202	0.018121757	0.059103183	-0.0047422326	0.101811774
ENSMUSG00000037364	0.034339063	0.008304028	0.014960319	0.022852257	0.043363962	0.048176225	0.027551722	0.05546706	-0.002630143	0.028099194	0.0059068305	-0.00032859328	0.051190075	0.061487876	0.04124026	0.062337864	-0.018741721	0.07595019
ENSMUSG00000023087	0.036540844	0.025733067	0.017684214	0.017436894	0.05082941	0.06611172	0.05632059	0.03727535	-0.00446062	0.026609581	0.014049225	-0.0034468658	0.05829323	0.066949315	0.04746935	0.043365613	-0.018628037	0.06819171
ENSMUSG00000031706	0.035347994	0.00818621	0.024189519	0.02457887	0.03480796	0.04896902	0.044076726	0.058987334	-0.009047853	0.039905667	0.01517097	-0.002350012	0.063965924	0.078158766	0.046504904	0.049870256	-0.021521565	0.08297362
ENSMUSG00000033569	0.011389949	0.0043302425	-0.0029787836	0.014657287	0.00363589	-0.007789265	-0.01923586	0.045639493	-0.044276338	-0.00027950824	0.005905998	-0.010156971	-0.0060911495	0.079807594	0.016035743	0.049098615	-0.00581854	0.0096639395
ENSMUSG00000038845	0.03413489	0.019599818	0.025166646	0.0071076853	0.06200051	0.0040057725	0.039171837	0.059168585	0.0033167729	0.015351519	0.01786862	-0.0038667135	0.06735434	0.05568631	0.048524495	0.05683968	-0.02202151	0.043195408
ENSMUSG00000021182	0.029421143	0.015836228	0.019987395	0.025755996	0.032373425	0.06964305	0.03600071	0.055666216	-0.008465715	0.015445176	0.009911714	-0.004624851	0.057107244	0.06684629	0.04711585	0.058334854	-0.021744063	0.073394254
ENSMUSG00000020647	0.021479078	0.004696547	0.012917072	0.023634749	0.04972366	0.03245275	0.022429964	0.05859799	-0.01424326	0.017383857	0.011169145	-0.004983944	0.0645659	0.07301008	0.033305936	0.081909105	-0.020797588	0.1071059
ENSMUSG00000030688	0.033119887	-0.014047305	0.0101764165	0.0071266415	0.0073512997	0.0354619	0.039454713	-0.0967889	-0.010466225	0.024214173	0.014665364	-0.035328325	0.04590228	-0.010620575	0.045464292	0.017969385	-0.012989365	-0.050037593
ENSMUSG00000028337	0.03537252	0.0027332853	0.02877408	0.0062867543	0.021504425	0.017193565	0.020625088	0.047492277	-0.003830705	0.041125745	0.00980568	-0.015240752	0.041146368	0.06440401	0.042987872	0.023148475	-0.02611795	0.024381274
ENSMUSG00000028443	0.031944048	0.005452344	0.019979322	0.018030511	0.038144577	0.043051157	0.01518963	0.07137943	-0.0010931876	0.023620408	0.015663203	-0.0035064742	0.045042094	0.066305906	0.038631134	0.07010036	-0.021155013	0.08534083
ENSMUSG00000037957	0.035103876	0.008343626	0.021317435	0.030297814	0.043714236	0.05153253	0.031720523	0.066180706	7.788239e-06	0.03472774	0.014836349	-0.003781087	0.06431569	0.072002575	0.046967175	0.045254346	-0.023074007	0.0968952
ENSMUSG00000042688	0.035408136	0.00877798	0.01834298	0.023633491	0.07003101	0.044984784	0.040664036	0.052065186	0.0017018889	0.024341378	0.020285355	-0.00056061894	0.065483	0.07256671	0.047934994	0.06140939	-0.021703912	0.08233307
ENSMUSG00000026527	0.009523589	-0.0015569424	-0.009471158	0.010578496	-0.005756169	0.040467184	-0.017327365	0.0303591	-0.044053856	0.014660466	0.0037058871	-0.02362699	0.005774789	0.05934037	0.013969929	0.05644503	-0.0111744655	-0.031510565
ENSMUSG00000022070	0.033803392	0.0045898473	0.019242162	0.02344358	0.047179304	0.032268483	0.016930679	0.05906597	-0.0038403221	0.0053562853	0.01172741	-0.01294532	0.045893162	0.07088572	0.03708279	0.06997386	-0.021043284	0.09458299
ENSMUSG00000070372	0.028986227	0.014437196	0.016827622	0.03779111	0.047663245	0.05214427	0.023338083	0.069466494	-0.005803127	0.027215155	0.010156031	-0.0028044307	0.060213715	0.07370862	0.033460617	0.08933726	-0.020739412	0.12830289
ENSMUSG00000029777	0.023404783	0.008409938	0.014096411	0.037766606	0.04301056	0.033253685	0.020800864	0.05772663	-0.008166256	0.03142464	0.0055818846	-0.0024729525	0.0667289	0.06573368	0.034249064	0.067981966	-0.020739919	0.102122694
ENSMUSG00000001986	-0.027847314	-0.0246287	-0.013915641	-0.015115834	-0.089446604	-0.059544932	-0.017353613	-0.018159408	-0.05094685	-0.008609509	-0.0113680195	-0.010776092	-0.067282416	-0.03632114	-0.01142739	-0.10394917	0.0026081083	0.018143432
ENSMUSG00000028438	0.030496012	0.0013942496	0.01563873	0.010884503	0.04674936	0.045583803	0.021075161	0.06920736	-0.008948219	0.025261015	0.010062675	-0.0032643478	0.04927231	0.063642636	0.037380792	0.06758655	-0.020725023	0.08770189
ENSMUSG00000020238	0.032469418	0.009151779	0.021752415	0.012107163	0.00022905473	0.06375152	0.011410838	0.04283969	-0.002236382	0.03661388	0.010341407	-0.009384157	0.030987842	0.048629176	0.043470446	0.033016246	-0.023504363	-0.005224918
ENSMUSG00000020794	0.016210634	0.015851976	0.010707883	0.039297238	0.059673946	0.05569199	0.027708072	0.05293562	-0.01993958	0.021858653	0.012190194	-0.0002203425	0.06577595	0.06961917	0.030802619	0.09072857	-0.018185647	0.102848314
ENSMUSG00000040374	0.001921656	0.0006161696	-0.0035720246	0.03944798	-0.010730257	-0.000311911	-0.033793785	0.0455544	-0.038721822	0.034563668	0.0023583912	-0.028445117	-0.02393994	0.08621965	-0.00069260894	0.096287034	0.013720362	0.095721655
ENSMUSG00000022325	0.023921777	-0.10069175	0.016262183	-0.0051754676	0.024547601	-0.49761254	0.01506038	-0.029731127	-0.009891708	-0.29795054	0.0016249294	0.027732322	0.04835731	-0.36194843	0.053039167	-0.22453775	-0.022172099	-0.030129377
ENSMUSG00000038072	0.020959537	0.00016099017	0.015548002	0.022750251	0.026524106	0.072977774	0.03332345	0.061174016	-0.013685587	0.033365477	0.008785655	-0.006930817	0.043161135	0.06679267	0.03247306	0.045058705	-0.021689793	0.09256045
ENSMUSG00000052738	0.02745492	0.0112213185	0.021559473	0.0057400907	0.037011605	0.0464279	0.013769705	0.056720164	-0.008692185	0.034671184	0.009719689	-0.012904821	0.04273704	0.061840385	0.036709454	0.048243083	-0.020476067	0.07460691
ENSMUSG00000097000	0.03610689	0.01038042	0.029326495	0.011022712	0.038727403	0.053572945	0.028831381	0.056930307	0.0016900738	0.03857311	0.011675756	-0.008524546	0.04889674	0.07247532	0.047114942	0.050066035	-0.025511783	0.05855094
ENSMUSG00000031521	0.023099098	0.014659524	0.019896267	0.021547645	0.04093332	0.06697715	-0.016179748	0.063911654	-0.021315975	0.014532541	0.010722761	-0.0041337325	-0.0174463	0.05795114	0.019881139	0.058501787	-0.018906806	0.09456776
ENSMUSG00000062991	0.017139655	0.0069108154	0.0058356216	0.015990587	0.036606062	0.0009088905	-0.0050116973	0.040546678	-0.023865804	0.010521428	0.010036577	-0.020009357	-0.0055094175	0.056379065	0.017604755	0.032930303	-0.016055794	0.044840086
ENSMUSG00000020700	0.022089029	0.013145241	0.010211128	0.03374081	0.031872228	0.060809176	0.008239735	0.056537915	-0.019676307	0.025331711	0.0059013134	-0.01910783	0.041259076	0.07040544	0.02817088	0.10724728	-0.019807842	0.12477728
ENSMUSG00000092335	0.021237984	-0.0082097445	0.009157675	0.030659731	0.053878285	0.0535758	0.012530334	0.06937501	-0.011985699	0.03313524	0.012250315	-0.019702446	0.054782722	0.057147972	0.026750386	0.06167394	-0.017768215	0.06528204
ENSMUSG00000026796	0.03577114	0.01609891	0.023810303	0.012569119	0.044323023	0.028383633	0.05334941	0.043372635	0.0030985097	0.027748257	0.016147755	-0.0046019624	0.068712704	0.060122877	0.04876354	0.038867045	-0.019911753	0.02020177
ENSMUSG00000004460	0.02838131	0.006718682	0.017498244	0.025415359	0.03933303	0.004049036	-0.00059013325	0.058753952	-0.00070400024	0.033483583	0.0091434205	-0.016454816	0.03185688	0.06674071	0.041534957	0.060191058	-0.025482051	0.09285274
ENSMUSG00000004849	0.036727633	0.014969591	0.02408481	0.01810274	0.022938902	0.073277414	0.014272573	0.06487589	-0.0019665537	0.02760218	0.00450016	-0.011282149	0.026396602	0.05633501	0.046370197	0.06927125	-0.025571203	0.07385687
ENSMUSG00000002076	0.033784997	0.0072449357	0.021262307	0.02509457	0.049190048	0.035330076	0.022156348	0.045503948	-0.0064477962	0.028854482	0.013024226	-0.0019610417	0.05842804	0.066374674	0.04291777	0.085794434	-0.021287179	0.04653696
ENSMUSG00000054387	0.03354858	0.011494937	0.017224953	0.02350316	0.055702485	0.037517898	0.03872451	0.051429734	0.000839757	0.026204614	0.015578648	-0.004620777	0.060269084	0.062972754	0.045284253	0.053429652	-0.022136027	0.04479822
ENSMUSG00000029364	0.036195718	0.007997244	0.02071175	0.014594583	0.06433164	0.028093506	0.042870104	0.040326647	0.0005397338	0.02923218	0.018690929	-0.0053973603	0.06378461	0.055660784	0.045693655	0.036731143	-0.018599872	0.02119997
ENSMUSG00000019947	0.028709108	0.011770625	0.022589214	0.0011695025	0.0634115	0.0074298955	0.04909262	0.024728525	-0.00044314878	0.03388598	0.015972082	-0.009254084	0.06705389	0.04138672	0.044771053	0.023096131	-0.00983847	-0.05929793
ENSMUSG00000015776	0.029182354	0.012770368	0.012665342	0.03554831	0.009656684	0.06626113	0.0052546994	0.04645514	-0.01774364	0.027882466	-0.0035741774	-0.007344005	-0.048789043	0.061922792	0.02088967	0.084797144	-0.0025208183	0.07916078
ENSMUSG00000036356	0.022064263	0.007950592	0.015734613	0.018922323	0.040612474	0.045930672	0.015539992	0.06012228	-0.0141002815	0.0416595	0.011432764	-0.015136385	0.024326745	0.063177906	0.024236279	0.044245012	-0.024006484	0.08712696
ENSMUSG00000022604	0.021740997	-0.0005080092	0.011638664	0.021861617	0.019021133	0.03610911	0.00652958	0.061649	-0.02893375	0.021870855	0.0071500754	-0.008828766	0.025891677	0.062053848	0.03156138	0.06298505	-0.02250311	0.10810746
ENSMUSG00000112904	0.010067286	-0.02504589	0.010015595	-0.014793319	0.013635836	0.0025259992	0.02500688	-0.05586335	-0.028704286	-0.0006937285	-0.003820763	-0.014500603	0.017159643	-0.0038548806	0.018318884	-0.0014053071	-0.016719297	-0.04965206
ENSMUSG00000002968	0.0391184	0.013335384	0.029320756	0.016983608	0.018750265	0.06990734	0.042289186	0.03709914	0.008930436	0.019131724	0.007059645	-0.013290079	0.041552946	0.059936766	0.04537578	0.023657598	-0.02256247	-0.0133512635
ENSMUSG00000024317	0.00794697	0.019262962	0.010955521	0.032545507	0.05783385	0.06082936	0.0308668	0.03719465	-0.020184796	0.022866532	0.013679607	-0.0004496002	0.06621088	0.06719787	0.037024558	0.07385228	-0.019813102	0.08763154
ENSMUSG00000108532	-0.0061498466	-0.003941808	0.0028840522	-0.0033268793	-0.005380829	0.020291155	-0.019857321	-0.036289617	-0.05098342	0.013077851	-0.0046794266	-0.010119496	-0.0068774195	-0.012262986	0.011030045	-1.6805338e-05	-0.016597103	-0.0840601
ENSMUSG00000112110	0.026903432	0.012459849	0.016373051	0.03222931	0.034042925	0.06879971	-0.012409361	0.067462936	-0.012337285	0.03860451	0.009507105	-0.014494352	0.04365322	0.06610087	0.027114376	0.10902714	-0.016749931	0.116590954
ENSMUSG00000013160	0.03542527	0.026903156	0.023080539	0.029115938	0.048958078	0.04169861	0.025520336	0.06942218	0.003127459	0.030596431	0.016769983	-0.005364722	0.045415375	0.066078804	0.04528195	0.058465373	-0.024951398	0.09071695
ENSMUSG00000031748	0.035312504	0.0046011563	0.02684578	0.01574066	0.040217344	0.032838177	0.005844942	0.057908386	-0.0029631767	0.0009413496	0.013049465	-0.0142860245	0.03082759	0.06373875	0.042571124	0.070546575	-0.032634553	0.037728865
ENSMUSG00000018707	0.032599963	0.019563079	0.025112482	0.019824244	0.039542224	0.059513953	0.0318161	0.06088347	-0.00065751217	0.02315161	0.009410893	-0.0073437863	0.056065127	0.06278678	0.047123324	0.05335533	-0.025483461	0.08004647
ENSMUSG00000024290	0.008191923	0.0015532385	-0.00033558754	0.044023782	0.0469021	0.03937156	-0.0046476433	0.05258798	-0.037447818	0.019177722	0.0067031845	-0.020723062	0.029179338	0.06844597	0.01643639	0.13768853	-0.0029707043	0.13866985
ENSMUSG00000037070	0.02219992	0.01942617	0.0023062292	0.04821908	0.06934121	0.061248895	0.025561137	0.052958317	-0.02352493	0.02748175	-0.012211525	-0.0046371883	-0.011646325	0.061769973	0.0268867	0.10184005	-0.003834486	0.076505326
ENSMUSG00000085396	0.0064697736	0.0035091038	0.008639599	-0.007549009	-0.039501105	-0.0091476105	0.04982161	0.0525654	-0.048125066	-0.0005094905	0.0067775478	0.0006822433	0.01782169	0.051335536	0.014594718	0.03906434	-0.023000788	0.040210504
