gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000030393	0.0043710438	0.0019184267	-0.019747235	0.021642089	0.035726916	0.0016997627	-0.051251788	0.04318705	-0.048828967	0.013140501	0.0068355305	-0.014663677	0.009413562	0.05446785	0.021841824	0.015123228	-0.021601677	0.043013044
ENSMUSG00000019124	0.027328614	0.008307972	0.024034647	0.025347713	0.0159979	0.039361767	0.00094584137	0.054166134	-0.008930412	0.026401775	0.007001722	-0.017391525	0.028549792	0.06593107	0.03370475	0.06487815	-0.024801506	0.069441095
ENSMUSG00000040964	0.03525773	0.016893301	0.015272013	0.0044797766	0.025464801	0.009309226	0.04050235	-0.05923826	-0.009725074	0.026211904	0.010465411	-0.0072923927	0.07314781	0.010130056	0.053379625	0.025450597	-0.016676761	-0.049024552
ENSMUSG00000045435	0.030777048	0.01970969	0.027863486	0.021563388	0.05640156	0.06072504	0.017985454	0.06735947	-0.0014197036	0.005957947	-0.0011592463	-0.005877648	-0.012517294	0.07451045	0.03687102	0.08174513	0.0012975815	0.0974422
ENSMUSG00000057101	0.03817003	-0.009689093	0.01642808	0.015776193	0.048778877	0.07742303	0.03176276	0.055630293	-0.0033170218	0.020341953	0.017691422	-0.0037735803	0.060088154	0.066328764	0.042111784	0.055692226	-0.01986329	0.060431443
ENSMUSG00000110629	0.037914023	0.008833351	0.011243376	0.010680067	0.045970965	0.03126223	0.020680316	-0.10267118	-0.0059915185	0.011795476	0.017179813	-0.010249253	0.048559923	-0.023737164	0.055624887	0.026638554	-0.01974634	-0.03633693
ENSMUSG00000035126	0.027035248	0.014221271	0.010851887	0.024792796	0.035651196	0.01260397	-0.0031289146	0.050396636	-0.021218797	0.033457465	0.0068414384	-0.013463741	0.033317238	0.053909402	0.026967458	0.06983506	-0.017291673	0.08713808
ENSMUSG00000028568	0.010830408	0.0011614859	0.012070369	0.043407887	0.060284205	0.059636038	0.014086107	0.04277289	-0.020718874	0.02492229	0.005836394	0.00085497124	0.034348242	0.061978605	0.029235166	0.10170259	-0.014095087	0.09083088
ENSMUSG00000068923	0.016715499	0.007101114	0.012268331	0.0245727	0.025481142	0.034714464	0.008114481	0.046912156	-0.028137814	0.02642104	0.00980461	-0.011112076	0.047628134	0.042013075	0.03768956	0.039178714	-0.024623794	0.03131462
ENSMUSG00000085148	0.02793469	0.014027135	0.012693914	0.019529028	0.04792485	0.085084796	0.023825547	0.06295058	0.0032569568	0.013427321	0.010164885	-0.006510035	0.028181026	0.057399433	0.027394563	0.06785674	-0.016323311	0.071357615
ENSMUSG00000047804	0.02538538	0.006262038	0.016146393	0.03116025	0.041018594	0.061818253	0.012958911	0.07113553	-0.011151782	0.024239665	0.010131001	-0.00080624555	0.060750805	0.07039005	0.028254172	0.09752624	-0.013201972	0.1290811
ENSMUSG00000109877	0.031719625	0.0131783215	0.025887584	0.023242252	0.040938377	0.04729329	-0.00073697447	0.062687665	-0.0017361478	0.03707046	0.01075736	-0.0138545735	0.045072466	0.06543207	0.041233994	0.049527746	-0.028692102	0.08109827
ENSMUSG00000110697	0.040919047	0.018487357	0.013971843	0.0060129906	0.04968845	0.0061368705	0.0146849295	-0.07164688	-0.0025283278	0.016382614	0.01730174	-0.00923437	0.0601831	-0.012866784	0.051682718	0.026001029	-0.019699117	-0.031053675
ENSMUSG00000028980	0.031988136	0.017643103	0.022028187	0.01226629	0.05714848	0.0076635275	0.04005927	0.057564765	-0.00058851077	0.022368308	0.015395487	-0.0059692473	0.06364178	0.0696953	0.046458777	0.06008604	-0.021196187	0.0648758
