gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000053293	0.033166997	0.01485472	0.02680588	0.02196926	0.03174469	0.05693263	0.009323667	0.063746944	-0.004584456	0.014892582	0.012949384	-0.014751037	0.042498294	0.071887136	0.041361317	0.08291075	-0.029009724	0.101729766
ENSMUSG00000025329	0.025864676	-0.019046266	0.010170268	0.01696911	0.023993244	0.03309134	0.043010674	-0.03176219	-0.015810126	0.023136083	0.009427056	-0.016565006	0.06682154	0.009607508	0.052856736	0.03644561	-0.014820041	-0.053738505
ENSMUSG00000041268	0.02154262	-0.003907575	0.013000408	0.018034352	0.035748936	0.043262627	0.006710549	0.060290094	-0.021512635	0.03492612	0.006103175	-0.008038272	0.0467187	0.069101095	0.031445224	0.075881615	-0.018826516	0.096037045
ENSMUSG00000098112	-0.14112864	-0.12428034	-0.07293518	-0.033000387	-0.2620987	-0.41373026	-0.115274906	-0.000576147	0.0060276333	-0.28602374	-0.08000861	0.10246998	-0.17367327	-0.40135255	-0.14147355	-0.3910028	0.07689753	-0.010119044
ENSMUSG00000030173	0.00057936134	-0.0030090034	0.007738001	0.0013540301	0.063633285	0.012190574	-0.008943829	-0.050703704	-0.019335119	0.018982885	0.013336444	-0.013812126	0.08661452	0.01774868	0.026208075	0.010073531	-0.012559336	-0.058881406
ENSMUSG00000019326	0.043060813	0.021135898	0.016576285	-0.005159939	0.060977034	0.035499047	0.06377517	-0.054455977	-0.0043787872	0.0055606496	0.015374939	-0.011385056	0.0857667	0.0016340673	0.05754454	0.023937121	-0.016352931	-0.060017407
ENSMUSG00000037253	0.022652857	-0.011571168	0.011648653	0.03307436	0.061562687	0.031662058	0.016520316	0.052005377	-0.020412987	0.01166322	0.012243283	-0.0010060557	0.020107126	0.07041221	-0.007817408	0.09557725	-0.012352423	0.070983015
ENSMUSG00000026104	0.037303634	0.008463542	0.027790738	0.012514272	0.02202014	0.045120176	0.0088750385	0.06175167	-0.008944335	0.022903848	0.010258748	-0.013844756	0.026201466	0.0679879	0.03759345	0.031884085	-0.019989034	0.084833466
ENSMUSG00000060475	-0.37720817	-0.054281063	-0.2009036	-0.1645872	-0.37656194	-0.33876058	-0.14363633	-0.027004484	0.29646933	-0.2924696	-0.10161562	0.12749514	-0.51620966	-0.45391658	-0.54858047	-0.54417896	0.2797505	-0.03734652
ENSMUSG00000014778	0.037408996	0.01481121	0.022224542	0.017958762	0.031670343	0.048442464	0.04744216	0.041394968	-0.0031080313	0.02858077	0.015537249	-0.003869258	0.051321108	0.058626015	0.046351645	0.038886957	-0.019127524	0.03841614
