gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000046947	0.029641204	0.011340415	0.02573744	0.026176432	0.03912096	0.0466863	0.013526195	0.068934165	-0.0017572404	0.019751333	0.006941543	-0.010522246	0.016205376	0.06685294	0.043869372	0.046126146	-0.014984727	0.10071013
ENSMUSG00000041219	-0.057408277	-0.0028746983	-0.095207706	0.055918533	-0.118967906	0.057481308	-0.011466953	0.049358808	-0.03821819	0.024874175	-0.028538132	-0.030638658	-0.19015925	0.105830126	-0.06446523	0.10994931	0.034746666	0.0747711
ENSMUSG00000087332	0.047350727	0.02274292	0.03941209	0.008152624	0.10960228	-0.009156161	0.06615561	0.023161761	0.0064019393	0.022912532	0.0405743	-0.010902601	0.12005114	0.021944916	0.053857613	0.02805095	-0.0040395376	-0.06049891
ENSMUSG00000034432	0.026860138	0.014655255	0.021575736	0.014074856	0.023682531	0.058678985	0.0319586	0.05771536	-0.015233964	0.021264736	0.0126382215	-0.0036535275	0.023232257	0.07390938	0.03252441	0.082518704	-0.015279261	0.1045281
ENSMUSG00000058301	0.03235777	0.0059806216	0.023302287	0.022292381	0.04707791	0.04067286	0.04185044	0.05418916	-0.0026357144	0.03309422	0.017393697	-0.0061453003	0.03441606	0.07284084	0.047312938	0.053118184	-0.021485653	0.050307296
ENSMUSG00000025869	0.04452675	0.009831535	0.028277969	0.0045552133	0.07243907	0.00060838397	-0.015566441	0.05951464	-0.0020223623	0.038854923	-0.0012738544	-0.013893478	-0.03413173	0.069518365	0.043995477	0.06625687	-0.0126606645	0.07957337
ENSMUSG00000057666	0.039985858	0.018224925	0.029879164	0.009241067	0.11216222	0.02644717	0.08051311	0.0012550751	0.005724275	0.03609483	0.023798976	-0.006056544	0.08441487	0.031662893	0.04457873	0.047332805	-0.011660713	-0.0022154164
ENSMUSG00000031012	-0.008504089	0.006705512	-0.037181057	-0.008184976	-0.056743257	-0.024667917	-0.045911532	0.06334141	-0.052611656	0.009822171	-0.00082380645	-0.039314818	-0.05007698	0.11987446	0.000763053	0.034042194	0.010538703	0.10721581
ENSMUSG00000022234	0.036471132	0.013209639	0.016883554	0.028947683	0.06025775	0.0610723	0.034801412	0.06085305	0.00035581575	0.014950138	0.0057604094	-0.0024633005	0.0398874	0.07864421	0.04258567	0.09329045	-0.02281587	0.09564971
ENSMUSG00000117063	0.01638018	0.0030657912	0.010621064	0.022023821	0.0074172798	-0.0058636023	0.030915868	0.041481055	-0.026474306	0.010333879	0.0060503376	-0.010077004	0.031351946	0.06403982	0.0324431	0.052521348	-0.024108889	0.012783243
ENSMUSG00000046572	0.032749385	0.0133223375	0.01752756	0.023621982	0.04577474	0.025127187	0.031261582	0.057647254	-0.0017611557	0.02108007	0.009975237	-0.0021069061	0.06373058	0.05493109	0.040359873	0.06716835	-0.02099296	0.07750119
ENSMUSG00000026114	0.029269224	0.028270535	0.013523649	0.013610053	0.023510236	0.06933949	0.01807939	-0.04298901	-0.010985631	0.016669448	0.007497569	-0.012474283	0.057108518	0.015278176	0.05008962	0.038783915	-0.018474279	-0.040308535
ENSMUSG00000029499	0.024213409	0.0146480575	0.02493341	0.031923845	0.036208007	0.044585947	-0.020299438	0.06698178	0.00338797	0.038110644	0.010698501	-0.013435338	0.00923459	0.07468965	0.03918636	0.081266776	-0.015689496	0.109860644
ENSMUSG00000030494	0.03313089	0.012505569	0.020242041	0.025526455	0.04583211	0.026476065	0.03440939	0.060858656	-0.0015496665	0.014340507	0.014299238	-0.0046999813	0.068108596	0.062312216	0.04492956	0.0574616	-0.025382606	0.065215416
ENSMUSG00000024007	0.037980232	0.020772018	0.02086271	0.016287724	0.030717555	0.07532729	0.041989397	0.035052776	-0.008162965	0.037583977	0.025479104	-0.007986788	0.056747146	0.0467844	0.04321331	0.03815829	-0.017871702	0.04061892
ENSMUSG00000060450	0.038377743	0.0076638134	0.022698982	0.01850879	0.05206932	0.035689186	0.01614148	0.06563249	-0.0032452976	0.039272286	0.01092146	-0.00913373	0.025895588	0.071597725	0.027154222	0.07608832	-0.019669002	0.0977899
ENSMUSG00000028636	0.013767356	0.011124258	0.010316682	0.04189739	0.07994348	0.05153977	0.017674308	0.06700598	-0.010802894	0.03106423	-0.004670038	0.0039066803	0.0028748263	0.061741754	0.0368638	0.0789	0.0004946192	0.1105943
ENSMUSG00000032119	0.03472712	-0.18808952	0.019193467	0.023090338	0.036023956	-0.5141119	0.02582608	-0.03783446	-0.005675335	-0.30478093	-0.005705012	0.022468986	0.035850026	-0.35790804	0.05232641	-0.19164746	-0.021187011	0.0103180325
ENSMUSG00000026457	0.028426018	0.012209399	0.018422032	0.018511834	0.03811864	0.042690676	0.03766495	0.056608807	-0.005311978	0.025785752	0.014048939	-0.0015193898	0.052926823	0.0688291	0.049242705	0.058874927	-0.020752054	0.0913203
ENSMUSG00000027111	0.032674488	0.009652274	0.018202847	0.014799637	0.05980936	0.047739312	0.039090145	0.047402676	-0.0025030347	0.012724435	0.0109538445	-0.0019732444	0.07113697	0.06103685	0.045870233	0.054077238	-0.021754637	0.048965883
ENSMUSG00000042557	0.027824422	0.02212357	0.015029018	0.011310069	0.049508136	0.06204441	0.021302132	0.004772186	-0.007845613	0.04343591	0.012117207	-0.004480407	0.04935963	0.034342244	0.029612022	0.030481583	-0.019510131	-0.057362344
ENSMUSG00000040350	0.031168548	0.021746174	0.0127935875	0.03518508	0.05157035	0.09684179	0.03669083	0.04911461	-0.0016409361	0.04170997	0.01342156	-0.0034465562	0.05107621	0.05849342	0.04530465	0.06429288	-0.021141281	0.06073218
ENSMUSG00000008855	0.037560664	0.004262569	0.023520203	0.0111001935	0.018210933	0.024102924	0.049543444	0.06113871	-0.012927427	0.01544158	0.021239564	-0.0036031392	0.05607056	0.06898456	0.047934484	0.05668651	-0.022146272	0.08038182
ENSMUSG00000020592	0.027531251	0.008895323	0.031892996	0.0133524705	-0.010243669	0.033335518	0.03546219	0.04110724	-0.009580175	0.037208635	0.009680776	-0.009060311	0.031001927	0.06645747	0.047123536	0.056869507	-0.023762027	0.050450537
ENSMUSG00000019971	-0.15404621	-0.11499592	-0.08311112	-0.026147855	-0.21472804	-0.42246142	-0.10982206	0.005030303	0.001232874	-0.29804215	-0.06872527	0.119092904	-0.1911447	-0.44273168	-0.27913454	-0.41448316	0.060772963	-0.007669619
