gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000000056	0.035175275	0.0047504622	0.019126257	0.015499334	0.03928474	0.051202502	0.011825809	0.07751119	-0.0010669924	0.038439304	0.00817346	-0.0036342407	0.045553267	0.06528135	0.04619833	0.06419047	-0.017612753	0.097955674
ENSMUSG00000116927	-0.034728106	0.0021334398	-0.0289207	0.034294814	-0.12317184	0.053610932	0.02349135	0.057466775	-0.059684306	0.033413444	-0.014656186	-0.031651113	-0.083953515	0.098440066	-0.026153099	0.079248264	-0.006838053	0.0545692
ENSMUSG00000092602	0.048854828	0.020344025	0.017173255	0.0066219396	0.07622923	0.0075685624	-0.058583405	-0.020826828	-0.018796518	0.033288535	0.013297858	-0.0050222413	0.007837264	0.0335067	0.060231976	-0.0014189539	0.018156253	-0.054199614
ENSMUSG00000015522	0.026096126	0.0037787561	0.019853108	0.0026130902	0.05102567	0.060737245	0.017405644	0.06756567	-0.0052157496	0.035278432	0.01205335	-0.004082093	0.05737899	0.06750207	0.035014343	0.051261492	-0.017117478	0.08632827
ENSMUSG00000023067	0.045742717	0.026478603	0.017663844	0.0074165203	0.049548123	0.046590768	0.08168916	-0.052796394	-0.00752913	0.03987069	0.022401465	-0.007201664	0.086896814	0.0033397092	0.062246464	0.015480699	-0.018663695	-0.05054311
ENSMUSG00000021678	0.024336446	0.027602447	0.022686563	0.01703501	0.04709651	0.05859776	0.046159904	0.035063975	-0.0045122313	0.049178857	0.017488198	-0.0028623948	0.07022633	0.051406957	0.04679258	0.054459658	-0.017757643	0.028842311
ENSMUSG00000057421	-0.0021403942	-0.00064513565	0.0010288244	0.0037516311	-0.095745504	0.005788976	-0.013724018	0.0864338	-0.048936866	0.0013126878	-0.0019114184	-0.018344574	-0.06205961	0.0596781	0.013980823	0.030073984	-0.003955265	0.09611872
ENSMUSG00000046947	0.030779585	0.01235906	0.025428269	0.026903719	0.03923818	0.04723378	0.014030349	0.06820625	-3.4015342e-05	0.01923461	0.0057398872	-0.011163601	0.015674029	0.06727725	0.04285907	0.045155298	-0.014503174	0.099937186
ENSMUSG00000000439	0.036636673	0.0113906255	0.029674234	0.013660141	0.026604509	0.06293279	0.012646443	0.066901766	-0.0063873786	0.016289512	0.013938685	-0.0059993058	0.034054924	0.07737271	0.033914935	0.058367115	-0.026007015	0.08765728
ENSMUSG00000024410	0.027051002	0.004836753	0.024780864	0.02416815	0.0145701105	0.022072716	0.00573295	0.06480693	-0.017244756	0.020164596	0.003540596	-0.0099500045	0.022395173	0.06813974	0.043642357	0.061982427	-0.02468306	0.10636516
ENSMUSG00000031979	0.031800117	0.013571139	0.027996926	0.020264043	0.02211186	0.044381984	0.032359254	0.061968464	-0.004097409	0.02890516	0.014542442	-0.008162701	0.056825683	0.066017464	0.041486785	0.054842245	-0.023570836	0.08489789
ENSMUSG00000037992	0.034622476	0.0198726	0.027495056	0.0071577653	0.047926366	0.04715787	0.058060884	0.028421478	0.005602162	0.027618656	0.01915886	-0.0060100807	0.06436631	0.03841833	0.050100066	0.028092867	-0.015343729	-0.049853425
ENSMUSG00000039318	0.031809494	0.022107042	0.02234036	0.010503574	0.031848114	0.030965226	0.022265112	0.06339998	-0.011008941	0.034444902	0.00990613	-0.007269639	0.03864574	0.053195562	0.038890902	0.039572064	-0.019544804	0.06889484
ENSMUSG00000053508	0.038037695	0.0072252112	0.014937731	-0.004355889	0.05734001	0.033687707	0.051999725	-0.04573769	-0.01093564	0.017928239	0.010723536	-0.009241316	0.083588116	0.0146627985	0.057968225	0.018092055	-0.014433343	-0.045782685
ENSMUSG00000005615	0.028564496	0.01069475	0.018084584	0.026791546	0.038013563	0.056169678	-0.0010940514	0.06799017	-0.0040063206	0.031734783	0.009924659	-0.012350743	0.020936826	0.0629528	0.03619961	0.07971193	-0.021071374	0.09911488
ENSMUSG00000053477	0.023605863	0.026303904	0.014744625	0.013389739	0.04002265	0.074002534	0.027291317	0.024882896	-0.015297371	0.021853618	0.012916084	-0.0064573265	0.059918445	0.03767934	0.031973436	0.060755834	-0.021841312	0.039200544
ENSMUSG00000110830	0.017871011	0.013264243	0.005336232	0.01359269	0.03876398	0.03531476	0.012169731	0.06279117	-0.022817131	0.019418664	0.006871144	-0.010451459	0.026445895	0.06072254	0.008584351	0.075909734	-0.0117974635	0.12062698
ENSMUSG00000075225	0.03140523	0.0047313096	0.012678179	0.0049114423	0.031892013	0.026752083	0.01166288	-0.041246656	-0.005223432	0.01106939	0.01222295	-0.021121597	0.05362561	0.014254481	0.046251822	0.030171333	-0.016830308	-0.05829423
ENSMUSG00000038508	0.064400524	-0.0016564801	0.03760745	0.0152552845	0.12034018	0.046510346	0.103608236	0.013934482	0.016691748	0.03275208	0.034984693	-0.008537285	0.124180816	0.03706709	0.07897042	0.03709995	-0.0041766465	-0.00771859
ENSMUSG00000020121	0.0243577	0.0036458722	0.019177245	0.016455363	0.01966821	0.048694633	0.013680318	0.05772739	-0.01770641	0.031735003	0.006376208	-0.012971683	0.041722506	0.06902293	0.035757333	0.057754766	-0.023320036	0.08374099
ENSMUSG00000021693	0.017880976	0.009675879	0.012378583	0.023475617	0.04513452	0.061807815	0.017317757	0.059243094	-0.01971127	0.010826028	0.008265431	-0.012262194	0.04809035	0.06903024	0.03128006	0.1135431	-0.01593426	0.09286113
ENSMUSG00000030116	0.03088688	0.0058857594	0.014639753	0.0040173293	0.07133201	0.047883347	0.03428515	-0.030494448	-0.0012097819	0.010924667	0.014374223	-0.0045272764	0.06466079	0.033251718	0.05011616	0.031236628	-0.020463038	-0.032033514
ENSMUSG00000086918	0.008388397	-0.0023786922	0.0061723287	0.029895391	0.02502494	0.034057327	-7.079092e-05	0.06565754	-0.018023916	0.018213045	0.0046935803	-0.018379742	-0.00028024687	0.079031944	0.023279866	0.047790207	-0.010257967	0.13258472
ENSMUSG00000022031	0.0053000664	-0.0012959489	-0.0002512762	0.011336693	-0.073184334	-0.024472643	-0.021681156	0.09910688	-0.041863464	0.0071403063	0.006528849	0.013421346	-0.02720725	0.05957861	0.012087615	0.02757736	-0.007946463	0.102860264
ENSMUSG00000035284	0.022332158	0.0017933033	0.015469959	0.0095787225	0.01685526	0.03506888	-0.009823771	0.052843597	-0.02145011	0.04388236	0.007946847	-0.008770826	0.027357401	0.0591178	0.026824983	-0.01085849	-0.019171156	0.049836792
