	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000026109	0.025687275	0.024155984	-0.29352525	0.020777183	-0.033796832	-0.25396603	0.022458464	-0.08045514	0.025645887	0.113187514
ENSMUSG00000034472	0.032879125	0.11403625	-0.33307025	-0.15322205	-0.065882556	0.41100174	0.19839646	0.20470852	0.11770316	-0.42684942
ENSMUSG00000042626	-0.08730339	0.007959366	0.3139558	0.24322736	0.48207134	0.49753362	0.17565283	0.15148261	0.028931165	0.12490405
ENSMUSG00000028530	-0.029188903	0.051280126	-0.037873965	-0.09223478	-0.067192346	0.51724756	0.0040601897	0.28582683	0.026794035	-0.35411865
ENSMUSG00000043668	-0.017969469	0.044477712	-0.15866348	-0.14128068	-0.10116599	0.20847799	-0.03461018	0.29875988	0.01487617	-0.37769654
ENSMUSG00000030064	-0.06655238	0.025329523	-0.14795797	-0.094370075	-0.019181063	0.4670636	0.01587098	0.3118535	0.032837797	-0.3261473
ENSMUSG00000001687	-0.052574147	-0.00070708874	0.1643629	-0.01424534	0.21758127	0.3914741	0.08588791	0.14447649	0.036393236	-0.052500483
ENSMUSG00000046159	0.042093523	0.09518517	-0.14510192	-0.23557621	-0.11165051	0.10144115	-0.18199709	0.2829378	-0.01562596	-0.5462096
ENSMUSG00000028552	0.035815705	-0.00045291128	0.08582677	-0.041089546	-0.07115872	0.3746696	0.02704169	0.23805498	0.01848945	-0.1184168
ENSMUSG00000027533	0.06375303	0.014539632	-0.17541249	0.009349181	0.057125032	0.5105277	0.19739795	0.29733256	0.021428226	-0.15434495
ENSMUSG00000071317	-0.049282394	0.057620972	-0.26355606	-0.18158233	-0.04902335	0.24610826	0.003119086	0.29562947	0.060689196	-0.41517052
ENSMUSG00000063434	0.020646513	0.10372625	-0.11828034	-0.23756263	-0.12788142	0.17010204	-0.23740396	0.2834567	-0.033454925	-0.5537144
ENSMUSG00000039315	-0.013553574	0.010755221	-0.20252293	-0.026483687	-0.047828257	-0.3233741	-0.020011302	-0.08130128	0.023918353	0.1166619
ENSMUSG00000039316	-0.026885068	0.08150322	0.12893973	-0.13752653	-0.04042412	0.49030882	-0.11072842	0.25667855	-0.013912876	-0.50208604
ENSMUSG00000002379	-0.0681996	0.005731785	0.50268954	0.23382269	0.18500401	0.3946137	0.09745489	0.12678567	0.032383155	0.08060028
