gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000031770	0.06970409	0.18855892	0.32910755	0.29454127	0.11088518	0.11750731
ENSMUSG00000056234	0.111286566	0.3560813	0.45026636	0.30122882	0.107858896	0.19102387
ENSMUSG00000102300	0.028124563	0.053054854	0.09401308	0.14057003	0.053257305	-0.0017955235
ENSMUSG00000111730	-0.061298016	-0.17045829	-0.22620678	-0.13847545	-0.075067565	-0.1741594
ENSMUSG00000056596	0.091739155	0.1609685	0.05460704	0.15102774	0.0883079	0.12863399
ENSMUSG00000017737	0.10835181	-0.06499417	0.22135839	-0.08848244	0.0988594	-0.034262747
ENSMUSG00000079190	0.048015025	-0.061478034	0.051031396	-0.07273821	-0.013898019	-0.07942553
ENSMUSG00000048537	0.052941173	0.06629991	0.01684302	0.06703697	0.07341699	0.12573881
ENSMUSG00000084892	-0.061209228	-0.6010944	-0.17353995	-0.2760905	-0.073993005	-0.2516031
ENSMUSG00000032425	0.04548941	0.26640654	0.073756956	0.102902055	0.048325468	0.18851016
ENSMUSG00000038074	0.09467663	-0.12118996	0.11802596	-0.065856345	0.109324045	-0.015842536
ENSMUSG00000106734	-0.0976575	-0.14298354	-0.23194252	-0.16053405	0.0057052057	-0.1118034
ENSMUSG00000030428	0.13058904	0.010242951	0.5160941	0.077982545	0.04381251	0.07018192
ENSMUSG00000029167	-0.009322792	-0.12721242	-0.18384027	-0.17962758	-0.046180747	-0.0933907
ENSMUSG00000074785	0.020896982	0.064319	-0.109115504	0.0691608	0.02571926	0.15625495
ENSMUSG00000031337	-0.13096787	-0.20516057	-0.03872319	-0.08911095	0.048077065	-0.083083086
ENSMUSG00000016626	0.034108795	-0.10655091	-0.07628761	-0.05411885	-0.052201085	-0.021529622
ENSMUSG00000075277	0.03280747	-0.0554885	-0.1036947	-0.043380603	0.086569525	0.091471344
ENSMUSG00000085735	0.06546061	0.27903444	0.29452145	0.24508652	0.03429568	0.15849851
ENSMUSG00000105872	0.018748652	-0.13438147	-0.12908006	-0.16913489	-0.054696634	-0.039905716
ENSMUSG00000066839	0.06303804	0.12006757	0.30606553	0.105011284	0.0454219	0.09128894
ENSMUSG00000001436	0.06607222	0.23633437	0.31744316	0.17243814	0.06544389	0.18317266
ENSMUSG00000039959	0.04886255	0.22979954	0.080279805	0.1103223	0.061402053	0.17073068
ENSMUSG00000109524	0.015213198	-0.11213848	-0.12779917	-0.14111388	0.053564504	-0.09439233
ENSMUSG00000020836	0.08810242	0.013729754	0.23206328	0.05433693	0.065844744	0.06555452
ENSMUSG00000084968	0.04520794	0.44513062	0.25007257	0.26713577	0.015103887	0.18222524
ENSMUSG00000034282	0.05879541	-0.06327087	0.05159451	-0.037340395	0.085389115	0.0054944865
ENSMUSG00000115540	-0.041929163	-0.1304527	-0.2078022	-0.11526614	-0.08745862	-0.12683721
ENSMUSG00000026770	0.028417377	-0.1264804	-0.1517552	-0.20536274	0.028157527	-0.098759376
ENSMUSG00000080888	0.08366944	-0.06547481	0.2014314	0.20005964	0.029086495	0.013107454
ENSMUSG00000105255	0.05500777	-0.11849485	0.25637785	-0.15089227	0.081774995	-0.059821546
ENSMUSG00000106938	0.0034996967	-0.14226717	-0.103537224	-0.15514618	0.05068093	-0.07417168
ENSMUSG00000112444	0.012239911	-0.14176789	-0.09897307	-0.17843178	-0.049586367	-0.09110932
ENSMUSG00000020490	0.015675358	-0.07734524	-0.22829878	-0.11589882	-0.01926163	-0.10721949
ENSMUSG00000090500	0.03788842	-0.083693564	0.12662542	-0.0433246	0.01682312	-0.022781795
ENSMUSG00000022967	0.034609362	0.29941207	0.114966795	0.24371834	0.021325093	0.17670709
ENSMUSG00000005952	0.008945461	-0.14527659	-0.1365334	-0.1619619	-0.040986817	-0.086415164
ENSMUSG00000017858	0.100403346	0.38392258	0.55337	0.2574501	0.048353393	0.13894184
ENSMUSG00000047459	0.041114423	0.2827181	0.054616556	0.14943358	0.057601582	0.211032
ENSMUSG00000038545	0.053074855	0.2220265	0.1098755	0.18145604	0.07699402	0.14399254
ENSMUSG00000102208	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000035621	0.18300837	0.2994791	0.5272162	0.29915866	0.123433255	0.16746277
ENSMUSG00000035696	0.041368525	0.38868856	0.14888965	0.29734546	0.08789715	0.17428225
ENSMUSG00000025352	0.07726035	0.047919713	0.3495865	0.022590313	0.043541733	0.11242996
ENSMUSG00000069727	0.09154397	0.116212934	0.46434617	0.21276549	0.039966863	0.08862034
ENSMUSG00000097665	0.08945218	0.21678501	0.4468574	0.18356474	0.019560752	0.10817368
ENSMUSG00000021916	0.05808152	0.34399816	0.36922503	0.20482989	0.0283657	0.19086975
ENSMUSG00000007039	0.12532988	0.1927132	0.34831664	0.21247327	0.092909954	0.12633565
ENSMUSG00000031709	0.026742507	0.24228467	0.115687706	0.2724742	0.033211704	0.121392146
ENSMUSG00000062132	0.035969906	0.069547735	-0.034761596	0.16797134	0.055477552	-0.0063221767
ENSMUSG00000096921	0.022255428	-0.1115229	-0.058229085	-0.222873	0.027824603	-0.11452467
ENSMUSG00000116951	0.05749585	-0.03353294	0.24633174	-0.0112806	0.007122646	-0.07290666
ENSMUSG00000025838	0.07574746	-0.08038732	0.2574458	0.05193355	0.032401152	-0.008922377
ENSMUSG00000030236	0.007774988	-0.1088595	-0.08767732	-0.119788654	-0.07138341	-0.10851718
ENSMUSG00000037788	0.0055691614	0.0011635912	-0.11857286	0.029539874	-0.0324803	0.118757166
ENSMUSG00000111409	0.05610038	0.3559687	0.11931146	0.1770758	0.0887949	0.20961691
ENSMUSG00000058740	0.011527308	-0.0033536712	-0.15345854	-0.054936882	0.057315644	0.016744869
ENSMUSG00000116426	-0.0010551655	-0.16861431	-0.17961039	-0.1838274	-0.0029425034	-0.1183107
ENSMUSG00000039770	0.07327091	0.3053154	0.3288401	0.23678309	0.08393209	0.14162657
ENSMUSG00000058173	0.02223072	0.06967201	-0.1542002	0.15878102	0.022233943	0.11551406
ENSMUSG00000092375	0.01208671	-0.03759794	-0.21426505	-0.0105980905	-0.058231845	-0.00020947645
ENSMUSG00000051375	0.057486136	0.09114379	0.0010757037	-0.009405236	0.07478553	0.15860297
ENSMUSG00000057037	0.058652297	-0.081271976	0.03285549	-0.15969661	-0.022477245	-0.08980215
ENSMUSG00000017167	0.05661462	-0.10908602	0.14765023	-0.05325868	0.034047376	-0.007773523
ENSMUSG00000107622	0.0073385527	-0.014537175	0.11137433	0.25937542	0.04541531	-0.112201296
ENSMUSG00000054618	0.039824847	-0.05552323	0.19732346	0.07066324	0.02995906	-0.038643267
ENSMUSG00000014361	0.020778712	0.22085631	-0.13647354	0.095899776	-0.031140106	0.21888469
ENSMUSG00000101968	0.0056269635	-0.111697555	-0.16697101	-0.18270415	-0.06757017	-0.14438623
ENSMUSG00000039686	0.036044907	0.3054984	0.1441656	0.20800702	0.052848637	0.122472085
ENSMUSG00000028687	0.0433572	0.30976248	0.1196293	0.18731855	0.030708654	0.22535218
ENSMUSG00000103079	-0.040751178	-0.17906384	-0.055690587	-0.22788773	-0.08111764	-0.13432771
ENSMUSG00000020553	0.03867878	0.09275604	0.17738979	0.0665898	0.022275085	0.068704784
ENSMUSG00000044250	0.075144574	0.10152146	0.2697273	0.05566822	0.052711774	0.13744676
ENSMUSG00000039079	0.053028267	-0.12928087	-0.016216869	-0.16274317	0.02430817	-0.07243303
ENSMUSG00000012123	0.112997375	-0.014763591	0.4185534	0.15015998	0.05834423	-0.01861191
ENSMUSG00000095253	0.04580006	0.23190208	0.269231	0.23233853	0.04408198	0.14138493
ENSMUSG00000036030	0.051861674	0.085517265	0.013013917	0.12467855	0.05313638	0.12554005
ENSMUSG00000075324	0.012325912	0.07213323	-0.16174869	0.1006151	-0.056091078	0.15807751
ENSMUSG00000092300	0.03640948	-0.025508313	0.08931618	-0.006541797	-0.031658005	-0.025719892
ENSMUSG00000005503	0.103203215	-0.080387	0.15606175	-0.04652542	0.100863054	0.005190557
ENSMUSG00000030699	0.05462992	-0.008960641	0.4951138	0.0779241	0.013504864	0.0048506316
ENSMUSG00000096917	0.1379145	0.31127813	0.511037	0.29274705	0.10729124	0.16552311
ENSMUSG00000070604	0.16269766	-0.09707733	0.32975408	-0.06993247	0.09515755	-0.033480264
ENSMUSG00000086483	0.028414238	-0.10501536	-0.14182056	-0.18762021	-0.040374465	-0.114193164
ENSMUSG00000058569	0.105381906	-0.059386224	0.2546367	0.0060512084	0.047630973	-0.08133581
ENSMUSG00000114203	0.04075813	-0.06574992	0.091654986	0.006063236	-0.005247923	0.004274708
ENSMUSG00000024136	0.059354015	-0.15171947	0.27041426	-0.010037045	0.03236748	-0.008728296
ENSMUSG00000105960	0.05342018	-0.108433954	0.21067761	-0.1435017	0.013559518	-0.026684254
ENSMUSG00000005320	0.06574694	0.109483674	0.22786382	0.12890817	0.059490472	0.076385856
ENSMUSG00000034872	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000074365	-0.0012666625	-0.53344965	-0.015192087	-0.30084467	0.012633034	-0.22648416
ENSMUSG00000097891	0.0341911	-0.083093114	0.24447837	0.056056738	0.050966606	-0.009274886
ENSMUSG00000085043	0.021708373	-0.07510068	0.2748855	0.078158684	0.042252216	-0.029038534
ENSMUSG00000038838	0.03249238	0.2517147	-0.041090306	0.22079603	0.077809565	0.17680193
ENSMUSG00000087045	0.03743719	-0.12093296	-0.11503371	-0.044642866	-0.042779494	-0.02948111
ENSMUSG00000103409	0.12897794	-0.07764469	0.48171744	0.18644302	0.011859556	-0.0070189573
ENSMUSG00000107640	0.060947623	-0.03912952	0.118655734	0.016581913	0.094824284	-0.037302803
ENSMUSG00000015134	0.010052543	0.0002338959	-0.16685927	-0.041605458	-0.003578274	0.11041578
ENSMUSG00000006476	0.0066524665	-0.070346124	-0.08217484	-0.028014958	0.06750421	0.020599302
ENSMUSG00000079299	-0.11957003	-0.1275076	-0.24756587	-0.07133377	-0.06619264	-0.1679
ENSMUSG00000029797	0.019605732	-0.13348997	0.13668932	-0.09072071	0.04734667	-0.047445513
ENSMUSG00000020413	0.034851994	0.28195414	0.10440008	0.19337846	-0.0017365882	0.17850102
ENSMUSG00000084876	0.10482387	0.1716472	0.33893362	0.120706946	0.06935127	0.11861371
ENSMUSG00000043987	0.022664238	0.191586	-0.12017016	0.113076925	0.06105642	0.14222772
ENSMUSG00000092600	0.04321352	-0.08923438	-0.068971574	0.051226955	0.03059407	-0.041039012
ENSMUSG00000078879	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000085774	0.01936849	-0.13235219	-0.0086119445	-0.055737335	0.008402711	-0.01306066
ENSMUSG00000021636	0.042406894	0.13782187	-0.001868082	0.10348699	0.04804447	0.09248743
ENSMUSG00000027233	0.033597987	0.06112773	0.032694742	0.07257234	0.042041637	-0.029964214
ENSMUSG00000046378	0.060682926	0.09906405	0.2966172	0.14498049	0.040814925	0.06950656
ENSMUSG00000031099	-0.019264793	-0.10249449	-0.027771506	0.21797018	0.046719097	0.008992589
ENSMUSG00000072893	0.096236214	0.3953853	0.3805734	0.24070118	0.09339612	0.20391786
ENSMUSG00000038903	0.017341435	-0.026121354	-0.17592444	0.021419425	-0.0021243603	0.03937999
ENSMUSG00000114469	-0.06478196	-0.21687864	-0.18570809	-0.15966219	-0.055616025	-0.13458388
ENSMUSG00000042613	0.05102468	0.1576066	0.09292237	0.17827718	0.07185718	0.06528039
ENSMUSG00000026645	-0.000998116	-0.12205345	-0.15327111	-0.17869234	-0.045507398	-0.10348248
ENSMUSG00000033981	0.013071829	-0.089494884	-0.15392314	-0.056118894	0.023449384	-0.05324112
ENSMUSG00000106764	0.064022936	-0.11812971	-0.062607974	-0.11473488	0.01676655	-0.048184056
ENSMUSG00000085454	0.026928062	-0.063272886	-0.065573655	-0.023666995	0.09203966	0.06883808
ENSMUSG00000024661	0.33674976	-0.023118306	0.73376125	0.22347699	0.024663521	-0.10296081
ENSMUSG00000087356	0.052641388	-0.09618594	0.19933042	0.026863258	0.045411337	-0.03886164
ENSMUSG00000113679	0.039859425	-0.059686784	0.04595241	-0.030385626	0.043505978	-0.055016585
ENSMUSG00000085120	-0.041745275	-0.18181762	-0.19575356	-0.13475698	-0.037816618	-0.11399283
ENSMUSG00000074340	0.019846326	-0.048611432	-0.08801739	0.3283584	-0.0682663	-0.023674669
ENSMUSG00000066189	0.006291573	-0.10608301	-0.17017348	-0.07438801	-0.029105159	-0.027214298
ENSMUSG00000072487	0.025664127	-0.097011186	-0.1321437	-0.02373408	0.02106462	0.008959406
ENSMUSG00000050846	0.055848856	0.32787243	0.2293709	0.14640544	0.045553632	0.13741109
ENSMUSG00000106779	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000073012	-0.10157685	-0.21079005	-0.11063995	-0.119747534	-0.11570465	-0.15186179
ENSMUSG00000035916	0.01220222	-0.5407784	-0.0919646	-0.3136258	-0.04656506	-0.24595222
ENSMUSG00000085181	0.03893398	-0.12361178	-0.04573898	-0.3361752	0.032254457	-0.14356586
ENSMUSG00000021930	0.031321306	0.28173292	0.10267662	0.22327949	-0.0060933875	0.16221493
ENSMUSG00000113553	-0.009710523	-0.12936015	-0.16290812	-0.16231406	-0.05838341	-0.11504289
ENSMUSG00000042102	0.015972042	-0.062253214	-0.18660967	-0.009943979	-0.028044159	-0.012128185
ENSMUSG00000019428	0.06010804	0.36891267	0.32085806	0.23646931	0.043227002	0.18216698
ENSMUSG00000024737	-0.003113551	-0.117599644	-0.1476262	-0.07254635	-0.031912845	-0.046736594
ENSMUSG00000032740	0.033730693	0.28982082	-0.029814191	0.17689829	0.026921047	0.2161452
ENSMUSG00000034485	0.024760406	0.19158633	-0.1277618	0.15656613	0.06317412	0.20792374
ENSMUSG00000021499	0.0070192367	-0.12859207	-0.15630765	-0.1738567	-0.045579687	-0.11312196
ENSMUSG00000004032	0.0096168425	-0.02511498	0.023292152	0.066529565	-0.009903417	0.0008854179
