gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000022015	0.07460746	0.058968425	0.40534016	0.051660873	0.024689237	0.0726626
ENSMUSG00000032540	0.019233666	0.124207266	-0.110870786	0.067202955	0.011671021	0.12278255
ENSMUSG00000097174	0.06559637	0.4345956	0.45085013	0.2595154	0.047098264	0.1680763
ENSMUSG00000057147	-0.0007194338	-0.55125505	-0.10570739	-0.3139695	-0.075457565	-0.25200683
ENSMUSG00000046295	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000069910	0.040970016	0.33410737	0.14935267	0.24135225	0.053372905	0.22026874
ENSMUSG00000087647	0.043399073	-0.099654436	-0.038444087	-0.08363995	0.09620383	-0.049706683
ENSMUSG00000015189	0.025839653	0.23190135	0.07601024	0.25593513	0.004706406	0.10525172
ENSMUSG00000021978	0.030576874	0.236841	0.022422869	0.16701137	0.05811816	0.1931909
ENSMUSG00000004069	0.049391177	0.34232602	0.20198674	0.26181486	0.032564845	0.1977345
ENSMUSG00000000184	0.057495505	-0.051655963	0.09768877	0.12930377	0.054822177	0.0058004437
ENSMUSG00000089726	0.14134273	0.036596417	0.5728627	0.15181845	0.041048814	0.042588662
ENSMUSG00000012350	0.029094476	-0.08330695	-0.09212791	-0.074709326	0.0020980067	-0.04960557
ENSMUSG00000115430	0.02859458	0.015103409	-0.022789324	0.26331225	0.016493797	-0.12653042
ENSMUSG00000034723	0.019215439	0.21807152	-0.13862234	0.15900186	-0.025905596	0.10010711
ENSMUSG00000110320	0.0044113537	-0.12714751	-0.09926442	-0.038793437	0.015143932	-0.048008148
ENSMUSG00000097196	0.03184703	0.42152107	0.022959376	0.27474996	-0.015199054	0.17318384
ENSMUSG00000035021	0.04760682	0.13847513	0.11988951	0.21285342	0.05888989	0.09954204
ENSMUSG00000110663	0.109586775	-0.0656742	0.40241393	0.09129913	0.05469728	-0.02587394
ENSMUSG00000021072	0.035538584	0.1774442	0.044653665	0.14717007	0.037050683	0.14786808
ENSMUSG00000058056	0.03829931	-0.11940154	0.09660007	-0.1380173	0.052079123	-0.07374943
ENSMUSG00000048251	0.013472859	0.024305448	-0.034383915	0.06888067	0.063116066	0.11200937
ENSMUSG00000030126	0.025163162	0.2501859	-0.04249739	0.1256121	0.035357036	0.2149259
ENSMUSG00000060935	0.05765981	0.34842443	0.12016863	0.27197295	0.08143868	0.22187269
ENSMUSG00000028438	0.03143122	0.38016826	-0.0069794515	0.20250067	-0.013804083	0.2410073
ENSMUSG00000002968	0.047427386	0.36531278	0.21536368	0.19026701	0.063815884	0.19146836
ENSMUSG00000047879	0.05242215	0.36107412	0.29278818	0.25570783	0.069530085	0.18527116
ENSMUSG00000041571	0.1353684	0.2913428	0.59624416	0.24283545	0.07711923	0.15422358
ENSMUSG00000107499	0.0489927	0.22309941	0.11554019	0.17019925	0.06094094	0.14553796
ENSMUSG00000037072	0.049487993	0.46827725	0.28589267	0.24529931	0.064745925	0.2397692
