gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000086277	0.115591004	-0.23597847	0.07285671	-0.28846171	0.1541832	-0.17417133
ENSMUSG00000024873	0.1499632	0.034073215	0.7538707	0.19975495	0.0372715	-0.053114668
ENSMUSG00000048495	0.093672976	0.8338324	0.43310732	0.3749389	0.13898976	0.46249956
ENSMUSG00000029182	0.077177316	-0.13651614	-0.0037076832	0.24284402	0.06165341	-0.1007274
ENSMUSG00000031984	0.10337365	0.71774185	0.4375138	0.56715286	0.15831737	0.45253173
ENSMUSG00000018286	0.16317436	0.700882	0.87741435	0.41551584	0.124003574	0.3048072
ENSMUSG00000048120	0.055525437	0.22412562	-0.16520026	0.22392711	0.059840526	0.18412615
ENSMUSG00000024174	0.043902673	0.2550017	-0.29074526	0.16188096	-0.0839857	0.23878562
ENSMUSG00000017221	0.10356283	0.91418034	0.42407313	0.4722256	0.14739272	0.47346362
ENSMUSG00000109511	0.25219303	0.81163585	1.1589545	0.5918627	0.21542175	0.34245956
ENSMUSG00000028708	0.04942869	0.36427107	-0.10658734	0.2479579	-0.0043360614	0.2771479
ENSMUSG00000107458	0.021293022	-0.23874371	-0.16715765	-0.22961359	-0.049065508	-0.13502827
ENSMUSG00000016498	-0.009635433	-0.31181893	-0.3124309	-0.24198075	-0.07510273	-0.16534612
ENSMUSG00000006390	0.20249948	0.08549296	1.0961186	0.24703178	0.038107824	0.12115737
ENSMUSG00000073856	0.053742547	0.8285087	-0.15095334	0.42781287	0.010915955	0.5423129
ENSMUSG00000006589	0.43798348	0.21776861	1.2424735	0.44546875	0.19096889	0.22253098
ENSMUSG00000097060	0.16534247	-0.17781307	0.612352	0.012464819	0.12583692	-0.029002791
ENSMUSG00000092310	0.37602007	-0.0177548	1.027772	0.17851534	0.180962	0.027560556
ENSMUSG00000110623	0.006569618	-0.2752006	-0.2036197	-0.15482609	-0.15630047	-0.16523688
ENSMUSG00000108724	0.18130367	-0.028019035	1.1335876	0.5645358	0.06065198	-0.19373128
ENSMUSG00000038618	0.110105775	0.72983396	0.3467002	0.40768713	0.15955147	0.43081233
ENSMUSG00000079092	0.067218885	-0.15875183	-0.23511988	-0.3255625	-0.11596628	-0.26052204
ENSMUSG00000022039	0.053122416	-0.25630894	-0.275209	-0.18860342	0.028509935	-0.12182339
ENSMUSG00000022206	0.047970727	-0.24309981	0.060668714	0.36804253	0.119256236	-0.06109591
ENSMUSG00000074575	0.060449213	-0.08969393	-0.14558819	-0.026488928	0.15571062	0.24457821
ENSMUSG00000038976	0.10994193	0.29260018	0.045184612	0.2108148	0.13641904	0.32354492
ENSMUSG00000095522	0.08733518	-0.1950261	-0.26415515	-0.371371	-0.090027064	-0.22972174
ENSMUSG00000006154	0.14959417	-0.23321785	0.12542172	-0.18066439	0.1944971	-0.03283747
ENSMUSG00000026755	0.120521836	0.770729	0.54249483	0.5095547	0.13133848	0.45828152
ENSMUSG00000035713	0.08695859	0.65082496	0.0008191851	0.26943693	0.13774177	0.4405423
ENSMUSG00000041609	0.08589153	0.58277696	0.15682434	0.2748856	0.09145302	0.36094707
ENSMUSG00000027495	0.07185274	0.43906376	0.15052186	0.18449484	0.10638526	0.25446755
ENSMUSG00000055980	0.032467227	0.05648582	-0.28133753	-0.028415587	0.11753768	0.33113033
ENSMUSG00000078949	0.109394036	-0.18886338	0.3468518	0.105593614	0.058692858	-0.08366326
ENSMUSG00000117287	0.20633832	-0.2104928	0.99908876	0.09724704	0.051669262	-0.033235256
ENSMUSG00000115359	-0.045091335	-0.29924121	-0.3470399	-0.2880737	-0.17306435	-0.2513748
ENSMUSG00000030606	0.034432527	-0.24600294	-0.19654912	0.055465356	0.008212076	-0.14360817
ENSMUSG00000085236	0.03964821	0.5550824	-0.21531089	0.29986134	0.12726201	0.35988322
ENSMUSG00000037910	0.0022330547	-0.24043784	-0.41766542	-0.09574946	-0.05338243	-0.13070016
ENSMUSG00000028738	0.037508707	-0.25724825	-0.20327267	-0.3498377	0.10349015	-0.16485617
ENSMUSG00000086837	0.22841716	0.24231695	1.2143452	0.3237366	0.048792947	0.19169286
ENSMUSG00000008859	0.07634893	0.8287351	0.03319675	0.56411755	0.121827126	0.47980642
ENSMUSG00000034990	-0.015395093	-0.2096993	-0.37860888	-0.10598901	-0.08017676	-0.19940948
ENSMUSG00000091519	0.024627732	-0.25804007	-0.23196574	-0.1516543	0.10277611	-0.09132859
ENSMUSG00000026616	0.071414106	-0.21196136	-0.24355845	0.07781493	-0.092711926	-0.09051277
ENSMUSG00000033470	-0.0035680165	-0.28505465	-0.31375355	-0.28918046	-0.08656284	-0.20557155
ENSMUSG00000074028	0.05590246	-0.21543546	-0.22304396	-0.366504	-0.11113839	-0.2311739
ENSMUSG00000031595	0.093313	-0.28714952	0.41475064	0.06240473	0.06030765	0.0073891445
ENSMUSG00000110656	0.07606228	-0.15352064	0.2447241	-0.05073495	0.05913017	-0.07855319
ENSMUSG00000110215	-1.2353017	-1.2304705	-1.1941359	-0.56341666	-0.4284384	-0.5494561
ENSMUSG00000048833	0.07119414	0.96183056	0.12213544	0.58329296	0.098017395	0.5161657
ENSMUSG00000097009	-0.027119773	-0.29535875	-0.35962787	-0.41226348	-0.049879003	-0.2953913
ENSMUSG00000053856	0.16153334	-0.17695478	0.52808803	0.3088364	-0.077557795	-0.07626224
ENSMUSG00000018411	0.16162825	0.4995825	0.80134314	0.35433957	0.12760694	0.28818136
ENSMUSG00000030839	0.03733024	0.22808191	-0.20483644	0.21644431	0.049640432	0.23179804
ENSMUSG00000020473	0.059414443	0.13310747	-0.033591654	0.17332764	0.05917661	0.1270987
ENSMUSG00000058093	0.057095613	0.19035691	0.054638974	0.46525836	-0.06725332	-0.00024948787
ENSMUSG00000113299	-0.030136362	-0.34165812	-0.39164364	-0.18631333	-0.022172924	-0.14554223
ENSMUSG00000087612	0.38432294	-0.13016078	0.63463503	-0.31808984	0.26572502	-0.14959025
ENSMUSG00000079421	0.036172763	-0.23546813	-0.33158013	-0.13474137	-0.11300308	-0.09440676
ENSMUSG00000022018	0.053891115	0.15037857	-0.012799376	0.14996357	0.053033117	0.034279764
ENSMUSG00000038357	0.104922555	-0.22088176	0.47698554	0.016953751	0.07031586	-0.017361848
ENSMUSG00000028523	0.039502434	-0.2180168	-0.33408126	-0.10382662	-0.08615194	-0.050450478
ENSMUSG00000021852	0.040311284	-0.12486617	-0.27859753	-0.07271107	-0.026249597	0.073681004
ENSMUSG00000051323	-0.0197351	-0.3437831	-0.31717867	-0.13465817	0.027263533	0.16011855
ENSMUSG00000041439	0.039032362	0.12504964	-0.25632575	0.13800286	-0.05982365	0.2098436
ENSMUSG00000085826	0.002377904	-0.2847531	-0.2180729	-0.43360534	-0.08122331	-0.22310056
ENSMUSG00000015806	0.033468924	0.52441216	0.21438257	0.48408732	0.1303975	0.324018
ENSMUSG00000035177	-0.052104928	-0.39691406	-0.37521002	-0.33999726	-0.15151939	-0.2302348
ENSMUSG00000045466	0.062886745	0.2117621	0.29195246	0.21646626	0.047647517	0.1655039
ENSMUSG00000019768	0.016902084	-0.18765514	-0.3511352	-0.37894827	0.0371643	-0.2595964
ENSMUSG00000022454	0.019955996	-0.00471073	-0.3812684	0.073157616	-0.10037421	0.2460498
