gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000059939	0.04846046	0.40975437	0.2290527	0.24430183	0.049168553	0.20858522
ENSMUSG00000082848	0.077246144	0.33208844	0.45147717	0.22444902	0.059591316	0.16469571
ENSMUSG00000061477	0.17388527	0.41891435	0.5480287	0.330962	0.13356622	0.20544758
ENSMUSG00000067942	0.030454507	0.25993037	0.0030338434	0.16046116	0.025623452	0.19466151
ENSMUSG00000030792	0.03631466	0.0030497382	0.103029236	-0.0057142437	0.028289983	0.011332522
ENSMUSG00000028634	0.015451088	0.16882399	-0.15789151	0.03778895	0.03169521	0.15091814
ENSMUSG00000031585	0.05907561	0.28901505	0.29896277	0.14545113	0.048375066	0.18057622
ENSMUSG00000032216	0.08362192	0.44755283	0.3165227	0.30579054	0.09481074	0.20907205
ENSMUSG00000023990	0.0711781	0.3118899	0.2979056	0.30236632	0.102224275	0.15052126
ENSMUSG00000086847	0.12162727	-0.06253609	0.5792199	-0.013038087	0.038403895	-0.03901845
ENSMUSG00000113883	0.04097844	-0.024225896	0.18457869	0.10381114	-0.01730678	-0.060597956
ENSMUSG00000020226	0.061369423	-0.13213341	0.01882839	-0.23016962	0.014742346	-0.07302101
ENSMUSG00000021338	0.022368288	0.2537694	-0.13389523	0.19604042	0.022433454	0.19670086
ENSMUSG00000009566	0.07450697	0.31974828	0.29679754	0.18651368	0.07747042	0.2022703
ENSMUSG00000030341	0.08093706	0.041819006	0.40344754	0.057166126	0.04049584	0.04122326
ENSMUSG00000028591	0.10134236	-0.031408463	0.5196494	0.22334716	0.053112213	-0.012768095
ENSMUSG00000021715	0.031173512	0.5315839	-0.0011493327	0.25601482	-0.029284287	0.2624949
ENSMUSG00000022858	0.12394992	0.5481892	0.44470203	0.3289542	0.13007845	0.2506623
ENSMUSG00000036022	-0.023905307	0.14022423	0.23540606	0.263998	0.068778455	0.056201596
ENSMUSG00000004651	0.009872158	-0.09777081	-0.17115192	-0.103179194	-0.07694079	-0.09285268
ENSMUSG00000059493	0.0023951165	-0.039818574	-0.19540575	-0.1361233	0.024316197	0.1189201
ENSMUSG00000109097	0.018438932	-0.09016201	-0.07610279	-0.074871056	0.034888472	-0.043542076
ENSMUSG00000050122	0.0573083	-0.08348888	0.09961948	-0.04853812	0.032137323	-0.08428831
ENSMUSG00000003810	0.03268859	0.29454967	0.01496585	0.20647036	0.008877124	0.15971763
ENSMUSG00000040969	0.019653678	-0.10853596	-0.08383737	-0.046858747	-0.03428211	-0.030189611
ENSMUSG00000035694	0.021439891	-0.047486305	-0.13202642	0.0077039185	0.08406807	-0.08844005
ENSMUSG00000022415	0.085333735	-0.44496533	0.37235466	-0.43118635	0.114965595	-0.1912301
ENSMUSG00000020523	0.027671877	0.40687808	-0.06973035	0.15564653	-0.0030402578	0.25619468
ENSMUSG00000003038	0.2796697	0.24343003	0.82255197	0.29161558	0.08697061	0.11740321
ENSMUSG00000031483	0.030188102	0.37608597	0.15902726	0.18324809	-0.008369549	0.17280506
ENSMUSG00000025911	0.028549597	0.07400563	0.026735164	0.23541191	0.0033413514	0.03188396
ENSMUSG00000060427	0.03799685	0.3433969	0.23841013	0.22546957	0.008900355	0.11819196
ENSMUSG00000028999	0.029114356	0.28075475	0.011359348	0.14493579	-0.0069704717	0.15372711
ENSMUSG00000004668	0.020043314	-0.0874049	-0.172538	-0.19243905	-0.028207537	-0.11984858
ENSMUSG00000087614	0.044766486	-0.06600486	-0.017476035	-0.094404444	0.023324149	-0.05550247
ENSMUSG00000021546	0.21790767	0.3844997	0.65900344	0.3281694	0.1252425	0.18059342
ENSMUSG00000002846	0.044907108	0.33637983	0.12386658	0.27397794	0.051089372	0.19046064
ENSMUSG00000086942	0.04008635	0.26623335	0.10700446	0.10810185	0.03241287	0.25989276
ENSMUSG00000018581	0.014844761	-0.04580452	-0.14660189	-0.0209287	-0.029614417	0.042299725
ENSMUSG00000063802	0.04908103	0.32114497	0.3265236	0.19708292	0.05224384	0.15884615
ENSMUSG00000097870	0.016437666	-0.07755352	-0.12043849	0.07552851	0.057172313	-0.023727225
ENSMUSG00000097624	0.07849003	0.16319102	0.42346087	0.26320574	0.08075339	0.046910092
ENSMUSG00000031605	0.040021863	0.12778236	0.06502402	0.1274521	0.0499983	0.14889029
ENSMUSG00000041670	0.019479444	-0.13271569	-0.15638164	-0.114279225	-0.007823923	0.04671993
ENSMUSG00000020069	0.081636645	0.40618062	0.37143412	0.30171254	0.11489093	0.22981189
ENSMUSG00000107341	0.038011152	-0.057557445	0.16951847	0.038924363	0.014533414	-0.03596272
ENSMUSG00000031996	0.04171156	0.32201737	0.035324354	0.21051438	0.06381962	0.2306621
ENSMUSG00000023170	0.23801425	0.3582747	0.88752025	0.2870968	0.04481534	0.11340656
ENSMUSG00000034610	0.038965806	0.33248013	0.031228894	0.20308523	0.055993807	0.2249806
ENSMUSG00000021815	0.055755947	-0.11085619	0.17348152	-0.058469217	-0.017649427	-0.026869174
ENSMUSG00000027236	0.046795715	0.40298435	0.23234321	0.1849735	0.057693265	0.23489387
ENSMUSG00000111771	0.093532726	-0.103852525	0.15168768	0.006827131	0.03957566	-0.020121312
ENSMUSG00000029477	0.17856205	-0.07591027	0.5940131	-0.034459464	0.026027657	-0.06432729
ENSMUSG00000011179	0.1650308	0.376389	0.6044862	0.29213467	0.11180987	0.19466348
ENSMUSG00000033364	0.10422204	-0.116978124	0.3294769	-0.12082914	0.028081646	-0.056977287
ENSMUSG00000040013	0.03660972	-0.03325766	0.0022818348	0.07512215	-0.023251092	-0.08078797
ENSMUSG00000039728	0.015806649	-0.092520826	-0.028734593	-0.059947725	0.058854435	-0.037924685
ENSMUSG00000092212	0.06394686	-0.11739226	-0.0039272476	-0.03060928	0.0149703855	-0.010105259
ENSMUSG00000101517	0.03399279	-0.108559124	-0.00805038	-0.09552762	0.04811623	-0.06960503
ENSMUSG00000059900	0.096339725	0.049032535	0.5892996	0.25966808	0.030273665	-0.072722
ENSMUSG00000035506	0.036807366	0.14142011	0.04427471	0.32649013	0.05761718	0.04891814
ENSMUSG00000002372	0.049717497	0.37607512	0.36704177	0.1867738	0.05770245	0.21104148
ENSMUSG00000097766	0.039445776	0.36062694	0.08460189	0.27554533	0.01217544	0.16522636
ENSMUSG00000098678	0.10596332	0.07646759	0.34387586	0.21397364	0.061128043	0.045900077
ENSMUSG00000052387	0.006845348	-0.020179406	-0.18694127	0.016390545	0.0030746611	0.05734042
ENSMUSG00000106968	0.17444386	0.18487507	0.77738357	0.2947025	0.037810475	0.04297977
ENSMUSG00000020111	0.035597764	0.21857405	0.06822257	0.12016207	0.040811557	0.15978628
ENSMUSG00000050890	0.054255214	0.47168547	0.14924552	0.32022265	0.1176107	0.2348213
ENSMUSG00000024817	0.0387155	0.40927574	0.14353555	0.28394574	0.07505579	0.21986236
ENSMUSG00000015749	0.07483981	0.3426888	0.20659408	0.3088371	0.1153116	0.20825718
ENSMUSG00000093598	0.00040680423	-0.123503946	-0.16253404	-0.17133468	-0.05696941	-0.113239855
ENSMUSG00000049411	0.018808745	0.0141394995	-0.19692166	0.014299356	0.0083502205	0.0690392
ENSMUSG00000020962	0.08917562	0.49387044	0.36969757	0.30766833	0.11248346	0.18009807
