gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000019893	0.01553173	-0.12149624	-0.1376039	-0.20298119	0.01689384	-0.11083429
ENSMUSG00000080857	0.014450484	-0.1556352	-0.14446996	-0.14481401	-0.01789826	-0.036880977
ENSMUSG00000010609	0.030455727	0.2071349	0.016757503	0.22351688	0.06165832	0.111012615
ENSMUSG00000085199	0.012103517	-0.10746655	0.08745874	-0.09912111	0.06710495	-0.13044964
ENSMUSG00000039801	0.03489249	0.22596729	0.06642942	0.22950426	-0.009614306	0.11357302
ENSMUSG00000026956	0.05049692	0.1331207	0.49857444	0.2285277	0.042419072	0.062341034
ENSMUSG00000037217	0.020743985	0.1849869	0.35631558	0.18027338	0.05127587	0.08202593
ENSMUSG00000003360	0.057517104	0.30595532	0.37743142	0.18989205	0.03469752	0.13808
ENSMUSG00000028294	0.032566443	-0.032084424	-0.07230698	0.056593448	0.0015428769	-0.0045031607
ENSMUSG00000006362	0.03133186	-0.13151269	-0.011591778	-0.11060034	0.0646166	-0.016304709
ENSMUSG00000037477	0.014088698	-0.16773666	0.05267841	-0.14604121	0.022632562	-0.016401403
ENSMUSG00000067522	-0.044794016	-0.15435438	-0.1888096	-0.20472859	-0.0904046	-0.16029677
ENSMUSG00000009075	0.04557018	0.09949443	0.08466073	-0.045215383	0.046946637	0.16934118
ENSMUSG00000083527	-0.023862297	-0.07294571	-0.14089169	-0.15676375	-0.1140164	-0.18360011
ENSMUSG00000099032	0.02936797	0.08281927	-0.06044341	0.055065963	-0.0070970347	0.13451792
ENSMUSG00000002102	0.059095282	0.35085553	0.34249958	0.19512199	0.05171598	0.17737274
ENSMUSG00000001865	8.897939e-06	-0.14938623	-0.14868209	-0.21848445	-0.047739334	-0.124464735
ENSMUSG00000097850	0.10736085	0.02823956	0.44155172	0.20112899	0.04134655	-0.07803994
ENSMUSG00000028700	0.10051677	-0.044922836	0.24542587	-0.00624236	0.08745154	-0.048478674
ENSMUSG00000006906	0.0153912725	0.041349895	0.022874646	0.007389609	0.01721222	0.067984365
ENSMUSG00000097686	0.016627518	-0.058701787	0.10253641	-0.021223765	0.008445881	0.006886476
ENSMUSG00000040891	0.048027962	0.251138	-5.0442937e-05	0.15046127	0.062396158	0.16665915
ENSMUSG00000030363	0.037651803	-0.069371596	-0.010727324	-0.07222244	0.0010005224	-0.07811636
ENSMUSG00000031891	0.054259356	0.18247844	0.23447877	0.09884794	0.040561162	0.109392524
ENSMUSG00000046807	0.05045796	-0.071519524	0.25168183	0.058081955	0.041418917	0.026303504
ENSMUSG00000114360	0.041235704	-0.0868564	0.005636238	-0.036636814	0.08810349	-0.066185966
ENSMUSG00000074766	0.020884586	0.15981019	-0.124955304	0.07572796	-0.047137808	0.17104664
ENSMUSG00000002486	0.029895853	0.26393074	0.0025992617	0.08877873	0.067033835	0.16393784
ENSMUSG00000010154	0.0643905	0.07236072	0.16470733	0.03823138	0.056778006	0.08959998
ENSMUSG00000084350	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000070564	0.06471562	-0.023282574	0.18001544	-0.014204376	0.05691642	-0.032555994
ENSMUSG00000026285	-0.011574076	-0.15158129	-0.17150594	-0.105075076	-0.06668608	-0.067294024
ENSMUSG00000028064	0.05698588	-0.10970985	0.16231151	-0.11083365	0.08681956	-0.024794817
ENSMUSG00000047242	0.040535904	-0.14236918	0.31620336	0.05911965	0.041407105	-0.026981069
ENSMUSG00000099519	0.08410038	-0.0966977	0.20448685	-0.08817803	0.09248816	-0.008771959
ENSMUSG00000028451	0.028269554	-0.10746108	-0.04062699	-0.20472425	-0.029933404	-0.09363949
ENSMUSG00000029708	0.14211397	-0.079767644	0.26094532	-0.03899289	0.10376695	-0.042291507
ENSMUSG00000086221	0.0005464348	-0.15627533	-0.14786224	-0.1797343	-0.065124795	-0.09947469
ENSMUSG00000019823	0.057263777	0.07331847	0.20974939	0.26131862	0.079865016	0.08476869
ENSMUSG00000020723	0.021647824	0.13388759	-0.13273345	0.07979759	0.028593492	0.1397552
ENSMUSG00000005320	0.06574694	0.109483674	0.22786382	0.12890817	0.059490472	0.076385856
ENSMUSG00000115693	-0.00012779729	-0.070377916	-0.11942677	-0.13024306	-0.0514926	-0.11729381
ENSMUSG00000037280	-0.091704614	-0.01571543	-0.22520068	0.04404862	0.048641127	0.07250317
ENSMUSG00000057179	0.006634775	-0.1369048	-0.1381582	-0.19147687	-0.060404833	-0.1275297
ENSMUSG00000053714	0.054017965	0.03900291	0.2099191	0.0893146	0.04177894	-0.010684462
ENSMUSG00000085223	0.032212086	-0.12800112	-0.02538793	-0.16681154	0.09102912	-0.07931586
ENSMUSG00000090346	-0.016965855	-0.13134572	-0.07113359	-0.02371359	-0.06446345	-0.04305554
ENSMUSG00000030551	0.06859841	-0.08839332	0.081582434	-0.11830687	0.1049077	-0.038238924
ENSMUSG00000070323	-0.009026446	-0.15356244	-0.16394642	-0.20430778	-0.044727817	-0.12554882
ENSMUSG00000079222	0.0028048928	-0.11697811	-0.09382045	-0.13942309	-0.06739243	-0.109971896
ENSMUSG00000042682	0.02981618	0.36312637	0.13232979	0.24246928	0.07036441	0.22851777
ENSMUSG00000045665	0.13597587	0.4052163	0.4784205	0.29927826	0.11828756	0.22062898
ENSMUSG00000022783	0.025180578	0.0009315396	-0.09462655	0.035859447	-0.020842813	0.030417996
ENSMUSG00000024186	0.052764323	0.030165937	0.24003616	0.082592234	0.050702125	0.05200459
ENSMUSG00000100969	-0.43925467	-0.40322658	-0.45082211	-0.25592506	-0.19027524	-0.22298834
ENSMUSG00000097745	0.010876932	-0.10086732	-0.12265625	-0.0105228	0.052105073	-0.038035225
ENSMUSG00000051048	0.02218421	-0.14841817	-0.08173387	-0.009884147	-0.0029984263	-0.016696207
ENSMUSG00000086585	0.07473117	-0.08046711	0.2739169	0.023256252	0.00035316008	-0.13284414
ENSMUSG00000074196	0.016539685	-0.099973544	-0.14425679	-0.1691967	-0.06755605	-0.16897486
ENSMUSG00000026577	0.030829726	0.31404394	-0.01860926	0.15208185	0.010322379	0.23172526
ENSMUSG00000117098	0.10489637	0.40208936	0.38469735	0.2564443	0.1049273	0.22592759
ENSMUSG00000026547	0.15674265	0.16837037	0.43402034	0.26336423	0.103326626	0.11254156
ENSMUSG00000087678	-0.004565521	-0.17159064	-0.14272432	-0.14256586	-0.07139521	-0.096996754
ENSMUSG00000059406	0.08905686	-0.10738428	0.23669788	-0.074109524	0.059814792	-0.02283881
ENSMUSG00000067352	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000109177	0.0832289	-0.08217832	0.3874565	-0.1746036	0.020238558	-0.10031075
ENSMUSG00000064158	0.04874308	-0.03929113	0.19642618	0.048638485	0.03320096	-0.055176
ENSMUSG00000070003	0.16805586	0.38100773	0.51601285	0.3531545	0.13785298	0.1331596
ENSMUSG00000024537	0.054474633	0.4556896	0.3216319	0.23427112	-0.008016032	0.21433862
ENSMUSG00000039043	0.030847639	-0.074302875	-0.023801744	0.004951438	-0.00085553486	0.024674239
ENSMUSG00000040363	0.031974535	0.009591863	0.33953595	0.2062785	0.047337234	-0.023663757
ENSMUSG00000101448	0.008929091	-0.13751693	-0.13389325	-0.21577722	-0.010698643	-0.13076063
ENSMUSG00000069855	0.039079376	-0.10573365	-0.039366335	0.10284552	0.012947128	-0.05574281
ENSMUSG00000093898	0.04675651	-0.056638904	0.055283505	-0.020742495	-0.0010406439	-0.06838959
ENSMUSG00000024516	0.039515607	0.238646	0.117822744	0.16407399	0.05122246	0.13653426
ENSMUSG00000118362	0.0028654514	-0.120782904	-0.09288115	-0.17168954	0.047300126	-0.094178975
ENSMUSG00000020564	0.010566286	0.1839813	-0.11777607	0.0788128	0.05747943	0.2194385
ENSMUSG00000000346	0.10229436	0.4474394	0.45671654	0.25366735	0.09495941	0.19492732
ENSMUSG00000029072	0.10496142	-0.13503274	0.20812592	0.051131662	0.03195636	0.015901728
ENSMUSG00000085039	0.07087463	0.39132395	0.4624432	0.2166933	-0.020457022	0.13783377
ENSMUSG00000048982	0.0145280855	-0.103521556	-0.17438376	-0.110034555	0.030862998	-0.12548964
ENSMUSG00000044707	0.026995819	0.16714105	-0.03271669	0.15112908	0.058174267	0.17099597
ENSMUSG00000020388	0.030049467	-0.049187243	-0.08097112	-0.087703645	0.012463546	0.050371405
ENSMUSG00000108293	-0.06746775	-0.12431186	-0.22081971	-0.09638711	-0.09476592	-0.16750138
ENSMUSG00000089678	0.009050509	-0.1571341	-0.16694754	-0.2134059	-0.05780508	-0.10310904
ENSMUSG00000050199	0.05709834	0.26987323	0.20262621	0.2836796	0.08820109	0.13247302
ENSMUSG00000020826	0.03447871	-0.115237445	-0.07548496	-0.1810427	0.0630117	-0.07500003
ENSMUSG00000000976	0.03919764	0.3679229	0.14886883	0.13055782	0.02419246	0.21140799
ENSMUSG00000078810	0.0022939434	-0.13016786	-0.14045551	-0.20422207	-0.048855204	-0.1391354
ENSMUSG00000055494	-0.02003574	-0.11747284	-0.015621867	-0.12876351	0.042120848	-0.07067796
ENSMUSG00000074782	0.026867831	-0.119898066	-0.04898523	-0.026446257	0.05277256	-0.007947513
ENSMUSG00000021550	0.045054946	0.2129009	0.2509421	0.22341602	-0.0101050455	0.06134252
ENSMUSG00000046589	0.02249141	-0.0014368052	0.06757536	0.061134152	0.0084994985	-0.018340066
ENSMUSG00000114616	0.068672046	0.017901612	0.27333903	0.12697096	0.049618013	0.027928894
ENSMUSG00000028466	0.057326093	0.34779727	0.19111316	0.15124273	0.04691738	0.21208782
ENSMUSG00000115735	-0.011989163	-0.15630431	-0.1697345	-0.18973577	-0.069270276	-0.12204268
ENSMUSG00000047230	-0.03153063	-0.21304046	0.015414826	-0.06634993	0.00825417	-0.011598837
ENSMUSG00000043789	0.023066204	0.014710279	-0.09550217	0.095221244	0.016363744	0.0004929216
ENSMUSG00000015092	0.034533285	0.29120946	0.0015207246	0.16261354	0.051830597	0.204019
ENSMUSG00000108274	-0.013799238	-0.14868394	-0.08165397	-0.1775405	-0.042785887	-0.10550847
ENSMUSG00000103409	0.12897794	-0.07764469	0.48171744	0.18644302	0.011859556	-0.0070189573
ENSMUSG00000100265	0.03546614	-0.11021935	-0.14659294	-0.14667977	-0.06669483	-0.11956551
ENSMUSG00000110537	0.030083546	-0.19446422	0.14189446	-0.074263774	0.032674167	-0.0035217472
ENSMUSG00000021838	0.019392917	0.1156407	-0.14963658	0.09951224	0.04931377	0.17620027
ENSMUSG00000068874	0.01751393	-0.15337954	-0.037977956	-0.021761745	-0.039574295	-0.019531284
ENSMUSG00000092518	0.025973879	-0.12671538	-0.05297343	-0.10967026	0.043341804	-0.00831936
ENSMUSG00000038552	0.031056536	0.101758026	-0.009411679	0.06717593	0.021101499	0.10400472
ENSMUSG00000097009	-0.013559886	-0.14767937	-0.17981394	-0.20613174	-0.024939502	-0.14769565
ENSMUSG00000031073	0.08503882	0.106447764	0.247633	0.12986742	0.057601962	0.13406448
ENSMUSG00000111894	-0.0049456516	-0.12624617	-0.17666422	-0.1673807	-0.054073382	-0.12135617
ENSMUSG00000022329	0.023283942	-0.12781893	-0.04569511	-0.23713347	0.065491445	-0.15119794
ENSMUSG00000053101	0.0040533734	-0.12790455	-0.16878736	-0.18758532	-0.039750118	-0.115689754
ENSMUSG00000114121	0.029932644	-0.093289256	-0.13322797	-0.14933644	0.04425961	-0.1025435
ENSMUSG00000030811	0.1262543	0.27147323	0.36965418	0.2604798	0.10731788	0.19169144
ENSMUSG00000045411	0.12591588	0.44065875	0.56036615	0.28678527	0.09515146	0.1980923
ENSMUSG00000050973	0.055328187	0.31247205	0.1009236	0.25622556	0.09473516	0.20351104
ENSMUSG00000059975	0.08742195	0.2494565	0.37222406	0.110138685	0.06398583	0.1692573
ENSMUSG00000059474	0.050040737	0.6201851	0.19277148	0.29200748	0.07244454	0.2624089
ENSMUSG00000060429	0.026416093	0.013611564	0.07916689	0.062342986	0.04819556	0.09758674
ENSMUSG00000060550	0.045653075	-0.011241257	0.19252998	0.039969806	0.039222397	0.062473446
ENSMUSG00000028838	0.059587017	0.03421022	0.080234796	0.040657476	0.06789503	0.0830074
ENSMUSG00000003346	0.08675284	0.2307002	0.17090556	0.12115757	0.07820637	0.16742976
ENSMUSG00000021078	0.041319422	-0.072577745	0.110895336	0.057512503	0.01832114	-0.019267134
ENSMUSG00000112151	0.046524405	-0.10757421	-0.058918748	-0.10535798	-0.045015644	-0.022150705
ENSMUSG00000040660	-0.15047656	-0.6285362	-0.26589537	-0.26979834	-0.14213865	-0.24699347
ENSMUSG00000117870	-0.036288615	-0.16015312	-0.15355577	-0.16275144	-0.059466597	-0.10580819
ENSMUSG00000060878	-0.005063473	-0.16239768	-0.16450304	-0.15861057	-0.06752689	-0.11409599
ENSMUSG00000033182	0.041816458	0.13331033	0.27071673	0.20273453	0.06005921	-0.0039374824
ENSMUSG00000044701	0.0018728304	-0.13515095	-0.028561953	-0.22400708	0.04091308	-0.084186316
ENSMUSG00000091002	0.0117095215	0.09209589	-0.14933874	0.14502133	-0.03881294	0.16262001
ENSMUSG00000039523	0.027764594	0.35877568	0.022055304	0.110896334	0.024841262	0.23372981
ENSMUSG00000007030	0.08449307	-0.07128509	0.15526423	0.15845926	0.05001584	-0.06629442
ENSMUSG00000107429	0.104759626	0.12593158	0.4196648	0.24944551	0.07883666	0.06076054
ENSMUSG00000108981	-0.059874818	-0.11985687	-0.22630975	-0.16838427	-0.09287638	-0.112388425
ENSMUSG00000049928	0.0049220496	-0.15581603	-0.19991568	-0.053617787	-0.041582484	-0.03151061
ENSMUSG00000112813	0.06836636	-0.10668966	0.0063026706	-0.14391828	0.064819425	-0.068832785
ENSMUSG00000034656	0.065063976	-0.095210485	0.22933409	0.02485652	0.05475944	-0.018319095
ENSMUSG00000093378	-0.058762893	-0.19228673	-0.18075076	-0.24254668	0.025946835	-0.16094954
ENSMUSG00000071019	0.0152763575	-0.13014956	-0.17949007	-0.1841019	-0.048249897	-0.16279961
ENSMUSG00000062369	-0.021256384	-0.14389011	-0.14842989	-0.16772701	-0.014502457	-0.103282824
ENSMUSG00000034883	0.046674393	0.3246201	0.02317605	0.10262377	0.0489654	0.2302805
ENSMUSG00000031577	0.08300841	0.4464148	0.53326994	0.2635102	0.058814842	0.13989319
ENSMUSG00000029592	0.031354733	0.2692339	0.13175589	0.08074183	0.039630033	0.15970072
ENSMUSG00000032353	0.020189526	0.2025243	-0.14238107	0.09712665	0.00010143844	0.13140866
ENSMUSG00000064293	0.009520107	-0.08722142	-0.11501036	-0.057579994	-0.032866392	0.06987686
ENSMUSG00000104861	0.013900534	-0.118925154	-0.05606285	-0.17233406	0.11808909	-0.06715468
ENSMUSG00000020051	-0.009144781	-0.161241	-0.14557424	-0.23387197	-0.0524126	-0.14623925
ENSMUSG00000030669	0.017015597	0.010249322	0.14568251	0.12404839	0.037644833	0.019423457
ENSMUSG00000015342	-0.04016536	0.060439367	-0.15430011	0.101271525	-0.050082877	0.14221708
ENSMUSG00000084929	-0.00030874752	-0.16315465	-0.052709498	-0.1299804	-0.060291745	-0.06334765
ENSMUSG00000084913	0.0625869	-0.11185224	0.15933228	-0.19542019	0.057007127	-0.11836242
ENSMUSG00000028998	0.09572901	0.3671972	0.41937065	0.28251293	0.08755212	0.17392687
ENSMUSG00000038214	0.0819853	0.39820522	0.2715026	0.33163682	0.1294667	0.19557753
ENSMUSG00000101505	0.040527597	-0.057854317	0.11357962	0.089219354	0.03072499	-0.064319946
ENSMUSG00000098024	0.09168447	0.5075455	0.4128392	0.2816209	0.06595638	0.22484316
ENSMUSG00000006641	0.029870132	0.3817141	0.033100378	0.33208317	0.11820092	0.20649953
ENSMUSG00000083027	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000005378	0.05651038	0.33412835	0.13811594	0.1458508	0.0791497	0.1620272
ENSMUSG00000022431	0.02672482	0.12594506	-0.105473295	0.23416288	-0.04283843	0.05765244
ENSMUSG00000032718	0.03220561	0.054529693	0.088270776	0.044456717	0.05054555	0.10470607
ENSMUSG00000072188	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000052783	0.027084017	0.3739101	-0.08810755	0.22482094	-0.04755873	0.24299386
ENSMUSG00000063681	0.026790539	-0.05943016	-0.12596034	-0.1280237	-0.058573075	-0.083002314
ENSMUSG00000086175	0.007932339	-0.10667666	-0.07060256	-0.15532626	0.06205248	-0.1152038
ENSMUSG00000025592	-0.02204221	-0.11230791	-0.2045274	-0.012281527	-0.041668322	0.075501524
ENSMUSG00000034652	0.019715736	-0.08596517	-0.13360253	-0.08667784	0.00743869	-0.064051084
ENSMUSG00000021040	0.07222989	0.5061624	0.45386726	0.25815737	0.057841208	0.24595024
ENSMUSG00000028862	0.07803968	0.22266936	0.1127587	0.16400322	0.08595608	0.15859886
ENSMUSG00000034522	0.047615364	0.16411209	0.0691469	0.11101303	0.062389236	0.14699431
ENSMUSG00000111236	-0.009311516	-0.19735953	-0.15630524	-0.16150151	-0.054254472	-0.07339264
ENSMUSG00000105835	0.047582917	0.3259159	0.15213762	0.2520456	0.08007986	0.20594296
ENSMUSG00000067594	0.016220257	-0.14189117	-0.09672642	-0.15517741	0.11308131	-0.05816634
ENSMUSG00000101298	0.065517835	-0.09338511	0.1392235	-0.00232083	0.09178744	-0.023902584
ENSMUSG00000091034	0.0830243	-0.09538306	0.1375298	-0.027547205	0.024886433	-0.025216805
ENSMUSG00000074366	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000101155	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000070533	0.018790202	-0.11852491	-0.11789641	-0.2266296	0.014925382	-0.103311986
ENSMUSG00000097832	0.13852194	0.14811362	0.4088114	0.16383009	0.0734551	0.14833534
ENSMUSG00000031389	-0.00354857	-0.010625636	0.03575015	0.2115202	0.03863765	-0.05138894
ENSMUSG00000074063	0.06558743	-0.10153702	0.10160561	-0.016686434	0.04591864	-0.03450337
ENSMUSG00000045087	0.11086473	-0.064367	0.16231152	-0.04508732	0.11271122	-0.0026180686
ENSMUSG00000021913	0.025126077	0.21348904	0.11719123	0.25435543	0.010097123	0.080532484
ENSMUSG00000035954	0.026520804	0.34825227	-0.08891459	0.20305239	0.007670237	0.25594434
ENSMUSG00000042284	0.02367513	-0.05766979	-0.08538794	0.09987886	0.042556882	0.01553691
ENSMUSG00000004098	0.023082543	-0.03330821	-0.15035142	0.012682941	0.017753895	-0.05436102
