gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000024817	0.0394626	0.19953547	0.07528542	0.18275398	0.019792536	0.06264201	0.052750688	0.12647921	0.0131891	0.004408568	0.005388582	0.09824074
ENSMUSG00000032802	0.06177745	0.12771821	0.18189034	0.112095006	0.017156031	0.0086244065	-0.009011083	0.12515196	0.001163915	0.0041542673	-0.018390805	0.08663468
ENSMUSG00000020271	0.050006494	0.1837139	0.032768954	0.1388936	0.01253382	0.08633541	0.060303476	0.11636617	0.022122396	0.004191774	0.014193254	0.09914074
ENSMUSG00000018433	0.04256389	0.18479815	0.13070162	0.12254431	0.0075209173	0.05313108	0.051140476	0.10511015	0.024872744	0.006848136	0.013425775	0.06879096
ENSMUSG00000020121	0.024167938	0.11897224	-0.055133704	0.06597717	0.0026824046	0.036621343	0.041711308	0.10148952	0.01764018	0.0040066717	0.014987947	0.079657584
ENSMUSG00000089704	0.03518642	0.1412396	0.029432867	0.11757957	0.010317819	0.049740378	0.050990235	0.09113333	0.02315799	0.003100682	0.022481212	0.052135736
ENSMUSG00000000171	0.047869697	0.184782	0.1499394	0.12873656	0.015531122	0.06931645	0.026687438	0.094928965	0.01852904	0.0056503024	0.014310315	0.07969633
ENSMUSG00000024331	0.011949874	-0.016397672	-0.08522697	-0.030790929	-0.026305333	0.039575834	0.035292998	0.08846334	0.01716889	-0.0024930805	-0.018327411	0.09095591
ENSMUSG00000036009	0.036179252	-0.123550065	-0.0039458596	-0.07703184	-0.0053030313	0.02207358	0.057759292	-0.07099584	0.00904367	-0.040704112	0.015074674	-0.06875429
ENSMUSG00000026288	0.047594633	-0.016984837	0.115075864	-0.03284155	0.015025388	-0.06510148	0.050363056	0.050997686	0.018383207	0.010599987	0.02721876	-0.0029256127
