gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000112398	0.01588874	-0.048422433	-0.0676504	-0.07281613	-0.019469893	-0.036121767	0.011049957	0.011189266	0.01824417	0.005875096	0.014297243	-0.048407536
ENSMUSG00000015776	0.050870333	0.25732553	0.068722926	0.15419358	0.037541773	0.03207441	-0.05217985	0.12214418	-0.0040518637	-0.00095910317	-0.026552342	0.083202586
ENSMUSG00000068479	0.05383531	0.124241784	0.080928974	0.12832418	0.014487425	0.060511753	0.06011651	0.094313696	0.019559398	0.010310218	0.014102683	0.05488279
ENSMUSG00000024944	0.035239656	0.1924564	0.14691356	0.14212237	0.015856175	0.036672514	0.011666273	0.11271044	0.005850661	0.00063549227	-0.0054952847	0.08552649
ENSMUSG00000043051	0.02323093	0.03603119	-0.021871654	0.0007030902	0.0028087755	0.033770945	0.035685293	0.08590409	0.025571853	8.085723e-05	0.034541264	0.048471987
ENSMUSG00000084772	0.021869436	0.10714128	-0.032508582	0.05100394	-0.028925654	0.027956827	0.029897949	0.094561905	0.019211916	0.005769199	0.0016305202	0.044685863
ENSMUSG00000114370	-0.004096145	-0.04294051	-0.077228844	-0.07595217	-0.01856176	-0.058301624	0.06377897	0.02180072	0.024060043	0.0012342741	0.003163887	-0.025348432
ENSMUSG00000097050	0.06527568	0.040236354	0.09839906	0.026150448	0.024019867	0.0088068135	0.06751021	0.06037781	0.037336785	0.005917565	0.040595025	0.02656621
ENSMUSG00000002885	0.058849726	0.08535401	0.18297203	0.1439737	0.021862857	0.03309642	0.072645515	0.06874527	0.029081438	0.0048263744	0.022368066	0.039109442
ENSMUSG00000046876	0.01053072	0.08011361	-0.09016083	0.0643275	-0.009878807	0.050485827	0.026223132	0.082173586	0.015412229	0.0052177226	0.012251526	0.028473629
ENSMUSG00000020903	0.031012602	0.15487053	-0.035556585	0.060721617	-0.0024553502	0.081057996	0.04126244	0.0984459	0.021692745	0.008582906	0.015234436	0.085917
ENSMUSG00000045374	0.05147626	0.105226584	0.032893736	0.14444146	0.014820873	0.01651745	0.062437855	0.079389006	0.0267021	0.007504928	0.019576265	0.05670646
ENSMUSG00000109714	0.015598592	-0.02851988	-0.027137792	0.037571378	-0.022338038	-0.059638817	0.023715215	0.030844737	0.020003552	0.007829361	0.025315119	0.011897862
ENSMUSG00000112414	-0.002035659	-0.103711	-0.0904881	-0.058797985	-0.026207732	-0.035347432	-0.0067095584	-0.012885274	-0.0037626214	-0.013429331	-0.024392847	-0.08537185
ENSMUSG00000026547	0.07654074	0.10485772	0.17296149	0.15146452	0.047766883	0.03221199	0.06970104	0.062192477	0.020120254	0.0066737384	0.011743875	0.05973311
ENSMUSG00000039396	0.024141787	0.014451863	0.0025875077	0.103681386	-0.032975346	-0.008949612	-0.003884382	0.101156406	0.017165342	0.005916882	-0.0059675253	0.09196154
ENSMUSG00000031740	0.020309053	0.03363679	-0.025439896	0.007744079	0.0046389922	0.022121327	0.018045047	0.0925087	0.024253905	0.0020956635	0.025532622	0.058395628
ENSMUSG00000024233	-0.0839326	-0.1631325	-0.11734475	-0.06406108	0.0021889128	-0.027180763	-0.009276299	-0.0686595	-0.0026527555	0.0062887925	-0.021193057	-0.06184391
ENSMUSG00000121131	0.026951587	-0.07314045	-0.029521031	-0.09802938	0.01572959	-0.04252034	0.023302512	-0.0039990684	0.012137262	-0.015586284	0.0009958271	-0.05185549
ENSMUSG00000025903	0.04802119	0.14897186	0.05580598	0.18223506	0.022099325	0.06425292	0.06395585	0.11580613	0.023091586	0.0048630415	0.016131638	0.07935817
ENSMUSG00000019809	0.023659585	0.16927147	-0.033206973	0.11283515	-0.019979354	0.0664273	0.019420663	0.09802508	0.014772695	0.011155704	-0.0036007916	0.093176566
ENSMUSG00000056423	-0.025450932	-0.10313644	-0.10213436	-0.0743535	-0.013946486	-0.03663051	0.0028704973	-0.04859111	-0.012638049	-0.00038244805	-0.016679049	-0.053014845
ENSMUSG00000024030	0.044748433	0.105708204	0.09355644	0.12133074	0.015560433	0.028063921	0.06543211	0.08312391	0.02037209	0.007848701	0.020465648	0.054734442
ENSMUSG00000046822	0.030440036	0.14798279	0.01870334	0.046171464	0.03599736	-0.0076908655	0.048766278	0.07336654	0.029500082	0.007826657	0.019252086	0.052213196
ENSMUSG00000036822	0.06384078	0.17201574	0.17838429	0.20166571	0.059703145	0.055550747	0.06795565	0.082404934	0.018563263	-0.0007216838	0.010043126	0.09816143
ENSMUSG00000031245	0.015018104	0.053429283	-0.052891023	0.12799676	0.033016127	-0.010093059	-0.06982389	0.12756266	-0.03859385	0.0110745905	-0.027723014	0.0942488
ENSMUSG00000050029	-0.013390184	0.12091769	0.046048805	0.13353822	-0.00752435	-0.019474551	-0.0316996	0.16109863	-0.006568143	0.00818064	-0.069240406	0.06999893
