gene_id	PolII mean promoter	PolII mean gb	Pol2 mean promoter	Pol2 mean gb	Pol2ser5 mean promoter	Pol2ser5 mean gb
ENSMUSG00000000001	9.310506666666669	1.1476	1.68537	0.942231	3.09857	0.936439
ENSMUSG00000000003	0.167577	0.142878	0.157477	0.420711	0.318208	0.313389
ENSMUSG00000000028	10.183393333333331	1.6416666666666666	2.45976	0.932053	2.44167	0.934963
ENSMUSG00000000031	0.2329036666666667	0.368874	0.606083	0.484254	0.549754	0.0984555
ENSMUSG00000000037	0.1547965999999999	0.2570969999999999	0.57742	0.401167	0.331985	0.267028
ENSMUSG00000000049	0.1917113	0.3622063333333333	0.353289	0.835066	0.318208	0.571242
ENSMUSG00000000056	11.3197	0.8878793333333334	2.20093	0.888348	3.14665	0.822894
ENSMUSG00000000058	0.633223	0.2544346666666666	0.97146	0.296168	1.27594	0.343434
ENSMUSG00000000078	21.317633333333333	4.0818666666666665	2.49943	0.854072	3.05143	0.894815
ENSMUSG00000000085	4.041266666666667	0.6162966666666666	1.73226	0.741279	1.22439	0.646518
ENSMUSG00000000088	0.01	0.8583333333333333	0.01	0.59681	0.01	0.63002
ENSMUSG00000000093	1.7834733333333337	0.6003283333333332	1.4306	0.8316	1.45242	0.994273
ENSMUSG00000000094	0.4240186666666667	0.3118036666666666	1.32643	0.83089	0.982233	0.665835
ENSMUSG00000000103	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000000120	2.617266666666666	0.9831286666666668	1.24669	1.0679	2.29378	1.06749
ENSMUSG00000000125	0.5296093333333333	0.3876276666666666	1.08991	0.793333	2.36393	0.709479
ENSMUSG00000000126	4.813066666666667	0.4599233333333333	2.08571	0.831758	3.05457	0.704736
ENSMUSG00000000127	6.5548166666666665	0.6076183333333334	2.00552	0.687796	3.32796	0.727107
ENSMUSG00000000131	17.1196	2.12231	1.956	0.967123	3.06214	0.974564
ENSMUSG00000000134	2.857466666666667	4.789916666666667	0.892868	1.04769	1.38972	0.973015
ENSMUSG00000000142	2.239316666666667	0.7016249999999999	1.99981	0.755429	1.46985	0.756816
ENSMUSG00000000148	11.014053333333337	0.8032876666666667	0.990371	0.856744	1.64208	0.825929
ENSMUSG00000000149	5.992233333333334	1.0186666666666666	2.47614	0.866291	2.85179	0.919781
ENSMUSG00000000154	0.5802286666666666	0.4304703333333333	1.22688	0.867868	1.99087	0.769532
ENSMUSG00000000157	0.259832	0.22228	0.849552	0.543056	0.559531	0.555335
ENSMUSG00000000159	0.4304719999999999	0.248298	0.723156	0.63915	0.511978	0.483729
ENSMUSG00000000167	8.000456666666667	1.145114	1.58611	0.69376	2.48147	0.627963
ENSMUSG00000000168	6.752623333333333	1.2450386666666666	2.16984	0.896913	3.03135	0.896116
ENSMUSG00000000171	12.795033333333334	1.3584433333333334	1.62003	0.856966	1.60662	0.782033
ENSMUSG00000000182	0.4264033333333333	1.6603133333333335	0.709342	0.883223	0.477312	0.79195
ENSMUSG00000000183	0.255316	0.3120206666666666	0.714867	0.868695	0.318208	0.699389
ENSMUSG00000000184	2.057143333333333	0.722089	0.976346	0.774666	1.33965	0.926153
ENSMUSG00000000194	3.855423333333333	1.8852466666666663	1.34124	0.971854	2.12012	0.970447
ENSMUSG00000000197	3.0621	0.320914	2.02408	0.557201	1.38394	0.482978
ENSMUSG00000000202	1.98196	1.6059133333333333	1.16384	0.891527	1.02472	1.33188
ENSMUSG00000000204	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000000214	0.2228346666666666	0.29917	0.708997	0.741529	0.430203	0.409622
ENSMUSG00000000215	0.2034470666666666	0.2374623333333333	0.82676	0.656248	0.599085	0.509088
ENSMUSG00000000216	0.2764049999999999	0.2281083333333333	1.62209	0.64952	0.842185	0.467712
ENSMUSG00000000223	0.2820896666666667	0.195956	0.274896	0.373997	0.477312	0.29993
ENSMUSG00000000244	0.8464596666666666	2.164273333333333	0.614063	1.13586	0.251248	1.16923
ENSMUSG00000000247	0.3109986666666667	0.305294	0.799132	0.817004	1.83357	0.812197
ENSMUSG00000000248	0.2336036666666666	0.4242326666666667	0.634056	0.697988	0.274655	0.55227
ENSMUSG00000000253	2.2258066666666667	0.4666693333333333	0.927946	0.70564	2.17457	0.521914
ENSMUSG00000000263	0.2497413333333333	0.3446666666666667	0.739732	0.641366	0.881295	0.503692
ENSMUSG00000000266	0.243675	0.134015	0.524926	0.308477	0.904849	0.199546
ENSMUSG00000000275	5.466633333333333	3.01109	1.29842	1.10779	1.60347	1.06973
ENSMUSG00000000276	3.232936666666667	4.164106666666666	1.62026	0.997988	1.97686	1.01999
ENSMUSG00000000278	7.651666666666666	3.296836666666666	1.07246	1.00948	1.37078	0.998784
ENSMUSG00000000282	30.2738	7.868216666666666	1.58768	0.952802	1.60317	0.926465
ENSMUSG00000000290	0.3863326666666666	0.2875923333333333	0.737536	0.814066	0.238656	0.558942
ENSMUSG00000000295	12.129166666666668	1.35259	1.65628	0.605393	3.5784	0.724205
ENSMUSG00000000296	5.395666666666667	0.5571926666666667	1.95777	0.698276	2.45086	0.667756
ENSMUSG00000000301	6.39375	0.4424766666666666	3.64692	0.797451	3.38187	0.583355
ENSMUSG00000000303	10.67923	3.19899	1.61914	0.981231	2.12371	0.977991
ENSMUSG00000000305	2.92245	0.390215	2.29652	0.809031	2.16831	0.568807
ENSMUSG00000000308	1.0619356666666666	0.5090396666666667	0.849753	0.864782	1.04188	0.701942
ENSMUSG00000000317	7.397516666666667	1.8371233333333328	1.0695	0.971852	1.83437	0.70874
ENSMUSG00000000318	0.2980456666666666	0.23877	0.682403	0.457594	0.477312	0.54211
ENSMUSG00000000320	0.9421363333333334	0.5405896666666666	1.13377	0.697735	1.09106	0.725063
ENSMUSG00000000326	2.8988600000000004	1.4367433333333333	2.33139	0.872537	1.69172	0.83452
ENSMUSG00000000339	4.59547	1.1397806666666666	1.65675	0.967647	2.18709	0.945236
ENSMUSG00000000340	5.299013333333334	1.1044906666666667	1.71463	0.963052	2.42729	0.912654
ENSMUSG00000000346	13.067433333333334	4.539633333333334	1.70101	0.960754	2.31484	0.935693
ENSMUSG00000000355	2.758786666666667	0.7346326666666666	1.81065	0.575284	3.07517	0.872492
ENSMUSG00000000359	0.6215986666666667	0.470486	1.86192	0.956003	1.03418	0.483199
ENSMUSG00000000365	9.395593333333332	1.778773333333333	0.842991	0.498769	1.43594	0.586887
ENSMUSG00000000374	4.65872	0.8570823333333334	1.50951	0.810852	2.60574	0.810175
ENSMUSG00000000378	19.3561	1.080898666666667	2.27268	0.94933	3.44527	0.95145
ENSMUSG00000000381	0.8329536666666666	0.888114	0.50317	1.22768	0.477312	0.769872
ENSMUSG00000000384	21.9872	14.244566666666666	1.35106	0.927525	1.95115	0.869011
ENSMUSG00000000385	0.5826520000000001	0.2260873333333333	0.992871	0.620962	1.07329	0.426868
ENSMUSG00000000386	0.3565526666666667	0.2364236666666666	0.524926	0.522456	0.914182	0.513584
ENSMUSG00000000392	0.1561714666666666	0.198889	0.625077	0.494984	0.318208	0.411309
ENSMUSG00000000394	0.1721373333333333	0.2070686666666666	0.524927	0.633454	0.318208	0.274284
ENSMUSG00000000399	6.992463333333333	1.1718233333333332	2.99386	0.761493	2.9786	0.936812
ENSMUSG00000000402	0.5083596666666667	0.2417923333333333	0.367448	0.383757	0.534643	0.348042
ENSMUSG00000000409	0.27475	1.3499966666666667	1.07034	0.901655	0.618024	0.98824
