"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000051951"	247.732690804501	0.419315139178937	0.146440480820813	0.00195438794633628	0.00565007895218513
"ENSMUSG00000102343"	25.3217990329826	-0.0986725896810807	0.29376055502994	0.610111100365826	0.768484744300194
"ENSMUSG00000025900"	93.3502530164847	-0.196740759021284	0.206401223831642	0.258571919797275	0.422843804367562
"ENSMUSG00000025902"	3.01924252290647	-0.110366605802072	0.39034083855033	0.283944130752048	NA
"ENSMUSG00000033845"	1131.66695224275	-1.04334424660511	0.0744946881950119	1.5723570524259e-45	7.62368547990499e-44
"ENSMUSG00000025903"	28.4037283256315	-0.149397276046754	0.293815349598808	0.451641000985241	0.634704702656892
"ENSMUSG00000104217"	447.419276171023	-0.187267524425524	0.104065540977439	0.0609558487515798	0.128137705928574
"ENSMUSG00000033813"	1366.14348881106	0.427214938896241	0.0651191427574183	2.69614774440742e-11	1.83883777657483e-10
"ENSMUSG00000002459"	295.317409277552	0.0733669230856182	0.125317934671344	0.539810160279939	0.712633399006055
"ENSMUSG00000033793"	3718.01682520729	0.471518177188881	0.0454556563595663	1.49276397154031e-25	2.77267911012369e-24
"ENSMUSG00000090031"	133.416923932008	-1.59490229463887	0.200219932764651	1.35773356921405e-16	1.40726332795772e-15
"ENSMUSG00000025907"	1673.10394345317	0.457529536590703	0.0599324576413491	1.20693995744561e-14	1.0795375268633e-13
"ENSMUSG00000087247"	42.0872463718286	0.170530231668311	0.267032973210837	0.388702968292119	0.571827433927732
"ENSMUSG00000103845"	13.8842810814878	0.0208441299950606	0.319847100845709	0.907599136451971	0.955544994460067
"ENSMUSG00000033740"	82.3588646778363	-0.0212020860694801	0.207538838013313	0.902115466948853	0.952692318484626
"ENSMUSG00000102135"	15.2000568645466	-0.0839849195819627	0.326952510135341	0.636006257853315	0.787707591251847
"ENSMUSG00000051285"	4937.25518486194	-0.0491607039904535	0.0433712737737811	0.254603165137617	0.417940114303964
"ENSMUSG00000097797"	633.235511499358	0.34292734178529	0.0900184345564852	8.57047063648384e-05	0.000303807397210869
"ENSMUSG00000103067"	40.4505865205677	0.179845553863367	0.274735353753052	0.366534634799669	0.547747408861709
"ENSMUSG00000025909"	1996.73348911427	0.141829976823397	0.0557253323870903	0.0100183299419565	0.0255690682289447
"ENSMUSG00000101571"	4.13733365840301	0.0482699044413423	0.364720198231811	0.696466524015001	NA
"ENSMUSG00000025911"	112.202067818354	-1.11362887399015	0.219773248341088	4.25972779551048e-08	2.14734914282458e-07
