	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000085914	0.026656487809573637	0.06107673663807051	0.0	0.04813837123470184	0.0	0.07126809622345912	0.0	0.1845312572932371	0.0	0.060905643982218594	0.0	0.05223940811720537	0.0	0.07370958706197492	0.0	0.32440376894732853	0.0	0.05798399921464833
ENSMUSG00000024742	0.0	0.05643103454177071	0.0	0.04391351609210941	0.0	0.06703703998300191	0.03139746363310779	0.2562419394787651	0.0	0.03235265443280876	0.0	0.0	0.0	0.07076878328503282	0.0	0.24346582579962117	0.02775256966886841	0.04154966001464946
ENSMUSG00000002489	0.0	0.04543808322055564	0.0	0.05642733472937478	0.0	0.0471968919441275	0.03676515463479089	0.23108712806598966	0.0	0.034359854092496034	0.0	0.033459841607853424	0.0	0.0745191575855444	0.0	0.2808902302089563	0.0	0.08670972804054311
ENSMUSG00000043924	0.024017646567591068	0.045053988423784545	0.026614982798934456	0.0	0.0	0.04878489473261521	0.0	0.2845464243774105	0.0	0.04146584212971474	0.0	0.0	0.0	0.06773890854554239	0.021581653145995472	0.27080069942030055	0.0	0.06428547312977745
ENSMUSG00000063063	-0.05549764389104178	0.0	0.0	0.0	0.0	0.0	-0.04628898689048233	0.15646235178392193	-0.04653488261656197	0.04795073642381179	0.0	0.0	-0.018954991834669088	0.03829529942335142	0.0	-0.04997498653289196	-0.038481998863374375	0.03964675479411928
ENSMUSG00000032171	0.0	0.042726822414315364	0.025871413532054452	0.049596685753020515	0.023577300361442788	0.02823225202724894	0.03967737364679315	0.2526816060362895	0.0	0.0	0.0	0.0	0.0	0.07004966352619063	0.0	0.42430472098214506	0.0	0.0846501314859279
ENSMUSG00000115284	0.0277848585086552	0.04421777917546488	0.0	0.035917245284616844	0.030202007026408507	0.0	0.0	-0.12865921280983864	0.02328916111043933	0.0	0.0	0.0	0.0	0.03305828124189316	0.0	-0.15378380823141202	0.02301351427690515	0.045107399686432986
ENSMUSG00000035459	0.0	0.05712798580263121	0.0	0.018708287887961524	0.0	-0.022359635142702516	-0.026729068036539298	-0.1506797463724034	0.0	0.02995957248106997	0.0	0.0	0.0	0.007880865515053528	0.0	-0.08284682733429975	0.01375490216220139	0.060148406864646134
ENSMUSG00000082112	0.0	0.022607327946574527	0.0	-0.02791204679927303	0.0	0.08548911179314068	-0.02097167412196667	-0.1276737149992666	-0.029257492640119072	0.0	0.0	0.0	0.051801757701600136	0.0357942344045817	0.0	-0.12897807938671255	0.026526921616085625	0.0
ENSMUSG00000051076	0.0	0.038372527567236386	0.01070056370164306	0.01029943269563216	0.0	0.0	0.0	-0.20773306200432456	0.012125107906633868	0.033885136559830054	0.0	0.0	0.0	-0.02773505617415641	0.0	-0.053745037377792175	0.0127333106385728	0.014875664792254963
ENSMUSG00000049555	0.0	0.0338726899360266	0.024014444122369527	0.04589839749776766	0.0	0.06630925834957863	0.035725482432308414	0.27680878364537426	0.0	0.0	0.0	0.0	0.0	0.08079185857363899	0.026119308530435217	0.4116293323605935	0.0	0.09986647305526719
ENSMUSG00000036054	0.0	0.0556757557966936	0.0	0.042106151903802534	0.027372837845648645	0.047240274639763345	0.0	0.26948411696227303	0.0	0.027724538360614615	0.0	0.030107098335521873	0.0	0.08507118940270653	0.0	0.4897526090837046	0.0	0.0917663889367933
ENSMUSG00000097766	0.0	0.05508943776549388	0.0	0.03932232259911963	0.0	0.0358565143530973	0.0	0.09487464997897622	0.0	0.011876355740426213	0.0	0.028215807817473168	0.011531921667148337	0.07333282509925435	0.0	0.2658144280640464	0.0	0.0871376079338117
ENSMUSG00000085743	-0.0159298297928811	0.04210456287312402	0.0	0.018194242133991883	0.0	0.0	0.023327473290919488	-0.062442075772245316	-0.02381382677709429	0.0	0.0	0.0	0.0	0.04295885235831237	0.0	-0.16970461965020608	0.017118882735076352	-0.015558720363244764
ENSMUSG00000086283	0.03755651276426547	0.034036576821279786	0.0	0.041042437082461636	0.0	0.0	0.01682706277448444	0.0	0.0	0.03317399801715569	0.0	0.01882971048603492	0.01627155094784888	0.05601292519519196	0.0	0.0	0.025361324518500514	0.04066798132619433
ENSMUSG00000039198	0.018656792895565495	0.028140615207842588	0.0	0.0	0.0	0.05296833878561616	0.0	0.22244972536826066	0.0	0.019075707622620508	0.007857766193664295	0.01126031565308155	0.0	0.03393663802133629	0.0	0.2773913087207633	0.0	0.039679598392651186
ENSMUSG00000072494	0.0	0.011145893669874835	0.0	-0.029920823349886532	0.0	0.00855985497275055	0.02283277104127585	0.22580694479101035	0.0	0.0	0.0	-0.02580609064852135	0.0	0.05919015249798581	0.007238668608576911	0.3249781627788322	0.0	0.07265863584071998
ENSMUSG00000022758	0.0	0.05747277100258145	0.0029177620836753904	0.008964197510235755	0.0	0.0105222993661762	0.0	0.1360636152471023	0.0	0.04211400824723996	0.0	0.0	0.0	0.0421506263138365	0.0	0.011429619990470012	0.014153506299243739	0.04293788537793418
ENSMUSG00000111766	0.02976271266628811	0.0	0.013775345506689025	0.016258070285313897	0.0	0.026944630997853686	0.0	-0.13211713155977872	0.020303711372406493	0.025462210124272706	0.0	0.0	0.0	0.0	0.0	-0.13200382508112696	0.022158804313959862	0.01742837334076299
