	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000020650	0.0	0.01471742418418094	0.0	0.023900082817010806	0.031865095961459616	0.0	0.0	0.2646065049239875	0.0	0.012815250363048586	0.0	0.023453969980495027	0.012526004556304371	0.039155817658386737	0.0	0.4648757787885581	0.0	0.05213756883068917
ENSMUSG00000079598	0.03709899434248288	0.06949495311689001	0.017786816421287488	0.012170155080895695	0.0	0.0	0.0467583989615948	0.22123149807463807	0.0	0.037704898867533934	0.0	0.0	0.0	0.0	0.0	0.04116166620835429	0.030980824380189176	0.025963336137438203
ENSMUSG00000033177	0.0	0.013811325738944894	0.005482566214601789	0.03731956105842156	0.0	0.011565517252841728	-0.024554680553331928	-0.13085577181777344	0.0	0.04164660373994707	0.0	0.0	0.0	0.015285235437942019	0.0	-0.08509358000507745	0.0	0.017616506548821464
ENSMUSG00000035910	0.0	0.039018333098659506	0.0	0.041368949326175145	0.0	0.030844503483067387	-0.03404302267014022	0.18470944482167373	0.0	0.004370701980896841	0.0	0.031207277999040568	0.0	0.013665032166524949	0.0	0.10049076770261704	0.0	0.04953764368160966
ENSMUSG00000039239	0.02182717508520561	0.051641493819251254	0.0	0.0	0.0	0.02431815049203176	0.0	0.25343420335328437	0.0	0.049110550574628424	0.0	0.021257491691631488	0.0	0.04520548647089192	0.0	0.3687942181142633	0.01990321853711763	0.059334285650419455
ENSMUSG00000108935	0.015220025849669028	0.03790837407878491	0.0	0.024294802819432623	0.0	0.014201078857742465	0.0	0.0	0.0	0.02844744792572985	0.0	0.0	0.0	0.031364678666080434	0.02770097403561129	0.058777213119196876	0.015611372151568607	0.01435938350667821
ENSMUSG00000037343	0.0	0.034251765600286824	0.0	0.03725413177842565	0.03161982463633728	0.0660255974369973	0.0	0.3307246843657778	0.0	0.035504656050113985	0.0	0.03478840949398081	0.0	0.0876289881583981	0.0	0.44694379620247354	0.0	0.09174080219116598
ENSMUSG00000035298	0.0	0.05710738925648565	0.025990929330728402	0.0	0.04347472878343227	0.0	0.08010588629518578	-0.10119064108801168	0.021810866882563354	0.06502906586861386	0.0	0.0	0.0	0.02739820122391021	0.0	-0.14135987835628872	0.0	0.04760540432733816
ENSMUSG00000024787	0.032969977861486977	0.04991977910459813	0.0	0.043580798922965285	0.0	0.05744471674160837	0.0	0.28882259622525724	0.0	0.04457634362992226	0.0	0.028758769027420916	0.0	0.08944197775055654	0.0	0.35887058156458146	0.0	0.06841775532839273
ENSMUSG00000046814	0.08243667068669408	0.0	0.020458499362088545	0.03288919076957695	0.0	0.0	0.0	0.317616928784674	0.0	0.031339792212376115	0.0	0.031940142109483705	0.0	0.03696322040088362	0.0	0.35265034050804644	0.021135680767276798	0.04013566310879266
ENSMUSG00000098212	-0.019340441526402546	-0.03045597074072414	0.0	-0.06232607351036689	0.0	0.0	-0.02748150722488653	-0.13709674441923805	-0.00875263628164842	-0.03270193229184172	0.0	-0.005648394367890774	-0.026285602672452255	0.0	0.0	-0.314794850240709	0.0	0.0
ENSMUSG00000039065	0.0	0.029473340958837444	0.0	0.07673453537919041	0.02311142857250866	0.05342442695692655	0.0	0.24174308252151688	0.0	0.0220938579551464	0.0	0.05453315365109892	0.0	0.10399584370898447	0.0	0.4917084774851645	0.0	0.12437374229395885
