	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000043391	0.070995236791675	0.0	0.04580719039313924	0.0	0.048119352653854426	0.0	0.0	0.14280105764074416	0.04305356275163127	0.0	0.0	0.0	0.03302412769899823	0.037440424125956696	0.02527033123470268	0.0895767473085757	0.052847543550028894	0.0
ENSMUSG00000087479	0.034431558787291296	0.0	0.02007611877535545	0.0	0.02867767677517194	0.0	-0.05177577052296278	0.0984950958283451	0.02063160619034732	0.0	0.0	0.0	0.04109577497310391	0.0	0.0	0.046436245524346435	0.0205644284388793	0.007072033650833289
ENSMUSG00000040340	0.0699723481665617	0.0	0.04334404286947615	0.0	0.0453165758629937	0.0	0.21123335850600755	0.0	0.06397905493375299	0.0	0.002788466027866865	0.0	0.06955652331160422	0.0	0.0523323822755826	0.017182891145794542	0.0535005466478772	0.0
ENSMUSG00000117647	0.07172757716928724	0.0	0.05984395233644132	0.0	0.03455264345716591	0.0	0.023787872376917596	0.1305670215729248	0.03815307110292562	0.0	0.0	0.0	0.04562237334981048	0.021116853827879742	0.0	0.06511863791184395	0.05071309234529844	0.0
ENSMUSG00000021250	0.037263174271373455	0.0	0.0464108549428162	0.0	0.04606102384573608	0.0	0.10909298143830552	0.10515586782048027	0.07903362342309089	0.0	0.01271609673186642	0.0	0.0	0.039473617499942715	0.0	0.0	0.01928577181463002	0.012383348258125704
ENSMUSG00000031698	0.06525871054293647	0.0	0.049558464649029806	0.0	0.05412536057026856	0.0	0.042832758814534785	0.0	0.04791469288115391	0.0	0.016568943392897384	0.0	0.018442070779849207	0.0	0.034300734868899625	0.0	0.03995872791055874	0.022794377328055126
ENSMUSG00000112110	0.06554184486443931	0.0	0.03230133584446202	0.0	0.03751016508567702	0.0	0.0	0.15196605929882884	0.039693840071473564	0.0	0.0	0.0	0.033282019349343585	0.038766325398095186	0.0	0.07498704490006472	0.02329134896961249	0.026869687430596454
ENSMUSG00000036097	0.07988800829771643	0.0	0.04749561475753756	0.0	0.07745667020827796	0.0	0.06922574482321667	0.1603629803562656	0.05080269233662098	0.0	0.0	0.0	0.0740834879169119	0.0556740267368533	0.0	0.060380343398537144	0.04605632038865559	0.0
ENSMUSG00000066900	0.08974596510452441	0.0	0.08739377746781055	0.0	0.03453626234106171	0.0	0.1330840027784999	0.06378851533651263	0.07101130551420089	0.0	0.0	0.0	0.06777278677421601	0.03245729359633481	0.029293411909490086	0.0	0.06088455182572977	0.0
ENSMUSG00000015083	0.09542846818351039	0.0	0.0502894533708776	0.0	0.14907256444363276	0.0	0.15620813509399253	0.10244979703835896	0.09324574166246495	0.0	0.04076953403945127	0.0	0.07280464554940974	0.0	0.1274546334985293	0.0	0.04883538675755034	0.0
ENSMUSG00000047085	0.05761712334750879	0.0	0.07291022438517093	0.0	0.023225225535548594	0.0	0.19403367910022554	0.0	0.0344217622367092	0.0	0.0013439294359168796	0.0	0.04992917148077594	0.019188671631680684	0.0192003697061036	0.0	0.05556171839337576	0.0
ENSMUSG00000026640	0.02282841255007994	0.0	0.02179094992949536	0.0	0.0	-0.02019768229702718	-0.048186401217342745	0.0863522072375808	0.0	0.0	0.009021129808920975	-0.01899931324416603	-0.021299924049328508	0.0	0.0	0.09142567758417693	0.013769209586514949	0.0
ENSMUSG00000031310	0.02778521982824127	0.0	0.0	0.0	0.07553382686138717	0.0	0.22350591144423165	0.03433839935685903	0.0	0.0	0.010472054275671439	0.0	0.010324416419475803	0.05641164898284058	0.035412920404022004	0.04566082699185759	0.033599420408824125	0.0
ENSMUSG00000101867	0.014101201934057086	0.0	0.03829901900269416	0.0	0.010417680310066216	0.011228502417044511	0.0	-0.0623027924841502	0.09220906072571948	0.0	0.010893071192577809	0.0	0.0	0.04175070599180658	0.0	0.0	0.03569170149634832	0.010885082710733452
ENSMUSG00000021557	0.06699004200018548	0.0	0.050435843676073275	0.0	0.048663799115948425	0.0	0.14738627900162143	0.0	0.046282455923706604	0.0	0.004813337118410366	0.0	0.04354474879947352	0.0	0.021957885107507097	0.05913798732834319	0.04888384010119707	0.0
ENSMUSG00000026696	0.05239055165323264	0.0	0.0	0.012563420979904738	0.0338759160487352	0.010928626887465915	0.0	0.13554549163534169	0.0085430988795	0.0	0.0	0.0	0.0	0.04066501653132103	0.0	0.09287071919672771	0.011061003320922861	0.01742264106124708
ENSMUSG00000080717	0.058751104463321775	0.0	0.0277871860240545	0.0	0.050461378508551424	0.0	0.07700095405791219	0.13261525993440462	0.0391999829448947	0.0	0.0	0.0	0.06174026180762797	0.04316433161439726	0.0	0.06650371810445452	0.04043185942829733	0.0
ENSMUSG00000084892	0.0	0.0	0.0	0.09158131872244368	0.0	0.2309685204104227	-0.05687914548400758	-0.16599461484612602	-0.03961815483056126	0.0	0.0	0.06799886180546966	-0.04000846871471193	-0.0989302697961543	0.0	-0.12079459480150365	0.0	0.08559614215660713
ENSMUSG00000083466	0.04228412566328338	-0.018532258857180465	0.0	0.0	0.026193593532446966	-0.018515468618972023	0.06238442339487972	-0.03256635038388678	-0.00981999181377241	0.0	0.0	0.0	0.0	0.03591448589592543	0.0	-0.02509867010368092	0.05745316405627365	0.0
ENSMUSG00000022241	0.08660606490347418	0.0	0.06029482974372991	0.0	0.06729280607394623	0.0	0.10587946692256212	0.15259953630284342	0.07801997680944339	0.0	0.0	0.0	0.08443610431684415	0.05343025206588734	0.0	0.044365052272426486	0.05179711349269665	0.0
ENSMUSG00000085886	0.08853693191071954	0.0	0.06495182557878028	0.0	0.04544322958480629	0.0	0.06731625493196522	0.14520493117067385	0.05570493324555849	0.0	0.0	0.0	0.028040289721346423	0.0477794178923318	0.0	0.06330329788054417	0.0521277337780492	0.0
ENSMUSG00000024516	0.0956899513897712	0.0	0.07861108559497575	0.0	0.03691967082732455	0.0	0.0639611121215034	0.15008267266596076	0.030167098649257595	0.0	0.0	0.0	0.03544695061658041	0.035898744636502784	0.0	0.062052955119736644	0.06142363944342959	0.0
