	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000030878	0.018089816447884342	0.023166453984248877	0.014525704267838613	0.0338247534159042	0.023952684746202046	0.0	0.0	0.2755596214006943	0.0	0.0	0.0	0.0319428995741986	0.0	0.07114069361571057	0.0	0.542134357188026	0.0	0.10469192045738393
ENSMUSG00000037375	0.01824381670830262	-0.027047724160523187	0.021299212095378387	-0.020753361828316663	0.0	0.0	0.0	0.1901614832361908	0.0	-0.033942758849989554	0.0	0.014706055703114744	0.0	0.05971703596076111	0.009824446850727161	0.448925672126881	0.0	0.0
ENSMUSG00000027342	0.0	0.0	0.0	0.09794566332399468	0.02020017892446447	0.033024800390088364	0.022273013713572685	0.11000945875797484	0.0	0.015438462546019882	0.0	0.0	0.0	0.0832184701636425	0.0	0.34505088634467024	0.01824319959862287	0.14692055429212225
ENSMUSG00000055134	0.01451968949187466	0.035691083201210866	0.0	0.03313106044032338	0.0	0.0	0.012701895669543939	0.20803018108022098	0.0	0.014545409549455058	0.0	0.02130828042454031	0.0	0.03681417621763771	0.0	0.25255436949412385	0.0	0.05897310339409591
ENSMUSG00000049555	0.0	0.03680601510548638	0.023992337125981145	0.044086366354252234	0.0	0.05861357047784316	0.03437171946918922	0.27131562492939626	0.0	0.0	0.0	0.0	0.0	0.07666001750241722	0.03357688367438854	0.3974884406560437	0.0	0.0978281452887874
ENSMUSG00000042644	0.0	0.03896308038052616	0.0	0.051026185016922555	0.0	0.05659154044388842	0.0399824411052765	0.24042521008320256	0.0	0.026240205665261862	0.0	0.0	0.0	0.07673954436961866	0.030479018121963776	0.3357465355111555	0.0	0.08370675862079288
ENSMUSG00000038572	0.024749705584758974	0.03825432539531455	0.0	0.025269216451885044	0.0	0.05134147918634574	0.0	0.10093803168949479	0.0	0.029726170355654554	0.0	0.032753457714615714	0.0	0.08804043400532849	0.0	0.31690056343474354	0.0	0.04007225785835493
ENSMUSG00000044313	0.026616459998994643	0.032698218167986494	0.0	0.029327165881256625	0.013755338561967728	0.0	0.029669476904771976	-0.15705251329075207	0.0	0.03222008482346475	0.0	0.0	0.0	0.02342158486262568	0.0	-0.07748528177503701	0.023137516054806507	0.0
ENSMUSG00000030319	0.034369555470812156	0.03049104641147732	0.02317193967994662	0.027507567444083718	0.02060515233071114	0.0	0.0	0.2800142698341835	0.0	0.02521597009105947	0.0	0.0	0.0	0.06389760975229077	0.0	0.2677660325825809	0.0	0.060250522109032374
ENSMUSG00000041341	0.0	0.03207846899226978	0.0	0.05904195263492794	0.021352381075250837	0.025522384516229502	0.02087944883240174	0.24423807060610075	0.0	0.0	0.0	0.03632592382009589	0.0	0.07530109295353031	0.0	0.39633268223849805	0.0	0.09806829442506076
ENSMUSG00000006527	0.0	0.02823572146504633	0.0	0.053338120554490526	0.020522481389027916	0.03144093314077232	0.0	0.10329257171279511	0.0	0.0	0.0	0.024494659459956398	0.016687539618715608	0.08257800678427393	0.0	0.3361876048784119	0.0	0.04580395747562264
ENSMUSG00000087377	0.0	0.01699140770589236	0.0	0.08649297221827826	0.01684503341884048	0.041204309776501254	0.0	0.1757381586428395	0.0	0.02057925494847646	0.0	0.03809248081327487	0.0	0.0822719376078643	0.0	0.39694248088309625	0.0	0.12012079861337478
ENSMUSG00000037573	0.0	0.014831458051556676	0.012156539787693488	0.039569473542485994	0.02518689572924172	0.018776640957819654	0.015712051889967237	0.159767880356342	0.0	0.0	0.0	0.0	0.0	0.08167392556242137	0.0	0.376404160318858	0.0	0.10020094209547309
ENSMUSG00000044994	-0.011486434651767748	0.0	0.0	0.0	0.0	0.0	-0.00843226062521907	-0.1476675162839614	-0.015340503902385645	0.0	0.0	0.023464674389987412	-0.020755158121176336	0.034366664777371735	0.0	-0.17395109455509167	-0.006122106389504722	-0.02306267945001589
ENSMUSG00000087060	0.0	0.0	0.0	0.0782668939841971	0.007925031403878569	0.020475902030160444	0.0	0.23473504564391948	0.0	0.024937703238025508	0.0	0.020703465129182218	0.0	0.07396373005131066	0.0	0.5104851893731761	0.007265771691957241	0.08972597467612574
ENSMUSG00000063019	0.0	0.03814841830893635	0.023761815454256485	0.05693560457237878	0.03077901983187607	0.04837175776504774	0.0	0.24756095122991045	0.0	0.0	0.0	0.0	0.0	0.06836434260416457	0.030380403986629684	0.3662024797567805	0.0	0.07129219814428663
ENSMUSG00000102234	0.01399807117556931	0.02549914295264008	0.02976153779109147	0.04368789213878797	0.0	0.03734918873717578	0.06209016482608532	0.0	0.0	0.031227158115647975	0.0	0.0	0.0	0.039878451908971844	0.0	-0.13086648197889741	0.0	0.036447442228843635
ENSMUSG00000044864	0.0	0.01118337289675731	0.0	0.0	0.0	-0.012648345003228978	-0.02093468788786025	0.290329657252908	-0.012778543886366112	0.0	0.0	0.013978470362105937	-0.01903633895125738	0.026970863530730572	0.0	0.595217352731371	0.0	0.07700502123216338
ENSMUSG00000115099	0.0	0.0035506501553385227	0.0	0.060315247731711354	0.0009464529957482481	0.01638593315039788	0.005465312772353375	0.20582801168357415	0.0	0.0	0.0	0.010448666047360796	0.0	0.0697493901059807	0.0	0.45136167777706576	0.0	0.094253017802078
ENSMUSG00000042616	0.02922582213873589	0.0506465838793681	0.0332064963222857	0.038653428011814046	0.02450092549287164	0.0	0.043967296965855635	0.24358662519705507	0.0	0.0	0.0	0.0	0.0	0.049482079551692815	0.0	0.16474758151734398	0.0	0.02785053906181456
ENSMUSG00000097226	0.0	0.05030130615320892	0.0	0.032636550854660266	0.0	0.05365954512009234	0.0	0.21700856269640678	0.0	0.030041863144223815	0.0	0.01996264252197548	0.0	0.06751496201264344	0.0	0.3949530931270056	0.010845636074593545	0.055516462308840504
ENSMUSG00000022964	0.030677934380202485	0.05312984222881347	0.0	0.0	0.02408093803336439	0.0	0.0	0.25070566178962966	0.0	0.03092441140844903	0.0	0.022864332620226385	0.0	0.032160118463708226	0.0	0.2798522101648566	0.022672853248738134	0.04376424942962638
ENSMUSG00000028567	0.0	0.02901089320962777	0.0	0.04385283948689435	0.02547362534031905	0.04307201621507764	0.04526768746240707	0.1854971171497134	0.0	0.02603780781293457	0.0	0.0	0.0	0.07516709863476442	0.0	0.3279877790809473	0.0	0.0767015861203655
ENSMUSG00000002617	0.0	0.0	0.0	0.029003929998059237	0.005955100794519539	0.0042321117768017455	0.0	0.2635106820631981	0.0	0.010567155327404185	0.0	0.00619488802919131	0.0	0.06516208775595808	0.0	0.5749205620067149	0.0011613064225624026	0.07530371286162467
ENSMUSG00000027014	0.0	0.008532924151758747	0.0016546232727931987	0.015522276979039875	0.0036043300895645166	0.02603744762223658	0.0	0.2454457999599977	0.0	0.0	0.0	0.010188803910805927	0.0	0.05332398857359933	0.0	0.5182196751454855	0.0	0.05739434819406937
ENSMUSG00000074628	0.028930065536439946	0.0460355564307483	0.0	0.018245202862008536	0.0	0.0	0.0	-0.1342422545002714	0.0	0.036292175359566595	0.0	0.0	0.03259341628027642	0.04094274489455919	0.0	-0.08916600628120529	0.02633846387986469	0.05244288150002335
ENSMUSG00000039047	0.0	0.020408783978012667	0.017742667874603546	0.04306896315471622	0.0	0.04900889811783925	0.0	0.2935007673431271	0.0	0.03821113110580977	0.0	0.0	0.0	0.08004568494707714	0.019142375311357998	0.5176297729693629	0.0	0.06732243017039356
ENSMUSG00000046908	0.0	0.0	0.04304641668165685	-0.04423147923497248	0.0	-0.04401337929324915	0.11296364922993431	-0.15429455534528586	-0.015280966709433165	-0.02017384321681677	0.0	0.0478022829532885	-0.012411973470023013	0.0	0.0	-0.16927676516249912	0.0	0.0
ENSMUSG00000087644	0.0	0.018139090852905	0.0	0.0	0.039803790947050326	0.0	0.0	0.26054877836661744	0.0	0.0	0.006931627031941279	0.009623811387754557	0.0	0.04592998771298979	0.04047153333074855	0.1702120914352411	0.02982971380927871	0.01987892001969825
ENSMUSG00000022575	0.019501022834750803	0.031770618767854565	0.0	0.0	0.0	0.057217097640433014	0.0	0.20716205136074045	0.0	0.02144080216018142	0.0	0.017442012859234746	0.0	0.06134567713960922	0.0	0.2797285410378832	0.033481449077298525	0.0324122625240563
ENSMUSG00000022204	0.0	0.0	0.0	0.02833353969473864	0.020480068078433816	0.0	0.04901784746847223	0.29528566165451664	0.0	0.01712664452854762	0.0	0.0	0.0	0.07376311658013206	0.024667381064248907	0.5472064166386923	0.02672606850463934	0.05945948563452137
ENSMUSG00000046694	0.0	0.05494586936099475	0.0	0.03580348258506341	0.038516688724643436	0.02831038069368008	0.03849306446851661	0.227729806247536	0.0	0.03167670609694686	0.0	0.0	0.0	0.0592695535597243	0.0	0.20039547541583747	0.0	0.06508038689681626
ENSMUSG00000097223	0.030840291899370174	0.021856742876416035	0.0	0.024391891520483277	0.0	0.04620934078257944	0.0	0.2632496566844028	0.0	0.0295121801446723	0.0	0.03453852193640348	0.0	0.056849489501973854	0.0	0.45378917002969155	0.0	0.0742129223307849
