	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000038670	0.05102753175277461	0.0	0.07026696658665585	0.0	0.02003910762608195	0.01504312627043852	0.12757580183612802	0.0	0.039464783409592995	0.0	0.015240532967364662	0.0	0.05138301752906847	0.0	0.031100080310052035	0.0	0.06539074767038175	0.0
ENSMUSG00000022204	0.0	0.0	0.014032344080288172	0.0	0.030668287760453862	0.0	0.18013158481177172	0.0937778367839166	0.0	0.006641573279133988	0.0	0.0	-0.018527199078210876	0.007208084783718123	0.043837001248988886	0.16201699875374767	0.0	0.010787115163911579
ENSMUSG00000006728	0.044279633266618074	0.0	0.03948732810409744	0.0	0.1001395794645478	0.0	0.18165187892884052	0.030553529677728467	0.10120275551937574	0.0	0.025801194995099887	0.0	0.04094852282314312	0.0	0.0172685427679109	0.0	0.05047301191294691	0.0
ENSMUSG00000090012	-0.06547454388038519	0.0	0.021153391083994236	0.0	0.017687146116380857	0.0	0.05869744498721141	-0.06587323833918365	-0.024374267061977747	0.0	0.0	0.0	0.0538725867558608	-0.020498148238933377	0.0	-0.04152551248085799	0.033809697262134134	0.0
ENSMUSG00000086791	0.034379036737800246	0.0	0.01849949855582163	0.0	0.02312996909078726	0.0	0.07918320276751725	0.0	0.02890967738461078	0.01638624871016875	0.0	0.0	0.021249773460361988	0.0141858334423876	0.0	0.0	0.04233521170706905	0.015454900462640489
ENSMUSG00000034872	-0.4717931816585121	0.0	-0.40574397781178406	0.0	-0.6305704949680763	0.0	-0.25535941542246393	0.0	-0.2232073251760479	0.0	-0.1868741041848795	0.0	-0.42518361753724004	-0.13020533021498082	0.0	0.0	-0.5920256785829099	-0.26749098065818133
ENSMUSG00000086752	-0.013027487604897452	-0.007940644389601403	0.0	-0.010281858316635592	0.0	0.0	-0.0300480944996583	-0.029734630430099145	-0.04595729224245084	0.0	0.0	0.0	0.0	-0.0072766868536504725	-0.10747683679505966	-0.03759679306308694	-0.023073049159370643	0.0
ENSMUSG00000030553	0.046928585765165065	0.0	0.02798995450536046	0.0	0.042666501655750755	0.019965109092869474	0.02116189312147393	0.04577419831634421	0.03034610133901842	0.0	0.0	0.0	0.06458423238958136	0.0	0.04373826716274047	0.0	0.034644539692525324	0.0
ENSMUSG00000027014	0.0	0.0	0.029610716860110405	0.0	0.03535064221333541	0.008032610820514097	0.0	0.07941365467097179	0.010705317930061447	0.0	0.0	0.0	0.013374678229857509	0.012304411672369774	0.0	0.1315503589340044	0.012129087114220317	0.017159315718660067
ENSMUSG00000064036	0.0	0.0	0.032899248371105555	0.0	0.027719040263640693	0.0	0.08945582213197266	-0.06765098155385571	0.011918751602756773	0.0	0.0	0.0	0.008715561512889797	0.0	0.02539439391704012	-0.04212654710220202	0.05393955740567408	0.011983005773004126
ENSMUSG00000117193	0.021558115238277626	0.0	0.0	-0.023984611107338072	0.023282346085417918	0.0	-0.036334597267984256	-0.06184853836649268	0.0	0.0	0.0	0.0	0.02330302698878516	0.0	0.012997497106891027	-0.033667019540488355	0.01178210221181207	0.01822585914106099
ENSMUSG00000107971	0.12708345974062948	0.0	-0.04238146708563091	0.0	0.0	0.0	-0.049749951882626944	0.0	0.1212191751893831	0.01513703332217109	0.032860370537138174	0.0	-0.033527332855147716	0.0	0.0	-0.04974387748889347	0.07037075849267943	0.01907089269106129
ENSMUSG00000023118	0.07278692465436457	0.0	0.06052346296583466	0.0	0.05536201840758192	0.0	0.11472153152580992	0.07987700662344036	0.06099509333266174	0.0	0.0	0.0	0.07683395986079043	0.0	0.04699729766712235	0.10806698479796155	0.06341035244804466	0.0
ENSMUSG00000115719	-0.08509042557232732	-0.007208411663272501	0.052957503936378304	-0.015541591419603705	0.0	-0.008726344314606671	-0.14648622484916643	-0.03738305093902004	-0.01762891732285553	0.0	0.0	0.0	-0.08205368054701781	0.0	-0.08311350156755974	0.0	0.0	0.0
