	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000038670	0.05755272787258059	0.0	0.07670624586498963	0.0	0.027753641693377025	0.018651549721577117	0.13754451328530262	0.0	0.04503457244368375	0.0	0.018433044342700877	0.0	0.058566773488443837	0.0	0.03609008033230979	0.0	0.07248693520281983	0.0
ENSMUSG00000022204	0.0	0.0	0.017764922751175753	0.0	0.03433391248676715	0.0	0.1897934260725032	0.10030003566789764	0.0	0.005992251636641818	0.003044965794910648	0.0	0.0	0.007988610479190337	0.04700933281443897	0.17300985664759064	0.0	0.013624701525849818
ENSMUSG00000006728	0.050567883200318	0.0	0.04485613815937865	0.0	0.10686937363886763	0.0	0.1931992658752589	0.03658684315389766	0.1077551496444156	0.0	0.028874190741186957	0.0	0.04768972621698552	0.0	0.021026367233583754	0.0	0.05666942788566244	0.0
ENSMUSG00000090012	-0.06399496320893101	0.0	0.02030341147270742	0.0	0.020170245288677367	0.0	0.06121680107425995	-0.06122073428707619	-0.022796587058097825	0.0	0.0	0.0	0.055922904021725256	0.0	0.0	-0.035159814570243524	0.03582680064177426	0.019494881118694015
ENSMUSG00000086791	0.040944442463660746	0.0	0.023919651505681653	0.0	0.03014491226097229	0.0	0.08708737922763321	0.0	0.03458187684465287	0.02095968834204276	0.0	0.0	0.029560223050931405	0.018647328325635565	0.0	0.0	0.049470381882828325	0.02068585670437248
ENSMUSG00000034872	-0.4662439420606257	0.0	-0.39997494457825544	0.0	-0.6236787789398072	0.0	-0.24274050152844548	0.0	-0.21069950078467856	0.0	-0.18328633483152942	0.0	-0.41825019922850676	-0.12701599989372792	0.0	0.0	-0.5908550465622071	-0.263420469518046
ENSMUSG00000086752	-0.006132204447229377	-0.0054690819077687315	0.0	-0.007002872467203258	0.0	0.0	-0.022025588965312558	-0.02104653608821922	-0.040053840265482234	0.0	0.0	0.0	0.0	-0.003112536916273778	-0.10203119642709996	-0.02629106318213681	-0.016960064398538338	0.0
ENSMUSG00000030553	0.05366226941249676	0.0	0.03341578665261113	0.0	0.04987662782154016	0.023644207668919837	0.029983783972982514	0.05246273938650877	0.03629133978198897	0.0	0.0	0.0	0.07151544158759851	0.0	0.048186510102369406	0.0	0.041049064943059675	0.0
ENSMUSG00000027014	0.0	0.0	0.03548220055352781	0.0	0.042571542431542875	0.010925964592757631	0.0	0.08748439948753992	0.01646473491989864	0.0	0.0	0.0	0.020903803774830365	0.01572475140905759	0.0	0.14268003129644563	0.017982631021924413	0.021699122965826545
ENSMUSG00000064036	0.0	0.0	0.03785838532079213	0.0	0.03358526224644103	0.0	0.0969418095145146	-0.058162174871778	0.015861461546597438	0.0	0.0	0.0	0.015319955088436362	0.0	0.029410131558526398	-0.031869173324505506	0.06043503240105612	0.015155551131191682
ENSMUSG00000117193	0.02751398181214112	0.0	0.0	-0.021287379737581727	0.02965645251478669	0.0	-0.029718239492683634	-0.053219626919814245	0.0	0.0	0.0	0.0	0.030666344926312657	0.0	0.016630637412508135	-0.024467831853590912	0.018234315195025916	0.02359391492208366
ENSMUSG00000107971	0.13344575623456348	0.0	-0.03748618948425734	0.0	0.0	0.0	-0.04174501385950225	0.0	0.12602080256382078	0.01878432274994458	0.03665639593012235	0.0	-0.02606647838099524	0.0	0.0	-0.0387048157875577	0.07799000600087747	0.023732662982993726
ENSMUSG00000023118	0.07828645587109284	0.0	0.06606810952433533	0.0	0.06195478529575013	0.0	0.12353589542992807	0.08662212534033363	0.06651274290101723	0.0	0.0	0.0	0.08283941771980399	0.0	0.05085182600457183	0.11563838367521354	0.06955327881081162	0.0
ENSMUSG00000115719	-0.0774866915750172	-0.006253531144839819	0.06048215441309473	-0.012106354696119462	0.0	-0.005946860605836324	-0.13159442269781416	-0.029969453224466303	-0.014174739142853202	0.0	0.0	0.0	-0.07415129596957486	0.0	-0.0767850613263786	0.0	0.0	0.0
ENSMUSG00000057133	0.06211615498255456	0.0	0.04416576265455199	0.0	0.05530410382247338	0.0	0.04009616999849042	0.09282017797163104	0.04999466876913786	0.0	0.0	0.0	0.06492319932886631	0.0	0.0	0.13025025499259954	0.03854312961824524	0.052574113953259394
ENSMUSG00000024970	0.07639289542025214	0.0	0.05893595313864714	0.0	0.06894512337706946	0.0	0.10801656950525806	0.08696484694781763	0.06417347691068803	0.0	0.0	0.0	0.07609378438869423	0.0	0.04088475000634639	0.11415022143626775	0.06567566778669655	0.0
ENSMUSG00000113688	0.019081050620472682	0.0	-0.012449577962117032	-0.015363151218500182	0.08439684292450057	-0.011699852491850264	0.0	0.0	-0.008968031075980917	0.0	0.0	0.0	0.10463909162008168	0.014019163534376895	-0.049811782836949856	0.0	-0.03246212662348311	0.0
ENSMUSG00000102257	0.09281777284395731	0.0	0.016647674539737554	0.0	0.015605007563670815	0.0	-0.028973779417863395	-0.04934032517628536	0.02928530625362085	0.0	-0.04887603122271979	0.0	0.0	0.0	0.09577859027994705	-0.019657375561885432	0.09739041162798154	0.0
ENSMUSG00000044062	0.0424142196469663	0.0	0.0	0.0	0.05685480018315656	0.0	0.04037079418138411	0.06999650146927651	0.05157194649410761	0.0	0.0	0.0	0.07475210599837934	0.0	0.03971010427677322	0.0485517212575282	0.06807235685944087	0.0197131092210433
ENSMUSG00000035407	0.06851835714106862	0.0	0.0743554926099074	0.0	0.06987741569638044	0.0	0.18426242313925278	0.08140426445138074	0.06504475643008585	0.0	0.0	0.0	0.0829688942312058	0.0	0.06141489346644802	0.08488489088957978	0.06779543704864638	0.0
ENSMUSG00000093934	0.015824687657182243	0.0	0.0	-0.021183460969066762	0.05191217314699737	0.0	0.0	-0.018500207425789155	-0.030320648206017972	0.0	0.0	0.0	0.02199641487544593	0.0	-0.10390331020568547	-0.017366600937072246	0.03575459980417177	-0.02140382288225795
ENSMUSG00000030319	0.07583590558659546	0.0	0.0650034662130444	0.0	0.0528621202092464	0.0	0.07589118517863443	0.078246855125762	0.0683131675406865	0.0	0.0	0.0	0.050902955082669975	0.0	0.03589955835692993	0.04563472528515264	0.0677898647547566	0.0
ENSMUSG00000036894	-0.40630609622694575	0.0	-0.26715017241870237	0.0	-0.12507498292844327	0.0	-0.17389996069853172	0.0	-0.11702675816221651	0.0	0.0	0.0	-0.2826479885399826	-0.1459641183464018	0.0	-0.10409443947154084	-0.17814724072279833	-0.12836674918284957
ENSMUSG00000091114	0.02096423453199408	0.0	0.04053953166231841	0.0	0.06383473412353247	0.0	0.030529402891812708	0.0	0.058250169052167206	0.02267455264190488	0.0	0.0	0.0	0.01369483335045116	0.029479581924335488	0.0	0.08694448235531894	0.011815293557898066
ENSMUSG00000039047	0.052329410468485826	0.0	0.04957201287835486	0.0	0.04976092170348552	0.03617198677530242	0.0715415114670349	0.10159682252807133	0.04823923681067389	0.0	0.0	0.0	0.07161155542808142	0.0	0.0	0.15074181443345755	0.050760513773575024	0.0
ENSMUSG00000112089	-0.0812641651454042	0.0	-0.044252621941724656	-0.006979419205709991	0.0	0.0	-0.006972739933553195	0.0	-0.130269963763997	0.0	-0.014088181042585612	0.0	-0.047235569819590525	0.0	-0.050231122587055387	-0.07614853481896262	-0.013501901654703545	0.0
ENSMUSG00000028550	0.04235656109461886	0.0	0.05527447964089446	0.0	0.05073635366588164	0.0	0.06627650075981009	0.09433041575296287	0.053410997601240066	0.0	0.0	0.0	0.0822791991835102	0.0	0.0	0.14618970641569043	0.046865562490408866	0.03343419188196439
ENSMUSG00000100055	-0.460901555394048	0.0	-0.41355167307888596	0.0	-0.6168241187796955	0.0	-0.2543380683156775	0.0	-0.2221602984301072	0.0	-0.1934078346128612	0.0	-0.4371331775351293	-0.14581267000567433	0.0	0.0	-0.5429076122392825	-0.23912870953446824
ENSMUSG00000026344	0.028596884023683263	0.0	0.027788915424920083	0.0	0.02627925659522011	0.0	0.037953753891536726	0.014189763112947422	0.0	0.0	0.005456467039888599	0.0	0.013123092185063157	0.0	0.0	-0.07354845714145972	0.037761097431556055	0.007532147944032824
ENSMUSG00000100169	0.06037233373006083	0.0	0.043119114355678334	0.0	0.05291108038569438	0.0	0.0	0.0	0.05729751484589032	0.015637205485467327	0.014720154418240344	0.0	0.03547577383634118	0.0	0.012699773863637409	0.0	0.06840768177172497	0.011208731263912308
