	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000030551	0.024685855371477113	0.003059457126349636	0.05616652690540442	-7.033941307911715e-05	0.10946093739288959	-0.0013780148588661437	0.2996676485516998	-0.016725629048440688	0.06314685369576571	0.0077034871304411875	0.036342346930619635	-0.0017259421084288209	0.11936170315696343	0.008042971320563603	0.04783126312892299	-0.01413404999496249	0.08980659407123832	0.006693003298693968
ENSMUSG00000055385	0.0749129887876604	-0.000306971689808831	0.05432461454456643	0.0037302161895890356	0.045572255652171274	0.0037421936528647037	0.02996265326208751	-0.015805043136996183	0.046212541492903776	-0.003707724378702031	0.01573398969898595	-0.004817529939412322	0.05720277067765502	0.02255001832301267	0.03244490474613226	-0.003298784984768385	0.0497233540095814	0.003812607274864734
ENSMUSG00000074582	0.1051527139893616	0.0062248575413994854	0.0576954708708789	0.007167110573781039	0.05817597104141896	0.012458822419492727	0.14017326171129493	0.11841979466462363	0.0913365403752193	0.00257927908813664	0.02470804504728221	0.001112559007093036	0.07672801315783155	0.018352967746380143	0.05542805113410785	0.07836848577831655	0.10310230877361651	0.006399657228809831
ENSMUSG00000002668	-0.2619145254179882	-0.002587829727508506	-0.318362038934265	0.008180358010654995	-0.6510044715482114	0.020082044525458642	-0.6745946175438153	-0.015106698472819906	-0.06732096289392107	0.0011519757556633131	-0.12272306401832143	0.05354213053755562	-0.6547505363840044	-0.034551694760791306	0.009298620798693135	-0.018305534174188714	-0.5587661413808357	-0.058898130571014916
ENSMUSG00000116801	0.04879746745167332	0.0016945935251247387	0.056059544458652716	0.00019753451241350767	0.03172458545488033	-0.012170824339721418	-0.025603796519836967	-0.013315322294719018	0.021451313292085876	0.006041618313195483	0.018503938085606412	-0.0006747629847918039	0.02140829710666107	-0.0047359326575523095	0.0364446911774134	-0.013819376735409606	0.0731949104188061	1.8881710950933796e-05
ENSMUSG00000039740	0.026331634478804388	-0.006681031854999933	0.04230281866115807	0.012464585138877738	0.05112277711642881	0.012239406455565975	-0.056238171138699854	0.08726447425033257	0.013138900341800763	-0.0038337510353552975	0.012437924659233041	-0.01734389794832428	-0.017716029524594237	0.045101100542576336	-0.028308815926954722	0.1460544269836516	0.015836101575821104	0.004917619991855255
ENSMUSG00000028525	-0.006387359661266601	-0.004727403905807088	0.027638137933510214	0.03668928226265312	0.02168127519346724	-0.008518574097719726	-0.028949021359559474	0.06685497187570166	0.017679618975983302	0.0036244447257299077	0.019972333862071017	-0.008921343869691815	0.018224314202520225	0.02746242701118068	0.0020448231575366143	-0.02144383065720571	0.019472119217815425	-0.0008967327378871103
ENSMUSG00000057215	0.070966242444326	0.0019515494387405852	0.06396678328016736	0.018365336218474634	0.1208127736410201	0.024325734010303027	0.13529198102561557	0.01408194855058095	0.05434161865073293	0.004289179861292983	0.024068016293598962	-0.004414264490748922	0.12310253222115404	0.02153932621266514	0.043584849103146035	-0.021438059515172168	0.07182872230504082	-0.007264912198323665
ENSMUSG00000024962	0.16572381545641812	-0.0011085845788329606	0.06046763663860994	0.014521470789934808	0.05049577411960594	0.01170203788517808	0.06845985890205546	0.08280479269773683	0.09080034071536959	0.007252275098003988	0.016292708195435678	-0.006086781822575306	0.03424748813740734	0.010485604888448767	0.01820844506780434	0.043315329315347685	0.11402044687550057	0.011038973969594476
ENSMUSG00000037270	-0.01511452918496486	-0.004957965542780584	0.028356356596980603	0.011148573391203951	0.02263607705551424	0.002293075604913091	-0.01586890279509784	0.09932819433085699	0.003973342179025557	-0.008597383032455191	0.00630060293515271	-0.010101697489153594	0.07129956423757124	0.023664329388624797	0.007610747119464837	0.07743120483469933	0.02001031565861402	0.0028564946807299357
ENSMUSG00000021572	0.10056801952361769	-0.005294104959648394	0.05548823692801567	0.0068072970037714444	0.0532707870593835	-0.0015058275317902112	0.012130758166365142	0.15292651079814407	0.055482460044653896	-0.005535350679617425	0.027859415866415865	-0.006393104763057116	0.07429425148888445	0.016184911242037612	0.04241362495226245	0.1157617874954927	0.05434488582667265	0.0055728748819612
ENSMUSG00000036402	0.09110757786154733	0.00011117888459141665	0.06377203173773784	0.023205864443661996	0.08416746113289264	0.0019934102404347087	0.14699007150039897	0.11449668793907872	0.056158784984628646	0.0051479381844858705	0.03400732097695384	-0.000950326471632122	0.09591583712173295	0.02121581409664941	0.049198068209417606	0.08922789698873593	0.06863753289375642	0.012598737168004196
ENSMUSG00000069045	-0.12354648382537496	-0.028792272106745388	-0.17645922801552194	0.012263566123328929	-0.32204997880541797	0.03102740363475667	-0.35744510288905074	-0.01531003051251381	-0.11471965599425207	-0.0031032957871925	-0.05147339688855936	-0.003623995432592762	-0.36661413115771213	-0.09189714649260818	-0.017754900562574352	-0.02506100656394535	-0.3590767829388824	-0.157358573467861
ENSMUSG00000015880	0.04130831241192417	-0.006782752527994619	0.030439649974219458	0.02624668021955066	0.08386367204090805	-0.003777531011603839	0.014748652749247932	0.11870522737236959	0.02572400128010486	-0.006097155276464556	0.03238974753471017	-0.009205224041891467	0.0982425109574511	0.04497441044734712	-0.012316684417523252	0.17741195787362551	0.030958597689511536	0.02111612010290368
ENSMUSG00000030286	0.09803735583653049	0.001978026521776753	0.061915688801465356	0.02642505411557587	0.07240034328741396	0.024016359364265685	0.07574435889255256	0.12256575765511246	0.07232985048722185	0.00814726317151196	0.02980992706926762	-0.0043108114461574585	0.039001243009553425	0.024372688414171405	0.05672672159492192	0.1068857037412142	0.07725140610834517	0.0028891344307079895
ENSMUSG00000074221	0.08892004520779274	0.0024737814197481256	0.055509680483711625	0.014624883683453455	0.09528302714908413	0.021444155210182152	0.21703980869055417	0.05347819506129911	0.09744368991841838	0.00480376784926193	0.028390046150382528	-0.002500442524407325	0.13897285036275986	0.015711125061092648	0.05162159594448375	0.0416517441380295	0.0928831154944159	-0.0009312792254474647
ENSMUSG00000050705	0.08517871843629499	0.0030894421419524016	0.072566125103536	0.016335996342708572	0.06874449506129687	0.005201490592376753	0.12703993825507495	0.083707498952156	0.08755554690568325	-0.0007316843184266222	0.02882701194951421	-0.0034225438927803354	0.011157056287005876	0.02794809404692517	0.0006106147332632515	0.039301356880371584	0.10829103010601102	0.011168871170437862
ENSMUSG00000085643	0.06279306165778767	-0.0028964360195719305	0.05047137875288692	0.004503870319396291	0.03169374853168847	-0.01695782177552506	-0.023134605870992735	-0.02143033035890117	0.04470428579477032	0.006978327757782868	0.018240729223381484	-0.004777812799303709	0.06092748238474347	0.007785608190923605	0.027835463135189847	-0.017603965033205375	0.05275431080238247	0.0030055978946360745
ENSMUSG00000118576	0.08021253049781275	0.002810378448017608	0.06070640700475321	0.001838888444919056	0.054965899227084135	-0.010116676272614963	-0.022967369304673673	-0.011522755554688046	0.10386130437568032	0.014413610286854756	0.021014206607157707	0.0004520148088236705	0.08180144737234514	0.006779639853864085	0.032313329647149655	-0.019825864665472183	0.08558176023042116	0.006888698094397633
ENSMUSG00000026718	0.044889300246404674	-0.00483991079030862	0.04723193427479211	0.02878774697804017	0.08291745200674216	0.002358047892786479	0.20978788083022146	0.09641741134971328	0.04168779209105976	0.0022798855124554914	0.027764398245692844	0.0009506648201879995	0.1258711482973922	0.023253468166746772	0.04571716327939482	0.1182630982770466	0.06319762393715271	0.015044694213507423
ENSMUSG00000063011	0.12397168843604699	0.0008989672437175094	0.058762284756682805	0.00248354900434476	0.05495489373144145	-0.004304077954735216	0.08462901801272632	-0.017522540554481176	0.04739250744814853	-0.0015449267204011058	0.01199877023180826	-0.0016394439373211105	0.05381762252608106	0.023858351428966022	0.04637563290377459	-0.01190918412139581	0.1265490872989046	0.003928029913861662
ENSMUSG00000059248	0.10550253244502658	0.0010884509479313108	0.060377525951155676	0.008725915047190419	0.08016877383376725	-0.006237655156188079	0.2205891215311567	0.0671592382104661	0.10515439957274404	-0.0019679982161895687	0.03282954930542214	-0.0029164345735417947	0.1390030700371556	0.018979478389831328	0.04572673367355102	0.01987028233275591	0.09601145202744062	0.0029370988359005423
ENSMUSG00000031070	0.10746091381385472	0.00800346312768982	0.04855704528012471	0.005637212354330196	0.04753730465459479	-0.00637254517016897	0.1445461196537508	-0.021589105761190046	0.1074294630937142	-0.007215364118643005	0.02496151677184701	-0.0008971823412658913	0.13509730679286025	0.00010864528908963881	0.10898254338718678	-0.00944521985864932	0.12054884178920215	0.0180620309821409
ENSMUSG00000086585	0.06547072461473492	0.0024651184803750376	0.05427035192704872	-0.0047230144964227555	0.08070599599277557	0.0025541616183155772	0.21814268184610097	-0.020973844289203823	0.0655629527111874	0.01016342703663083	0.03288605061469363	-0.002864659966144245	0.12016111129237937	0.0015982546639081972	0.044129934589636835	-0.014373312107272796	0.09885995701876839	0.004929300774736995
