	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000037348	0.027238476014768562	0.04345351364735767	0.010161933506346291	0.03818344580196416	0.023242331523709123	0.041781905190899644	0.06234042465996156	0.15774838940486527	0.030654302301718415	0.06826504528585896	0.004558606816811204	0.007215526687988521	0.01945591305411329	0.07009634877921209	0.0027297068500307174	0.4106700119191633	0.010002846541699131	0.09540729857820095
ENSMUSG00000020962	0.016355638151123588	0.0481730183138812	0.004596625635771748	0.09019454791458494	0.017019192081378216	0.0814409624401508	0.07222921912756906	0.11381381687579051	0.004462551642089758	0.05231705785173679	-0.002191663580457056	0.021080474620898064	0.009547692484193248	0.08012778922872843	0.0036271989896574396	0.47300822647017154	0.005164642725659568	0.11966870286768036
ENSMUSG00000030980	0.02153612343532976	0.03647071912449584	0.012382268924307027	0.049497332547499745	0.005741989055052597	0.029238418068468622	0.031534729121014085	0.2227404845363448	0.015820115195362763	0.08384460809897323	0.003950167754555878	0.020473694411936905	0.018741269941837606	0.06182043677174858	0.006327272304822275	0.5879640333321992	0.004669765102283106	0.15136034691102915
ENSMUSG00000113900	0.01378562647882323	0.05080079284536753	0.0028495960986154906	0.0651735917987805	-0.0002690628750250263	0.04591988377249306	0.0179987115523675	0.21317748399282468	0.014429174613620229	0.04351011324156388	0.0011114805405928305	0.03326765519647909	0.009778652757267992	0.07223656615008492	0.003330147065350632	0.690995879710811	0.00548668742785594	0.2016797951724584
ENSMUSG00000021252	0.017109482191225264	0.04694049449123148	0.007329292266795814	0.04441835352272392	0.0025432401604185933	0.02614361075139381	0.003487430095550995	0.2049734591172507	0.01653247287024767	0.05357797622740951	0.0016989044633581734	0.028970989619457602	0.008885594184955282	0.0788724287439306	0.006881673666677151	0.67868545241511	0.00770596648198989	0.20953538738859998
ENSMUSG00000083994	-0.013333210427510624	-0.02079042052677583	-0.01064043630238822	0.02736555368116699	0.020012163743038918	-0.025390099191359435	-0.010192177108248351	-0.07626895708565695	-0.026573114665370667	-0.05295390666633466	-0.00676255727586457	0.009784386349240646	-0.0010159018099005022	0.017691065619380553	-1.3397786018945875e-05	-0.23940786217166793	0.0060997160665205484	-0.030755998056624125
ENSMUSG00000000805	0.014259988191601484	0.023857046132687694	0.014921085762593326	0.02852113426242795	-0.010104690004638022	0.004428501099157854	0.018093287161770735	0.18236320275946127	-0.006372798514504601	0.06371361875775879	0.00033549988381439884	0.014389651434105743	0.012242332413526518	0.07022299783883292	-0.000955480597622227	0.16022244970328237	0.01920601980023743	0.09139418593219618
ENSMUSG00000031266	-0.004859883227753211	0.02254386126267361	0.004004164209722408	0.05556140461204839	0.0196727207314195	0.024736041863434366	0.030884058116602577	0.3460869909300007	-0.002027659192390274	0.03619070284576083	0.004827757890052453	0.016200085270533498	0.001839251095225336	0.07490256933394579	0.002618443618744745	0.6693011197807469	0.004585565345405484	0.09584496129370694
ENSMUSG00000017132	0.01986638931947969	0.04156835014813234	0.00758482036389166	0.059942476045775295	0.006777987013934502	0.03766941812620124	0.03350282816936669	0.2266295892603791	0.03352534214393797	0.06201620311793314	0.003756691300778974	0.016458672589487834	0.014387350732795312	0.05145162112624218	0.008169759631722886	0.5319202883448659	0.009226026747325835	0.11845673467905726
ENSMUSG00000078787	0.020588291602332123	0.08214081748038292	0.019853296265292947	-0.0010506922212048916	-0.005807122383833172	0.0024553940589352613	0.03946401709694588	-0.015737499692477286	0.01851312701466148	0.08482606525089327	0.0010314168315484753	0.013047395600473724	0.028343850231119308	0.07868733288799246	-0.0032936116236929333	-0.03739278742962467	0.01916896205168866	0.07098637509305783
ENSMUSG00000037577	0.05046920071196967	0.03437177170824595	0.018380192740616103	0.022253783135381257	-0.014282692944522881	0.03453155832430639	0.014509717851277465	0.21907865807628957	-0.001130617670839586	0.06706823466165587	0.002339012069907247	0.009077005901807362	0.015520715889082177	0.058788197627758824	0.0035798965269480377	0.29007412462124194	0.009651427590298616	0.10685908234702635
ENSMUSG00000003882	0.013206165882872612	0.07233515487433968	0.0035874158185963878	0.04986995920129889	0.015406813455696725	0.03718097373492648	-0.0024880492949575584	-0.023782780021896804	0.01623606436241971	0.09007144683729555	0.0003487112267196478	0.0012944229062018817	0.02451644177240918	0.10400784872810098	0.0009634546370372326	-0.06745637137503634	0.0144343102113323	0.09654676071895665
ENSMUSG00000025465	0.018643764015652257	0.04783599344550567	0.009505395349888854	0.06055890213204163	-0.0038603854574765658	0.06380043461660664	0.0070993894867180125	0.22888381780979086	0.01494974894963629	0.06324177080862553	0.0023204083293811503	0.023525653147641736	0.02145808585155464	0.058470374138544556	0.005860067212714577	0.6375644883351924	0.005998430009237512	0.1286525255825836
ENSMUSG00000116116	0.034792973536923455	0.07400729956808132	0.008453961948082777	0.05878639555654185	0.009005520573581244	0.05869953453199222	-0.006151693271561141	0.1653440460514243	0.03131046295141329	0.09397193537853517	-0.001339996576773826	0.021740258703435496	0.01660007455320413	0.03653558989969627	-0.0054468203438903275	-0.07655072808660666	0.013490318836777858	0.11840180328703614
ENSMUSG00000112397	0.008082256264372388	0.043689406425359525	0.002504350864390809	0.049989518755787034	-0.005620232129331271	-0.015908765370685224	0.01644633717733086	-0.0805996035613394	0.016255706380200408	-0.008517099799844021	0.004357856339421622	-0.006914914663190887	-0.003287670392585694	0.010608715166589329	0.0031230240690222543	-0.15325387921080358	0.003426424371056263	0.11383321263160075
ENSMUSG00000022160	-0.004853958950978462	0.02331189087034805	0.005068439471090512	0.049061500575771785	0.009076587219104633	0.02330108542070905	0.01698398249604257	0.2873339436448337	0.0025550799223960246	0.021302919000091996	0.0034909713781287014	0.011466743061828311	0.015686567231231102	0.06327469734096666	0.004939648804481424	0.7332671467978539	0.0022153200790074024	0.0934490362292958
ENSMUSG00000117635	-0.014425878945768642	0.008888601010396867	0.004512616604967791	0.02730604978623887	-0.0038881422909980757	0.012907185800161512	-0.005971328453337524	-0.08843524762848703	-0.010300207864773776	-0.006338790739261769	0.003693577670596174	0.013719003600064233	-0.000936920716750527	-0.0009680645413027378	-0.0025920130033487763	-0.1773022260541828	0.0036345707271331256	-0.003706459804197948
ENSMUSG00000050608	0.017596731101912157	0.03531516519627595	0.011092121818192677	0.04189427049598505	0.0008012949124024869	0.07472003144462178	0.03244961160038916	0.24215887806341405	0.01656063087139046	0.07321946462119351	0.0021925632085965066	0.01873653808587343	0.01772542300308747	0.06894840018493206	0.01053953555202887	0.547056133152312	0.006098556487982673	0.14126524594578638
ENSMUSG00000037887	-0.013223584126184766	0.05498996218517667	0.005622381499519439	0.030248890145126748	0.008850822469321428	0.0004423817999590288	0.073691105798181	0.1898159912362254	-0.003915062913425312	0.07369319863629634	0.001485427509292744	0.005193756996621752	0.008031344837153093	0.017451560421665947	0.008152294304792512	0.44650701025753475	0.005873233837506372	0.11975248028104812
ENSMUSG00000117123	0.010503113165265988	0.03791663220827753	0.006311666775582125	0.039847122609119524	0.005547680747440609	0.02399333376120012	0.00020137218021513295	0.35105522324400745	0.0036358994460117954	0.051328140640362105	0.007107369560253573	0.016584040550463086	0.0017563023832865708	0.06632108585604977	0.005139733805871012	0.650546183617137	0.003090318227467443	0.10374261081404776
ENSMUSG00000021999	-0.011183867190564863	-0.05216170978859347	-0.010965967981454534	-0.03975980080956235	0.01492889219015134	-0.0628240018681806	-0.02279414056834607	-0.07937476997293354	-0.022896673215395173	0.030524144319744144	-0.002402608846283069	0.012913584193406028	-0.001651546284379687	0.01407497211678544	-0.0033149829299483308	-0.13653730748332496	-0.014369245607018197	0.08839693581286545
ENSMUSG00000090581	-0.013439293166002082	-0.06458014477024594	0.0018666813459406381	-0.13660124630469	0.003436211629897506	-0.173774730711427	0.009882403939497766	-0.12594623045377895	-0.02166434878506282	-0.2897794635793746	-0.0313702544725077	-0.1166106697446464	0.00832098444136266	-0.43457930840748826	0.024497701641355108	-0.15183622066607702	-0.008112616746400039	-0.556675679563276
