	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000048332	0.04305953837142812	0.0	0.04892875062406953	0.0	0.03474282728080249	0.0	0.08306252051755002	0.10512407701652153	0.035767327545704976	0.0	0.0	0.0	0.0	0.03960973228269294	0.03207094762293794	0.04710300953527864	0.05364867809455605	0.0
ENSMUSG00000117427	0.045298206366449136	0.0	0.05720830039835585	0.0	0.061468225768448015	0.0	0.270956181144056	0.0	0.05541570188985588	0.0	0.038496952591339305	0.0	0.09398051016003987	0.0	0.08667785063077121	0.0	0.07363277715195664	0.011621585570523396
ENSMUSG00000030428	0.05217231291872831	0.0409066185762873	0.06103189651034704	0.0	0.06008742760729826	0.0	0.18384168943427798	0.05080321008985149	0.053397562995420235	0.0	0.0	0.0	0.06411413746827467	0.0	0.07137457057891701	0.0	0.07282500978407667	0.0
ENSMUSG00000053580	0.0	0.0	0.01905940580552448	0.0	0.03321650376463042	0.0	0.0	0.09708204003842366	0.0	0.005717898454869274	0.009854588904165672	-0.02462547899901818	0.04609161793142305	0.014632650138020172	0.0	0.0992824272736027	0.025973378270819088	0.0
ENSMUSG00000085223	0.00625067142444297	0.0	0.045162477353658886	0.0	0.014915035212459548	0.0	0.21323223054773208	0.0	0.003644513033871699	0.0	0.004329746284175277	0.0	0.030427875732478342	0.00798912834582923	0.05348083128025339	0.0	0.042051313592847285	0.0
ENSMUSG00000059796	0.0593166762018763	0.0	0.03283687128306523	0.039499782507370525	0.06925307235347486	0.0	0.2442369786981536	0.05115769011646679	0.05973847516376199	0.0	0.0	0.0	0.048968677842708426	0.049542310111177726	0.0	0.0	0.03773293983083899	0.0
ENSMUSG00000039985	0.046575936584556776	0.0	0.045827740319950225	0.0	0.08445015362975301	0.0	0.1997833435556533	0.034213853810407535	0.049489399070941235	0.0	0.03564129802488456	0.0	0.08939514325092207	0.0	0.06760284999915635	0.0	0.052046701805847244	0.0
ENSMUSG00000031342	-0.07184779262900505	0.0	-0.048400104152869564	0.0	0.0578244482941217	0.0	-0.1053189431918772	0.0	-0.05082290311076865	-0.02225960351042129	0.0	0.0	-0.034482593506955914	0.0	-0.03443897633016329	-0.06257943201984431	-0.03873765094912583	0.0
ENSMUSG00000023032	0.05658632902786094	0.0	0.05227828878148635	0.0	0.08275226480035594	0.0	0.14646888130899302	0.07238739677167134	0.05533642391104399	0.0	0.0	0.0	0.09605161347740548	0.03456126018614447	0.08171196741379266	0.0	0.06282053703875455	0.0
ENSMUSG00000020601	0.0	0.0	0.04152592542283906	0.0	0.011812584597208242	0.06214171511177229	0.1499556989347894	0.0	0.013947646237741671	0.01387137095201943	0.0	0.014213427613615855	0.0	0.0	0.0778102503473301	0.0	0.035999033563072824	0.0932588765238079
ENSMUSG00000026163	-0.00627035700683024	0.0	0.0	0.0	0.0	-0.027240692359147146	-0.06740325777663769	-0.03834197911827855	-0.016906674668340838	0.027434198830148287	0.0	0.0	-0.009826497512453403	0.029089797532302307	0.0	-0.05343913004126458	-0.004231690187395498	0.0
ENSMUSG00000001288	0.06046299200988096	0.0	0.05005265663762805	0.0	0.08125259691829011	0.0	0.18809026408529217	0.05957315003192353	0.0466764415014518	0.0	0.03381470288510757	0.0	0.08519089269929234	0.0	0.08385016631722397	0.0	0.06180090511362137	0.0
ENSMUSG00000025737	0.07394306117234217	0.046095035629289384	0.04974692486039217	0.0	0.01966697111506599	0.0	0.035502722537450834	0.07561076399366176	0.0	0.048659361887570605	0.022854296201980494	0.0	0.0	0.019789725933674025	0.0	0.0	0.08465776710380295	0.0
ENSMUSG00000038009	0.04197804874980047	0.0	0.04535368522704304	0.0	0.08459590388809353	0.0	0.05842545801741535	0.06375657294840582	0.05228983904167677	0.0	0.025503918899405297	0.0	0.04319585633699516	0.02220629409976438	0.0	0.0	0.05862215766385922	0.0
ENSMUSG00000021140	-0.06404572874177338	0.0	-0.04700016688520293	0.0	0.05463800107235757	0.0	-0.08103745269240101	0.08359906956351204	-0.03041185280347881	0.0	0.0	-0.030277377020888365	-0.04487525529459389	0.03274781312761396	0.0	0.111866229156178	0.0	0.0
ENSMUSG00000027843	0.03818729398612324	0.02497197359696371	0.024108307713482185	0.0	0.013265937846466434	0.0	0.0	-0.07441602429406954	0.032268689183148146	0.0279299961913387	0.0	0.0	0.01571466330735511	0.0	0.01747525933417768	0.0	0.03486887828396697	0.0
