	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.07842320948839188	0.019968533888459206	0.08607839792966843	-0.005786065943539143	0.04300603270530701	-0.014423804357647896	-0.03553278371691704	-0.01616930030286312	0.04476073384284973	0.015359189361333847	0.020989228039979935	-0.00975964218378067	0.06172706186771393	-0.0010523872915655375	0.02568863332271576	-0.027647502720355988	0.09500240534543991	0.006920311599969864
ENSMUSG00000097217	0.09325387328863144	0.011839446611702442	0.08260342478752136	0.021796317771077156	0.05746126547455788	0.012762661091983318	0.07542845606803894	0.04803367704153061	0.09656834602355957	0.016862966120243073	0.023277590051293373	-0.014554438181221485	0.09957905858755112	0.04172561317682266	0.06514932960271835	0.1181425005197525	0.07881251722574234	0.022747619077563286
ENSMUSG00000110554	0.08529723435640335	0.016730064526200294	0.06453990191221237	-0.005346828605979681	0.04846522957086563	0.0009120713220909238	0.03779518976807594	0.01396937482059002	0.07363679260015488	0.013449307531118393	0.019547203555703163	-0.00775118637830019	0.06755797564983368	0.02183334343135357	0.015988202765583992	0.05735315755009651	0.07704044133424759	0.007022960111498833
ENSMUSG00000060743	0.08534812927246094	0.011582071892917156	0.04038325697183609	0.03702852129936218	0.054217904806137085	0.006251321639865637	0.2434811145067215	0.04252806305885315	0.08719819039106369	0.01067589595913887	0.02856774628162384	-0.014911582693457603	0.10555844008922577	0.040202546864748	0.04706751927733421	0.15018720924854279	0.05195101723074913	0.02505466528236866
ENSMUSG00000079502	0.09750214219093323	0.009821995161473751	0.08244447410106659	-0.0005418455111794174	0.041054945439100266	0.0016930184792727232	0.08735397458076477	0.04385286942124367	0.08015046268701553	0.016955949366092682	0.01851143129169941	-0.014529888518154621	0.08372268825769424	0.027389531955122948	0.06452511250972748	0.04213845729827881	0.0836566910147667	0.013013137504458427
ENSMUSG00000074647	0.10760266333818436	0.027214916422963142	0.09113873541355133	-0.002489811973646283	0.04305623099207878	-0.011912361718714237	-0.023443227633833885	-0.006294593680649996	0.10102143883705139	0.024452850222587585	0.01967357099056244	-0.008092446252703667	0.05851685628294945	-0.02508491836488247	0.03659268468618393	-0.025732817128300667	0.09331855177879333	0.003678741166368127
ENSMUSG00000045333	0.1039305329322815	0.009601840749382973	0.08639034628868103	0.0011086937738582492	0.050071727484464645	-0.001930495840497315	0.19434145092964172	0.034348078072071075	0.08675087243318558	0.01142037007957697	0.03696390241384506	-0.011480577290058136	0.10889717936515808	0.018367188051342964	0.07980320602655411	0.029941262677311897	0.08001655340194702	0.007196666207164526
ENSMUSG00000029766	0.07663551717996597	0.030535664409399033	0.0921744555234909	0.00014742465282324702	0.048936933279037476	-0.013568473979830742	-0.07946904003620148	-0.0167560838162899	0.09271411597728729	0.02900811657309532	0.005958604160696268	-0.007754881866276264	0.09335106611251831	0.0020731305703520775	0.06580750644207001	-0.029819078743457794	0.11640941351652145	0.005733128637075424
ENSMUSG00000022469	0.10646558552980423	0.008051457814872265	0.0875326469540596	-0.0032197139225900173	0.06048498675227165	0.004105182830244303	0.20983335375785828	0.0413551963865757	0.09047757089138031	0.013329033739864826	0.03083244152367115	-0.009086672216653824	0.12515756487846375	0.019830791279673576	0.07376927137374878	0.061410561203956604	0.07725664973258972	0.008527196943759918
ENSMUSG00000040680	0.10931281745433807	0.015322861261665821	0.08885941654443741	-0.005461118649691343	0.0691903680562973	-0.004959773272275925	0.1569076031446457	0.013930845074355602	0.11301758140325546	0.0095881512388587	0.02054603584110737	-0.009108223021030426	0.12906253337860107	0.006266497541218996	0.0919850543141365	-0.030496390536427498	0.08696076273918152	0.002941712737083435
