	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.008264402047797631	0.04654208703064525	0.0	-0.027032731364622756	0.00869176384832238	0.0	-0.02777733176139017	-0.11722817515961857	0.0	0.04642145452465379	0.0	0.0	0.0	0.0	0.0	-0.14256083942119435	0.01701474948944475	-0.013941112490775094
ENSMUSG00000097217	0.0	0.024641957543423038	0.0	0.08261241947456435	0.0	0.06726048604397805	0.0	0.16241026699372924	0.0	0.04631156903891007	0.0	0.014173975307127273	0.020593463316892525	0.044500880521468014	0.0	0.4054906559936248	0.0	0.08586801008156698
ENSMUSG00000110554	0.007389309476777295	0.02538140141610148	0.0	0.0	0.0	0.02429423584951406	0.0	0.05970187842341652	0.0	0.03759720432653053	0.0	0.007880483375521025	0.0	0.03113249980846482	0.0	0.30351571191661053	0.01063494335991105	0.029455945199259644
ENSMUSG00000060743	0.0	0.02839070195836981	0.0	0.1020494967330616	0.0	0.051886008283167716	0.05002701732082393	0.12833025616748364	0.0	0.04005882680330098	0.0	0.0	0.0207063785618391	0.04686043653474091	0.0	0.4968255409080661	0.0	0.08270301529949638
ENSMUSG00000079502	0.01184852397946956	0.019583012233394502	0.0	0.027289579487277144	0.0	0.038048834908889856	0.0	0.17077926567581078	0.0	0.05150077426037658	0.0	0.0	0.013397311114734797	0.04258696821587755	0.0	0.15744374433623756	0.0	0.07338603774466503
ENSMUSG00000074647	0.011679787059777156	0.043457737686402764	0.0	0.0	0.0062366660744957725	0.013869301639192689	-0.026014080645147982	-0.03827517813531255	0.0	0.07116609257648215	0.0	0.0	0.0	-0.04890554156970252	0.0	0.0	0.013289085311105451	0.03872832846837249
ENSMUSG00000045333	0.0	0.019776624289246425	0.0	0.03689850432956822	0.0	0.037030993166033845	0.0385549719500679	0.13315161540723336	0.0	0.04283545226048038	0.0	0.0	0.021399725458716802	0.04112525273526629	0.0	0.13634733169937363	0.0	0.062322639307902127
ENSMUSG00000029766	0.0	0.059990807730951196	0.0	0.0	0.013339963981031391	-0.026912147832828866	-0.03422516059201092	-0.10759857196865692	0.0	0.07410207859595513	0.0	0.0	0.01548693123013154	0.0	0.0	-0.1109128572983496	0.023023968484519385	0.024055831713545885
ENSMUSG00000022469	0.0	0.017690837922249344	0.0	0.017976661014179274	0.0	0.062266783465060996	0.04189950325907348	0.14521182835373386	0.0	0.05324328795994239	0.0	0.0	0.023982190509505643	0.036179726420756425	0.0	0.2618450823889222	0.0	0.0679402414798076
ENSMUSG00000040680	0.008405776884407634	0.030082006252511864	0.0	0.030099809641105774	0.0	0.03178452596229428	0.01650108427549564	0.08006753891411619	0.0	0.015456297028604836	0.0	0.0	0.017488592342407766	0.018687423539379477	0.0	0.0	0.0	0.059320284931503854
ENSMUSG00000022311	0.0	0.02309452684772867	0.0	0.016269969103737465	0.0	0.05652124331088772	-0.024573428653867024	-0.07337994499653656	0.0	0.08634430484046075	0.0	0.0	0.0	0.012232944438361926	0.0	-0.13733661853798462	0.008555383975278955	0.04808920250649463
ENSMUSG00000001627	0.0	0.0	0.0	0.09672844128952013	0.0	0.05399654964849428	0.037762739992090906	0.17723308774461186	0.0	0.041274744148318554	0.0	0.0	0.024883565460957952	0.051437648739224635	0.0	0.5562530166274284	0.018931419898125856	0.11135510029455715
ENSMUSG00000087591	-0.011275011077958252	-0.03147179092099086	0.0	-0.04185094700864921	0.0	-0.07354136418323513	-0.025362558812950815	-0.10839405995432413	0.0	0.0	0.0	-0.015635780490381824	0.0	-0.041562506351488455	0.0	-0.2929474766524333	0.0	-0.06419206163397598
ENSMUSG00000013089	0.0	0.03588852743092451	0.0	0.07177342299510794	0.0	0.09218516438553727	0.05064588268597009	0.14164546494435412	0.0	0.030916142601989553	0.0	0.0	0.022922995358674148	0.03391588527055508	0.0	0.35436440417811205	0.0	0.0910775809630831
ENSMUSG00000078518	0.004190059379587385	0.04497497768248924	0.0	0.006417688581331945	0.0	0.0	-0.01329999229881046	-0.2035507987711604	0.0	0.00776664630734506	0.0	0.0	0.0	-0.0430222735316063	0.0	-0.1545847724860876	0.009761268811374759	0.022298348549679957
