	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.03688252788179683	0.014329586607429485	0.04847156396918119	0.0	0.034045558763661304	0.0	-0.06795407934078065	0.0	0.019106270842020448	0.01030785783289442	0.014788941000994317	0.0	0.026205303907472034	0.0	0.0	0.0	0.05430238112696912	0.0
ENSMUSG00000097217	0.07521112084113295	0.0	0.07816041514299658	0.0	0.060946856347487595	0.0	0.05748296742041026	0.06314348046176409	0.08291266764645928	0.0	0.0	0.0	0.08536756450189285	0.0	0.06094221877674848	0.12137014231244388	0.06888651197602451	0.0
ENSMUSG00000110554	0.05548170090578177	0.0	0.0426833673948168	0.0	0.04403439187575216	0.0	0.0	0.0	0.05186334562639844	0.017650726203884026	0.025423040331060912	0.0	0.040148560596993926	0.022699215771123257	0.0	0.05934749917664594	0.051642355942959295	0.0
ENSMUSG00000060743	0.06869715858150975	0.0	0.0	0.05205267860811136	0.06192365910337045	0.0	0.2240277709135017	0.050303085825736414	0.07198287352011604	0.0	0.0	0.0	0.08107610516366075	0.05419321567727342	0.0	0.13723455767089188	0.05381471492449849	0.0
ENSMUSG00000079502	0.07065852062256503	0.0	0.06701879910364004	0.0	0.04326647829829655	0.0	0.0666824583043304	0.054596792543904794	0.06280284243017102	0.0	0.0	0.0	0.05826330485621082	0.0	0.051339081132464666	0.04101981247691815	0.06600076591810583	0.0
ENSMUSG00000074647	0.06032657904443379	0.011403746564755525	0.042295649250525855	0.0	0.02956664051777952	0.0	0.0	0.0	0.06590320879602826	0.012563583531221178	0.00767047732283449	0.0	0.01900905833261096	0.0	0.012134664648247967	0.0	0.04527711080015617	0.0
ENSMUSG00000045333	0.0773550639306436	0.0	0.07217077068555161	0.0	0.05359101057596997	0.0	0.16486587890747567	0.04182520908291065	0.07015637899569391	0.0	0.03435934233210225	0.0	0.08059903893499089	0.0	0.06503085788144865	0.0	0.06871892258110301	0.0
ENSMUSG00000029766	0.03551420409903922	0.021736836829467882	0.052197097755921254	0.0	0.04473559750998629	0.0	-0.10642044769411435	0.0	0.06473569428287564	0.024037591731723332	0.0	0.0	0.06079194097778253	0.0	0.0444726218204486	0.0	0.0732500748788709	0.0
ENSMUSG00000022469	0.08356999265548389	0.0	0.07703931669387146	0.0	0.064657473479703	0.0	0.18112939535848305	0.048916780141536664	0.07171126843486117	0.0	0.0	0.0	0.09968024401478891	0.0	0.05951917810195528	0.05552644505515377	0.06729656124265236	0.0
ENSMUSG00000040680	0.0753421354267431	0.0	0.06455237593484969	0.0	0.06487345937583691	0.0	0.11933665123202514	0.017649078140951548	0.08881467403639948	0.0	0.014665430492020182	0.0	0.09236200384992921	0.0	0.06897961255339129	0.0	0.060224868589162865	0.0
ENSMUSG00000022311	0.0	0.0	-0.024761741638268248	0.0	0.03985341109784517	0.0	-0.034692399111100246	-0.020420544846114955	0.0	0.03388717639389417	0.0	0.0	0.03501319011439012	0.0	-0.04127926002975795	-0.026962323456400733	0.020748890468556828	0.020820581474218013
ENSMUSG00000001627	0.0	0.0	0.04681922769163787	0.04735101079742022	0.05603063796675104	0.0	0.14286084876392696	0.07402138552481136	0.048294330802059554	0.0	0.0	0.0	0.08606474068539931	0.05685888365837943	0.0	0.17050688004592726	0.0	0.049597928316425954
ENSMUSG00000087591	-0.04004245374784666	0.0	-0.04101107603882502	-0.0031130507727314405	-0.010280225547816109	0.0	-0.060573946716628566	-0.026949007103650315	-0.016937784380349517	0.0	-0.007257681909073759	0.0	0.0	0.0	0.0	-0.008818533432368655	0.06259244442792303	0.0
ENSMUSG00000013089	0.06927444222250301	0.0	0.07405234696822532	0.0	0.061899749830224435	0.0	0.24898435723253243	0.04771980411125176	0.08089654562114762	0.0	0.0	0.0	0.1009154187989517	0.0	0.06572300220242128	0.08242998295129074	0.07099166390464474	0.0
ENSMUSG00000078518	0.0203598221570595	0.015756829590482458	0.015672320930613146	0.0	0.03081157288927989	0.0	0.0	-0.04609972813248871	0.0463664839065207	0.0	0.022724781811373655	0.0	0.0	0.0	0.0	-0.03938079996181822	0.01291283283698099	0.009210007792482544
ENSMUSG00000028519	0.0418674474519039	0.0	0.03889504188416739	0.027270800087527025	0.029428443997337676	0.0	0.0	0.06370740692427679	0.03818118065595079	0.0	0.0	0.0	0.0	0.05005865993900665	0.0	0.0969383722576885	0.03988850493532011	0.031623299667915224
ENSMUSG00000024960	0.06921048413884259	0.0	0.06595313878821775	0.0	0.03315522552182024	0.0	0.05867666991579608	0.039352093064324814	0.06387561235221922	0.0	0.0	0.0	0.052263014657351343	0.034750471417566764	0.0	0.040444537953523034	0.06154852118222805	0.0
ENSMUSG00000025377	0.069652175738926	0.0	0.07196608357227952	0.0	0.03314380232858043	0.0	0.0	0.051004181250219216	0.06087498872781435	0.027794179440374156	0.0	0.0	0.02751147812289306	0.041646088006130635	0.0	0.0861714936231987	0.05271986079782211	0.0
ENSMUSG00000085811	-0.030496444286304457	0.0	0.0269206528402203	0.0	0.0	0.0	-0.015073598828139773	-0.024939286230544092	0.0667751937077463	0.013306616199063283	0.0	0.0	0.042878400923638774	0.0	0.036991185082961564	-0.04552898112195553	0.01641960431240983	0.0
ENSMUSG00000097513	0.0885372969893483	0.0	0.08515509738530694	0.0	0.026612032732764815	0.0	-0.0803692565950726	0.0	0.10068667166825017	0.014798442856248428	0.01592289725731612	0.0	0.012569865490332177	0.0	0.027132406199968914	0.0	0.07111959401915299	0.0
ENSMUSG00000108558	0.0	0.0	0.016402876719343516	0.0	0.022628281842387684	0.0	-0.029929188097276672	-0.03205872165952153	0.06985173816837263	0.0	0.011593197207446974	0.0	0.01969223876692708	0.0	0.0	-0.04185822954556059	0.0355603591046148	0.011931289164437212
ENSMUSG00000114438	0.0872236985965094	0.0	0.03733465155350744	0.0	0.03876030866777124	0.0	0.0	0.0	0.04717392135458063	0.0	0.01026563114559986	0.0	0.03449601865397809	0.0	0.04561529779331599	-0.04700126768988973	0.05757321938973116	0.007147521714056859
ENSMUSG00000113145	-0.4923055938770124	0.0	-0.4017467758022382	0.0	-0.43400897504567965	0.0	-0.30966840208553714	0.0	-0.4122777252557576	-0.19801811473225417	-0.2141543314584936	0.0	-0.39168574627404396	0.0	0.0	0.0	-0.5127477554517244	-0.21926218130849573
ENSMUSG00000015966	0.05048931529476321	0.0	0.0600549186234673	0.0	0.01740936773894471	0.0	0.0	0.01834029042268474	0.07466012175573787	0.0	0.0	0.0	0.04709110548994044	0.017253827520440704	0.03431347392133682	0.0	0.05979078365564048	0.011726854819711807
ENSMUSG00000042029	0.02385819846305932	0.0	0.0	0.018520682060073092	0.023255939808523175	0.0	0.0	0.08223498185616512	0.02655810627504104	0.01565581531883642	0.0	0.0	0.025640483559781633	0.03511967392157072	0.0	0.15499302258870432	0.0	0.03392848916738725
ENSMUSG00000032327	0.07176114964266474	0.0	0.06867652863847792	0.0	0.0	0.0	0.0	0.041494880895045085	0.05996392389411677	0.0	0.0	0.0	0.0641961631402823	0.040216827778188614	0.05450149688988855	0.0696521089757568	0.06608420057457091	0.02880751312001184
ENSMUSG00000024921	0.032291025679013007	0.0	0.034020811516405736	0.0	0.022841657571272305	0.023768962589054237	0.0	0.02577585350762215	0.027252029866825435	0.0	0.0	0.0	0.0	0.03221661727838925	0.023089572966811744	0.032117352980377795	0.03491226483119271	0.0
ENSMUSG00000037787	0.076545299151928	0.0	0.07069035551037835	0.0	0.0	0.0	0.10968862681915251	0.08299204683662083	0.06815965357325374	0.0	0.0	0.0	0.08853868898704353	0.05148160688252401	0.061575129668747175	0.147639063689492	0.061563976703850214	0.0
ENSMUSG00000120314	-0.2775639157489383	0.0	-0.2700589473429985	0.0	-0.2511673745891021	0.0	-0.23265031483464327	0.0	-0.25691676010959014	0.0	-0.06466265670341931	0.0	-0.249978600159127	0.0	-0.11695684022989965	-0.04320189942618402	-0.27493587103527417	0.0
ENSMUSG00000073721	-0.011187602397748549	0.017270069376582278	0.06774854362639254	0.0	0.0236378210104671	0.0	0.0	-0.01320635652167038	-0.011514981183061143	0.028662235832151224	0.0	0.0	0.0	0.0	-0.03336094088415254	-0.042989054052594004	0.04985164652811937	0.0
ENSMUSG00000051355	0.07509829517029648	0.0	0.06490028884542082	0.0	0.05559190926431782	0.0	0.14372008566383895	0.07224654260679222	0.06644687104801554	0.0	0.0	0.0	0.09946041194460996	0.0	0.056724794099463516	0.11876362149074113	0.06300052325834148	0.0
ENSMUSG00000020019	0.050890613793524865	0.0	0.041401037249953344	0.0	0.0	0.0	0.0	0.07255604720051596	0.03931912340357031	0.0	0.0	0.0	0.06582142013907409	0.051613724264805864	0.0385991858609455	0.11590423172404034	0.05057497240402054	0.02961855481621567
ENSMUSG00000086166	0.06582290271680563	0.0	0.06269576465725894	0.0	0.028043338403254136	0.0	0.0	0.0	0.0639051636301231	0.017314610682265915	0.01182868430910553	0.0	0.03018750373435513	0.0	0.034078989039769414	0.0	0.06726328702081875	0.010111557535865234
ENSMUSG00000038037	0.0	0.0	0.04341728523223578	0.0	0.04972054752047243	0.0	0.2161166263698834	0.06042828756402588	0.06100550578426232	0.0	0.0	0.0	0.07452184365362845	0.04524132433824245	0.0	0.11244151012448347	0.0506519083059176	0.03257868291207733
ENSMUSG00000028370	0.010417281554097591	0.0	0.0	0.0	0.015501077747184863	0.0	-0.06027602882221861	0.0	0.0	-0.01171544152246187	0.007828941313755527	0.0	-0.01251607744263192	0.023460113094305627	-0.013065179344476095	-0.04277596637594658	0.0	0.008795079451864283
ENSMUSG00000087413	0.05636096371526658	0.014672670111564257	0.044944142190224835	0.0	0.045678166466265414	0.0	0.17013499912916627	0.0	0.057134674028638935	0.0	0.023968358720328847	0.0	0.06930920999310326	0.0	0.04983052124822252	0.0	0.05944738327436286	0.0
ENSMUSG00000000731	0.0795637149489275	0.0	0.0698192678366542	0.0	0.05172406376505652	0.0	0.24299773960282658	0.0	0.07288034982898986	0.0	0.0	0.0	0.08472715495702794	0.0	0.05988613032835393	0.03542848506772237	0.06750517072814943	0.029625039826664867
ENSMUSG00000094855	-0.08278395770922115	-0.033787292286523884	-0.15695810895242698	0.0	0.0	0.0	-0.16284763901470467	0.0	-0.035090957996380276	0.0	0.0	0.0	-0.12593240355529536	-0.06188649766353789	-0.053785796987063615	-0.03500321879614257	-0.1087100509961086	0.0
ENSMUSG00000096718	-0.48618355158200993	0.0	-0.4121889989417272	0.0	-0.44304618705203075	0.0	-0.2694150031477237	0.0	-0.4344674794004208	0.0	-0.19669515050373265	0.0	-0.4098355272915701	-0.19110128914654126	0.0	0.0	-0.5231634400723157	-0.21977897415316514
ENSMUSG00000116309	0.05565227931645877	0.0	0.046250758013209756	0.0	0.04426684731292259	0.0	-0.03526559483727654	0.0	0.04393468607201068	0.0	0.0	0.0	0.05371003250042489	0.0	0.023537602853587424	-0.04867760946101841	0.07165213936144656	0.013910003306443769
ENSMUSG00000021090	0.049827216511864655	0.0	0.04306058338970648	0.0	0.0427259793714156	0.0	0.0	0.07093023374636673	0.030799844343031926	0.0	0.0	0.0	0.05344242496156815	0.03967290559837206	0.0	0.1336394412511038	0.038084287862051876	0.026681257330935626
ENSMUSG00000027230	0.07682416338736513	0.0	0.07028372445939952	0.0	0.0472121521066875	0.0	0.19320490619796502	0.07609480106775364	0.0659047205980606	0.0	0.0	0.0	0.08670388051443631	0.0	0.060301032790623904	0.10823916748421351	0.06633270013506419	0.0
ENSMUSG00000045969	0.0719490555458128	0.021663526876041783	0.07899236157222306	0.0	0.06074887621089462	0.0	0.2651146220939681	0.0	0.06643118350177779	0.0	0.021404447186544235	0.0	0.08033210596376703	0.0	0.053849169461341204	0.0	0.08183563785895344	0.0
ENSMUSG00000043940	0.06858216001742608	0.0	0.06490836337689185	0.0	0.0	0.0	0.16062912284054603	0.09214493797076105	0.058924996413169596	0.0	0.0	0.0	0.08944958453055643	0.06163576292537094	0.05504014731605711	0.1649028904559564	0.05941762756799052	0.0
ENSMUSG00000021830	-0.054202526061131295	0.0	-0.05462837020337278	0.0	0.0	0.0	-0.09254143642544668	0.06548981342357753	-0.05421790643980156	0.0	0.0	0.0	-0.07147517927096636	0.04609521398906686	-0.022496450038453023	0.10211101140236578	-0.018891611180854057	0.0
ENSMUSG00000047658	0.08494614425727987	0.0	0.09054627534446862	0.0	0.038741918458858035	0.0	0.2582421448808463	0.0	0.058416582147478434	0.012441152859991145	0.03658315214247003	0.0	0.09394493673727558	0.0	0.06763900789118447	0.0	0.06313906709361639	0.0
ENSMUSG00000097150	0.1150372768330542	0.0	0.03930347581919364	0.0	0.06061147994380273	0.0	-0.12090120032505111	0.025173969602384126	0.05648145008969223	0.0	0.0	0.0	0.0	0.02834918490268397	0.0	0.08697296837756621	0.05587928475681621	0.015730567894602587
ENSMUSG00000037892	0.0	0.004314195583926335	0.028145217910723573	0.0	0.0	0.0	-0.04889150473276253	0.0212578944190757	0.012949382276799376	0.010081553005013252	0.0	0.0	0.0	0.004145014626427926	0.0	0.030205824849293166	0.021509276954479187	0.015819857604916273
ENSMUSG00000102805	0.048768058151773756	0.0	0.04636535916982571	0.0	0.0	0.0	0.04138324392046442	0.061987464115910954	0.041578466180842696	0.0	0.0	0.0	0.048078573330658556	0.05381107258649522	0.0	0.09512405676493133	0.04600663049961465	0.03985815463895681
