	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.08281946927309036	0.022336293011903763	0.08973594009876251	-0.00431891018524766	0.043404169380664825	-0.013303330168128014	-0.026647858321666718	-0.012772453017532825	0.04837523400783539	0.0163361057639122	0.018892785534262657	-0.010866772383451462	0.0639946460723877	0.0013019907055422664	0.028080426156520844	-0.022718505933880806	0.10313164442777634	0.008866154588758945
ENSMUSG00000097217	0.09720686078071594	0.013419571332633495	0.08553769439458847	0.023085659369826317	0.058901090174913406	0.016012398526072502	0.08267389982938766	0.050165873020887375	0.10094805806875229	0.017900465056300163	0.01830798201262951	-0.015619947575032711	0.10041435062885284	0.04643290489912033	0.0661822110414505	0.1271660029888153	0.0851464718580246	0.02670341543853283
ENSMUSG00000110554	0.08939079940319061	0.018777403980493546	0.06755771487951279	-0.0035123764537274837	0.04981166496872902	0.003713248996064067	0.04548173025250435	0.016730133444070816	0.07792835682630539	0.014299280941486359	0.015018695965409279	-0.008608297444880009	0.06879863142967224	0.02596459351480007	0.01788347214460373	0.06380218267440796	0.08379504829645157	0.0103029515594244
ENSMUSG00000060743	0.0890834778547287	0.013284778222441673	0.04342702403664589	0.03879968822002411	0.05573304742574692	0.009011387825012207	0.24974173307418823	0.045611005276441574	0.09146203845739365	0.011216853745281696	0.023856570944190025	-0.0159457977861166	0.10635402053594589	0.04497209191322327	0.04814150929450989	0.15929414331912994	0.058156803250312805	0.02926645241677761
ENSMUSG00000079502	0.10178972035646439	0.010967805050313473	0.08571729809045792	0.0010920983040705323	0.0424380786716938	0.0044117518700659275	0.09444716572761536	0.04449968412518501	0.08439195901155472	0.017994806170463562	0.014407694339752197	-0.015859290957450867	0.08496717363595963	0.03156654164195061	0.06622853130102158	0.0515170618891716	0.09080184996128082	0.016430014744400978
ENSMUSG00000074647	0.11214372515678406	0.030088605359196663	0.09523744881153107	-0.0013289216440171003	0.04410287365317345	-0.010347160510718822	-0.014751804061233997	-0.004052762873470783	0.10520363599061966	0.02570977434515953	0.01672028936445713	-0.009249411523342133	0.06036476045846939	-0.02261381223797798	0.03845430538058281	-0.021345414221286774	0.10212976485490799	0.005845883395522833
ENSMUSG00000045333	0.10840705782175064	0.010805018246173859	0.08978939056396484	0.002552688354626298	0.0516350120306015	0.00037834845716133714	0.20151592791080475	0.0353524349629879	0.0911085233092308	0.012041297741234303	0.03341083973646164	-0.012734559364616871	0.11024852842092514	0.021925222128629684	0.08176163583993912	0.03870486095547676	0.08768943697214127	0.010241888463497162
ENSMUSG00000029766	0.08100571483373642	0.03355051949620247	0.09622031450271606	0.0015751783503219485	0.049356378614902496	-0.012239137664437294	-0.07050001621246338	-0.013543683104217052	0.0963330864906311	0.030572419986128807	0.0034070832189172506	-0.008862549439072609	0.09533078223466873	0.004615360405296087	0.06760072708129883	-0.025514358654618263	0.12451448291540146	0.007789994589984417
ENSMUSG00000022469	0.11076974123716354	0.009013209491968155	0.0908200815320015	-0.0013495744206011295	0.062137164175510406	0.006830973085016012	0.21673795580863953	0.04290672764182091	0.09489372372627258	0.014079293236136436	0.027007579803466797	-0.010247546248137951	0.12632372975349426	0.023514216765761375	0.0756441131234169	0.06972844898700714	0.08471113443374634	0.01168674137443304
ENSMUSG00000040680	0.11406867206096649	0.017365066334605217	0.09262115508317947	-0.0049346317537128925	0.07071208208799362	-0.0029664156027138233	0.16482870280742645	0.013773499988019466	0.11750687658786774	0.010275513865053654	0.017932608723640442	-0.01024971529841423	0.13053061068058014	0.009054971858859062	0.0940457135438919	-0.022287946194410324	0.0952245220541954	0.0054601323790848255
