	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.009695553310538106	0.05208254427055518	0.0	-0.01919213743447396	0.01071868048458923	0.00970287016901658	-0.025495551279217956	-0.0933210076081167	0.0	0.053695289034911796	0.0	0.0	0.0	0.0	0.0	-0.09559130014303403	0.02071731307712019	0.0
ENSMUSG00000097217	0.0	0.02854834928977241	0.0	0.09045536802809447	0.0	0.07556439816860125	0.0	0.18694917966119687	0.0	0.05295316906697206	0.0	0.01671892860560442	0.023542914384012424	0.05064246379895931	0.0	0.45604868149160216	0.0	0.09705821895909439
ENSMUSG00000110554	0.0	0.030450623102492858	0.0	0.0	0.0	0.03399501926619862	0.0	0.08637997625825293	0.0	0.044381108355449	0.0	0.00984943663247976	0.010580902084303623	0.03716890415222275	0.0	0.35372581967752054	0.01377733543541066	0.0412924753264016
ENSMUSG00000060743	0.0	0.03247909375300375	0.0	0.10955435272156495	0.0	0.060353761036939284	0.05365820277476562	0.1544663945310427	0.0	0.0463591538130157	0.0	0.0	0.023348691236003916	0.05317582558728337	0.0	0.5452339175755972	0.0	0.09382627267975929
ENSMUSG00000079502	0.014003687064892412	0.022957587941267604	0.0	0.03597263614680287	0.0	0.046738308769835556	0.0	0.1896835421569192	0.0	0.05844511473057077	0.0	0.0	0.015823766466167614	0.04878016290200933	0.0	0.2139226126757243	0.0	0.08415462024116925
ENSMUSG00000074647	0.01371171453221273	0.04928224543726083	0.0	0.010690333502746369	0.0	0.021916827670383984	-0.02401039735353605	0.0	0.0	0.07873266167469915	0.0	0.0	0.0	-0.044550895054466695	0.0	0.03792043487485332	0.01728438844272072	0.048872871877416624
ENSMUSG00000045333	0.0	0.02325534090273909	0.0	0.04533591858431726	0.0	0.045971643208861365	0.04128799325296038	0.15261187221735706	0.0	0.049487213659769436	0.0	0.0	0.024113359274237967	0.047203555616921224	0.0	0.1917904076320516	0.0	0.07300379339329935
ENSMUSG00000029766	0.0	0.06801425264328796	0.0	0.0	0.016681736603250816	-0.017510074702958525	-0.02952498250714162	-0.08237454761873426	0.0	0.08334805243798535	0.0	0.0	0.018306519657848977	0.0	0.0	-0.0656996495339332	0.02860271055599868	0.035124813647309655
ENSMUSG00000022469	0.0	0.02090519848758199	0.0	0.027582016979827716	0.0	0.07051460957839277	0.04498114359555255	0.16690628820928854	0.0	0.06038206240626834	0.0	0.0	0.02630150210363254	0.04165288199886298	0.0	0.3144149250337427	0.0	0.07921350151870661
ENSMUSG00000040680	0.016336021230040576	0.04015582362667449	0.0	0.04443847208324131	0.0	0.04512199637729868	0.027142123986320692	0.10016233034447598	0.0	0.028260072484641487	0.0	0.0	0.0254614500051478	0.029178203658013567	0.0	0.0	0.0	0.07625483311459834
ENSMUSG00000022311	0.0	0.02727162623903454	0.0	0.023404596403516376	0.0	0.06329846981823618	-0.021675049512644373	-0.04985808944224421	0.0	0.09505498705524418	0.0	0.0	0.0	0.017315366504155882	0.0	-0.08210388326582253	0.009842172081830488	0.057885374091880944
ENSMUSG00000001627	0.0	0.020022819194679187	0.0	0.10481248306080868	0.0	0.06273841865766852	0.040279938270137164	0.20310925762429252	0.0	0.046072004252190095	0.0	0.0	0.028159014093257995	0.058439531097174396	0.0	0.6086721487460554	0.0	0.12216868598569183
