	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.021662956103682518	0.0892263874411583	0.009442982263863087	0.006010744720697403	0.011863341554999352	0.023740552365779877	-0.01801375299692154	-0.05367985740303993	0.003353683976456523	0.09311065822839737	-0.005612760316580534	0.0071725440211594105	0.013016393408179283	0.018165240064263344	-0.014514637179672718	-0.04028353840112686	0.03762393817305565	0.02990524098277092
ENSMUSG00000097217	0.015694061294198036	0.05074739083647728	0.003692834870889783	0.1074230745434761	-0.0012281598756089807	0.09284205734729767	0.015611905604600906	0.21412429213523865	0.00039346565608866513	0.08124201744794846	-0.010263082571327686	0.011891592293977737	0.03040270507335663	0.06447318196296692	-0.017902784049510956	0.5985339879989624	0.005574449431151152	0.12440646439790726
ENSMUSG00000110554	0.016830315813422203	0.057681627571582794	0.00351059646345675	0.03152785450220108	0.0029779435135424137	0.056775614619255066	0.0013157023349776864	0.1182769238948822	-0.00043615326285362244	0.0734153762459755	-0.010667950846254826	0.007660037837922573	0.017512330785393715	0.052307259291410446	-0.015840157866477966	0.47186580300331116	0.014871329069137573	0.07119516283273697
ENSMUSG00000060743	0.012500397861003876	0.05347130447626114	-0.0023859799839556217	0.12876200675964355	-0.003381752409040928	0.07872685045003891	0.05611560866236687	0.19204631447792053	-0.001987949712201953	0.06464283168315887	-0.0091240294277668	0.008705123327672482	0.030877098441123962	0.06315197795629501	-0.0165218748152256	0.7018118500709534	0.0013455718290060759	0.12287821620702744
ENSMUSG00000079502	0.019906945526599884	0.04488641396164894	0.004405498038977385	0.05404721200466156	0.0032136656809598207	0.06299615651369095	0.016179630532860756	0.2032194584608078	0.0022455572616308928	0.09310487657785416	-0.00890555139631033	0.010259056463837624	0.023417044430971146	0.06336010247468948	-0.013648280873894691	0.33521708846092224	0.011249006725847721	0.11450615525245667
ENSMUSG00000074647	0.028750400990247726	0.08914975076913834	0.009341880679130554	0.03451472148299217	0.009376483969390392	0.03800159692764282	-0.01556984893977642	0.012642941437661648	0.01278750877827406	0.12338903546333313	-0.010548342019319534	0.002943794708698988	0.01223730482161045	-0.030777091160416603	-0.019600076600909233	0.10595212131738663	0.03301113471388817	0.08342474699020386
ENSMUSG00000045333	0.02091064490377903	0.049001842737197876	0.0011150845093652606	0.06457102298736572	0.005006707739084959	0.06055859476327896	0.042962223291397095	0.1682508885860443	0.0044357129372656345	0.07955904304981232	-0.006915357895195484	0.009076065383851528	0.030432147905230522	0.06531403213739395	-0.012359164655208588	0.3049064874649048	0.009912066161632538	0.10650104284286499
ENSMUSG00000029766	0.021512575447559357	0.1062004342675209	0.012460035271942616	0.03185396268963814	0.015988394618034363	-0.004686740227043629	-0.023423511534929276	-0.049467988312244415	0.018428511917591095	0.12468407303094864	-0.010389167815446854	0.0018184523796662688	0.02496245875954628	0.026690233498811722	-0.0183961633592844	-0.024243246763944626	0.04302620515227318	0.06712815165519714
ENSMUSG00000022469	0.01947183720767498	0.040544863790273666	0.0008118341211229563	0.045331694185733795	0.00342158623971045	0.08838541805744171	0.04551304876804352	0.18842467665672302	0.0012228611158207059	0.09302245825529099	-0.007002490106970072	0.006927169393748045	0.03526656702160835	0.059781454503536224	-0.013927667401731014	0.44117310643196106	0.005852097645401955	0.10781145095825195
ENSMUSG00000040680	0.026817332953214645	0.0763840526342392	0.002373278606683016	0.06478119641542435	0.015398390591144562	0.06071024015545845	0.03336077928543091	0.10825560241937637	0.01829647831618786	0.06381245702505112	-0.004374039825052023	0.0089624784886837	0.03415311500430107	0.048501115292310715	-0.004278520122170448	0.060252100229263306	0.01974523812532425	0.10853789001703262
