	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.008436327271921756	0.04687584308144839	0.0	-0.026420857893100367	0.008859858421625922	0.0	-0.027456756415002892	-0.11450006382986294	0.0	0.046665372149294296	0.0	0.0	0.0	0.0	0.0	-0.13770466254975652	0.0172173194332574	-0.013293531501918933
ENSMUSG00000097217	0.0	0.024837808194720548	0.0	0.08311183369166875	0.0	0.0676881817865517	0.0	0.16508134990024054	0.0	0.04657445616064259	0.0	0.014395717334874325	0.02075207775838981	0.04483589863535734	0.0	0.410382361310421	0.0	0.08648858096706107
ENSMUSG00000110554	0.0075725425067090235	0.025637479274763782	0.0	0.0	0.0	0.02484032336812272	0.0	0.06257416544675119	0.0	0.037814751390522684	0.0	0.008089238878614244	0.0	0.03145113754893474	0.0	0.30828319993216274	0.010862573217287827	0.03014278301288116
ENSMUSG00000060743	0.0	0.028591679120963685	0.0	0.10250074006948148	0.0	0.05231534194088048	0.050443152408041265	0.13116700549829022	0.0	0.04024340613893918	0.0	0.0	0.020829780226917727	0.047195263848216484	0.0	0.501533605157594	0.0	0.0833022855856689
ENSMUSG00000079502	0.01202947367204732	0.01969385535204347	0.0	0.027903087144086416	0.0	0.038502863001034136	0.0	0.17285587445766615	0.0	0.051780891134295404	0.0	0.0	0.013536693781425739	0.0429427309303378	0.0	0.162938232833527	0.0	0.07396493107491309
ENSMUSG00000074647	0.012385273481000663	0.04421475877254011	0.0	0.0	0.006665550540163587	0.014844153714033134	-0.025178279672816814	-0.03541348236053487	0.0	0.07199858512395896	0.0	0.0	0.0	-0.048068043188745746	0.0	0.0	0.014052800580041807	0.04001546290066791
ENSMUSG00000045333	0.0	0.019903315543490008	0.0	0.037474467909435455	0.0	0.03749707464918398	0.038832858706423286	0.1352659707626649	0.0	0.04307686892755498	0.0	0.0	0.021545372380029335	0.04147409904758175	0.0	0.14174457366521967	0.0	0.06291309043694909
ENSMUSG00000029766	0.0	0.060447987399535615	0.0	0.0	0.013553537873218627	-0.026338073674320953	-0.033802262715125285	-0.10490064532359257	0.0	0.07446323007371868	0.0	0.0	0.01564554745536323	0.0	0.0	-0.10639818602622282	0.023311383064340822	0.02465290734201624
ENSMUSG00000022469	0.0	0.017785791188438777	0.0	0.01866259279330096	0.0	0.06267733161579249	0.04221236282524435	0.14757499449546554	0.0	0.05353637620934329	0.0	0.0	0.024096515181042662	0.036478553488726036	0.0	0.2669310918430356	0.0	0.06856511455748467
ENSMUSG00000040680	0.009133702913231567	0.03084240497624054	0.0	0.03127180434335812	0.0	0.03272266112188799	0.01754918530157787	0.08219503320697406	0.0	0.01626590748385637	0.0	0.0	0.018179253529466786	0.019503446009950222	0.0	0.0	0.0	0.060514522309927
