	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.07986710965633392	0.021661080420017242	0.08953247964382172	-0.004381711594760418	0.04180024191737175	-0.015739236027002335	-0.033785101026296616	-0.014545652084052563	0.04608358442783356	0.01730380579829216	0.018136724829673767	-0.010300441645085812	0.06223580241203308	0.0019796688575297594	0.027703789994120598	-0.024220135062932968	0.10258814692497253	0.010011699050664902
ENSMUSG00000097217	0.09469805657863617	0.01407140213996172	0.08511355519294739	0.022316884249448776	0.05779475346207619	0.013888712972402573	0.07588666677474976	0.048199232667684555	0.09877239167690277	0.019023193046450615	0.018054571002721786	-0.014849836006760597	0.09813617914915085	0.045839060097932816	0.06573379784822464	0.12459050863981247	0.08503994345664978	0.02756069228053093
ENSMUSG00000110554	0.08681739121675491	0.019182372838258743	0.06749243289232254	-0.0045964536257088184	0.04838743805885315	0.0016365938354283571	0.03868664801120758	0.01502687856554985	0.07577113807201385	0.0154570909217	0.014539685100317001	-0.008021925576031208	0.06640169024467468	0.025745194405317307	0.017213895916938782	0.06222502142190933	0.08381710201501846	0.010637903586030006
ENSMUSG00000060743	0.08670395612716675	0.014087102375924587	0.0427822545170784	0.03797534853219986	0.054594993591308594	0.007061770185828209	0.24383871257305145	0.0429837740957737	0.08946949988603592	0.012537495233118534	0.02383972890675068	-0.015290290117263794	0.10401283204555511	0.04420968517661095	0.04770037159323692	0.15664757788181305	0.05772704258561134	0.029869725927710533
ENSMUSG00000079502	0.09917255491018295	0.011909348890185356	0.08540355414152145	-9.66089719440788e-05	0.041181474924087524	0.002425150712952018	0.08805523812770844	0.04334603622555733	0.08235397189855576	0.019102631136775017	0.013793277554214	-0.014971195720136166	0.08243021368980408	0.031339820474386215	0.06593263894319534	0.048047881573438644	0.09050299972295761	0.01716572791337967
ENSMUSG00000074647	0.1090901792049408	0.02990243025124073	0.0953504666686058	-0.0013735623797401786	0.04236503690481186	-0.012710890732705593	-0.02194049209356308	-0.005168084055185318	0.10257257521152496	0.026639299467206	0.015964295715093613	-0.00883242767304182	0.058463916182518005	-0.022699175402522087	0.038004565984010696	-0.022623686119914055	0.10156344622373581	0.007028759922832251
ENSMUSG00000045333	0.10571036487817764	0.011793699115514755	0.0892677754163742	0.0014872674364596605	0.05027230829000473	-0.001495906850323081	0.1952281892299652	0.0339965857565403	0.08900828659534454	0.013253656215965748	0.03300615772604942	-0.01199579332023859	0.10780232399702072	0.02185145579278469	0.08164316415786743	0.03539314866065979	0.08704392611980438	0.010851848870515823
ENSMUSG00000029766	0.0780843198299408	0.03283325582742691	0.09612632542848587	0.0016297675902023911	0.047772396355867386	-0.014636690728366375	-0.07810710370540619	-0.015413287095725536	0.0937846302986145	0.0316968597471714	0.002544875256717205	-0.008478458039462566	0.09400701522827148	0.0053262971341609955	0.06746073067188263	-0.02703460305929184	0.1237034797668457	0.009197286330163479
ENSMUSG00000022469	0.10809015482664108	0.01013187039643526	0.09026408940553665	-0.0025740854907780886	0.060722727328538895	0.004734379705041647	0.21061646938323975	0.041263893246650696	0.09274573624134064	0.015187786892056465	0.02659633383154869	-0.009590561501681805	0.12394993007183075	0.023392219096422195	0.07555370032787323	0.06710519641637802	0.08404489606618881	0.012257716618478298
ENSMUSG00000040680	0.1111818253993988	0.017667464911937714	0.092281773686409	-0.005441118963062763	0.06912405788898468	-0.00487590953707695	0.1581384539604187	0.01342068798840046	0.11502787470817566	0.011679287999868393	0.0171324722468853	-0.00968268234282732	0.12849976122379303	0.009278528392314911	0.09405598044395447	-0.02615221217274666	0.09443564713001251	0.006474433466792107
ENSMUSG00000022311	0.02080417238175869	0.02370043471455574	-0.003255883464589715	0.007898016832768917	0.04309079051017761	0.014547493308782578	-0.009869935922324657	-0.021644866093993187	0.01772230677306652	0.040510617196559906	-0.006077836733311415	-0.005724542774260044	0.06110376492142677	0.015886381268501282	-0.02580607496201992	-0.02340337261557579	0.052271366119384766	0.025900131091475487
ENSMUSG00000001627	0.06408445537090302	0.0073751360177993774	0.05593904107809067	0.03525063395500183	0.051432542502880096	0.007975516840815544	0.16892696917057037	0.07046904414892197	0.06505993008613586	0.01006812322884798	0.01829259842634201	-0.008955373428761959	0.11101178824901581	0.05482598394155502	0.013995298184454441	0.19310645759105682	0.04459724947810173	0.04039637744426727
ENSMUSG00000087591	-0.011138936504721642	-0.005444703623652458	-0.007353661581873894	-0.004333543591201305	-0.014357545413076878	-0.002480850787833333	-0.03267333656549454	-0.013293423689901829	0.003197568468749523	0.012102496810257435	-0.0043347557075321674	0.006132126320153475	0.028064874932169914	-0.003111347323283553	0.025877704843878746	-0.014881577342748642	0.10169358551502228	0.009389904327690601
ENSMUSG00000013089	0.09033957123756409	0.01569175347685814	0.07952786982059479	0.01771429367363453	0.05760813131928444	0.01200415100902319	0.2684359550476074	0.03874129429459572	0.09599648416042328	0.010073776356875896	0.02789374440908432	-0.012496591545641422	0.1253008395433426	0.025706328451633453	0.07629049569368362	0.09745839983224869	0.08016456663608551	0.021881921216845512
ENSMUSG00000078518	0.05685975402593613	0.021464278921484947	0.04284518212080002	0.010827550664544106	0.03383444622159004	-0.015260460786521435	0.03286942094564438	-0.0335204117000103	0.07066649943590164	0.00666677113622427	0.034825216978788376	-0.007033354602754116	0.03004963882267475	-0.014680267311632633	-0.00338573195040226	-0.01668526977300644	0.043895334005355835	0.01954142563045025
