	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026348	0.021198954433202744	0.09356773644685745	0.008832055144011974	0.006960534956306219	0.011509193107485771	0.02427644282579422	-0.020337305963039398	-0.061178769916296005	0.0025035280268639326	0.09899440407752991	-0.006654268130660057	0.006898530293256044	0.012384837493300438	0.021153494715690613	-0.014559022150933743	-0.05135290324687958	0.0383845791220665	0.034231752157211304
ENSMUSG00000097217	0.01586887799203396	0.05492629483342171	0.002920162631198764	0.10811389982700348	-0.0006739319069311023	0.0934663787484169	0.012985319830477238	0.20482581853866577	-0.00025378214195370674	0.08607105910778046	-0.011483163572847843	0.011865156702697277	0.0293500404804945	0.06692473590373993	-0.01817222125828266	0.5907517075538635	0.006669540423899889	0.12812723219394684
ENSMUSG00000110554	0.016923077404499054	0.0619107186794281	0.002973711583763361	0.03145128861069679	0.0033980063162744045	0.057207006961107254	-0.0013075758470222354	0.10916256159543991	-0.0009745043353177607	0.07862164825201035	-0.011948753148317337	0.007650013081729412	0.01651669666171074	0.05485822260379791	-0.0161428302526474	0.46426472067832947	0.016108248382806778	0.07473088055849075
ENSMUSG00000060743	0.012701820582151413	0.05761709809303284	-0.0033989811781793833	0.12940427660942078	-0.0027870768681168556	0.07922396063804626	0.053640712052583694	0.18225902318954468	-0.002451435662806034	0.06949390470981598	-0.010239120572805405	0.008674256503582	0.029869763180613518	0.06538157165050507	-0.016711195930838585	0.6949283480644226	0.002152049448341131	0.1264982372522354
ENSMUSG00000079502	0.019871244207024574	0.049568060785532	0.003677200758829713	0.05407978221774101	0.0036374980118125677	0.06357529014348984	0.013787434436380863	0.19563676416873932	0.0017046727007254958	0.09820496290922165	-0.010101762600243092	0.010364200919866562	0.022370491176843643	0.0659608393907547	-0.013728966936469078	0.3251427710056305	0.01222994364798069	0.1183033362030983
ENSMUSG00000074647	0.02832134999334812	0.09360331296920776	0.008781072683632374	0.0354844368994236	0.009285478852689266	0.038373880088329315	-0.018075227737426758	0.00489030359312892	0.011695687659084797	0.1288033127784729	-0.011737427674233913	0.002707509323954582	0.011573084630072117	-0.028052926063537598	-0.019826283678412437	0.09613582491874695	0.03391131013631821	0.08777706325054169
ENSMUSG00000045333	0.020783426240086555	0.05381908267736435	0.00019356347911525518	0.0647866427898407	0.00524040125310421	0.061134181916713715	0.04054931178689003	0.1607470065355301	0.003820393467321992	0.08489394932985306	-0.008064424619078636	0.009145611897110939	0.029421642422676086	0.06790228933095932	-0.012375273741781712	0.2949240803718567	0.01067714300006628	0.11026360839605331
ENSMUSG00000029766	0.021069392561912537	0.11052214354276657	0.011873935349285603	0.03318629413843155	0.015531878918409348	-0.004410951863974333	-0.025844380259513855	-0.057073578238487244	0.017259927466511726	0.1304527223110199	-0.011466611176729202	0.0013648670865222812	0.024457359686493874	0.02966885082423687	-0.018270794302225113	-0.03477640077471733	0.043616652488708496	0.07160896807909012
ENSMUSG00000022469	0.019409986212849617	0.04525241255760193	-0.0001681281573837623	0.0451335534453392	0.003691504243761301	0.08899760246276855	0.04315485432744026	0.18024837970733643	0.0006413539522327483	0.09796881675720215	-0.008161897771060467	0.00704906415194273	0.034282080829143524	0.06230621039867401	-0.013999354094266891	0.4326780438423157	0.006625154986977577	0.11154595017433167
ENSMUSG00000040680	0.026425505056977272	0.08108271658420563	0.0015408743638545275	0.06554818898439407	0.015130979008972645	0.061462778598070145	0.030849752947688103	0.10230470448732376	0.017237745225429535	0.06977718323469162	-0.005448720417916775	0.008865204639732838	0.03332264721393585	0.05129087343811989	-0.004067274741828442	0.047919344156980515	0.02038104087114334	0.1126893162727356
ENSMUSG00000022311	0.005709510296583176	0.06632956862449646	-0.0036204641219228506	0.04791320487856865	0.007496904581785202	0.07848399877548218	-0.01500557642430067	-0.023073207587003708	-0.003234947333112359	0.14859914779663086	-0.004101772326976061	0.002176540205255151	0.015464439056813717	0.038347821682691574	-0.010311362333595753	-0.020658817142248154	0.01962754875421524	0.09409460425376892
ENSMUSG00000001627	0.008889008313417435	0.03356555849313736	-0.0015633878065273166	0.12230327725410461	-0.0064544170163571835	0.08332016319036484	0.03932102397084236	0.23706434667110443	-0.007277834229171276	0.067544125020504	-0.0076884008012712	0.010692145675420761	0.030924029648303986	0.0661865770816803	-0.01329552661627531	0.7794474959373474	0.0028221323154866695	0.15247568488121033
ENSMUSG00000087591	-0.002420813776552677	-0.0017277428414672613	-0.005680066533386707	-0.0055930172093212605	-0.006583697162568569	-0.04226597398519516	-0.020874597132205963	-0.05468320474028587	-0.007182067725807428	0.06635791808366776	-0.005756470374763012	-0.009488677605986595	0.003823457984253764	-0.015240306034684181	-0.01253090612590313	-0.18426525592803955	0.038864344358444214	-0.012566987425088882
ENSMUSG00000013089	0.015138623304665089	0.07215035706758499	-0.00229076249524951	0.09782872349023819	0.00020715128630399704	0.1165551170706749	0.05412381514906883	0.1854476034641266	-0.0004642880812752992	0.0626402199268341	-0.009573066607117653	0.007755622733384371	0.033706989139318466	0.05437871813774109	-0.01500099990516901	0.5405911803245544	0.004311243072152138	0.13624867796897888
ENSMUSG00000078518	0.01672007516026497	0.09085581451654434	-0.0003519385645631701	0.04331198334693909	0.007004955317825079	0.018718410283327103	-0.008640102110803127	-0.12471532076597214	0.008822220377624035	0.05345853790640831	0.00018860567070078105	0.005216287914663553	0.004596365615725517	-0.01766784116625786	-0.014676369726657867	-0.06845280528068542	0.021383151412010193	0.07359856367111206
ENSMUSG00000028519	0.012451648712158203	0.05376726761460304	0.003005840815603733	0.0942113846540451	-0.0004301109293010086	0.06186956539750099	-0.005458928178995848	0.23553481698036194	-0.0044501409865915775	0.07372096180915833	-0.011691234074532986	0.012230899184942245	0.011400877498090267	0.0652521401643753	-0.01741143688559532	0.5528830885887146	0.009997882880270481	0.12517070770263672
ENSMUSG00000024960	0.01947897858917713	0.05667237192392349	0.004705603234469891	0.04689955711364746	0.0019142021192237735	0.08183557540178299	0.01096519734710455	0.1702236533164978	0.002221159404143691	0.10924231261014938	-0.010300100781023502	0.008068451657891273	0.020043009892106056	0.058476172387599945	-0.012573628686368465	0.34111344814300537	0.013528846204280853	0.11539848148822784
ENSMUSG00000025377	0.020527560263872147	0.06494684517383575	0.0135842589661479	0.06412934511899948	0.0012335858773440123	0.08254718780517578	-0.012803293764591217	0.23420210182666779	-0.0005976041429676116	0.11223725974559784	-0.009743483737111092	0.009191562421619892	0.012004027143120766	0.05781077966094017	-0.017265066504478455	0.5437572002410889	0.0147032355889678	0.11246096342802048
ENSMUSG00000085811	0.00040419530705548823	0.04638803377747536	0.0006647223490290344	0.04761923477053642	0.00024339205992873758	0.04696741700172424	-0.011541225016117096	-0.05022599548101425	0.018094314262270927	0.0810481458902359	-0.005317450035363436	-0.005793645977973938	0.02062133699655533	0.020495198667049408	-0.007777494844049215	-0.11084114015102386	0.020356791093945503	0.05564031004905701
ENSMUSG00000097513	0.034473832696676254	0.09272679686546326	0.018565408885478973	0.050220899283885956	0.007904000580310822	-0.003979675937443972	-0.022586964070796967	-0.08780388534069061	0.026567375287413597	0.10989382117986679	-0.011902558617293835	-0.00805648136883974	0.009824078530073166	0.0031600361689925194	-0.019734520465135574	-0.12845133244991302	0.04644126817584038	0.035375166684389114
ENSMUSG00000108558	0.011943754740059376	0.004503938369452953	-0.001017749193124473	0.013035254552960396	0.005213932599872351	0.03769819438457489	-0.014253602363169193	-0.07824558019638062	0.01367964968085289	-0.029459375888109207	-0.0037016945425421	0.00450291158631444	0.010425439104437828	0.03801507130265236	-0.011290443129837513	-0.0792551338672638	0.02844967320561409	0.06771912425756454
ENSMUSG00000114438	0.032041631639003754	-0.006163688376545906	0.002638100413605571	0.05829012766480446	0.010681855492293835	0.06710150837898254	-0.007532839197665453	-0.04456620663404465	0.010931611061096191	0.021766923367977142	-0.003977044951170683	0.003909221384674311	0.01538870856165886	0.05286417528986931	-0.007653423119336367	-0.12309075146913528	0.03540065884590149	0.043641962110996246
ENSMUSG00000113145	-0.12660269439220428	-0.2975834310054779	0.0535442940890789	-0.15915600955486298	-0.08827713131904602	-0.4084192216396332	0.059266347438097	-0.0369509682059288	0.09513749927282333	-0.49239107966423035	0.04492997005581856	-0.0082867331802845	-0.026974063366651535	-0.21971677243709564	0.12679272890090942	-0.44918200373649597	-0.22824212908744812	-0.3852910101413727
