	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000104108	0.11051159991535055	-0.006815582679389211	0.06787406905839037	0.00956878020469958	0.07527778106169924	0.006192641971314775	0.04475630224593	-0.027794876838431393	0.059675796699320924	0.006940243508454712	0.040210040045505074	-0.001289069836379245	0.020141154218799785	-0.004635071977411696	0.04004498150290081	-0.01139995055491454	0.057195835184757016	0.007801036336396854
ENSMUSG00000054836	0.0818185826584925	0.007867417553331637	0.0882245909899601	0.009375259263950803	0.04957922254896922	0.02660846296577282	0.058915811636792825	0.14473580525970778	0.0892820386857628	0.015581176617394834	0.039744642152748255	-0.0042858732620516095	0.08782498521385215	0.012280267216816096	0.03319705122713848	0.09659520379679765	0.07856627796858708	-0.00026850468166230714
ENSMUSG00000079378	0.11490173748102929	-0.008189777658169207	0.07656417668593869	-0.002978825957364149	0.14814271169055115	0.011863021998734829	0.10760771995706558	-0.011825895817517968	0.13131380860191452	-0.004875971163294577	0.037670747133961416	0.0026881667341643023	0.16780155130418278	0.015683476332196734	0.05196740580577171	-0.010181877797315662	0.08153431401068312	0.006287892982228576
ENSMUSG00000087512	0.047021977926020295	0.016246333653024133	0.10834957940413525	0.008622079617401012	0.04374650107404575	-0.005564394022699811	0.006329276901241038	-0.00787564653089378	0.020261106927033066	0.008101119979567426	0.029623828737593224	-0.010167418616713672	0.06406409181605081	0.029948539941584126	0.03364504132623551	-0.012530453293064577	0.07923494461564197	0.016724930671781685
ENSMUSG00000028969	0.1201715454474262	0.010123768484481844	-0.004192568678367284	0.03174682881092719	0.05651690756260775	0.013994858488409331	-0.025067360934502046	0.021691223855330982	0.07517971596202447	0.0014995386784513746	0.03202367776320898	-0.004669742686850701	-0.00686161631089947	0.02977198224003327	0.031010739230623585	0.011382352063239003	0.0690410602949539	0.007502662956643949
ENSMUSG00000037594	-0.08231604867978604	0.01696054180398018	0.0611304908602116	0.0058133501790247726	0.05000160560687488	-0.002613925794347389	-0.05403484912239946	0.10997014348940866	-0.08181439595355186	-0.010521120833514683	0.023026114857826283	-0.010427384216070226	0.01128138476139741	0.023909006083184588	0.01537410739355047	0.06013803599635139	-0.047857418767671335	-0.010458057495790334
ENSMUSG00000037962	0.07673291768592858	0.017852756342316364	0.07823890368558101	0.008200451154399551	0.06413688235736897	-0.010506035271828296	0.2502057257134376	0.012248939608096927	0.07612890476336491	0.004311817084609564	0.028993394701163716	0.0031565197642651455	0.15364375012478768	0.013218586097458943	0.06442174277799495	-0.02238544382006304	0.11962827711416009	0.004335195618010143
ENSMUSG00000028243	0.05038379897611906	0.011003479612346772	0.05365944204635785	0.01726850393589692	0.024643648572548825	0.026565696131261314	0.003424822001021052	0.11712802704189795	0.035925456147456965	0.004524060122015986	0.0369024799518229	-0.010882199390783042	0.006371687107977257	0.03176382410477215	0.005494387752540726	0.13815998564685808	0.033654267183218116	0.002281391211623226
ENSMUSG00000021134	0.10109816457692691	-0.004530232230691971	-0.0034895265760756695	0.04461298714793104	0.06454510357153985	-0.0016349212016523648	0.2609385059972348	0.06645849151671947	0.09481793821284684	0.0006444877006288152	0.025960952477596166	-0.01737444715560871	0.021882325161641347	0.0164901104375271	-0.002142817507930366	0.1147630753519739	0.07630301120214945	0.0059832939913446485
ENSMUSG00000013089	0.0795621861825826	0.009573814336337298	0.06668118454051312	0.02187098015093787	0.11869647585595626	0.027728779437010027	0.2770654629155615	0.044425169616754696	0.10521498327658005	-0.005777767167247865	0.04521799575725579	-0.002599692948764901	0.16994902086402622	0.011163396550546167	0.053643048746588255	0.013119889742899562	0.08716727398163389	0.0137201687983179
ENSMUSG00000001416	0.09837787278109837	-0.004928319366185211	0.074112277835541	0.03134780300342754	0.10491998839606823	0.014534992560999984	0.1721189378904715	0.12332556819554676	0.09187990932102497	0.004192873581320912	0.04042971241568531	-0.00588422664911507	0.11995017926458656	0.022272992746989725	0.05199072934044255	0.05090256791585749	0.06942449614159289	0.01868028872980046
ENSMUSG00000051351	0.0968557401963218	0.010638385559390631	0.07953814459116464	0.005072309380622236	0.10063283347203002	0.010121698550678307	0.16278635664145572	0.11513730220249271	0.08609781406312322	0.015252326214041594	0.03483650482734707	5.532673681695347e-05	0.15985551199493264	0.013114898181135816	0.05159969219691577	0.02546827916937348	0.08197859822825454	0.005214712582060851
ENSMUSG00000047216	0.010275088182295024	-0.004696250677183603	-0.022585266783114222	-0.0067238937073852865	0.015131917884822802	-0.00763152883737348	-0.03162603261937745	-0.01921471093290685	-0.002938205035258891	-0.006269767074887308	0.020357165669182515	0.0013744318373937858	0.03492847379124474	-0.0065056729743706194	-0.013619008802301583	-0.03888593034514218	-0.03559839608788025	-0.0018163775095412608
ENSMUSG00000114922	0.05295422781546222	0.0032186857695965694	0.07352529798907718	0.009328677835583221	0.0514566057554995	-0.005944905153488175	-0.03282496117166634	0.01268916222462784	0.15240742696010523	0.038054765846027294	0.04412434155009188	-0.00617385194849963	0.024669866739532153	0.031157502885876705	0.008792948517085668	-0.006797473220181668	0.12266071449640939	0.021909909446445195
ENSMUSG00000030265	0.06979903218007816	0.009937424909678937	0.0513744814230969	0.032415981396817575	0.12937142752780345	0.015069744995603937	0.14942025907626624	0.13867905631876576	0.07296576793569329	0.0076314653399614536	0.036782188635905703	-0.013337333347447253	0.12233292553927251	0.020641304364835376	0.051989285499387604	0.11481797454128224	0.04430463813478127	0.017672454559371026
ENSMUSG00000117427	0.1086081600286239	0.0019942709440199124	0.08922186551327675	0.009385901771344964	0.11100095515583754	0.007444356779576213	0.275265439044337	-0.0019427628605106812	0.12164607958349215	0.0058664941361452555	0.04458579168001182	0.00420898709463862	0.16894127288604588	0.012868545633786458	0.06187472879947953	0.00037023091723053115	0.09047732303848274	0.010768815203846316
ENSMUSG00000087171	0.034336344624794686	0.008741930234516205	0.09996788931197703	-0.0017334425246839861	0.04622844546034425	-0.010130460716806868	-0.01112180471152117	0.08403406132430453	0.026500524915666443	0.006023642201970298	0.016406911977069935	0.0010332065444215134	0.04311086088252653	0.024447434235064847	0.02829191510962638	-0.03217717512816307	0.11563921326669516	-0.0016441693855345615
ENSMUSG00000052516	0.03694123551119576	-0.002540108283574227	-0.014347716570305888	0.002864541896373599	0.019698290623481236	-0.008727836254859409	-0.009329561723591593	-0.023934981644872875	0.0014446158382530223	0.0030631145355073386	0.01006223981738523	-0.0037112411521125718	0.009471201711910128	-0.013545253085508843	-0.010674302610173722	-0.020384540267176426	-0.02227852772651074	0.009589490174403182
ENSMUSG00000046862	0.04738572552728328	0.00931935295105047	0.09252382907560397	0.004623007903163463	0.09973334600274808	0.015425311686184225	0.1565373703725137	0.10609570647481763	0.11529417389244502	0.01232486862908055	0.04395601523059928	0.0024278085362311685	0.14806199125622307	0.02053709372069404	0.038082187007369483	0.03883338803072028	0.06270987326429998	0.0027194637428432805
ENSMUSG00000045896	0.09971058193147135	0.006951851587499342	0.06976677597465043	0.016767156998230347	0.08340697935387392	0.02157687345638156	0.12952814360458953	0.15546535973392436	0.0913834213696256	0.006972567647296403	0.04763764847645819	-0.011120644848727221	0.11384134054720302	0.020786571150269342	0.05203947974192228	0.07582291913635604	0.0673816381778514	0.017992443454568276
ENSMUSG00000079007	0.15295933610703807	0.01718792033986704	0.05082178468188171	0.0019920748034564896	0.056963695663060726	0.008104302259016549	0.019545801608806607	-0.03333367304969995	0.10029482418755964	0.01663214180740137	0.03059939473844549	-0.007793927739788029	0.02148812375713273	-0.004001746062983459	0.0717062162392332	0.01856393679897467	0.14298079336845798	0.016787927622239556
ENSMUSG00000030492	0.13299617534939248	0.016685769743708077	0.08361750799200049	-0.0012268837445455056	0.04362835526506907	0.0022689391369307746	0.02035478044147437	0.004375068875690756	0.05201171485982091	0.005536819212492056	0.026754319290505788	-0.008687467389920909	0.05753641672750486	0.023151185805909337	0.026877633873508396	0.012030650798104553	0.11389656733044831	0.007990785133058256
