	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000034796	0.032425096713086535	0.06370992988543418	0.005548699246615538	0.07767376106902313	0.016741198309162948	0.07132458480508441	0.04315562340878906	0.24870082047824066	0.05114041370390104	0.055139483772784714	0.005315863297879073	0.020455080714444712	0.019611220381297503	0.03991113611300534	0.0015243269170501401	0.2277242909899152	0.011582122752783367	0.12090952377953466
ENSMUSG00000026837	0.015551463991843255	0.04665913213549564	0.004186270909537728	0.041649209616220366	-0.013797714335461413	0.05858894309120452	-0.0058604172481864225	0.2857604796754458	-0.00328025135916375	0.05023329703235504	0.0021437074776258667	0.025140898865408545	0.002185872077669566	0.010758164339599066	0.006548973645840306	0.6214480734801328	0.012430218095791394	0.16268696903410143
ENSMUSG00000022210	-0.0017350294175360302	0.023535633302318663	-0.0015304321466828696	0.037314123201161106	0.016956535227187226	0.0060901682199203475	-0.011069186879311538	0.3832508033697585	-0.010309031665435344	0.03132337229495274	0.004428546718372672	0.013747201071652983	0.015052490428310453	0.030183539436153036	0.001964885833928877	0.6079619214975017	-0.0011418109022477958	0.1326010170850038
ENSMUSG00000024812	0.01343117764102187	0.06606773848216108	0.00405702801498202	0.10526421117426382	0.007732098775964654	0.053045794462273727	0.02982927029027321	0.2412105711460754	0.016666089959679605	0.08635327206645473	0.00786043722956882	0.014226039747622312	0.02647995656822916	0.04039060904256725	0.007232850270208604	0.6120171288867693	0.010191701458500445	0.18824508086164704
ENSMUSG00000079111	0.013176539594756573	0.04178805000457422	0.01076712624573182	0.04957909306906783	0.012660521789985068	0.04870981628001963	0.036848459789273744	0.23635750057645574	0.010315774509243576	0.07878831734282617	0.0038389921997285066	0.014756768483052188	0.015140929148973165	0.03566512086285262	0.007763409033058061	0.5818878438068038	0.004605745773161678	0.1794115096468366
ENSMUSG00000037443	0.015408328295520083	0.06059500569078539	0.0036266462020908617	0.09668341558626707	-0.0015226455200068553	0.06984043635153024	0.02672896236851687	0.24471634611015491	0.014136751279563344	0.05650302350209781	0.006872660826203563	0.0294836302416765	0.021412412480640342	0.029948243373187973	0.003737722343014736	0.7165949490392189	0.00773194642996324	0.1859046311779301
ENSMUSG00000084825	0.031488126216234896	0.050485947125915635	0.007179374090472785	0.0817844356036533	-0.013816376664232978	0.12226445048841665	0.035611685770865216	0.1307686915685086	0.015630488767575505	0.05141316440081677	0.008049958700004417	0.027998041640759246	0.012583200613205139	0.08702996359456197	-0.002151727406453574	0.19565739552812633	0.011632497034263776	0.12426898977241113
ENSMUSG00000115580	0.01772690562421693	0.03997513436895263	0.01143911923635252	0.03802081037205685	0.020018170410860747	0.02191251324994872	-0.01121235903426298	0.0266527243983936	0.016043105805043263	0.05874883186154745	0.0027098575760516855	0.02352034531307124	0.031848602616186585	0.02250986788640148	-0.0007005662383952378	-0.014347989351465782	0.0046682038006630525	0.10608104495892934
ENSMUSG00000039770	0.008886991254855404	0.033586934870774195	-0.0010091071705184212	0.13635295825827468	0.021716050406549975	0.030506553248700843	0.054644273750247004	0.2119783255155718	-0.007726152334258326	0.06915750812001664	0.002228162605466163	0.014428914416774725	0.006429288982014571	0.025608921319092457	4.284872900046009e-05	0.35266874872301873	0.01035223465254863	0.17207459848967638
ENSMUSG00000026709	0.016268521546485965	0.04484111660146612	0.0013432921621383035	0.06273379176618618	-9.035071390306777e-05	0.08328860169279194	0.0004653412043678275	0.21924189246804288	0.015951151297745776	0.06575851091939902	0.002544424101766448	0.032795384723119374	0.01830397825885614	0.03901353612605557	0.00525244226248885	0.7377341920434576	0.009008338349329799	0.20122954548262767
ENSMUSG00000057068	0.019210034831017506	0.05606167711386141	0.004489490625876767	0.06224435392811886	-0.01737286579760361	0.09443319974156371	-0.01335642279944815	0.09998552408220089	-0.014121967769252869	0.06919258592993824	0.00806788818231975	0.019378270540723212	0.012402823830780108	0.07342677433334757	-0.0019912852217073254	0.0748489515453652	0.019419123837321552	0.12474012062510675
ENSMUSG00000034101	0.018578370312310914	0.04277990524372269	0.004346774519425318	0.09859336683083321	0.0062620091259045045	0.0883016545101782	0.02325720583524214	0.24416496521402484	0.01244435293096363	0.046716089583839805	0.006587081682300777	0.026763163148124085	0.018618024132956636	0.029840009756454882	0.012405624481938762	0.6636452220611058	0.0034306083563543713	0.16180469331019204
ENSMUSG00000039294	0.03935453599312625	0.04467888007015323	0.01491154498029833	0.03865580017120789	0.004009773745708246	0.0856764439922959	-0.0019368072220199142	0.3222779556182754	0.0068766242507730824	0.07852691314081832	0.0035837978621722348	0.0202450419687271	0.005072723819596702	0.02023852294228813	0.0038309107894227575	0.5490865496095856	0.005671330390967861	0.1225223229241757
ENSMUSG00000021532	0.011800546585514634	0.04095368853699516	0.0035550286306326078	0.10522000752142568	-0.012606007114560011	0.046852738105241896	0.0017769304845777307	0.20023563870542732	-0.007612945687339691	0.08628192898917665	0.004602773667310041	0.02575581881899	-0.005333925814089265	0.0551677787794428	0.0007610503381459109	0.7835973353856389	0.0032347258829759085	0.20121430760787656
ENSMUSG00000086537	0.013601261623866127	0.03209024045494776	0.007369307860166633	0.10803767757196121	0.013357291965751627	0.09721942583125513	0.029895836707250316	0.2480266230621055	0.011961119965573225	0.06806068960096516	0.007555281252539966	0.016725561039233332	0.02184051568890157	0.04353990330091619	0.013991374068999514	0.5755124193206679	0.0005113559915246567	0.1689300078418975
ENSMUSG00000009246	0.03143049998722875	0.06601116779274889	0.0083963220431802	0.0532007612907494	-0.01090103953457791	0.029773748305732234	-0.007076932416176922	-0.021235733343564787	0.020563104274957108	0.08549822076794433	0.0006926880394790455	0.020559442901555616	0.015099664605544863	0.0441248125227243	-0.0032072361008821256	-0.009883736136699944	0.034402585525458565	0.11327199303907816
ENSMUSG00000059708	-0.0018868590362347147	0.0009813467940797897	0.0025692292498985937	0.07380468957204098	0.019080138031651067	0.016050609161486915	-0.00914048882924752	0.32661561550360474	-0.001095013255845905	0.048978700563150464	-0.0011660627469609608	0.010205779377741107	-0.00963621095475641	0.026320794764407244	-0.003069827247444274	0.7190699149618532	0.0022979739652458065	0.15199802113519192
ENSMUSG00000028332	0.02735346449608187	0.06007774386775314	0.0070197439327395325	0.015228028166477867	-0.006680111680179834	0.006723563642299269	-0.012874649538051536	-0.004346798693170837	0.006361105193354888	0.08367140298352231	0.005005423628634682	0.013687097500016015	-0.004412195899515479	0.040262290468542364	0.0013351638837775682	-0.041644728174391535	0.03525161937031953	0.0850271672436585
ENSMUSG00000025580	0.022717563708465605	0.04336371420332788	0.004429745326914209	0.06828757819694146	0.00754776310222951	0.09426128041068296	0.03071522885059364	0.24876413010923507	-0.0009483946445470792	0.08988671934127654	0.007507899522508004	0.01885403647320345	0.020383238471601672	0.03893999953579623	0.007458769284962078	0.5728782774235567	0.009207353899793297	0.12779733630147477
