	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000019230	-0.0014425466674895559	0.02829826266019414	0.0045098226245110186	0.02765696866255374	0.005529496954217653	0.002123892525664165	0.04913477949755491	0.18494536065398798	-0.013772618371669003	0.051081705068463636	0.0019160509062203345	0.0013663956956276836	0.014244494384079839	0.04002162560988966	0.003758257890876848	0.10836414476393007	0.014115883866699213	0.11548207755248378
ENSMUSG00000089671	0.024149690941132056	0.049858573891210005	0.010975831588335235	0.07539363784050823	-0.002515900473580197	0.06215534724716625	0.019941819875696508	-0.04709210496979982	0.051970130550762404	0.06711840730328861	0.004224358271494566	0.0218428950532273	0.0026771523170152378	0.10853824522294286	-0.003043779722065665	-0.026218066249514647	0.0282795863512417	0.11813208537771841
ENSMUSG00000085923	0.0134886567259725	0.06621886901074114	0.013209971686488383	0.030112999817330482	0.015009143426972774	0.04985706528428376	0.04816203397624901	0.10774226142608054	0.03388634965413075	0.06993202295709905	0.007632517609116414	0.026431965937808853	0.025880961516980147	0.058080264083816606	-0.0010416248459867866	-0.024171518574569617	0.012190625929542875	0.12005548110246309
ENSMUSG00000032121	0.03172144595817242	0.02834061918178382	0.007164553236569711	0.04644473568220876	0.011281533988559593	0.05546378895687667	-0.003806337228732965	0.34555835096569876	0.014360807765608894	0.06780951222361702	0.010744863992580836	0.019368187016074703	0.020728296988766357	0.02471381099634787	0.004071178527166402	0.6337443372837567	0.01023368561469137	0.16443662231431516
ENSMUSG00000118420	0.01479030237628649	0.06721023467705112	0.003168331957879543	0.0388893321067891	-0.01453396130008124	0.02832225864216785	0.020500149439872724	-0.022465035898598478	0.01611261179693559	0.07243812320664023	0.0041869290106790556	0.018160182237729066	0.0027302608297239722	0.06850840956436254	0.0065476750106297135	-0.04127015281639095	0.03214142803366745	0.09910978587088591
ENSMUSG00000029781	0.04237329389642192	0.05786623153560088	0.005555847345801469	0.06162597751265691	-0.012933738891816964	0.06838304447366161	0.043378697622132936	0.1536724035671276	-0.007520647688423716	0.052213527851485454	0.006673747076716349	0.02240232092660465	0.007979056862937536	0.043734018744362405	-0.003192532314278651	0.336826427122261	0.01746355304863495	0.14361116200172028
ENSMUSG00000059708	-0.002531246828688641	0.003467833045423114	0.0026698410213222296	0.07389856876915084	0.018391547034220173	0.025544530075837558	-0.010659090570178316	0.3209010075720601	0.0023189070196427304	0.050387278439796186	-0.0012285670364040665	0.008982716897454729	-0.009658659291017103	0.025147093927911816	-0.004273637558799237	0.6745671921225689	0.0033985074918486393	0.16980799228567775
ENSMUSG00000026837	0.016639268466523	0.051482858528730246	0.003346080712175795	0.0440011621596828	-0.013749599630214757	0.06610148746263543	-0.007433821378072025	0.27870286142200973	-0.0015076481927410767	0.05174461211123084	0.0015410888508995413	0.024277870534232145	0.0008454116927688509	0.01142844206598446	0.006079090148497406	0.5812941192839259	0.013906412355312828	0.1734870575945284
ENSMUSG00000048677	0.03104580898916538	0.04687176098694701	0.007458453663587404	0.0378572193294011	-0.00606617529275744	0.06367864124591247	0.03430329899825405	0.326342674476213	0.00917455474939613	0.06215802742951512	0.0005008366351051206	0.007949628671043943	0.002525868134086652	0.048023165256745416	0.007657342300184869	0.4912885242243127	0.005803324420984219	0.1383718151242647
ENSMUSG00000113265	0.01860983150140133	0.09726086506031736	-0.003667287186544854	0.030655494154234474	-0.005760811857570453	0.013226140404627326	-0.0072562433487681635	-0.04431751834792002	0.05784636770393783	0.09122840934867002	0.015901269653347427	0.012905457075768416	0.025535397251925523	0.08817548915139924	-0.009502819418178531	-0.02270183054559831	0.038437229620155576	0.11169768068721168
