	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000027995	0.0866403513524082	0.0	0.03718298052407489	0.02592122337895264	0.052333981450890764	0.0	0.08407691358004078	0.09126802869051236	0.0	0.0	0.029939299337554817	0.0	0.07427888874143426	0.0	0.0	0.07332776535022796	0.05662971443768452	0.0
ENSMUSG00000028348	0.0757861961988292	0.0	0.022501135746625683	0.0	0.0	0.0	0.05290385578695961	0.0	0.007965936624410471	0.0	0.0	0.0	0.019592996974184863	0.019832084402813026	0.06853255280725155	-0.038942911636187516	0.09883841239857008	0.009659750129861585
ENSMUSG00000018001	0.08097351298389958	0.0	0.046812316539632456	0.0	0.037303257923178124	0.0	0.08039829401922993	0.08574842124627907	0.0	0.0	0.0	0.0	0.0589125942242072	0.0	0.06321639110761944	0.1197665408540894	0.06538546205481303	0.047223740304814445
ENSMUSG00000081903	0.058728891239261075	-0.010124198486258574	0.0	0.0	0.01912572371858538	0.0	0.0	-0.03969438333557345	0.012834956520754262	-0.033379558590008795	0.0	0.0	0.0	0.011077522489161825	-0.012118627924120186	-0.04384420838237747	0.0	0.02701288151482424
ENSMUSG00000114082	-0.024079504602016168	0.0	-0.04391719723358353	0.0	0.0	0.0	-0.06703934220392777	-0.025721765633917346	-0.0744683113395717	0.0	0.0	-0.007761740423290164	-0.002742514500973958	0.0	-0.029924757989937403	-0.06789495223182249	-0.02161739536420244	0.0
ENSMUSG00000005506	0.0732727723453901	0.0	0.04886697766873833	0.0606003663569401	0.055594954358112424	0.0	0.15648352738047475	0.06549964322812372	0.0	0.0	0.0	0.0	0.09545451403101307	0.0	0.0	0.09421685195055018	0.05197736793894171	0.0419230825733341
ENSMUSG00000002006	0.0	0.0	0.025069142537549195	-0.03709692840566692	0.0	0.0	0.22130648756556381	0.01632114798770964	0.0	0.0	0.0073894125598667326	0.0	0.06063957507445791	0.0	0.03513999701512124	0.08341953536598617	0.033762473511106145	0.010007212391353954
ENSMUSG00000028923	0.06580230128181354	0.0	0.05013924643636565	0.0	0.0	0.03833169909500654	0.03249977475853919	0.07810910442840026	0.0	0.0	0.0	0.0	0.03937271492616533	0.0	0.032537710825118416	0.08383683279219371	0.0653095649887134	0.03825902211208014
ENSMUSG00000110656	0.0785731243145437	0.0	0.06096371216876299	0.0	0.012600275178564239	0.0	-0.07211154164050901	-0.03321872280396848	0.04131576842045508	0.015258363304837015	0.0	0.0	0.0	0.018276802199314147	0.0	0.0	0.09433052524044705	0.014228208652679352
ENSMUSG00000068335	0.04233300449547214	0.0	0.06764157340429516	0.0	0.06789936130739495	0.0	0.09985327304808285	0.06499985685050283	0.04337971779646975	0.0	0.0199158361088696	0.0	0.0	0.0	0.0	0.03742113408312637	0.10773637549350232	0.027534452050369956
ENSMUSG00000087066	0.033375901666832776	0.0	0.0	-0.02584072285431755	0.0	0.0	-0.0115461273234042	-0.029962819290533568	0.0	-0.01021094804680868	0.0	0.0	0.019796717886778184	0.0	0.014582684567705489	-0.0283593639813428	0.02938682354724486	0.014435347160610117
ENSMUSG00000071266	0.0	0.0	0.0	0.016090716799478665	0.02821238927124625	0.0	0.016971036537338068	0.0900679217394564	0.0	0.0	0.007271078258593411	0.0	0.04596239625137467	0.011247658491701158	0.0	0.16493787954938552	0.014041726543340082	0.020132855691858718
ENSMUSG00000044562	0.08334879047619885	0.0	0.06889856435370506	0.0	0.06680730745439081	0.0	0.2051799733692553	0.0	0.04315414442265787	0.0	0.0	0.0	0.07057657317467424	0.011186530424993282	0.053651394816343574	0.0	0.06037215438719923	0.004107426275799186
ENSMUSG00000086741	0.10059797540873915	0.0	0.047993755078546925	0.0	0.06963380280410193	0.0	0.04487065434061626	0.01725643505198524	0.05888725815605254	0.0	0.0	0.0	0.06768003895918613	0.0	0.04375945113575316	0.0	0.07750055018393369	0.014797996358433485
