	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000008305	0.007686837379797765	0.0	0.0	0.11444494315598498	0.0	0.0	0.001377715183056738	0.21830241377883852	0.0	0.017341012728638815	0.0	0.04317840241964793	0.0	0.036509836249872085	0.0	0.6789542754498492	0.02370427999097524	0.10953883058080675
ENSMUSG00000028999	0.038510802296234825	0.02606081531162978	0.0	0.06747222614724166	0.0	0.08725787350629242	0.0	0.17354327294613317	0.0	0.054244588032034954	0.0	0.0	0.0	0.040984719876148476	0.0	0.22811424815292303	0.023659594533468775	0.07294518340602835
ENSMUSG00000046317	-0.18944053432562769	-0.16543656488521724	0.0	-0.2450755850724034	0.0	-0.22185810731364214	0.0	-0.2522096018094223	0.0	-0.33444104429493277	0.0	0.0	0.0	-0.14632883287054188	0.0	-0.5005630179223095	-0.2524910642152924	-0.3628904855218853
ENSMUSG00000029076	0.030700624513909085	0.03695180757388459	0.0	0.08554268066176048	0.0	0.06871450701402897	0.0	0.2483038661313735	0.0	0.0	0.0	0.03907330167110115	0.0	0.06793634889201218	0.0	0.5210820022607201	0.026250249704882878	0.10873168048775866
ENSMUSG00000018931	0.04621118021023147	0.0	0.0	0.04561435422997174	0.0	0.07107212694824006	0.02574376810932244	0.26852396727894134	0.0	0.05262090002758758	0.0	0.04050739336944831	0.0	0.0491090176193574	0.0	0.3916960317639722	0.0	0.0965965448505359
ENSMUSG00000087205	0.0	0.013950286178429527	0.0	0.07116810811958404	0.0	0.044176255669187835	0.0	0.23865116584280105	0.0	0.05747444328590929	0.0	0.05545164889677992	0.0	0.055260556230454116	0.0	0.6449993498757693	0.020218393432768055	0.11666333767752801
ENSMUSG00000056296	0.0	0.0	0.0	0.0	-0.021808535757275815	0.049570124963170946	-0.03856645249415292	0.2551643755008581	-0.039427581703138155	0.0	0.0	0.01038328267337563	0.0	0.027024490098737048	0.0	0.3996969686304874	0.02301271768377163	0.06662998037617125
ENSMUSG00000035504	0.04086453202871618	0.0	0.0	0.07172342257473777	0.0	0.038375392454035526	0.04772709191081304	0.2567625091960723	0.0	0.06756598765661924	0.0	0.0	0.0	0.019770694364522865	0.0	0.27552273349883644	0.01738188529511886	0.05755244628233397
ENSMUSG00000113124	0.0	0.0	0.0	0.0	0.0	0.0	-0.030971928658055092	-0.07871695172612334	-0.02687611436417455	0.07242937497697849	0.022476910484057977	0.0	-0.02241838239069307	-0.020805233846740174	0.0	-0.10986059070880114	0.01596246535630544	-0.03236288501185147
ENSMUSG00000041774	0.018085020561811806	0.01817705687359425	0.0	0.0	0.01810883886520332	0.008142256716675511	0.05044418148456325	0.0	0.0	0.05259568539227084	0.0	0.012073915571606001	0.0	0.008292344424965853	0.0	0.0	0.014362259736139861	0.00889346785228399
ENSMUSG00000018398	0.03247634647125134	0.0	0.0	0.06940185589203256	0.0	0.05594250684684804	0.0	0.28119874050947274	0.0	0.047815275204307346	0.0	0.03560541735849759	0.0	0.046506622956418574	0.0	0.5830612488433738	0.02968617731209222	0.0722752015212896
ENSMUSG00000026670	0.01684062516696727	0.0	0.0	0.017448665122823486	0.0	0.07490501904151119	0.0	0.26468254991783263	0.0	0.029151059102583667	0.0	0.044904035724977705	0.0	0.027203829415984312	0.0	0.5949383042235116	0.020349079136571514	0.10085584564350523
ENSMUSG00000008129	0.0374139012691562	0.03530084976562018	0.0	0.061396110957186126	0.0	0.08591966944665848	0.0	0.27066348563026427	0.0	0.05761456519150398	0.0	0.0	0.0	0.04819679586415767	0.0	0.4116575652923743	0.030005307635002643	0.08704011585473792
ENSMUSG00000056459	0.03607964161030096	0.03307165261130583	0.0	0.1111139214921153	0.0	0.050332630186734555	0.0	0.18851357224415943	0.0	0.023006973293494326	0.0	0.040392355149473834	0.0	0.05943549108987045	0.0	0.3742008998234443	0.0	0.11992315629211946
ENSMUSG00000004018	0.0	0.0	0.0	0.02445016819347717	0.0068773098580054365	0.01939685439220286	0.05975783178980945	0.0757916024021688	0.0	0.03825693734852371	0.0	0.0	0.005743030735774738	0.03425968957968458	0.0	0.0	0.015977828004901714	0.00568797916819852
ENSMUSG00000117848	-0.1341572793651018	-0.2629020003644898	0.0	-0.2668469442649794	0.0	-0.22354169127221551	0.0	-0.27854793287020524	0.0	-0.43495173664973447	0.0	0.0	0.0	-0.18078178667884826	0.0	-0.5195376439183721	-0.15578096115123566	-0.3871925340017635
ENSMUSG00000039449	0.031657215065801644	0.0	0.0	0.06017007381596476	0.0	0.06802143143567886	0.0	0.27204962752787265	0.0	0.03537789089998654	0.0	0.04081190693593903	0.0	0.03937393505611453	0.0	0.4678343113162049	0.022729569097348135	0.07886713376444834
ENSMUSG00000021552	0.0	0.028674571279221638	0.0	0.06335199094134034	0.0	0.06969668572937641	0.0	0.23221950288150572	0.0	0.032608027178504646	0.0	0.0548622551061577	0.0	0.052743975004227506	0.0	0.5350499646540553	0.026577617220977734	0.10326368571195328
ENSMUSG00000086141	0.0	0.0	0.0	0.018931234439362916	-0.03051421995576378	0.036662193167397654	-0.033371020717506694	0.06481037174892705	-0.04073022068329463	0.0	0.0	0.0	0.0	0.05234191188804549	0.0	-0.03351630815447364	0.018394228699326554	0.04434877206382339
ENSMUSG00000024104	0.02347606221755376	0.0	0.0	0.10757284741081052	0.0	0.06381359076156497	0.0	0.2693760166479688	0.0	0.04241415639727696	0.0	0.031398259277112074	0.0	0.05338324235389704	0.0	0.6562643360859627	0.019186398236987312	0.10383715990422439
ENSMUSG00000059455	0.021920568947471228	0.05231838953712777	0.0	0.0	0.0	0.016218683995604326	-0.024418460970591575	-0.03945249176091387	-0.02059949265740543	0.03393565764809653	0.0	0.03776890133568721	0.0	0.0	0.0	-0.11995069252244941	0.020614908661068607	0.0
ENSMUSG00000072769	0.06452155157426447	0.0	0.0	0.08654275704473845	0.0	0.0	0.04547614510903224	0.19676517774582958	0.0	0.04404639985258669	0.0	0.0	0.034115052500437115	0.04124761260163945	0.0	0.15984324336682615	0.04100255927455146	0.08346617590894956
ENSMUSG00000087172	0.0	0.0	0.0	-0.014462749202642167	-0.009290070199389908	-0.004340682258108991	-0.023627118523257787	-0.03827253117185127	-0.02613926902602909	0.028957606684405602	0.0	0.0	-0.0066169152730777125	0.0	0.0	-0.11811349699210817	0.0	0.02611596943694889
ENSMUSG00000019818	0.027864906778222398	0.04041579013900188	0.0	0.08723899238571228	0.0	0.08365106993698901	0.0	0.22937095678327304	0.0	0.04348024837143673	0.0	0.0456785002767972	0.0	0.07610170634280981	0.0	0.5262585371938767	0.0	0.14095999651840657
ENSMUSG00000004798	0.0	0.0	0.0	0.10405029208243353	0.0	0.0739045591472192	0.0	0.2499235021703341	0.0	0.02928268780549127	0.0	0.06993792739897571	0.016372759394724934	0.06441366555081492	0.0	0.6936138081344176	0.02147813711585203	0.1418637109836045
ENSMUSG00000108644	0.03371163864817515	0.051122859453354035	0.01974405134965262	0.029070538422445436	0.0	0.0	0.06014437098331054	0.0	0.0	0.05586923250678796	0.0	0.0	0.0	0.02577766005652572	0.0	-0.12103797264771238	0.01767872730428538	0.028843876593511703
ENSMUSG00000091119	0.0	-0.2951922888410693	0.0	-0.24548178925732642	0.0	-0.1555008681082995	0.0	-0.27664299790713187	0.0	-0.4980287820375261	0.0	-0.09409208349608907	0.0	-0.23214511752600048	0.0	-0.4628542182020628	-0.08472354375956614	-0.3664449616632623
ENSMUSG00000068463	0.014007978295239523	0.025824478788909516	0.0	0.034750505739130404	0.0	0.0	0.0099316489956508	-0.09790220234304492	0.0	0.041491730862694275	0.0	0.0	0.0	0.036912060363867426	0.0	-0.12005878673507175	0.018308777544087336	0.022584297414470756
ENSMUSG00000087306	-0.019503307981011853	0.0	-0.02397157346385863	0.0	0.0	-0.02629962071780965	0.0	0.25849620648900984	-0.03176827097143079	0.0	0.0	0.01394334833832284	0.0	0.03341624606444307	0.0	0.43284425892528305	0.03995877728405323	0.051385875285183166
ENSMUSG00000024163	0.04181472253353577	0.024566944656340794	0.0	0.06007522862911343	0.0	0.051712679758627124	0.0	0.2554744101731687	0.0	0.030486589409285284	0.0	0.04433064190699877	0.0	0.039220531235816876	0.0	0.39629580554425176	0.0	0.10795749688434805
