	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000033174	0.07360752192040339	0.0	0.05837280031162053	0.0	0.0	0.0	0.07230688304988192	0.05917681141750226	0.02876804576187275	0.0	0.0	0.0	0.05979302015529696	0.0	0.052377831633292876	0.08411622259635249	0.07664829604524834	0.03429889295444984
ENSMUSG00000074570	0.07047566687004564	0.0	0.05196561705437514	0.0	0.0	0.0	0.05322004643506963	0.025237180980324323	0.0	0.0	0.005719831571354805	0.0	0.05167539137030122	0.0	0.0384977056483741	0.04596023894074215	0.08066402050513763	0.017340174806688126
ENSMUSG00000027775	0.05826103756933947	0.0	0.03938058829896935	0.03240040355347932	0.0	0.0	0.0381510150762467	0.053005455524259226	0.0	0.0	0.015061935400895066	0.0	0.0	0.0	0.019207050653882562	0.121829928360098	0.04278793040156975	0.03051897664576412
ENSMUSG00000055523	0.04478984198965059	0.0	0.04651190059556127	0.0	0.0029151251904425183	0.0	0.12596713370571858	0.0	0.006676601667713593	0.0	0.0022805943319260114	0.0	0.05252949134788212	0.0	0.04681139177661002	0.0	0.07401888034581312	0.009531506732950447
ENSMUSG00000027500	-0.031110485522191336	-0.008828882608681927	-0.014714539218745567	-0.007398384494643644	0.0	0.0	-0.059280496162179556	-0.0489846728046096	-0.02348328809590869	0.03266529407117727	0.0	0.0	0.0	0.0	-0.036978362214618574	-0.0445401797033976	0.0	0.0
ENSMUSG00000078813	0.11189363516021454	0.0	0.0	0.032382097801896916	0.056974563002714244	0.0	0.12517066971085666	0.06262007639478802	0.03457643056288354	0.0	0.028503028879398595	0.0	0.05723347616254403	0.0	0.0	0.038843586716420644	0.03680293563728117	0.0
ENSMUSG00000035504	0.10658390877024604	0.0	0.058791758487473145	0.0	0.04517431484062746	0.0	0.19254588670793757	0.06819501874594844	0.038548587221593	0.0	0.0	0.0	0.09914943150910858	0.0	0.042431875725570285	0.035549027401254873	0.09008823013452083	0.0
ENSMUSG00000001508	0.061691895713325895	0.0	0.05329196063517581	0.0	0.02664915435416385	0.0	0.009235585942106016	0.0	0.03599466553124013	0.0	0.00757145466510839	0.0	0.06947948842218872	0.0	0.0513925510748721	0.0	0.1067341980386223	0.00928657393800506
ENSMUSG00000086889	0.10019743874753373	0.0	0.021149028635815376	0.0	0.0	0.0	-0.07650931265823865	0.048353510258024666	0.0561491792388047	0.0	0.009770411350920521	0.0	-0.051805893951722845	0.0	0.0	0.056569432868301496	0.03578659889373773	0.023778355725176097
ENSMUSG00000004798	0.04729072549275597	0.0	0.0	0.0	0.054174633430913326	0.0	0.04257333071626468	0.08778043262224206	0.0	0.0	0.0	0.0	0.06863763460147188	0.04541323718684877	0.04339566962313444	0.1984018927480436	0.049126016948218276	0.06845685831810121
ENSMUSG00000026248	0.05899554050881916	0.0	0.0	0.020392388125256157	0.023314408215043735	0.0	-0.08316483638920673	0.06334586631940402	0.0	0.0	0.011438833517167101	0.0	0.01208664621868294	0.0	0.0	0.11119293975320306	0.04994060277272274	0.015997532159015657
ENSMUSG00000090164	0.018487951294280502	0.009430227404082375	0.009696821204730277	0.0	0.024103187965050524	0.0	0.0	0.0	0.0	0.0	0.005171458356122189	0.0	0.03420766517281451	0.007416454366449651	0.0	-0.031113128597162185	0.026881293325823143	0.010461197663967007
ENSMUSG00000071521	-0.037498369348043833	-0.02307461056712705	-0.006504189047523953	-0.025313705517921566	0.0	0.0	0.0	-0.04173042174208535	-0.015166665487409046	-0.017164383398346552	0.0	0.0	0.0413335162973138	0.0	-0.023542420993309374	-0.045757782251177395	0.0	0.0
ENSMUSG00000090290	0.0985734221509006	0.0	0.05371139433700889	0.0	0.0	0.0	0.05128714417687494	0.06649830875262855	0.06919967055483756	0.0	0.0	0.0	0.06099264805671955	0.0	0.056013417932947826	0.1232885005332792	0.05813320983734504	0.052451825169923506
ENSMUSG00000041020	-0.02562718403959458	0.0	0.0	0.0	0.03620867523914384	0.0	-0.10413762346583133	0.0697671111645262	-0.03457142251349449	0.0	0.0	-0.04169767433876787	-0.05043109361395153	0.04545396592438375	-0.04369696557145904	0.15490137060520315	0.0	0.0
ENSMUSG00000035011	-0.595672926074851	0.0	-0.3472086661277286	0.0	-0.37162568582348116	0.0	-0.40976032383236866	0.0	0.0	0.0	-0.17268682283160844	0.0	-0.4248159265113804	0.0	-0.13932198289162034	-0.16684965833271398	-0.5835216177076933	-0.24469454060854037
ENSMUSG00000024583	0.047021044106253115	0.0	0.0	0.04314823050667765	0.048930523494347636	0.0	0.1472644051649991	0.10476497114939322	0.0	0.0	0.0	0.0	0.08505289559565643	0.0	0.03050869030020731	0.1761341676940829	0.04106700250185201	0.029441929376090206
ENSMUSG00000002565	0.06686407535908447	0.0	0.0	0.016827765955100663	0.00970201485824108	0.0	-0.04996936080482869	0.0	0.0	0.0	0.013874505103449966	0.0	0.026811400153770516	0.0	0.014495839978436276	-0.05679748192825155	0.006359530707898936	0.016616441380374304
ENSMUSG00000030505	0.07102292460729215	0.0	0.046717748473673194	0.0	0.061170723279269	0.0	0.058199874808229184	0.08258766352980185	0.0	0.0	0.0	0.0	0.06339548162436871	0.0	0.05053126517850788	0.11280307473708998	0.05055658277102984	0.04021349423757348
ENSMUSG00000086130	-0.5946811938412425	0.0	-0.3516091795502792	0.0	-0.38661537404427393	0.0	-0.4001523435827916	0.0	0.0	0.0	-0.15760862741402587	0.0	-0.4481623001802851	0.0	-0.13003169983664753	-0.16322344814564282	-0.5694786489086328	-0.2545953352381653
ENSMUSG00000032178	0.0805898745913816	0.0	0.061523856334269815	0.05072381067518106	0.04934481808249861	0.0	0.18468434664716243	0.058598202740025106	0.0	0.0	0.0	0.0	0.09659815999232649	0.0	0.07030906584991999	0.06540348420004725	0.07619243883894027	0.0
ENSMUSG00000109446	-0.050335138108162765	-0.0445548411071348	-0.028695144208617223	0.0	0.0	0.0	-0.09698942280661922	-0.03478665368318442	-0.049094566358245856	0.0	0.0	0.0	-0.02728760448646217	0.0	-0.041129163406686334	-0.04228201014834369	-0.04009454401957372	0.0
ENSMUSG00000118652	0.027111910935479343	0.0	0.024100568586735878	-0.012672256211647009	0.0	0.0	-0.04795067068236579	-0.0390209780804296	-0.007632988425885279	0.0	0.0	0.0	-0.010310426821450504	0.0	0.0	-0.012984165784610287	0.01965186580608586	-0.009725774745442069
ENSMUSG00000023571	0.10318174855210419	0.0	0.06860138090384409	0.009964713469736533	0.0	0.0	0.1117087878905791	0.009590121929331188	0.0	0.0	0.0032595710301800973	0.0	0.0	0.0	0.021915357721159417	0.0035619101160561687	0.08048197943777222	0.010148150941851095
ENSMUSG00000041258	0.04638874874773588	0.0	0.028519550271830313	-0.07634319323853152	0.0	0.23821151860456538	0.0	-0.11566277309802929	0.0	0.06163224246759104	0.0	0.029142578352890667	0.031421309547054015	0.0	0.0	0.0	0.055293727268314725	-0.1219996309657608
ENSMUSG00000024222	0.08584990313697217	0.0	0.059936945076941035	0.0	0.06763731124759986	0.0	0.19287120944818734	0.04078398044240005	0.05889487109302341	0.0	0.0	0.0	0.10551886826903305	0.0	0.07187775490868505	0.0	0.07084493150967844	0.03544961009463432
ENSMUSG00000120192	0.025832457875113738	0.0	-0.019426166613929124	0.0	0.04395068819327694	0.017055187767484752	0.0	0.0	-0.023912555471221432	0.0	0.015611680140937341	-0.014064336246269772	-0.015802777238818608	0.0	0.0	-0.08335006317057796	0.0	0.024192320896468323
ENSMUSG00000023940	0.044639299832324106	0.0	0.03991850865432378	0.050624288554484885	0.05551452847268561	0.0	0.16092670611564389	0.08120196440284576	0.0	0.0	0.0	0.0	0.11652920251343567	0.0540793753625881	0.0	0.14624454184544697	0.043531856326549837	0.0
ENSMUSG00000071604	0.07722564418672609	0.0	0.04627352709297923	0.0	0.04975923465397828	0.0	0.0	0.08177071846408349	0.04308316066088151	0.0	0.0	0.0	0.07548975712819546	0.0	0.029065740833892684	0.0807325723821765	0.06200419899167641	0.04043706013753834
ENSMUSG00000030216	0.07009044287038475	0.0	0.05661320152146139	0.06166553653440556	0.0	0.0	0.20128501232653054	0.050693127418928154	0.0	0.0	0.0	0.0	0.07191414473444048	0.0	0.05237399807256549	0.09259145662537824	0.06154585152960665	0.039405577955673676
ENSMUSG00000033721	0.03675035509784488	0.0	0.011904980455713537	0.023543523275095544	0.0	0.0	-0.024616006472936547	0.046451173960186005	0.0	-0.01950594002533554	0.01212681692473136	-0.03556115738047325	0.0	0.0	0.0	0.1744901690432035	0.0	0.01723259092023985
ENSMUSG00000024104	0.06864323637436417	0.0	0.037373010202694346	0.0455090148428369	0.0	0.0	0.07419456117739791	0.0893878456775731	0.0	0.0	0.0	0.0	0.06338089134629887	0.0	0.03992357893093845	0.19894366880626177	0.0427515433480224	0.04312288307683888
ENSMUSG00000097416	0.06374393871534892	0.0	0.06629929270212127	0.0	0.036187994889289254	0.0	0.07194701225703994	0.09742393149625588	0.06417912451636872	0.0	0.0	0.0	0.07202082005293135	0.0	0.06606932353239088	0.06437089208042922	0.07488224400618411	0.0
ENSMUSG00000113441	0.06052504970077678	0.0	0.04171841955758839	0.0	0.0	0.0	0.031167546298893987	-0.050635479345884804	0.01154904767673772	0.0	0.008404386931432228	0.0	0.04300060567548591	0.0097695459920974	0.032362296040785284	0.0	0.06564516121690127	0.0
ENSMUSG00000086753	0.09062443363732398	0.0	0.06115169965318551	0.0	0.036329040701637096	0.0	0.0	0.09070512945591404	0.04716563137579552	0.0	0.0	0.0	0.09624143433394318	0.0	0.03694585765104596	0.04639895134191957	0.06154534231350338	0.03582259254157627
ENSMUSG00000029402	0.07438208529022608	0.0	0.0380020317710965	0.0	0.0396646624865508	0.0	0.0972174338299952	0.0631011966945855	0.0616701326986327	0.0	0.0	0.0	0.0	0.04748534183575372	0.0	0.07690406931655663	0.03561642948165389	0.03594445007905241
ENSMUSG00000040435	0.10060495130918835	0.0	0.06544000653980511	0.02920044159318469	0.06414155692044395	0.0	0.24771970411034286	0.025701784071770484	0.06833291785650877	0.0	0.0	0.0	0.11951873068789252	0.0	0.054652733578581865	0.0	0.0706799332083322	0.0
ENSMUSG00000097418	0.08200881101544853	0.0	0.026079879640330803	0.017099007572031477	0.06366120112251983	0.0	0.0	0.07370063141584618	0.0	0.0	0.0	0.0	0.053306002687215255	0.021822896199678195	0.0	0.10740528782312232	0.0314918490126659	0.023675352435970284
ENSMUSG00000092353	0.03181679049600413	0.0	-0.017247056575492675	-0.00910168559821024	0.02361077570734815	0.0	-0.013177982079190305	-0.027158339927600365	0.0	-0.017802443625892776	0.0	-0.012182710808195118	0.0	0.0	0.0	-0.02878963348247511	0.03737087223300858	0.0
ENSMUSG00000037390	0.0	0.0	0.017583654895448567	0.0	0.0	0.0	0.008733002456231962	0.0	-0.022086249208737925	0.0	0.00994463552197478	0.0	0.046373518990055505	-0.012175158307317052	0.03662373163126391	-0.03896488311201343	0.051219467818162966	0.018337580330478713
ENSMUSG00000121878	0.023030142723004025	0.0	0.02779358291980022	0.0	0.00915756856704808	0.0	0.0	0.0545914521952703	0.0	0.0	0.012478748612244557	0.0	0.023417320303917657	0.023974347045388738	0.012296173440675288	0.06324569751091157	0.05857268051925558	0.0
ENSMUSG00000018574	0.12965051710057854	0.0	0.02863502909531779	0.0	0.024743904015664366	0.015690253284137146	0.030145962517286146	0.0	0.06637899886277426	0.0	0.0	0.0	0.022808768454662225	0.0	0.07441661963245867	0.0	0.08826125944165332	0.021198883394400635
ENSMUSG00000028149	0.05534729209749057	0.0	0.0	0.04869869003176747	0.045722411353339876	0.0	0.08738908167641335	0.08613501537012305	0.0	0.0	0.0	0.0	0.0676435504738593	0.04264326832323613	0.0	0.20670337331134042	0.03876972963188674	0.051080031105686784
ENSMUSG00000019997	0.08726694664264617	0.0	0.08879831232836528	0.0	0.025846477328502798	0.0	0.18657037709910632	0.031885339638725196	0.07347692197986902	0.0	0.0	0.0	0.08817867248872578	0.018220480292637453	0.0	0.0	0.04682850994926827	0.021304340594107078
ENSMUSG00000031833	0.08622160724442478	0.0	0.06355580742008173	0.0	0.06634624059825688	0.0	0.17853852916507265	0.03605861217331409	0.05707655104360395	0.0	0.0	0.0	0.06812985340851076	0.0	0.044106246821479365	0.0	0.06765066800035154	0.023946064704244985
ENSMUSG00000021214	-0.02254464684715525	0.0	-0.04025457606738758	-0.03447618455649605	0.02549860485028641	0.0	-0.06257867517487513	-0.05001372194348667	-0.054536768004871145	0.0	0.0	0.0	0.036015299565781415	0.0	-0.045380929848969125	0.015571119696499436	0.0	0.0
ENSMUSG00000064284	0.10368235120307182	0.0	0.06181472434111179	0.0	0.023890483797883003	0.0	0.0	0.1098792414960002	0.02631645811577706	0.0	0.028276825767192808	0.0	0.018310983950844184	0.0	0.0	0.08170160568686231	0.06985506761000282	0.019544251045716377
ENSMUSG00000114731	0.0	0.0	-0.010289315894359354	0.0	0.0	-0.006286168202901938	-0.061624810171946875	-0.019324169572072624	-0.05994149111625519	-0.0061224159061998296	0.0	0.0	0.0	-0.026109702896923544	-0.02342747552458287	-0.043441821097741085	-0.012050407193324248	0.0
ENSMUSG00000000409	0.07925706705012958	0.0	0.07218913120382243	0.0	0.03799528595356579	0.0	0.19039797001214484	0.0	0.037385413790421006	0.0	0.0	0.0	0.08493982668049772	0.017304988850177727	0.05585642327761365	0.0	0.08057115232024269	0.02010404758918129
