	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000022528	0.05371484587397847	0.018924558918818835	0.0	0.0	0.052234438089195076	0.03470425811266425	0.06258201909555335	0.14017823890212094	0.0	0.03462710338222062	0.0	0.0	0.0	0.03099013603468657	0.0	0.031451499172498225	0.0	0.06364005509919564
ENSMUSG00000112533	0.014325605664513005	0.033747894128260736	0.0	0.01017581585520472	0.0	0.016055026963806854	0.0	-0.11817355551977686	0.0	0.06794668466402135	0.0	0.0	0.025953732796375414	0.0	0.0	-0.08505222907898798	0.021712009606218163	0.03976435858162275
ENSMUSG00000022537	0.036115200197208965	0.0	0.0	0.055498297185127825	0.0	0.07086092972599804	0.024996408953391613	0.24747269690035992	0.0	0.04111026124155944	0.0	0.04150368313555629	0.0	0.04647215604633537	0.0	0.4107197002474636	0.0	0.08974125432565193
ENSMUSG00000026893	0.0	0.0	0.0	0.016791675620870833	0.0	0.0688936948342651	0.0	0.2198717940095627	-0.04532450860272108	0.0	0.006850813543878639	0.011899352506715203	0.0	0.032487787152876965	0.0	0.46380857606455217	0.02149180201965651	0.031175156847424175
ENSMUSG00000069743	0.0	0.0	0.0	0.0	0.0	0.07558959237832102	0.0	0.27462476746550346	-0.02760581445067342	0.0	0.004275741912679543	0.01994946465388919	0.006945376146966629	0.02331457842806581	0.0	0.5033975127876469	0.025084896031213076	0.07973496782743045
ENSMUSG00000026255	0.0464301009081833	0.030203423374988332	0.0	0.03781561315622769	0.0	0.0784100818263517	0.028915154863034108	0.18275370979771088	0.0	0.043403660674948774	0.0	0.028225507327457877	0.0	0.0	0.0	0.08606654527198956	0.0	0.08516337857640068
ENSMUSG00000094786	0.0	0.0	0.0	0.046183201168877926	0.038868739097889016	0.05146044041814774	0.0	0.2180473382891524	0.0	0.05094295733222371	0.0	0.0	0.05009293699073143	0.04021499093130429	0.0	0.27652672236023285	0.03366174890537537	0.08615732683687147
ENSMUSG00000024127	0.0	0.010433080443131626	0.0	0.05679476569142352	0.0	0.020674519470240287	0.0	0.23245398314282129	0.0	0.03838811584100553	0.0	0.04395993331636332	0.0	0.03393977946702377	0.0	0.5990604557096476	0.020091644200168398	0.04620286869441528
ENSMUSG00000094592	-0.008139541714351118	-0.059560549770114796	-0.020940173494756464	-0.05083878483531511	0.0	-0.029034557974171264	0.0	-0.12802300741679673	-0.02561391556640586	0.0	0.0	0.0	0.0	0.0	-0.0051700177929367985	-0.25424378572038814	0.0	-0.005479775688738203
ENSMUSG00000086822	0.024863619132085214	0.0	0.0	0.03176008420262438	0.023617227310437194	0.08529518607225607	0.03321612618362845	0.03777056083878188	0.0	0.04599442336224092	0.0	0.026069026942340978	0.0	0.06138766539497463	0.0	0.0	0.0	0.03794109245062946
ENSMUSG00000116868	0.0	0.03797063361376997	0.0	0.05106904117026918	0.018248066831325734	0.03787094710320462	0.046854924782772193	0.0	0.0	0.048581038985667964	0.0	0.01738641355557874	0.021162413235905852	0.03117382048905999	0.0	0.04936378386909062	0.0	0.0
ENSMUSG00000114082	-0.020584719880308244	0.030493260664968366	-0.03250259172246718	0.05866466119899269	0.0	0.0	-0.02843320799996101	0.0	-0.06253039949390057	0.05017238003097448	0.0	0.0	0.0	0.05577519275844865	0.0	-0.17446232298213638	0.0	0.05216409987983559
ENSMUSG00000036792	0.0	0.014917476014961073	0.0	0.0749065344470173	0.0	0.07403168270654541	0.0	0.19346816262919714	0.0	0.04649860514178363	0.0	0.04815140827087878	0.0	0.0517471322442501	0.0	0.6378257910648075	0.02140176741361161	0.11038630132514897
ENSMUSG00000108244	0.04350522984688852	0.0	0.0	0.10830576775979911	0.0	0.08298656306395354	0.04156376162760034	0.21576946266420607	0.0	0.04595578346562962	0.0	0.035487390176197176	0.0	0.059615734018814044	0.0	0.28096821454903265	0.0	0.09800644385784162
ENSMUSG00000113630	0.0	0.020086067694163462	0.0	-0.04142530412178812	-0.004609643335698188	-0.018040676918689196	-0.008806451058431907	-0.16778555082468893	-0.015275207854859129	0.0	0.0	0.0	0.0	-0.006305913270757165	0.0	-0.13435905663867528	0.018585186881054504	0.0
ENSMUSG00000036915	0.05430265009181094	0.0	0.023701273119737798	0.04649097619789884	0.0	0.056826912314711917	0.05485109686598531	0.21189929099017107	0.0	0.040752054197188095	0.0	0.0	0.0	0.03922703774033105	0.0	0.12372000176595185	0.0	0.06832189301648282
ENSMUSG00000070687	0.0317175201963809	0.028879828934516894	0.021459731992610587	0.0	0.020401135184341557	0.0	0.02986468070021101	0.05207079554976428	0.0	0.0	0.0	0.0	0.0	0.03281025641783451	0.0	-0.09342981679371869	0.01383846635608263	0.035054365640077696
ENSMUSG00000038215	0.009094948359549493	0.0	0.0	0.06660070669850732	0.0	0.06070826271115847	0.0	0.19869032324533667	0.0	0.043406645370258144	0.0	0.04447071448589899	0.0	0.047578241273796715	0.0	0.5921168932737967	0.019030464142666754	0.10113270931710029
ENSMUSG00000097921	0.030712964079992633	0.043625657222778454	0.0	0.07052010015788762	0.0	0.05689275490794541	0.06154711759564589	0.07351333457479461	0.0	0.06287593388789785	0.0	0.0	0.0	0.05518992046650209	0.0	0.0	0.0227411067703176	0.0613176140354898
ENSMUSG00000089722	0.03824727214869732	0.0	0.0	0.0	0.05077535971084525	-0.03120991775786027	0.01581596790313094	-0.15631061607395533	0.01303668204184476	0.052955535059165296	0.0	0.0	0.01095106316563016	0.0	0.0	-0.05267650200269028	0.03219361374311386	0.0
ENSMUSG00000095253	0.026855579366689364	0.0	0.0	0.06073307351923329	0.0	0.04858047021043864	0.0	0.2778894138601886	0.0	0.037585293855787884	0.0	0.02760748372241204	0.03101951168410539	0.04468917560551514	0.0	0.535763289422473	0.0	0.08088526507313616
ENSMUSG00000021214	0.0	0.022471056147702735	-0.028282400677789147	-0.08149163990997352	0.0	0.01522074328008649	-0.013288022209413157	-0.12317607335681838	-0.04612335519459942	0.0438365843771775	0.0	0.0	0.0	0.0	0.0	-0.20360392477981273	0.016667681584404483	0.0
ENSMUSG00000027867	0.010228314527943982	0.0224520364267992	0.0	0.013694235780791958	0.0	0.010811138993850986	-0.01764671538620855	-0.14780408196191572	-0.018185997109976718	0.015291893147012793	0.0	0.0	0.0	0.0	0.0	-0.096293618256194	0.014953262073552034	0.0
ENSMUSG00000112041	0.008201056022356587	0.0	0.011417122353815484	-0.01885792159094961	0.0	0.0	0.03282969550170648	-0.1169205735957387	0.0	0.01639622650347551	0.0	0.0	0.0	0.022822710968059913	0.0	-0.11832812423577631	0.013598064693815323	0.04676167729328218
ENSMUSG00000041130	0.0389211927920163	0.04022931585996634	0.0	0.09640991793319655	0.0	0.047667089418095485	0.047357040447676454	0.21842314623338122	0.0	0.03678602939446851	0.0	0.0	0.0	0.053234720363224	0.0	0.3353048439357981	0.0	0.07570261774005509
ENSMUSG00000087172	0.0	0.0	0.0	-0.018487690735262213	-0.009296757243181629	-0.009140700020347293	-0.025902239739419065	-0.06409577125955608	-0.02657400562407379	0.02702302597783345	0.0	0.0	-0.009187198609515335	0.0	0.0	-0.17072144430513728	0.0	0.021187545205235803
ENSMUSG00000035203	0.02597593153332378	0.02824436840098507	0.0	0.0705467651564598	0.0	0.044536217149436105	0.0	0.2269370441113718	0.0	0.03132542489128296	0.0	0.03010450900054678	0.0	0.039103321374835714	0.0	0.40163605512634104	0.0	0.0668518996919557
ENSMUSG00000025422	0.04253490039937665	0.0	0.020801924386281284	0.03779980817699434	0.0	0.02088069284779032	0.053131679893320405	0.1534508518269261	0.0	0.03119014043305852	0.0	0.0	0.0	0.02821219864228994	0.0	-0.09264340685285327	0.0	0.032965950158248804
ENSMUSG00000032878	0.0	0.0	-0.02215795183583469	0.07709501125894702	0.0	0.0	-0.03905613082462474	0.17902106569632298	-0.030420421990997107	-0.020033266918684012	0.0	0.0	0.0	0.042555083969503374	0.0	0.3195463405858386	0.028887516074371424	0.04558015930355955
ENSMUSG00000090199	0.03850912990394348	0.0	0.0	0.05064684669801609	0.0	0.10945041387555698	0.0	0.21482896665806187	0.0	0.04690086292927209	0.0	0.029125353941681077	0.0	0.048857221040229236	0.0	0.28728987351952545	0.022946634266004295	0.09158620458694032
ENSMUSG00000086324	0.034717927642047064	0.0	0.0	0.07945429767267387	0.0	0.08285054551095311	0.0	0.22894798747657563	0.0	0.03160789169541389	0.0	0.04197064637882511	0.030978682447972566	0.05519741074608694	0.0	0.34937412063056417	0.0	0.057316369371621566
ENSMUSG00000037627	0.03576955995712776	0.0	0.0	0.07050344074379496	0.0	0.0643616893201918	0.0	0.23833560754797786	0.0	0.04623576153688785	0.0	0.03062195290031957	0.026667921442358078	0.03584117096085086	0.0	0.3270897906466925	0.0	0.06774945851627319
ENSMUSG00000114348	0.014467004992770314	0.0	0.0	0.015224977454042006	0.0	0.0	0.027697453872899548	-0.10583852291242184	0.0	0.0061448611374159065	0.0	0.017920148009264038	0.020855760386532262	0.03420912426651321	0.0	-0.0434243006550478	0.015447643835679979	0.0
ENSMUSG00000107458	0.013200100239147042	0.03169329823931772	0.0066441082380625655	0.04280846065559642	0.0	0.012546430087094666	0.0	-0.1423789069655419	0.0	0.0	0.0	0.006333956388233253	0.0	0.0	0.0	-0.14402041391118342	0.01575838534750228	0.03371619841425076
ENSMUSG00000032462	0.040076085136392325	0.0	0.0	0.06236764178645099	0.0	0.04773436958294742	0.023295874055311656	0.2348201111195089	0.0	0.022367715040953806	0.0	0.04832592809692636	0.0	0.03825631906138439	0.0	0.3855560861126585	0.0	0.10318366178493286
ENSMUSG00000035045	-0.19677359226548272	-0.15664931691560824	0.0	-0.2331742631177754	0.0	-0.23127604333315996	0.0	-0.2951476410623963	0.0	-0.308051612709262	0.0	0.0	0.0	-0.16344897034510128	0.0	-0.5833451950840742	-0.22156980281929683	-0.3807043804074303
ENSMUSG00000038167	0.03871992169079335	0.03652679144599716	0.0	0.025784239585043334	0.032159477401525347	0.06697091057543687	0.05279332132703776	0.16470309076615422	0.0	0.034499106933050624	0.0	0.0	0.0	0.03570231228533108	0.0	0.0	0.0	0.0375548804400463
