	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000109761	0.08258289329629867	0.0	0.054313956817418456	0.0	0.03674786322476982	0.009381700447396847	0.0	0.0	0.007958266714978568	0.0	0.009052126293284495	0.0	0.016147481898205716	0.018307669284924256	0.02700963266110058	0.0	0.025630421359590407	0.0
ENSMUSG00000028958	0.15299868056179566	0.0	0.11239449083623883	0.0	0.06191062338695253	0.00892786903625099	0.21128948491689337	0.0	0.05403854121240773	0.0	0.0	0.0	0.009083366055009291	0.0	0.0	0.009677361268836893	0.09652419500345143	0.019260955056336928
ENSMUSG00000108511	0.08170680415994404	0.0	0.020067893712811136	0.0	0.04336362194517277	0.0	0.0	0.11963387084217067	0.017042088233988784	0.0	0.028774679045433457	0.0	0.03900511377177262	0.0	0.0	0.1354863980576062	0.05978220415963322	0.03480952259109711
ENSMUSG00000087390	-0.07104775363861311	-0.016729277037384558	0.0	-0.030645745464803892	0.0	0.0	-0.030844093029171613	-0.02624594925114181	-0.058569709628633754	0.0	0.0	0.0	0.023346061492920046	0.0	0.03427447248943015	-0.026343539767442498	0.0	0.021008267221924115
ENSMUSG00000030123	0.07565498105111257	0.0	0.05972810969320669	0.0	0.0	0.0	0.10355512604129115	0.03304703328424777	0.00491818660427451	0.0	0.0	0.0	0.05181161022632278	0.0	0.051677058155415775	0.025236946836420478	0.08176993575448474	0.016600150406300813
ENSMUSG00000086127	0.11600865709940773	0.0	0.023885366172337916	0.0	0.044405107910630015	0.0	-0.09959846778472392	0.06205888543810952	0.020166836804069676	0.0291679140512146	0.0	0.0	0.0	0.0	0.0	0.06018467183067507	0.0626970626775607	0.04746136061932591
ENSMUSG00000039672	0.034150037873805404	0.0	0.056588810322877214	0.0	0.005662340977628932	0.0	0.0	0.0	0.03218179662525489	0.001989046756226187	0.004501578242100941	0.0	0.08260246016720207	0.0	0.006623721735323053	0.0	0.07744100594301631	0.01739583738228297
ENSMUSG00000036557	0.06271988619312495	0.0	0.03700282354566879	0.04297021194357711	0.03040398037550612	0.0	0.0752068718902481	0.0	0.032775998808414045	0.0	0.0	0.0	0.08953515219706412	0.02376130433868573	0.06792116490112897	0.0	0.08420550429774673	0.0
ENSMUSG00000021214	-0.015119096957905335	0.0	-0.03568081707056675	-0.028487719273086586	0.030331213416884502	0.0	-0.05332636176858895	-0.03725714258932653	-0.05270569290394532	0.0	0.0	0.0	0.03998012484661924	0.0	-0.0371506153989416	0.0	0.0	0.018045323689067777
ENSMUSG00000028602	0.0966074296253616	0.0	0.06747696785833242	0.0	0.06759757782110651	0.0	0.12597491259752616	0.0	0.055964488191108074	0.0	0.0	0.0	0.10179143111359078	0.0	0.08963758734052245	0.05887734852467215	0.07542592992890326	0.047195883391907056
ENSMUSG00000037833	0.07491200663738272	0.0	0.06084257722243396	0.05428778933486115	0.033382018794968216	0.0	0.12225104843584339	0.0	0.0	0.0	0.0	0.0	0.050175197961089775	0.0	0.0459016055212764	0.036139865370696064	0.04981424902228277	0.030688992771755297
ENSMUSG00000120192	0.03367516005837709	0.0	-0.018272936681952883	0.0	0.04528419472200876	0.019498582144407417	0.0	0.0	-0.02324075069913303	0.0	0.01611789465542666	-0.016132435645786966	0.0	0.0	0.0	-0.06529958169516788	0.015204062897798722	0.024581940697370453
ENSMUSG00000097739	-0.32784041913055045	0.0	-0.3562434617622602	-0.04605479281804059	-0.09453877704114988	0.0	-0.10976232842758951	-0.05337737692259585	-0.057444369500789905	0.0	0.0	0.0	-0.1813380351878187	-0.07331968664007459	0.0	0.0	-0.16847219088570928	0.0
ENSMUSG00000027425	0.07827168740376646	0.0	0.056492934948975705	0.0	0.057136414055072304	0.0	0.13479895547456647	0.09602883922698115	0.0	0.0	0.0	0.0	0.10141925270375926	0.0	0.05914616809329101	0.1617309737756926	0.07278925998996845	0.05817887780154857
ENSMUSG00000036026	0.08960651087730193	0.0	0.06999488625438155	0.0	0.04402973494648177	0.0	0.19219876769027927	0.06642787537267421	0.061969249885236916	0.0	0.0	0.0	0.10358439325044462	0.0	0.0755020822565562	0.06861564820740775	0.08598806659595745	0.0
ENSMUSG00000115479	-0.11265574438023783	0.0	-0.09890824748739357	0.0	0.0	0.0	-0.13708134765789382	-0.03688810511920981	-0.08549968225629836	0.0	0.0	0.0	-0.05742043594209272	-0.038663797479962805	-0.15240951059978852	-0.07866900729080002	-0.06473873791822024	0.0
ENSMUSG00000085875	0.09003141912569686	0.0	0.0	0.039497619926354366	0.05180642448954938	0.0	0.21382501877761378	0.07284563413958414	0.0	0.0	0.037163654385757285	0.0	0.10727369643432666	0.0	0.0	0.1071377647655463	0.05251157010079074	0.043263809513883304
ENSMUSG00000068762	0.11847292213211291	0.0	0.08586693797183441	0.0	0.07233336221977832	0.0	0.014439566914629475	0.0	0.03050593558187559	0.0	0.014519321470197744	0.0	0.10998422179773988	0.0	0.11411675352088846	0.0	0.11569454876459354	0.028271503876932686
ENSMUSG00000018572	0.15282973295788485	0.0	0.10087715769244833	0.0	0.13647474823440714	0.0	0.2029494621736157	0.01680313501846542	0.0592893754194115	0.0	0.0	0.0	0.09831895701018045	0.0	0.10114163903700324	0.0	0.11321494775849976	0.019409936643151573
ENSMUSG00000085222	0.0	-0.00530419498526295	-0.017352006047585203	-0.034315270423172686	0.022877290216377827	0.0	-0.05656406622569043	-0.019486014020329716	-0.04397631418947392	-0.009377828661309167	0.0	0.0	0.0	0.0	-0.03398652881529999	-0.020154181805045912	0.0	0.0
ENSMUSG00000100335	0.06965083004857345	0.0	0.06125849766547193	0.0	0.045989459886995356	0.0	0.0	-0.04550894852787357	0.03778783216811081	0.0	0.019405468081942597	0.0	0.053670113383731115	0.0	0.036006511271545215	0.0	0.06422689576804093	0.02226097204211379
ENSMUSG00000039620	0.10640166679229068	0.0	0.060056620709151076	0.0	0.06734214869723895	0.0	0.06783863601086003	0.09655076641688892	0.0	0.0	0.0	0.0	0.07473072269120508	0.0	0.07689635765514599	0.1334027975146901	0.0657762268408726	0.0678757705971313
