	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.11837434934384768	0.0	0.11110391985986344	0.0	0.16624168871875378	0.0	0.3734215372444821	0.0	0.05377726944531056	0.0	0.014207490487499586	0.0	0.07940036657753836	0.0	0.09924747612071308	0.0	0.055233564057712146	0.027933129822057017
ENSMUSG00000032369	0.0	0.0	0.01622310844591733	0.026131658481119428	0.02645177633384564	0.0	0.12770628857969382	0.04692335892104367	0.0	0.0	0.0	0.0	0.06197253796933809	0.017119550183903653	0.0	0.15950498157819434	0.02661922855726346	0.01860054465855568
ENSMUSG00000073411	0.07930618913097048	0.0	0.0503950893278907	0.0	0.07608958664383189	0.0	0.2069510536189165	0.038272214204071564	0.08228468169623035	0.0	0.0	0.0	0.10511564035976612	0.0	0.0	0.07962518218747493	0.08527060152955072	0.05521283409174526
ENSMUSG00000026679	0.0236232428581973	0.0	0.0	0.0038472606871737813	0.028637925676956555	0.016557869103856572	0.0	0.06533600052924644	0.029844420600899816	0.0	0.0	0.0	0.0	0.012232560672202233	0.0	0.12943995892019966	0.027160797487874512	0.020536562045009914
ENSMUSG00000087225	0.06828998786895464	0.0	0.037337785002836174	0.0	0.02467902432019499	0.0	-0.0630710086042416	-0.04690229844789656	0.0	0.0	0.019638410700288343	0.0	0.014774153562363931	0.0	0.017518343638843196	0.0	0.020956424585744517	0.011830890552803463
ENSMUSG00000022560	0.04681961241721288	0.0	0.0640679731654081	0.0	0.04985739290353099	0.02137346741079474	0.0	0.04917476958214462	0.06566720466233583	0.0	0.0	0.0	0.0	0.010582817429668934	0.0	0.08888711230275873	0.05897122630902457	0.022900248934534545
ENSMUSG00000040016	0.030112369538006035	0.0	0.023155405342489818	0.0	0.02752618039002867	0.0	0.0	0.04762329195994729	0.025097745776760296	0.0	0.0	0.0	0.049986516222967535	0.014239641429691354	0.0	0.03411121401291533	0.026624018822413886	0.01450031080191938
ENSMUSG00000025592	-0.12728996395561196	0.0	-0.08052695133460713	-0.015676830059677144	0.0	0.0	-0.11555078351737318	0.059534387322190796	-0.13174416180053405	0.0	-0.021430968582932333	0.0	-0.09316751583556451	0.0	-0.10652925795615323	0.22659767918347126	0.0	0.0
ENSMUSG00000121651	0.025002274005150368	0.0	0.03446009701670489	0.0	0.015066071633091871	0.0	0.0	0.06486569112033852	0.027536183718999442	0.0	0.013989155502389184	0.0	0.03835477081530299	0.0	0.0	0.13200919275258424	0.017068127069447544	0.02250321424982334
ENSMUSG00000121424	0.07188693671010947	0.0	0.0	0.0	0.037459450699132334	0.0	0.027588387443663025	0.0	0.061860658200660945	0.0	0.01743331103296895	0.0	0.02604493871699696	0.007397199976696433	0.0	-0.04547383421974107	0.07042864287271784	0.006773813895276204
