	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.1744585484266281	0.0031481413170695305	0.13819709420204163	-0.007317491807043552	0.18493162095546722	0.0008699179161339998	0.467337429523468	-0.018188172951340675	0.10417689383029938	0.012965035624802113	0.025434060022234917	-0.02532426081597805	0.12461617588996887	0.020507168024778366	0.17966343462467194	-0.07378993183374405	0.08383241295814514	0.036382194608449936
ENSMUSG00000032369	0.02364056557416916	-0.0070893592201173306	0.03290807455778122	0.01904985122382641	0.04162374511361122	0.009726631455123425	0.17701727151870728	0.05599187687039375	0.046733275055885315	0.0020087335724383593	0.01009347103536129	-0.02531665749847889	0.10874399542808533	0.0216252189129591	0.04350246861577034	0.22871799767017365	0.04722444713115692	0.02401130460202694
ENSMUSG00000073411	0.12013170123100281	0.0005880623939447105	0.06356179714202881	0.008165317587554455	0.08496124297380447	0.012413255870342255	0.24897867441177368	0.02291143499314785	0.12669649720191956	0.004664636682718992	0.03270239755511284	-0.03134623542428017	0.14934323728084564	0.03603333607316017	0.052086666226387024	0.1049395501613617	0.10538217425346375	0.04926914721727371
ENSMUSG00000026679	0.08054748177528381	-0.002738302107900381	0.03515791520476341	0.004760022275149822	0.0470254085958004	0.017997335642576218	0.004756363108754158	0.07034209370613098	0.06721430271863937	0.005355930421501398	0.012692042626440525	-0.02488524280488491	0.050490282475948334	0.01417492050677538	0.03298351913690567	0.19396299123764038	0.055069275200366974	0.025270158424973488
ENSMUSG00000087225	0.1260065883398056	0.0025821521412581205	0.07839452475309372	-0.008839375339448452	0.03129131346940994	-0.0036888220347464085	-0.027414396405220032	-0.022622933611273766	0.04171758517622948	0.018099335953593254	0.032740458846092224	-0.007951462641358376	0.05059722065925598	0.015058753080666065	0.05902688577771187	-0.02819947712123394	0.06319472938776016	0.018018413335084915
ENSMUSG00000022560	0.10596867650747299	0.005293284077197313	0.10708457231521606	0.004612694960087538	0.06888273358345032	0.021920818835496902	0.018616601824760437	0.04574098438024521	0.10137519985437393	0.00843925029039383	0.0118751535192132	-0.02645394764840603	0.04076030105352402	0.012457961216568947	0.024574927985668182	0.12405034154653549	0.10894712805747986	0.027115022763609886
ENSMUSG00000040016	0.08504415303468704	-0.002190125873312354	0.05468761548399925	-0.0029689627699553967	0.04202592745423317	0.008142425678670406	0.02384740673005581	0.0504176989197731	0.059533677995204926	0.005412626080214977	0.015501627698540688	-0.02309868484735489	0.09298548847436905	0.0112769091501832	0.04623857140541077	0.08516256511211395	0.05543234944343567	0.018485266715288162
ENSMUSG00000025592	-0.09040588140487671	0.0114646777510643	-0.05814887583255768	-0.020947083830833435	0.007790107745677233	-0.0021191881969571114	-0.07976968586444855	0.0924239233136177	-0.10031070560216904	-0.003310798667371273	-0.014253842644393444	-0.021903345361351967	-0.06273601204156876	0.009680254384875298	-0.07790829241275787	0.3216463029384613	0.00022992945741862059	0.015753837302327156
ENSMUSG00000121651	0.09006857126951218	0.0018014780944213271	0.07538313418626785	0.011858314275741577	0.040536437183618546	0.012018042616546154	-0.05265288054943085	0.07705845683813095	0.06678590923547745	0.004424130544066429	0.025480566546320915	-0.02808348648250103	0.0867963507771492	0.006758532021194696	0.024243982508778572	0.20145907998085022	0.053175460547208786	0.02670251578092575
ENSMUSG00000121424	0.12880349159240723	-0.004437621217221022	0.03261604905128479	-0.014695577323436737	0.055108025670051575	-0.0030417509842664003	0.07804515212774277	-0.015073638409376144	0.11312171816825867	0.0050514317117631435	0.033850423991680145	-0.011060558259487152	0.07111336290836334	0.02312210574746132	0.014827382750809193	-0.03360828757286072	0.12117337435483932	0.019444311037659645
