	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.12629637449943626	0.0	0.11821795557763515	0.0	0.1729292540900807	0.0	0.40004175465053965	0.0	0.05943367804798324	0.0	0.01714643185031295	0.0	0.08471203912119805	0.0	0.10313212614074144	0.0	0.06302271733020788	0.03374394521135861
ENSMUSG00000032369	0.0	0.0	0.021116663710976487	0.029414601739034322	0.03209834912603331	0.0	0.1371626672805404	0.06335756351407663	0.0	0.0	0.0	0.0	0.06896439379419883	0.020514981567642088	0.0	0.17834882433577565	0.032912519253388554	0.02309795422892486
ENSMUSG00000073411	0.08687594823704595	0.0	0.05586077749776006	0.0	0.08258980386502772	0.0	0.22032224682868262	0.04576162433624309	0.08931897615444093	0.0	0.0	0.0	0.11043195538178269	0.0	0.0	0.09244546572739155	0.09388046180743413	0.060771297796356066
ENSMUSG00000026679	0.03201431616560924	0.0	0.0	0.008511331828682134	0.035141661500400594	0.020265783684320728	0.0	0.07809054038638456	0.03652964740592543	0.0	0.0	0.0	0.0	0.01624122218555878	0.0	0.15104275341699994	0.033640215652072404	0.0254746111973791
ENSMUSG00000087225	0.07265054497692408	0.0	0.039119821494484695	0.0	0.029336162669954157	0.0	-0.05671813881489621	0.0	0.0	0.009377802934684595	0.017855998322977434	0.0	0.016232590918127867	0.0	0.01847580838742925	0.0	0.02459036731015948	0.013866239821761774
ENSMUSG00000022560	0.054972365892684255	0.0	0.0715830349407002	0.0	0.0565213886254405	0.02528238698510051	0.0	0.05943839595504072	0.07262278419037801	0.0	0.0	0.0	0.0	0.014113263083315508	0.0	0.1075895653595843	0.0675426478099965	0.028371477116889452
ENSMUSG00000040016	0.03791039343859151	0.0	0.028651620432240208	0.0	0.03238248609495765	0.0	0.0	0.0572380181741652	0.03110703917631841	0.0	0.0	0.0	0.055943861508529286	0.0	0.01623048799206711	0.060100367552839	0.03415990237303301	0.01898800239611424
ENSMUSG00000025592	-0.12232819959506487	0.0	-0.08024715465117667	-0.013568606278094808	0.0	0.0	-0.1042570317473124	0.07519118815921765	-0.12794532397876335	0.0	-0.01999051662592562	0.0	-0.08581721292701026	0.0	-0.10191148411207739	0.2548254600611325	0.0	0.0
ENSMUSG00000121651	0.03277965390350056	0.0	0.04089636297453126	0.0	0.021039616992220744	0.0	0.0	0.07701667993721363	0.03369641298424822	0.0	0.016784588037420445	0.0	0.04538997577174549	0.0	0.0	0.15254249109041462	0.023598751221287833	0.026845729812965673
ENSMUSG00000121424	0.07697551679378811	0.0	0.0021614109953957406	0.0	0.041580587407822056	0.0	0.03158259359677877	0.0	0.06652313868313968	0.0	0.017467549344603595	0.0	0.029323238923294963	0.009923166568361595	0.0	0.0	0.07671036981684114	0.008887418040171529
ENSMUSG00000061536	0.06660410312013419	0.0	0.04567358400734243	0.0	0.039925374708325384	0.0	0.0	0.07035253387996634	0.05412276316322867	0.0	0.0	0.0	0.06561565878444534	0.0	0.022639962673603686	0.13309037124446224	0.06587413342761893	0.03264372349812904
ENSMUSG00000099865	-0.49246632367026333	0.0	-0.3098396461388431	0.0	-0.4878761074669804	0.0	-0.2387384987261072	0.0	-0.35011784092397413	0.0	-0.1218829821809635	0.0	-0.43453467769228554	-0.14779602137558034	0.0	0.0	-0.6433012554773295	-0.2741053679589777
ENSMUSG00000032410	0.0465578271875954	0.0	0.03718284382504715	0.0	0.05316025908055272	0.0	0.0	0.0850910989446491	0.04966774553334981	0.0	0.0	0.0	0.06540569583017644	0.026929499677896374	0.0	0.1859279912325518	0.04748555217769609	0.03778927410785982
ENSMUSG00000020722	0.0789165035946438	0.012631170215195744	0.048676181221886106	0.0	0.03599590076589985	0.0	0.0	0.0	0.062005425248619864	0.011056171783171864	0.0	0.0	0.07875579594823633	0.017105344654362312	0.026422839090932945	0.0	0.07805047293865315	0.0
