	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.0477064847946167	0.06912363320589066	0.029976898804306984	0.04981284961104393	0.061946477741003036	0.0502760224044323	0.0639750063419342	0.06248868629336357	0.01773851364850998	0.09898519515991211	-0.015902603045105934	0.009140336886048317	0.01572096161544323	0.02811635099351406	-0.03592546284198761	0.09247085452079773	0.028472432866692543	0.12904706597328186
ENSMUSG00000032369	0.0032138258684426546	0.03668695315718651	0.0020202873274683952	0.08663273602724075	0.007165711373090744	0.07814259827136993	0.046517323702573776	0.20959091186523438	-0.008847715333104134	0.0498921200633049	-0.009099874645471573	0.00939956959336996	0.00909620150923729	0.03538012132048607	-0.011836813762784004	0.7878758311271667	-0.0010781071614474058	0.11087243258953094
ENSMUSG00000073411	0.029796378687024117	0.07471054047346115	0.010920839384198189	0.06078806519508362	0.024523699656128883	0.07995294779539108	0.060427747666835785	0.1943325251340866	0.010518934577703476	0.08413205295801163	-0.018721548840403557	0.007891854271292686	0.020466960966587067	0.05279141291975975	-0.01687832921743393	0.5573300719261169	0.013978882692754269	0.15517230331897736
ENSMUSG00000026679	0.017377855256199837	0.04305775463581085	0.005642765201628208	0.05765195190906525	0.008832862600684166	0.09634231775999069	-0.006095503456890583	0.26673299074172974	-0.00867045484483242	0.0837395116686821	-0.012760261073708534	0.005500783212482929	-0.005133749917149544	0.02988286316394806	-0.01166862528771162	0.7247899770736694	0.004625477362424135	0.1309845894575119
ENSMUSG00000087225	0.03235766291618347	0.07881590723991394	0.015463266521692276	-0.0004030067939311266	0.005129947792738676	0.058242011815309525	-0.019027775153517723	-0.06644677370786667	-0.0015473391395062208	0.10695270448923111	-0.01288734283298254	0.008242730051279068	0.0021190159022808075	0.02655046619474888	-0.004983244463801384	-0.0803443044424057	0.02619851566851139	0.055926643311977386
ENSMUSG00000022560	0.027140529826283455	0.06286970525979996	0.018421128392219543	0.07376807928085327	0.015811733901500702	0.09840880334377289	-0.005399991292506456	0.2259174883365631	0.0017128309700638056	0.08060433715581894	-0.016696283593773842	0.0055033620446920395	-0.0057305945083498955	0.03598492592573166	-0.014476890675723553	0.589599072933197	0.012420042417943478	0.11171358078718185
ENSMUSG00000040016	0.01993471570312977	0.04248055815696716	0.009728790260851383	0.046569690108299255	0.009230631403625011	0.05623229965567589	-0.0004012513963971287	0.21581825613975525	-0.003976941108703613	0.06749004870653152	-0.01419722568243742	0.0037287913728505373	0.007741883397102356	0.042509254068136215	-0.013006609864532948	0.41011837124824524	0.009269253350794315	0.09407231956720352
ENSMUSG00000025592	-0.016298383474349976	-0.019625959917902946	-0.015853505581617355	-0.004810124170035124	0.016524119302630424	0.019765762612223625	-0.03235072270035744	0.2544260621070862	-0.025787444785237312	-0.010354784317314625	-0.0036055005621165037	0.003890804247930646	-0.017168287187814713	0.008725939318537712	-0.020702211186289787	0.9696219563484192	0.022841855883598328	0.048163630068302155
ENSMUSG00000121651	0.020268358290195465	0.05842990800738335	0.014575401321053505	0.07464085519313812	0.008759967982769012	0.08339837193489075	-0.027497757226228714	0.27658024430274963	-0.01123698428273201	0.057163216173648834	-0.016295216977596283	0.001861895201727748	0.002565927105024457	0.024641528725624084	-0.014651702716946602	0.7620032429695129	0.0071974326856434345	0.12831899523735046
ENSMUSG00000121424	0.03636074438691139	0.05219193920493126	0.005139544606208801	-0.0076063210144639015	0.010767464525997639	0.03706396371126175	0.01114063523709774	-0.038832470774650574	0.02572857216000557	0.05520284175872803	-0.01649435982108116	0.010120079852640629	0.004545120056718588	0.0402812622487545	-0.009835266508162022	0.003715081140398979	0.041646406054496765	0.0701417624950409
ENSMUSG00000061536	0.026052433997392654	0.05747256800532341	0.012911847792565823	0.05308758094906807	0.010050825774669647	0.028125114738941193	0.00299488240852952	0.24593210220336914	-0.003372111124917865	0.08330737054347992	-0.016026144847273827	0.005250108428299427	0.006179402582347393	0.03363751992583275	-0.015147599391639233	0.6446369886398315	0.004659703001379967	0.12712334096431732
ENSMUSG00000099865	-0.17627082765102386	-0.328287810087204	-0.032083991914987564	-0.14070230722427368	-0.1392594873905182	-0.33854034543037415	0.1239715963602066	0.005013135727494955	0.1667611002922058	-0.527521550655365	0.16076108813285828	0.019034476950764656	0.08192283660173416	-0.1121152713894844	0.1514497995376587	-0.5444438457489014	-0.3712175786495209	-0.49614888429641724
