	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.04918830469250679	0.07080790400505066	0.030924871563911438	0.05287362262606621	0.062329646199941635	0.05398619547486305	0.059177886694669724	0.05839252471923828	0.01673593930900097	0.10394547134637833	-0.01817302778363228	0.008796053938567638	0.01573641039431095	0.030260002240538597	-0.035251434892416	0.08288264274597168	0.029697678983211517	0.13267560303211212
ENSMUSG00000032369	0.00450477609410882	0.03829169645905495	0.002476469613611698	0.08892107754945755	0.00784711167216301	0.08177942037582397	0.0439094603061676	0.20502793788909912	-0.010141518898308277	0.05359971895813942	-0.010822041891515255	0.008324040099978447	0.008949767798185349	0.03612566739320755	-0.010786950588226318	0.7829063534736633	-0.001673831488005817	0.11420150101184845
ENSMUSG00000073411	0.030958039686083794	0.07601863145828247	0.011462189257144928	0.06358145922422409	0.025211002677679062	0.08359955996274948	0.05716383084654808	0.19064125418663025	0.008837572298943996	0.08794131129980087	-0.020813412964344025	0.007045458070933819	0.020168855786323547	0.05385754629969597	-0.016250206157565117	0.5521092414855957	0.013728644698858261	0.15869104862213135
ENSMUSG00000026679	0.018796563148498535	0.044498052448034286	0.0062727248296141624	0.05974357947707176	0.009520630352199078	0.09984881430864334	-0.007930301129817963	0.2625438868999481	-0.010455424897372723	0.08714832365512848	-0.014505867846310139	0.004577700514346361	-0.005418836604803801	0.03036045841872692	-0.010520036332309246	0.719315767288208	0.004361230880022049	0.13449254631996155
ENSMUSG00000087225	0.03405836224555969	0.08046290278434753	0.015934886410832405	0.002995259827002883	0.005616316106170416	0.061410870403051376	-0.02105710469186306	-0.07144458591938019	-0.002041259780526161	0.112009696662426	-0.015123996883630753	0.007547621615231037	0.002689001616090536	0.02846732921898365	-0.005025574006140232	-0.09158505499362946	0.027994830161333084	0.05926624685525894
ENSMUSG00000022560	0.028685061261057854	0.06407806277275085	0.01895441673696041	0.07586760818958282	0.01652606576681137	0.10192817449569702	-0.0071862805634737015	0.2223263531923294	-0.00021451238717418164	0.08433212339878082	-0.018664371222257614	0.004607859067618847	-0.005818575620651245	0.03665914759039879	-0.013556383550167084	0.5839716792106628	0.01205256674438715	0.11483945697546005
ENSMUSG00000040016	0.021485047414898872	0.04411936178803444	0.010333329439163208	0.04838911443948746	0.010069111362099648	0.059905022382736206	-0.0023308030795305967	0.21204262971878052	-0.005326943472027779	0.07156927138566971	-0.016117893159389496	0.0029833728913217783	0.007593801245093346	0.04369977116584778	-0.01211673766374588	0.40219584107398987	0.009454971179366112	0.09721115231513977
ENSMUSG00000025592	-0.014937222003936768	-0.0176850575953722	-0.01479549054056406	-0.003285526530817151	0.017329342663288116	0.023040369153022766	-0.034409161657094955	0.24978290498256683	-0.027074092999100685	-0.00695822574198246	-0.005082356743514538	0.003220584476366639	-0.01802743971347809	0.009299778379499912	-0.019452011212706566	0.96384596824646	0.023218579590320587	0.051188722252845764
ENSMUSG00000121651	0.021745076403021812	0.059644270688295364	0.01507770735770464	0.07695791870355606	0.009614177979528904	0.08681205660104752	-0.029295623302459717	0.27259811758995056	-0.013207366690039635	0.06064929813146591	-0.018204104155302048	0.000807055039331317	0.002290025120601058	0.024973087012767792	-0.013515656813979149	0.7567863464355469	0.006985336076468229	0.13182255625724792
ENSMUSG00000121424	0.037924669682979584	0.05401221290230751	0.005688009317964315	-0.004341688938438892	0.011358510702848434	0.04033035412430763	0.008819561451673508	-0.04418902099132538	0.02528899349272251	0.06033511459827423	-0.018783893436193466	0.009482482448220253	0.0049016354605555534	0.04211697727441788	-0.009888973087072372	-0.006147704087197781	0.04277634620666504	0.0734100416302681
ENSMUSG00000061536	0.027449695393443108	0.05877244845032692	0.013509919866919518	0.05521225556731224	0.010889779776334763	0.031630195677280426	0.001029587583616376	0.2419377714395523	-0.005117503926157951	0.08682403713464737	-0.01792328618466854	0.004419365897774696	0.0058451807126402855	0.03437107428908348	-0.014006946235895157	0.6392370462417603	0.004066124092787504	0.1305457055568695
ENSMUSG00000099865	-0.1725979745388031	-0.32276448607444763	-0.029511237516999245	-0.1359509825706482	-0.13774089515209198	-0.3354690670967102	0.12247727066278458	-0.003459867322817445	0.16725307703018188	-0.5193288922309875	0.1607234627008438	0.020240383222699165	0.08205809444189072	-0.10867279767990112	0.15031883120536804	-0.5773172974586487	-0.36161336302757263	-0.4945054352283478
ENSMUSG00000032410	0.021996023133397102	0.06693127751350403	0.009296714328229427	0.08615442365407944	0.0131748141720891	0.08032175898551941	-0.0005331012071110308	0.2718014419078827	-0.008383411914110184	0.07475588470697403	-0.016385411843657494	0.005934510380029678	0.0091982651501894	0.03433004394173622	-0.013349926099181175	0.7916140556335449	0.0012378138490021229	0.14306584000587463
ENSMUSG00000020722	0.04038840904831886	0.08686375617980957	0.01928812265396118	0.03938343748450279	0.015241933986544609	0.021786045283079147	-0.0034776865504682064	0.0625385120511055	0.02182224579155445	0.11059311032295227	-0.016821876168251038	0.008173683658242226	0.02109859138727188	0.05748371779918671	-0.01635713130235672	-0.0009274013573303819	0.03730539605021477	0.08690063655376434
ENSMUSG00000086335	0.041784077882766724	0.07858738303184509	0.023682286962866783	0.053764067590236664	0.010786601342260838	0.041560087352991104	-0.02509990707039833	-0.08352745324373245	-0.010073750279843807	0.09939072281122208	-0.011085039004683495	0.0034169999416917562	-0.008473183959722519	0.019512930884957314	-0.010854143649339676	-0.015695728361606598	0.03457671031355858	0.06196191906929016
ENSMUSG00000030029	0.027715366333723068	0.03553687036037445	0.010158397257328033	0.050891585648059845	0.008695235475897789	0.09018304944038391	0.02245306968688965	0.2532748878002167	-0.0037977939937263727	0.054547328501939774	-0.018706949427723885	0.005281868390738964	0.009910917840898037	0.034051693975925446	-0.011830623261630535	0.6997394561767578	-0.00020485452841967344	0.11140631884336472
ENSMUSG00000087040	-0.028016280382871628	-0.08812488615512848	-0.049831047654151917	0.012476521544158459	0.015921032056212425	0.050128646194934845	-0.020091481506824493	-0.0639798566699028	-0.029214344918727875	0.03225111588835716	0.015709547325968742	-0.002206695731729269	0.0012302431277930737	0.03708607330918312	-0.007027626037597656	-0.1679818034172058	-0.041850004345178604	-0.01723172701895237
ENSMUSG00000117450	0.024054111912846565	0.050977446138858795	0.013225754722952843	0.028353655710816383	0.005159035790711641	0.046216998249292374	-0.024466954171657562	-0.05958951637148857	-0.0007394733838737011	0.08139238506555557	-0.009862360544502735	-0.008642896078526974	-0.002027319511398673	-0.0039031291380524635	-0.002377752447500825	-0.12057679891586304	0.0439545139670372	0.055879637598991394
ENSMUSG00000020630	0.027676556259393692	0.06221367418766022	0.016528740525245667	0.05190403014421463	0.008586331270635128	0.06994771957397461	0.007849883288145065	0.2590497136116028	-0.005203761626034975	0.10086417943239212	-0.016277533024549484	0.006880713626742363	0.004560850095003843	0.032337967306375504	-0.012463284656405449	0.6720561981201172	0.003179005114361644	0.10568545013666153
