	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.023488890512804318	0.029844182471060972	0.027577537188690337	0.013481059408757767	0.06356045733668736	0.022230450102094606	0.028585934419215954	0.0	0.0	0.044825098988701344	0.0	0.0	0.0	0.0	0.0	0.0	0.014316206018053869	0.07053762336689486
ENSMUSG00000032369	0.0	0.023716893202519337	0.0	0.0688328803204963	0.0	0.0539027148639414	0.030556162908450726	0.1402223962963446	0.0	0.02786536575385736	0.0	0.0	0.0	0.030939563151161344	0.0	0.5186512882636383	0.02041719818483645	0.061797175704995974
ENSMUSG00000073411	0.0	0.04547749442571605	0.0	0.04010599376907903	0.030967885423236363	0.05371431768265752	0.04378146056365871	0.15984437317674569	0.0	0.04879913675824228	0.0	0.0	0.0	0.03636465571779814	0.0	0.37055960536424837	0.0	0.10779816176800493
ENSMUSG00000026679	0.0	0.020029226983887954	0.0	0.03315257351717581	0.0	0.0722746027411699	0.0	0.21274364408668817	0.0	0.04699217870748548	0.0	0.009198423634173003	0.0	0.025486708312729183	0.0	0.4507118448623877	0.018212259055757515	0.07730941146329506
ENSMUSG00000087225	0.01887839255170249	0.039886305477468735	0.0	-0.03440864353924183	0.0	0.04055907068676933	-0.02825212231492396	-0.16120333089481245	0.0	0.06144767034701199	0.0	0.0	0.0	0.0	0.0	-0.18882392465652523	0.010394723002061282	0.007158559874657772
ENSMUSG00000022560	0.0099077621205792	0.03166964396781554	0.0	0.04781356067639132	0.012894572848052429	0.0736991797812923	0.0	0.1879885274299147	0.0	0.04229661158831758	0.0	0.0	0.0	0.023281840347193668	0.0	0.3632540699707201	0.0	0.060043702981183174
ENSMUSG00000040016	0.0	0.017624992996278684	0.0	0.022200491359641333	0.0	0.029974480612865336	0.0	0.17604035730097767	0.0	0.033480331837934786	0.0	0.0	0.009973982795429936	0.028060236104755203	0.0	0.16682302562616338	0.013495547152444937	0.04094695478467937
ENSMUSG00000025592	-0.01795136593454061	-0.017149366855552763	0.0	-0.03110574951753188	0.0	0.0	-0.03851528906590324	0.14773085654079815	0.0	-0.020278949270110133	0.0	0.0	0.0	0.027971863802106766	-0.016295431082727442	0.633107448314812	0.04516690714979896	0.0
ENSMUSG00000121651	0.0	0.028618589858553582	0.008409375366125293	0.04873909728040797	0.0	0.05677962498582732	0.0	0.2224393638948535	0.0	0.030858271045815018	0.0	0.0	0.0	0.022014201559126964	0.0	0.47628885086550365	0.015908103664585335	0.07594564361943335
ENSMUSG00000121424	0.021815446297812964	0.01886423360870368	0.0	-0.04132253815170444	0.0	0.0	0.0	-0.11607158328112359	0.016378851878277645	0.01867497398940908	0.0	0.0	0.0	0.018105506602109182	0.0	-0.11014510940247361	0.018207390684066252	0.02204746368048984
ENSMUSG00000061536	0.013869313653775634	0.028520209391994164	0.0	0.02931456275919351	0.009902994510778584	0.0	0.0	0.2013525193306208	0.0	0.04696049832267909	0.0	0.0	0.011675028544540918	0.024971499253316022	0.0	0.4012870468426873	0.0	0.07429986480621963
ENSMUSG00000099865	-0.12935756901573914	-0.23163787388831852	0.0	-0.16517406967874412	-0.17923575721086324	-0.2933336719943608	0.0	0.0	0.0	-0.4152270789466458	0.0	0.0	0.0	-0.14510466477887562	0.0	-0.7260428350759425	-0.2126600036032884	-0.4646268643824743
ENSMUSG00000032410	0.0	0.03635893096048109	0.0	0.0622102148729686	0.0	0.05339309444304178	0.0	0.22570412789620828	0.0	0.04072393509324624	0.0	0.0	0.015464142042487694	0.03122238918006367	0.0	0.5313497712771299	0.018554788605385373	0.0896404214528438
ENSMUSG00000020722	0.019765274408653614	0.04288605834965931	0.0	0.0	0.0	0.0	0.0	0.032714179019348096	0.01246418129554681	0.057429013233052544	0.0	0.0	0.015166968030101417	0.032396649770229664	0.0	-0.131551215434491	0.01258101423461809	0.030892511565952855
ENSMUSG00000086335	0.020056491784028196	0.03395970759943591	0.007010733033632949	0.016770524464482114	0.0	0.022893925025507102	-0.03683563180575291	-0.17230782973987596	0.0	0.05288057784527904	0.0	0.0	0.0	0.0	0.0	-0.11790336081101964	0.0	0.011150571279015314
ENSMUSG00000030029	0.01594340699522301	0.02143479992424649	0.0	0.026303188101898838	0.0	0.06357216385222664	0.0	0.2100007553790808	0.0	0.02968376200136149	0.0	0.0	0.017666509185102874	0.02720957010827909	0.0	0.4417226566338524	0.0	0.05923016908600504
ENSMUSG00000087040	-0.02813893481025443	-0.089072501241557	-0.06056256622725131	-0.013920791759514883	0.0	0.0	-0.03334933597262801	-0.16146276045349625	-0.026047724301226916	0.0	0.0	0.0	0.0	0.0	0.0	-0.3097486483307689	-0.041283508193894675	-0.05370467906749722
ENSMUSG00000117450	0.0	0.01583242304339405	0.0	-0.00849592025493251	0.0	0.027158928299337193	-0.023643056111688758	-0.1508872968190084	0.0	0.03769237730670029	0.0	-0.009845630936529268	0.0	-0.023212766227446818	0.0	-0.23398809040339338	0.019877337337824246	0.0
ENSMUSG00000020630	0.016437325254234327	0.03393011082301812	0.0	0.028962529340468734	0.0	0.04200085095770578	0.0	0.2206705410482682	0.0	0.05586972002544302	0.0	0.0	0.0	0.026641008378678548	0.0	0.4368647156754803	0.012638137189748821	0.05482252768928208
ENSMUSG00000085416	0.0	0.015268768824447127	0.0	0.008665614952608014	0.0060042169812780655	0.0	-0.030329904437213787	-0.0711282583780301	0.0	0.02463287096127328	0.0	0.0	0.0	0.022002270570333892	0.0	-0.18941673683718463	0.012732658213731485	0.01536602088234191
ENSMUSG00000031799	0.01873448455768179	0.01514402782475055	0.0	0.062221763469166476	0.0	0.03585921979106763	0.02251161704542977	0.18011528886783287	0.0	0.04319997370715477	0.0	0.0	0.0	0.030769277700731592	0.0	0.324175369397045	0.0	0.049720118662122934
ENSMUSG00000051615	0.010819477041870473	0.025843761324810557	0.0	0.014185076442605905	0.0	0.03250213397131613	0.0	0.17582320314409042	0.0	0.024328554434753662	0.0	0.0	0.0	0.027683729924523913	0.0	0.31612608841079515	0.014234288888575164	0.09108607324347505
