	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000086563	0.045472826808691025	0.07367345690727234	0.03142545744776726	0.04965199530124664	0.06144557148218155	0.052524860948324203	0.05843954533338547	0.045263636857271194	0.014862929470837116	0.10576978325843811	-0.015047422610223293	0.009969902224838734	0.015425775200128555	0.03146979212760925	-0.03228236734867096	0.04339272156357765	0.021206047385931015	0.12462138384580612
ENSMUSG00000032369	0.002541162073612213	0.040805887430906296	0.0031394141260534525	0.0856298953294754	0.007102711126208305	0.08130264282226562	0.04307393729686737	0.1833677887916565	-0.008744992315769196	0.0568828247487545	-0.008072804659605026	0.007746432442218065	0.009592805989086628	0.03801407665014267	-0.008159502409398556	0.741707980632782	-0.005639559589326382	0.10544954985380173
ENSMUSG00000073411	0.027790658175945282	0.07668987661600113	0.011701423674821854	0.05902307480573654	0.024078447371721268	0.08285155147314072	0.05552339181303978	0.17724765837192535	0.007530693430453539	0.0894736498594284	-0.01759226992726326	0.006938892416656017	0.020569786429405212	0.05424729734659195	-0.013804853893816471	0.5188416242599487	0.00529811205342412	0.14984272420406342
ENSMUSG00000026679	0.01647999696433544	0.04639573022723198	0.006520363036543131	0.05560239776968956	0.008421311154961586	0.09957367181777954	-0.00865407194942236	0.24594621360301971	-0.008962614461779594	0.08840794861316681	-0.011638397350907326	0.004234979394823313	-0.0049678003415465355	0.03308865427970886	-0.008235657587647438	0.6766870021820068	0.0004355162673164159	0.1256142109632492
ENSMUSG00000087225	0.03139326721429825	0.083526112139225	0.015361872501671314	0.00014240168093238026	0.004587645176798105	0.06039208546280861	-0.021313555538654327	-0.09086649119853973	-0.0018841708078980446	0.11536012589931488	-0.01284839492291212	0.008211198262870312	0.0017922535771504045	0.027119603008031845	-0.0047593009658157825	-0.12614484131336212	0.022700006142258644	0.05170561373233795
ENSMUSG00000022560	0.02563605085015297	0.0652984157204628	0.01770210452377796	0.07223048806190491	0.014889291487634182	0.1014929711818695	-0.007754624355584383	0.20864519476890564	0.00041228148620575666	0.08602777123451233	-0.015589083544909954	0.004767565056681633	-0.005478414241224527	0.038562923669815063	-0.011242011561989784	0.5459730625152588	0.004121975973248482	0.10599211603403091
ENSMUSG00000040016	0.018831918016076088	0.047058530151844025	0.00991353951394558	0.044500384479761124	0.008529672399163246	0.059236641973257065	-0.0028971778228878975	0.19960790872573853	-0.004759521689265966	0.07443159073591232	-0.013197752647101879	0.0029884353280067444	0.0076444270089268684	0.04604366794228554	-0.009819161146879196	0.35628241300582886	0.004446285776793957	0.08861725777387619
ENSMUSG00000025592	-0.016023237258195877	-0.011825131252408028	-0.014017544686794281	-0.007810271345078945	0.01687546819448471	0.02272150292992592	-0.03588492423295975	0.2266920506954193	-0.02479884773492813	-0.0008764357771724463	-0.0030204143840819597	0.002823355607688427	-0.016685914248228073	0.01484488882124424	-0.0198287945240736	0.9090467691421509	0.025921037420630455	0.04336582496762276
ENSMUSG00000121651	0.019259929656982422	0.060401033610105515	0.014541967771947384	0.07286632806062698	0.008462079800665379	0.0864994153380394	-0.0303787924349308	0.2562297582626343	-0.0113134840503335	0.06338490545749664	-0.01485386211425066	0.0005762577056884766	0.002830797340720892	0.02813042886555195	-0.01126297377049923	0.7132880687713623	0.0034754513762891293	0.12270235270261765
ENSMUSG00000121424	0.034621428698301315	0.057241376489400864	0.005429829936474562	-0.008234617300331593	0.01024211198091507	0.038884975016117096	0.009050012566149235	-0.06406606733798981	0.024968000128865242	0.06450262665748596	-0.015924684703350067	0.009938291274011135	0.004643592052161694	0.04160374775528908	-0.008745894767343998	-0.038594260811805725	0.034439411014318466	0.06539350748062134
ENSMUSG00000061536	0.024607861414551735	0.05995979905128479	0.013157118111848831	0.05104340985417366	0.009578324854373932	0.030780784785747528	0.0006573553546331823	0.2270527482032776	-0.004290402866899967	0.08828915655612946	-0.014711031690239906	0.004224426578730345	0.0065369741059839725	0.03674371540546417	-0.01143434178084135	0.5999199151992798	-0.0026833510491997004	0.12155967950820923
ENSMUSG00000099865	-0.16800349950790405	-0.3011341094970703	-0.026258418336510658	-0.13321390748023987	-0.1346549391746521	-0.33181998133659363	0.122174471616745	-0.02548057772219181	0.1774844527244568	-0.5054628849029541	0.16208189725875854	0.021874822676181793	0.09007558971643448	-0.09901272505521774	0.15140514075756073	-0.7018203735351562	-0.3547382354736328	-0.5070582628250122
ENSMUSG00000032410	0.019442278891801834	0.06698516011238098	0.009171801619231701	0.08225823193788528	0.012014908716082573	0.07993972301483154	-0.0010690507479012012	0.25559666752815247	-0.006922636181116104	0.07656379044055939	-0.013128602877259254	0.005458042025566101	0.009556078352034092	0.03624570742249489	-0.010770147666335106	0.7514041066169739	-0.003072771243751049	0.13378718495368958
ENSMUSG00000020722	0.036873959004879	0.08911344408988953	0.018252259120345116	0.03599747270345688	0.013407652266323566	0.020455680787563324	-0.003794633084908128	0.052991267293691635	0.021365873515605927	0.11311021447181702	-0.01426437497138977	0.008883500471711159	0.020551295951008797	0.05740625038743019	-0.014549370855093002	-0.039340585470199585	0.0283198282122612	0.07880344241857529
ENSMUSG00000086335	0.03832117095589638	0.08174190670251846	0.023270120844244957	0.05147842317819595	0.009973281063139439	0.0404801070690155	-0.025240611284971237	-0.1073155328631401	-0.009705695323646069	0.1023760437965393	-0.00880681723356247	0.003889277810230851	-0.008931389078497887	0.01956828311085701	-0.009908710606396198	-0.04725359007716179	0.02777693420648575	0.05480112135410309
