	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000002524	0.11010989131391398	0.0014225718596987593	0.053568790357011106	0.006998092618596274	0.07931436372242127	0.017260723185862453	0.1390097523653302	0.10300669007509507	0.07904308228103868	0.011928881928802834	0.02937843492400134	-0.006134725485182051	0.0350756257395655	0.031123231057660763	0.07680896637840695	0.09786328373359408	0.08678380105281706	0.027745794802623486
ENSMUSG00000054514	0.06417896076574314	-0.005687226227980448	0.05664080052249899	0.008769977975160666	0.13918366825632153	-0.0009967301356872277	0.12292051817010881	0.10080978483331689	0.002135719353619996	0.007383394299800524	0.01592380468812605	-0.008600396886738184	0.12545798557652493	0.018195258087858487	-0.0029107496500988157	0.13265969591978188	0.09038754341625983	0.011935737577147977
ENSMUSG00000038624	0.088830236351922	0.004580970046611453	0.0367548674257705	-0.015238389944508006	0.08564361723245903	-0.013777003423976046	-0.00772629279901074	-0.036669065210194925	0.01502150072951086	-0.0009011697596828786	0.004733833657727311	0.001645172755628924	0.09150067446701411	0.006465281491598164	0.041044108893402154	-0.011767126141421613	0.06441180980701965	0.000329184815408163
ENSMUSG00000112852	0.13312908030483023	0.005982637356672578	0.059804184773799667	0.007333661478956596	0.027144294180262867	-0.006543887586459667	0.24878432237939185	0.0072077579900256495	-0.028536501676509424	0.03236617985593122	0.018364082550605027	-0.007174628377937812	0.13596871672655522	0.027577584152251283	0.13316500437899126	-0.024715364095858863	0.12687085112685445	0.009386273961925845
ENSMUSG00000026473	0.09599469315598981	0.0028861124670064393	0.06527838913545046	0.024494741789645297	0.07603809663503074	0.006334905567356535	0.21855362511027385	0.06799056050778225	0.06610285785630238	0.0005416899175543222	0.033032777751525695	-0.0042391053766810466	0.09013491045433121	0.019931267248622524	0.03649344151750224	0.08457133702961853	0.09017714315481758	0.027847371656857182
ENSMUSG00000000182	0.10671329601609614	0.007706278945391075	0.058191083761318756	0.008280811385546778	0.08343605964707551	-0.010020801629122746	0.2986394332326849	-0.016405845811979295	0.09575749804929988	-0.0029515470626522854	0.020450929039049826	0.003958886197506217	0.16124704948560975	0.009054451398800926	0.09172456154930322	-0.012498077185643655	0.11001323001785619	0.011878608041765151
ENSMUSG00000000631	0.1070978203897539	0.010793373187828236	0.07096575803661835	0.006132747983792796	0.09750840637248724	0.0012863364393914318	0.25396112760794753	0.028776032165634596	0.1008453118287954	0.0025583552585365914	0.027158220718722856	-0.003705691180636807	0.14845076818694777	0.010417523905016424	0.07931707213948747	-0.01116599455537133	0.11324324217961736	0.011787056076562814
ENSMUSG00000022744	0.06482082928040264	0.004053154120343346	0.05509919871339142	0.0033872590328558414	0.052907783707736855	-0.003186368641250478	0.11009934003538677	0.09112769502166235	-0.002387064998869651	0.00011281075468494756	0.03528575533522858	-0.0172505625393699	0.043531498872211416	0.028397202345149707	0.01853724239762024	0.17597595585440493	0.06883367323238677	0.01546845707006079
ENSMUSG00000035582	0.06210408489808158	0.002191853324127026	0.0475061702615806	0.007912415004310398	0.07214172073685664	-0.012975922430008982	-0.0016673693045699371	-0.008266943353789559	0.05795204583378758	-0.0017308655917336832	0.02099528555014071	-0.0011638327578631497	0.07753943911302486	0.026081001410836635	0.026824063090212544	-0.013542395529605398	0.06904120701687394	0.008296196074557624
ENSMUSG00000118391	0.01830471785521825	-0.001533811193569688	0.023517643967872055	-0.007783369484552947	0.027846610924773682	-0.008642676666990414	-0.01868682041448275	0.07905312084154242	0.002608979398688202	0.00948590355630066	0.01293383379784895	-0.0030863514292702476	0.02299172125629931	-0.004905201264825467	0.033741349929394863	-0.01114130211556455	0.026610676402612755	0.004810036098310125
