	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000121869	0.020244218159080316	0.008033383522186861	0.0200394559842867	-0.007819783822404653	0.038655196238271725	0.1169998487725804	0.003410597445950511	-0.023634626168131945	0.039762896466917094	-0.018524495112121387	-0.002392663338936732	0.0006955943755331516	0.04717605477084622	-0.007528727406627565	0.03467520902974814	-0.013710875736069283	0.05132852378383177	-0.01012462625180238
ENSMUSG00000006435	0.11261566192071248	0.0031194426984906647	0.0616337211696061	0.02355319172487985	0.0939445341829144	0.010020593151369082	0.2524284825882075	0.0855600873556146	0.08290287468693609	0.001014739248265479	0.03888475110933151	-0.004771103348113164	0.1738299285823554	0.01870577371462007	0.08256832869353405	0.05220070433689605	0.11355085777857832	0.02191382495465015
ENSMUSG00000093489	0.08508367319136596	0.007448919294906123	0.12014918560177779	0.009382389194537868	0.059569196755338845	-0.007539310556915422	0.1744383043443252	0.0028280556168673292	0.05845439558470389	0.0014787080371336612	0.01345317921212492	0.0033687954094992686	0.04362469905328388	0.034465857548535234	0.10401601547117545	-0.007495907026947991	0.13671540282968117	0.011783589798142202
ENSMUSG00000043909	0.1466073864718315	-0.0007626304337723663	0.05597737377330694	0.008263912992749414	0.0773717833455781	0.0038594282617850696	0.10813205260372862	0.14267643302939956	0.07323826267040984	-0.0055492320143197766	0.030633732430474733	-0.015535562538363072	0.10213455433825272	0.002041222509641167	0.06545691631514014	0.07444458501210777	0.0923468894101461	0.026436464973604804
ENSMUSG00000026036	0.11991018049528586	-0.004701699107369807	0.05245824405491086	0.008076127408120165	0.08434444294502359	0.006176117825089022	0.1268591995224207	0.14570852200647225	0.09128158516437647	-0.0014702040366371095	0.03801695284252803	-0.015551127903537625	0.11511180424458871	0.019047991357391377	0.08573851051468019	0.12707203573367484	0.10428938427820478	0.013050501241169903
ENSMUSG00000074476	0.0821751387366021	0.004115411236619236	0.026117949647648075	0.00905418663569435	0.0785261808638357	-0.004784945147204261	0.11530734950257673	0.14371777476127526	0.10629717901585016	-0.00247030954643768	0.042397265321467	-0.003837803970652333	0.037309845067232214	-0.009952814485274887	-0.06922553187188377	0.11204786211326012	0.06561382491709082	0.009038908108933746
ENSMUSG00000031382	0.00891888848480968	-0.002410160459839972	0.009965234430793706	0.007631509049783095	0.04576441207609605	-0.009247244711670127	-0.014556363488268938	-0.022582581974399676	-0.02778070715233168	-0.003978292890367031	0.011795205725918224	-0.0016654583352647024	0.04672785304168688	-0.024444373203108886	0.021250934384754925	-0.02603145972789207	-0.0057548613065202	-0.006637068167141738
ENSMUSG00000028797	0.11307870758615277	0.0031854802089583247	0.06294114168636693	0.013797453237254688	0.09328637856293166	0.007523130601839512	0.170335385407699	0.15392575345727633	0.0698144314041461	0.00536589862240362	0.03771312057942851	-0.005965500045151982	0.13818380511558123	0.012593967662113365	0.0818626103513712	0.08890966778097728	0.10154731593756879	0.007311171437582483
ENSMUSG00000045237	0.03137681317888824	-0.007213075315900953	0.006489017240320598	-0.02006104873206433	0.08049015630468992	-0.01202438059616335	0.16796890787965302	0.16254536336993106	-0.006394146000197257	-0.002224167420666033	0.03978263980347297	-0.009719059042566057	0.029372556172061845	0.039136359974457136	0.03383466527073844	0.20699766385275456	0.03997750489808303	0.009066647515386909
ENSMUSG00000094736	-0.3600593285370321	-0.003009971275456077	-0.1969334568713878	-0.00315172612468554	-0.6220786414761927	0.03048615034136414	-0.5365809347901891	-0.026328570692151387	-0.018854208194638237	0.0072240871755639095	-0.09135510905860948	0.016715372395213177	-0.539436791332238	-0.02726452275637712	-0.13734757735328457	-0.024056187630672608	-0.5120177056450173	-0.08448497103480414
ENSMUSG00000071604	0.10959341964745753	0.003384780281521671	0.053384996868511995	0.014097539899324017	0.08377575534349099	0.0019729164480980087	0.07892342586798934	0.1277884948380753	0.0809515347641926	-0.0049428360233702865	0.038253680000967245	-0.012147190488342728	0.11917964850378797	0.002509530170703199	0.06415880690406733	0.07604334197598552	0.09576811156434165	0.021247304391831028
ENSMUSG00000093671	0.0886341132205936	-0.0012972510014930907	0.018481100093569174	-0.004743827071901511	0.056899512484960724	-0.0034312648753776947	0.2019018040456493	-0.024650689800390476	0.04490667701206153	-0.004774085447466599	0.03318973113096685	0.0015137449549261614	0.12790528564967515	-0.009849119074663447	0.044536144817954794	-0.004160946074054144	0.09358614288596852	0.01127686312455418
ENSMUSG00000016559	0.11553860549782777	0.014593527105145249	0.0979100021051376	0.005742271670481257	0.16919370358420047	-0.002760381540584993	0.399909285096185	-0.004593618941102509	0.10288726557856924	0.01742818788074406	0.0931753904722947	0.003812445571695987	0.13114569063706896	0.004149996265810581	0.1274206458561301	-0.0004931101524042398	0.15358273307610942	0.014485856414207124
ENSMUSG00000018405	0.12158088761820442	0.00439984176386393	0.04836471414294335	0.0036145875036579255	0.08057564962068033	0.007798359961452661	0.17899480360080947	0.13807185318073606	0.08086897901147105	0.00398326636807594	0.04281479611038646	-0.007671692408725253	0.14754956896841967	0.009965155113916678	0.0842907203298507	0.08085194165723805	0.10110291450491786	0.014118776263109924
ENSMUSG00000079450	-0.09135047719547791	0.0025430251174839214	-0.04966815127034871	-0.01905380297422588	0.05954502204902903	-0.006886380139206137	-0.05982776838921252	-0.0013860110052649232	-0.09631889293065926	-0.0033521617120381314	-0.02203086545840571	-0.038143302750125126	0.0033648894176751907	0.04427205299996006	-0.055858599462018384	-5.7530175399733705e-05	-0.023188498658523064	0.017922303469718567
ENSMUSG00000026188	0.11514299794214042	5.94171049669967e-05	0.058918868702832174	0.010131471307561566	0.08497195487387736	0.004180840331361781	0.15414556985306263	0.13769568472785718	0.09936922251381475	-0.0026213444239796707	0.038142586338549986	-0.017751978179668577	0.05372897094270489	0.02902993331254038	0.06441268301371435	0.1432871167281389	0.08754064415874642	0.024832050235584446
ENSMUSG00000022386	0.11169007852100289	0.0030768639364136367	0.0568501156509488	0.010735431454928142	0.10705190791543698	0.0035718058185531323	0.1957184822277668	0.14222917823005576	0.09411170271190973	-0.006339342414191508	0.03436278939625481	-0.017086705427053466	0.1578852235965834	0.016903983227218436	0.08707764219694322	0.0741853377498046	0.09948347857893428	0.01734982165715857
ENSMUSG00000054237	0.06370191377926468	0.003136734549921779	0.021535642056343413	0.02384523743346238	0.09874951760778328	-0.00164830057432742	0.12015338291883901	0.14799842250244444	0.06441898091361509	-0.003806869000592477	0.03371354610322409	-0.014158546575137215	0.12421272433920032	0.019565856560516945	0.049061511412479115	0.18474601922415396	0.062337876195254334	0.03355205142480762
ENSMUSG00000085905	0.09902209150776409	0.0014587906519539372	0.052521560104859026	0.007849154650986227	0.05114192663349968	0.00045083971880168454	0.014161382825685515	-0.01023316511397882	0.07581391641631074	0.0003115827376729742	0.01950584066549449	-0.002326454482785526	0.09270248296223664	0.01789969993250062	0.0841033396576157	-0.005398457338482591	0.10147035977819802	0.01267797814320407
ENSMUSG00000035045	-0.3600593285370321	-0.003009971275456077	-0.1969334568713878	-0.00315172612468554	-0.6220786414761927	0.03048615034136414	-0.5365809347901891	-0.026328570692151387	-0.018854208194638237	0.0072240871755639095	-0.09135510905860948	0.016715372395213177	-0.539436791332238	-0.02726452275637712	-0.13734757735328457	-0.024056187630672608	-0.5120177056450173	-0.08448497103480414
ENSMUSG00000022098	0.02564148074743571	-0.003341087614769224	0.022452960304560423	0.009763884807762224	0.06791457254164146	-0.008441347818318588	0.006751987429327398	0.12364811072724738	-0.008304621938857183	-0.0027257809590082614	0.018327928706172055	-0.02690656672753643	0.030681776638396385	-0.021574405869094853	0.06118869686324615	0.03026835214051451	0.04114539065371251	0.002668651369354588
ENSMUSG00000021635	0.10001383382446614	0.001629172418948396	0.04288554139316797	0.027750425044931554	0.10466778065092512	0.0014094292420070685	0.10194437717561544	0.10905075973849827	0.05535703703031426	0.0038471231583961135	0.033831151772548244	-0.003590828476444585	0.12395132958445174	0.024010879953285828	0.0523272644718028	0.16905892237243408	0.07858687475662529	0.02711692577249778
ENSMUSG00000100120	0.06813857784207877	-0.0017821069055831426	0.021413621849829464	-0.008006270253151473	0.06905195185162094	-0.007219653810898308	0.022643856151054412	-0.015888760124133632	0.04418200298054476	-0.00034194259943823063	0.021409800875491262	0.0007937184333318977	0.09799358542399464	0.015693442474314777	0.052365168321141804	-0.011680662775065034	0.07911320820858236	0.009963607840057063
ENSMUSG00000039449	0.0952373173036124	0.00251948753895184	0.047622112589669995	0.0021001581264239837	0.08717359906633126	0.0030412063791508057	0.17017370374238194	0.13986784173222466	0.07506971386745655	-0.003909745389319141	0.03761603308885242	-0.018767044900700317	0.10985203283453301	0.014902855929540238	0.08124748417046379	0.11361826578187383	0.08265958951490444	0.017260985345845775
ENSMUSG00000013997	0.11095295745672047	0.004433072554223015	0.06368312596948401	0.01019387370914566	0.07746379199987652	-0.0007986278881227398	0.18370242492898928	0.12461456279436658	0.0806444422196364	-0.002482104006568469	0.027625765767048244	-0.008567764781141055	0.10131609549810361	0.021804830215114635	0.0776825339867563	0.10561179227601575	0.11869036961888924	0.004061695321589858
ENSMUSG00000121016	0.12329708323374819	0.008682360256950362	0.059916431208330324	0.015771959545184344	0.11126811042226369	0.006249199183834467	0.15853719324420257	0.0895719410414001	0.11506418755291503	0.007888155981293363	0.02906600605087338	0.004725430053804302	0.13754391109900357	0.0071351642721440706	0.08301327013741684	0.061583906776442224	0.08116628799429496	0.017524210756736075
