	PolII mean gb	PolII mean promoter
ENSMUSG00000017969	-0.0441421242219675	0.0579842164671071
ENSMUSG00000115244	-0.3698696219434327	-0.4101252064800016
ENSMUSG00000020534	-0.8807401506080647	0.4610303650035028
ENSMUSG00000021357	-0.165565307556057	0.4766110934746275
ENSMUSG00000112192	-0.2753177226484877	-0.3027737967298124
ENSMUSG00000034317	-0.0768391168143209	0.4812493746328747
ENSMUSG00000019494	0.1320649179528862	-0.0734855162747662
ENSMUSG00000116482	-0.2676615760361961	0.4375948863156583
ENSMUSG00000101922	-0.4101006413019698	-0.2347582169652601
ENSMUSG00000103094	-0.0679016360728615	-0.4994660447682865
ENSMUSG00000074785	-0.2466293147715951	0.0401846945557073
ENSMUSG00000002052	-0.0238183599270832	0.2419352789764252
ENSMUSG00000042770	-0.1237373462260783	0.4252759797937605
ENSMUSG00000018986	-0.6835454030381504	-2.0
ENSMUSG00000121296	-0.4140247390404646	-0.3912314282769193
ENSMUSG00000020780	-0.0418094168714718	0.4749131989994686
ENSMUSG00000040584	-0.2162207267387619	-0.149741433825681
ENSMUSG00000047517	-0.3290657606825072	-0.4466782794185507
ENSMUSG00000120898	-2.0	-2.0
ENSMUSG00000072813	-0.5812303211361249	-0.5181849839294966
ENSMUSG00000022536	-0.0312117516935461	0.4554542731194338
ENSMUSG00000087687	-0.1482888754224315	0.2374527479390255
ENSMUSG00000021756	-0.010465467574321	0.4170639459594131
ENSMUSG00000024642	-0.0079545016831512	0.4951303811719946
ENSMUSG00000073574	-0.4704400439837396	-0.3398419168092973
ENSMUSG00000121384	-2.0	-2.0
ENSMUSG00000086052	-0.3949057941132468	-0.336893928270339
ENSMUSG00000027804	-0.0583945632197105	0.4035000625522406
ENSMUSG00000085009	-0.0180934559680178	-0.0663002736474526
ENSMUSG00000085934	-0.556828920543076	-0.414634712960417
ENSMUSG00000086779	-0.0617977059641759	0.2717017737182943
ENSMUSG00000103524	-2.0	-2.0
ENSMUSG00000021033	-0.0424182829598163	0.4391330304040517
ENSMUSG00000055937	-0.2344063917157639	-0.4238531466783121
ENSMUSG00000085526	-0.3338738099324504	0.4568040547779177
ENSMUSG00000072723	-0.3594939172686018	-0.099146188039211
ENSMUSG00000099800	-2.0	-2.0
ENSMUSG00000016087	-0.3638887892415848	-0.166029211655413
ENSMUSG00000051184	-0.1352501226395264	0.2659714184422048
ENSMUSG00000099601	-2.0	-2.0
ENSMUSG00000111327	-0.2284482341436304	-0.1542995895930856
ENSMUSG00000097853	-0.1577740570866846	-0.217732961874595
ENSMUSG00000117039	-0.3158755910013133	-0.4363653960976767
ENSMUSG00000027180	-0.2680827778081061	-2.0
ENSMUSG00000118018	-0.5300366772831689	-0.4308160508902466
ENSMUSG00000016255	-0.3339965512514856	-0.4446931740795879
ENSMUSG00000111378	-0.3179208402648317	-0.2776695315729674
ENSMUSG00000120686	-0.4058451278806009	0.4771160431546101
ENSMUSG00000102125	-2.0	-2.0
ENSMUSG00000024096	-0.0239261861631793	0.4684705107639018
ENSMUSG00000052584	-0.1299659292291727	0.3290450116283149
ENSMUSG00000028417	-0.2375052439860344	-0.0216518256978718
ENSMUSG00000121761	-0.3845640449596761	-0.2219405402164136
ENSMUSG00000118554	-0.6499082394576038	-0.7386800222635428
ENSMUSG00000112265	-0.213454845745841	0.043524096257638
ENSMUSG00000044199	-0.1675153573694226	-0.0244710490717915
ENSMUSG00000113874	-0.2615116583178675	-0.5310532253019837
ENSMUSG00000055933	-0.4714229017027804	-0.4949990373931052
ENSMUSG00000032978	-0.2775618831277741	-0.2257509926752856
ENSMUSG00000026409	-0.0800302699014727	-0.0722332033939196
ENSMUSG00000032451	-0.3266800766607735	-0.4332986170914192
ENSMUSG00000018589	-0.7783209363252707	-0.4878283631821323
ENSMUSG00000075105	-0.6980871131027975	-0.8695298522831826
ENSMUSG00000086613	-0.3802008882545701	-0.3235567990348912
ENSMUSG00000085393	-0.2849739154321906	0.4781972605096909
ENSMUSG00000097668	-0.231199309212953	-0.3828886866906792
ENSMUSG00000118216	-0.1870346647590444	-0.2678250510286099
ENSMUSG00000021803	-0.2772114698329632	-0.156252106570791
ENSMUSG00000026662	-0.002012834953481	0.3824932438972964
ENSMUSG00000030560	-0.3172022570610112	0.2789444200219141
ENSMUSG00000068745	-0.0855180600977089	-0.234636825100935
ENSMUSG00000027774	-0.0209803841937368	0.3490789696720883
ENSMUSG00000087357	-0.4193983463728141	-0.248323436686677
ENSMUSG00000032496	-0.3248967134941815	-0.3286742088507774
ENSMUSG00000053461	-0.3090634148111936	-0.3770320580940137
ENSMUSG00000078683	-0.1994187286923815	-0.4214712684312419
ENSMUSG00000099803	-0.1278536374402027	-0.1658858905178425
ENSMUSG00000112878	-0.4735146897944911	-0.4568260329551618
ENSMUSG00000107673	-0.3845735203171484	-0.4290455859657993
ENSMUSG00000024338	-0.2927435659417459	-0.0522753198685737
ENSMUSG00000120614	-0.177098817517603	-0.2448307982012279
ENSMUSG00000086474	-0.2533323352143651	-0.2770758222999349
