	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000024661	0.09287983683869656	0.0	0.03965858916112184	0.0	0.13626983258266614	0.0	0.365405362740386	0.0	0.09929641444806181	0.0	0.03868650381505646	0.0	0.10806477136648317	0.0	0.10201222057949091	0.04249123486312012	0.1072735763025326	0.0
ENSMUSG00000015942	0.08477197882746115	0.0	0.043416418345817984	0.0	0.062252838769993726	0.045014957430423705	0.0722326256278089	0.13982043265544547	0.06237667407774512	0.0	0.0	0.0	0.07528794223509008	0.0	0.0	0.04189276897077143	0.07642498597344957	0.0
ENSMUSG00000086754	0.14814018057312647	0.01133717456118609	0.0020259421491669594	0.0	0.03588125433970949	0.01658795337996379	0.0	0.12155812965996926	0.02833093778369592	0.0	0.0	0.0	0.0	0.0	0.026112919234841908	0.008564803653045431	0.0	0.01514817574753829
ENSMUSG00000084811	-0.006929886710819002	0.0	-0.026718306953682297	-0.01568164325587429	0.032019036452391125	0.0	-0.07740471284449972	-0.0799415823817824	-0.05921908813138205	0.0	-0.016558246846649798	0.0	0.0	0.0	-0.04065775700862807	0.0	-0.012601999295413521	0.0
ENSMUSG00000024241	0.05595451494137581	0.0	0.008097680892277581	0.0	0.08812792843692722	0.0	0.06451515455434724	0.08292473310322503	0.010867396102456408	0.0	0.014366578860961819	0.0	0.07261983493826293	0.0	0.0	0.0	0.0349805403759966	0.011592516087865101
ENSMUSG00000086847	0.07878869433758107	0.0	0.051338870078486636	0.0	0.11986024536552418	0.0	0.1650062271503538	0.0	0.07837382436570155	0.0	0.0338930007247348	0.0	0.07858990549891481	0.027274298761225668	0.06812264107735148	0.0	0.11656633122450552	0.0
ENSMUSG00000073975	0.020701736531058	0.0	0.0422501818281468	-0.013492123517466752	0.025047544668087486	0.0	-0.03841080868947128	-0.06705365725520325	-0.01824048783537363	0.0	0.0	0.0	0.0	0.029305160332159134	-0.026276589183326707	-0.020127415628596594	0.0	0.0
ENSMUSG00000006488	-0.07810952989450676	0.0	-0.03813309038345979	0.0	0.0	0.0	-0.12950658475891	-0.08838235343106089	-0.08725275584236422	-0.017245850002024332	0.0	0.0	-0.05308515728122219	-0.011317768651516569	-0.09829968973788245	0.0	-0.069019676578461	0.0
ENSMUSG00000114099	0.08928615531041362	0.0	-0.020038244998279914	0.0	0.060986792709134374	0.0	-0.07187978503594768	-0.037881995566904504	0.038412482352356336	0.0	0.0	0.0	-0.06695348670937912	0.0	-0.023282954487498706	0.0	0.05150956295782142	0.031839073563732286
ENSMUSG00000091794	0.0	0.0	-0.034292712972580255	-0.020046883761026757	0.025553945078542507	0.0	-0.07540919494368228	-0.10089368827319135	-0.03831384440743516	0.0	0.0	0.0	0.0	0.016431492493953016	-0.03180294428777391	0.010777263839339354	0.006424626544010742	0.0
ENSMUSG00000097655	-0.034017945745386066	0.0	-0.045245609433627064	-0.01859387379689379	0.0	0.0	-0.039086139672786596	-0.017886758502791533	-0.06897221454413821	0.0	0.0	0.0	-0.029593226186111585	0.0	-0.038399270146473215	-0.04877386685944195	-0.026848408915906757	0.0
ENSMUSG00000005533	0.06447592812762927	0.0	0.033615025424377026	0.0	0.031353987542021206	0.028881429758360347	0.041650869530182204	0.06919415428151017	0.0262023137782925	0.0	0.0	0.0	0.021493557168659805	0.0	0.0	0.0	0.06249789746621473	0.021838457359904296
ENSMUSG00000060261	0.07465044748618684	0.0	0.045904139564832865	0.04953740958270018	0.08756201790709325	0.0	0.12908832605476608	0.09290815220366758	0.058405868363447654	0.0	0.0	0.0	0.08112906497718529	0.0	0.04779086040836511	0.0	0.08180303102338214	0.0
ENSMUSG00000021838	-0.05141941695587815	0.0	-0.04158309718603886	0.0	0.14123870387789214	0.0	-0.08024330948914564	0.09471004988760177	-0.048519162718912386	0.0	-0.010979722701603321	0.0	-0.07708358702140541	0.0	-0.028355646908229618	0.055410813860265216	0.0	0.0
ENSMUSG00000027312	0.06457426130907394	0.0	0.01581420111084998	0.0	0.06766788102803317	0.01558474384984676	0.0	0.13177903686380163	0.0	0.0	0.01568991784707335	0.0	0.04416803755481442	0.0	0.0	0.09882098680258043	0.039817697987845325	0.025140687277668227
ENSMUSG00000078490	0.08127258777805789	0.0	0.046066854016789865	0.0	0.030989610911700948	0.0	0.0799546540564831	0.15423069139214984	0.031300878581554704	0.0	0.0	0.0	0.05040889548903384	0.0	0.028037690768764834	0.03410260852451608	0.0856093624241982	0.0
ENSMUSG00000108800	0.03297972034614546	0.0	0.0	0.019390580280700245	0.048006212304458805	0.024049338939833194	0.055630123611132856	0.0	0.01612701694831491	0.0	0.0	0.0	0.05474732612645669	0.009077325762911648	0.0	0.0	0.038260498887060485	0.027439310469934208
ENSMUSG00000021497	0.07538632329515432	0.0	0.025924085422202724	0.0	0.03646627160707456	0.0	0.0239271953559657	0.1344155124121105	0.02413445639827721	0.0	0.0	0.0	0.0	0.023617077990425294	0.0	0.030629386175069735	0.04669458063377487	0.021190503665893368
ENSMUSG00000061740	0.046322641267406706	0.0	0.061692327929147785	0.0	0.07908753645380041	0.0	0.05960346815357284	0.10332747420960603	0.0703072098487632	0.0	0.018171974209683528	0.0	0.05859919509531183	0.0	0.0	0.0	0.09377515692068641	0.025541116649377065
ENSMUSG00000043925	0.022101909372764142	0.0	0.0	0.0	0.02899822709042603	0.0	-0.03612410906578751	-0.03471741060145898	0.0	0.0	0.0	0.0	0.04175342786750021	0.013919160975983003	0.027545448976764562	-0.03443862997306052	0.05209114249561559	0.019947453443090787
ENSMUSG00000113995	0.06726398250909076	0.0	0.06768317099683553	0.0	0.10374617965236062	0.0	0.2578801544937861	0.0	0.049373607802630795	0.0	0.03526527658168312	0.0	0.0651001585995261	0.0	0.048888279967421254	0.0	0.07021759235876897	0.01703516191357657
ENSMUSG00000101941	0.15141015227371127	0.0	-0.02901714345473332	-0.0195329586586635	0.01995391396487773	0.0	-0.055691985730303456	-0.08279358770516519	0.0	0.0	0.0	0.0	0.027318566173987993	0.0	-0.04077738040464517	0.0	0.020445726628851753	0.019981540306206507
