	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000047181	0.03037541236838368	0.012385104883711296	0.0	0.0	0.012300364924357376	0.04239306571461159	0.043946804751326445	0.20478846740667903	0.0	0.05758350973267845	0.0	0.0	0.0	0.03194523714748367	0.0	0.10115389996616216	0.0	0.052780323024587295
ENSMUSG00000083193	0.022617835651442406	0.04795311722809254	0.0	-0.036106383885489875	0.0	0.01656106634764304	0.03520902269368987	-0.09547783587379506	0.0	0.04292200896219971	0.0	0.0	0.0	0.0	0.0	-0.23967901180303827	0.01961160161865543	0.02459786847012607
ENSMUSG00000040562	0.044208208074652575	0.0634822131318563	0.01790932528565933	0.0	0.0	0.017690129769823155	0.0	0.06858158473784524	0.0	0.043707027774634186	0.012090463991226208	0.0	0.0	0.05356238193361465	0.0	0.13164042527636796	0.030267466204657083	0.0
ENSMUSG00000030814	0.0	0.02831891308246913	0.0	0.030008554350447914	0.0	0.07385903751996459	0.03929445790465913	0.183129173559621	0.0	0.06619335836326033	0.0	0.030404460234935538	0.0	0.037550244488043776	0.0	0.13458104801503262	0.0	0.0991802203249915
ENSMUSG00000029517	-0.031351185044697825	0.0	0.0	0.0	0.0	-0.024891613782786228	-0.02440345191423357	-0.124750546023789	-0.03631849456449246	0.0	0.0	0.0	-0.025762830568055072	-0.05326004288177741	0.0	-0.24908425209631962	-0.020420526872699907	-0.03008210172983075
ENSMUSG00000031918	0.0	0.0	0.0	0.0631084518594801	0.0	0.05360569727463728	0.016128164227878754	0.164215071032364	0.0	0.03538856140654734	0.0	0.012303049432242141	0.0	0.043660061951715845	0.0	0.4478786738930891	0.013025093097796375	0.07964673119526605
ENSMUSG00000026289	0.026347500437270514	0.028473224043249958	0.0	0.07546596000695842	0.0	0.07585908231537862	0.0	0.2220517973794961	0.0	0.02818774932075271	0.0	0.02713982450088437	0.0	0.05364299063146643	0.0	0.38580889287852044	0.0	0.09080524839993102
ENSMUSG00000033596	0.02643320136806483	0.0	0.0	0.055552704773423105	0.0	0.04324241667257523	0.03724656694177477	0.21598670820498667	0.0	0.06295737827036185	0.0	0.01911817419378803	0.0	0.047910304233408425	0.0	0.39497256009398424	0.0	0.09217472147126882
ENSMUSG00000118379	0.02121441191283135	0.0	0.0	0.0	0.0	0.03893262123417288	-0.030763495531590107	-0.16389347285952133	0.0	0.05510360079172531	0.0	0.0	0.0	-0.02082991696639852	-0.009048036278110683	-0.1647995535713577	0.025994829707762356	0.00870924820489367
ENSMUSG00000081724	-0.011237590920700754	0.0	0.0	-0.011505755756940572	0.0	-0.017738681240659925	-0.029210396210635554	-0.19161107467117736	-0.03144564448467792	-0.027807386383742676	0.0	0.0	-0.018717710236304832	0.0	0.0	-0.2626033562491422	0.0	-0.04510853344479052
ENSMUSG00000020755	0.037455741452604774	0.04080828862886646	0.0	0.04825111072572939	0.0	0.0603014117656088	0.05248257043875093	0.2031860461007663	0.0	0.05939106711885747	0.0	0.0	0.0	0.049899026151102824	0.0	0.23360015310654822	0.0	0.09601462118324879
ENSMUSG00000026273	0.03714247889004199	0.010142714735438929	0.0	0.036193026971709945	0.0	0.06062216036890261	0.0	0.23919475192835474	0.0	0.049721672901178085	0.0	0.0	0.0	0.04533146134055134	0.0	0.2502019384247343	0.02117117641850565	0.09620833561505442
ENSMUSG00000031364	-0.0370960967919765	-0.026784832799784285	0.0	0.0	0.0	-0.05799062612651632	-0.034707722520484735	-0.12625774370974197	-0.025322940869323726	0.0	0.0	-0.02149115911916366	0.0	-0.026463807380833926	0.0	-0.17350654917069475	0.0	-0.054190358229931804
ENSMUSG00000039865	0.03334765406399773	0.036775107153684865	0.0	0.0	0.0	0.033939073463013406	0.0483616609107291	0.21191779265108773	0.0	0.055986008188250884	0.0	0.0	0.0	0.03875701238792996	0.0	0.1832096685789414	0.01673883291446676	0.053982418631018686
ENSMUSG00000101789	-0.10665313462579287	0.0	0.0	-0.15807248631124582	0.0	-0.34356855960822896	0.0	-0.30313872561494387	0.0	-0.5055995765856327	0.0	-0.08338633568074005	0.0	-0.2556401048691137	0.0	-0.5854810852107514	-0.2029772806621002	-0.526256506967986
