	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000016624	0.0346261349196616	0.037779488189619334	0.0	0.05026519112686417	0.0	0.04947397483846823	0.042286685543477025	0.19163373139171533	0.0	0.05525683372013527	0.0	0.0	0.0	0.05564536316425007	0.0	0.2830013006657547	0.0	0.0800919910387171
ENSMUSG00000031825	0.03450540664218447	0.02401784868756583	0.0	0.0	0.0	0.053751915318299794	0.0	0.13942878554829996	0.0	0.07764918854176256	0.013147103952654504	0.0	0.0	0.044104866028171236	0.0	0.11122174135550453	0.025031342261818246	0.07423918489277892
ENSMUSG00000023092	0.0	-0.15273453099253007	0.0	-0.18693565768278705	0.0	-0.3332929295899361	0.0	-0.34071118277886375	0.0	-0.5697109488095045	0.0	-0.10259237632192864	0.0	-0.22790584383531134	0.0	-0.5706275810448176	-0.0775959871103935	-0.4836638861032848
ENSMUSG00000006299	0.057123060931867614	0.0	0.0	0.02579260870158442	0.0	0.05110528311647307	0.0	0.26494770272018486	0.0	0.06900851068833136	0.0	0.0	0.0	0.04941507207572539	0.012226245648112921	0.3701356312391148	0.019828578896555905	0.08789382396732515
ENSMUSG00000060336	0.013768496386141083	0.0	0.0	0.02610531090043204	0.022474487984993186	0.038289322395531775	0.0	0.23584894449661944	0.0	0.05309914785140931	0.0	0.0	0.0	0.03158179684723362	0.0	0.2719578720473654	0.015612989695054917	0.03847161392058207
ENSMUSG00000019232	0.02645870078896274	-0.02118209537404134	0.0	0.015047464930528276	0.0	0.0	-0.0352017791957419	-0.1637137579749658	-0.012905108262389449	-0.013690825169904471	0.0	0.0	0.0	0.016479869171752218	0.0	-0.03351330989106102	0.01740135406014381	0.0
ENSMUSG00000024400	0.020682627466037884	0.0	0.0	0.06698582723480462	0.0	0.05176817190823659	0.0364827072555034	0.21101884198840984	0.0	0.05581360323357306	0.0	0.03051161999374179	0.0	0.06164756193237576	0.0	0.47928611911374563	0.0	0.11180171102185824
ENSMUSG00000059291	0.017887366427010387	0.020109479284114874	0.0	0.06282943683962652	0.0	0.08818689499563259	0.0185725852359659	0.17611720221450494	0.0	0.06588554634320326	0.0	0.0	0.0	0.05824880857232414	0.0	0.28575440448035877	0.0	0.1241023094895809
ENSMUSG00000113204	0.0	0.0	0.0	0.0562800864077145	0.019433899891809964	0.04601162953194226	0.0370522497539141	0.22189274880877077	0.0	0.04842741232303406	0.0	0.0	0.0	0.05277560644963747	0.0	0.45352574928203915	0.016721467982943494	0.119562268596127
ENSMUSG00000028826	0.0315721931729332	0.0	0.0	0.057469393021980716	0.0	0.05479266866304761	0.0498293845066795	0.22100359107258655	0.0	0.03827472041961083	0.0	0.021209952855744674	0.0	0.045491221870097055	0.0	0.34321691154737216	0.0	0.10561868705436302
ENSMUSG00000100534	0.0	0.0	-0.011046796816793745	-0.007403869843539912	-0.011852307953074502	0.0	-0.03607360119596348	-0.1477269016095276	-0.031568517961640466	0.0	0.0	0.0	-0.014494185171345039	-0.01765436313279665	-0.007300499200377151	-0.175702507441992	0.0	0.0
ENSMUSG00000113449	-0.03315973910177963	0.025994854719192783	0.0	-0.010576309573269993	0.0	0.0	0.0	-0.170603539338377	0.0	0.028368603219425685	0.0	-0.009384303621624436	0.0	-0.03275884692366833	0.0	-0.13342600809268423	0.03520563559510598	-0.11592543165097173
ENSMUSG00000121489	0.0	0.0	0.0	0.04079633195157696	0.018242219401964303	0.05505106736213041	0.0	0.21798787308042347	0.0	0.027174398448526288	0.0	0.016501427138635002	0.0	0.0300022283626198	0.0	0.34566100461770133	0.013975011028294904	0.07785568896166059
ENSMUSG00000093436	0.0	0.0	0.0	0.02907455349092906	0.0	0.0	0.058536790641629595	0.11017572308048755	-0.026504971349290446	0.014146130941418948	0.0	0.0	0.0	0.05111669552782857	-0.015616331938332062	-0.12736504376500904	0.016838994468610428	0.0379765749260108
ENSMUSG00000105402	0.0	0.0	0.0	0.049458866755458596	0.0	0.08837921532611993	0.04857395626742248	0.04236722412873009	0.0	0.04027628854055911	0.0	0.03836179629078143	0.029649573191235623	0.06071379104933647	0.0	0.19660018037668575	0.0	0.08542763362171761
ENSMUSG00000033467	0.009160086346381102	0.0	0.027307763260693185	0.0	0.03292465512431287	0.03568199406797348	0.030662361110578462	0.12298793862702308	0.0	0.03832724747719395	0.0	0.0	0.0	0.01794988648011559	0.0	0.03690605403546739	0.0	0.027652414013817617
ENSMUSG00000114149	0.030697765280793786	0.0	0.0	0.023001370929762295	0.035136795933345115	0.01897493080065163	0.055807357465637905	-0.11961036784608765	0.0	0.056741688904819794	0.0	0.0	0.0	0.0	0.0	-0.15377830244397175	0.014968771597103595	0.03419906803239937
ENSMUSG00000002007	0.0	-0.17746520369458765	0.0	-0.033467251417936605	0.0	-0.39598925558050185	0.0	-0.3817233595903847	0.0	-0.20393333087791662	-0.045759184316646204	-0.11159285427266852	0.0	-0.09967058695390277	0.0	-0.24263229287454563	0.0	-0.4407231836898942
ENSMUSG00000116130	0.027514647842065452	0.0	0.0	0.02274142362512529	0.03135829166514419	0.02483778741974541	0.0	-0.13532735285142253	0.0	0.05398969854933476	0.0	0.0	0.009628089119162419	0.0	0.0	-0.10988697655903369	0.016818526174165144	0.06551818744105638
ENSMUSG00000100788	-0.12942161609474248	0.0	0.0	-0.16806547832900218	-0.11240476196486204	-0.3347162936365516	0.0	-0.2959189972274655	0.0	-0.4903541146472594	0.0	0.0	0.0	-0.22661876350853327	0.0	-0.6029921313665476	-0.19551995959912785	-0.5178080205072902
