	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000102973	0.0	0.0	-0.0503034115180217	-0.008391345229448136	0.0189297413718561	0.03688806158241438	0.0	-0.12075592064846978	-0.011237603537754414	0.040397588952282085	0.0	0.0	-0.028696547953015693	0.0	0.0	-0.2536006314075317	0.0	-0.03625393415376697
ENSMUSG00000074465	0.0	0.009215168922700119	0.0	-0.09436758092826021	0.007089378315725925	0.02057816989599233	-0.031844853524197275	-0.11249684318103605	-0.008600506372614234	0.0	0.0	0.0	-0.010706405226879183	0.0	0.0	-0.19178952915424693	0.01776847121502168	0.0
ENSMUSG00000031824	0.024256702230909734	0.0360513408654521	0.0	0.02786030189632854	0.0	0.0	0.02177221916508476	0.21540810186977896	0.0	0.044728618413009714	0.0	0.0	0.0	0.04082131367122968	0.0	0.353138038567549	0.023554059904004523	0.06603657364893983
ENSMUSG00000092416	0.0	0.031239448292977014	0.0	0.0	0.018222683963071362	0.03861588232064887	0.0	0.20877844188646577	0.0	0.030301064717522596	0.0	0.017396797183943356	0.0	0.039162622100009925	0.0	0.45306791858991086	0.020948242647337398	0.0503425346955608
ENSMUSG00000120807	0.0	0.0	0.0	0.0	0.06459699109306831	0.04302388565596464	-0.06221273656659814	0.04688101233177239	0.056533804598391454	0.0	-0.04797438814820264	0.0	0.05726516467207612	0.0	-0.06666351558370787	-0.13896763251840247	0.03281761839562546	0.0
ENSMUSG00000095629	0.0	0.0	-0.015880174704966957	0.0	0.018434789675867203	0.03086427296812818	-0.03410244331378318	-0.15183465734151894	-0.022053719768171116	0.0	0.0	0.0	-0.016600191911263124	0.0	0.0	-0.13991821826003373	0.020253597629863077	-0.025474827992109237
ENSMUSG00000114391	0.017392682284667622	0.008020415132038362	0.009860797227041473	0.01638135710779555	0.0	0.0	0.0	-0.10667891003542955	0.0	0.061670076316092955	0.0	0.0	0.0	0.019110302446820045	0.0	-0.1808943375848681	0.03027250783588551	0.023113623575157033
ENSMUSG00000031165	-0.012751686314256435	-0.009990608374862481	0.0	-0.025267792297681252	0.030138182722537543	-0.053664320892885864	-0.03864517041099601	-0.15318789290296328	-0.014479178986928855	0.0	0.0	0.0	0.0	0.0	0.0	-0.07892124598676412	0.0	-0.011396727508367706
ENSMUSG00000048617	0.01280304199015353	0.017686197817685552	0.0	0.015866117535376156	0.019141425695188126	0.020069823320360336	0.05326030237358202	0.06456650877159464	0.0	0.03533156615580368	0.0	0.0	0.0	0.028871593557687633	0.0	0.0	0.0	0.03090228255629038
ENSMUSG00000118434	-0.003676361232789749	-0.011453533273026872	-0.013452465633719489	-0.061831984756311326	0.0	0.0	-0.022615589738704343	-0.21311036476061682	-0.006838082634918405	-0.008102544646392389	0.0	0.0	0.0	-0.003958525430916911	0.0	-0.15517786069483222	0.0	0.0
ENSMUSG00000081169	0.0	0.04265069073192839	0.012550718776890069	0.0	0.0	0.0	-0.022206394407262714	-0.11794427540305957	-0.023407345731691283	0.03954446127775557	0.0	0.0	-0.007971567777531397	0.0	0.0	-0.2076631177181668	0.018859018459233556	-0.008795548583414031
ENSMUSG00000039735	0.0	0.0	0.0	0.057656350790862954	0.02715943794849839	0.043031255519425916	0.025924544316131226	0.2007182693639056	0.0	0.0	0.0	0.0	0.02802298950002693	0.04059227409396435	0.0	0.4874958845551876	0.024987480168826407	0.06471806616387274
ENSMUSG00000109243	0.028501258107206422	0.04465717744484823	0.0	0.0	0.0	-0.03111475855537313	-0.019008859747780684	-0.16264255581653733	-0.016955343901667575	0.06565967670611271	0.0	0.019559227111862837	0.0	-0.03292505401455687	0.0	-0.13751718194679863	0.0	0.0
ENSMUSG00000041921	0.0	0.03918146933079037	0.0	0.04627450532101671	0.02234833293526994	0.06464158780450383	0.0	0.23588117201005152	0.0	0.055554710281113105	0.0	0.0	0.0	0.04552651396687644	0.0	0.5391344761714525	0.022312393119147123	0.07844923474601435
ENSMUSG00000022678	0.0	0.034520121942922366	0.0	0.05304615980101137	0.0	0.0848505538181499	0.024553443881778242	0.1271298200923739	0.0	0.03742233576824573	0.0	0.0	0.0	0.04426969492456787	0.0	0.2960807773129926	0.024335619574909706	0.0581686363038116
ENSMUSG00000060969	0.0	0.0026389960512597788	0.0	0.0	0.006842242725951954	0.0	0.05683911755159735	0.12126976690928688	0.0	0.0	0.0	0.0038234184016304957	0.007522397470869064	0.030768434939271002	0.0	0.005851462508998654	0.013222262595693795	0.026580002343177374
ENSMUSG00000046182	0.013169855122158194	0.0	0.0	0.00934872110447154	0.0	0.06457843435238234	0.0	0.12311927204960843	0.0	0.028766724103859134	0.0	0.003913993249746839	0.0	0.029498991996155594	0.0	-0.12393961835655695	0.01363267456266793	0.016945160839068756
ENSMUSG00000085559	0.025019937948554716	0.03498403521511357	0.0	0.009702041914166515	0.0	0.0	0.0	-0.14672378515827983	0.011431320829634882	0.03026522077937958	0.0	0.0	0.03494185874980675	0.0	0.0	-0.21583803899835335	0.0204107228219447	0.023678535803132606
ENSMUSG00000047171	0.044041223522794284	0.02339761476805552	0.0	0.0	0.03621404501643884	0.036461897335658855	0.03932107086149624	0.06390888102493518	0.0	0.07072126040945013	0.0	0.0	0.03778097214513532	0.024131480397925918	0.0	0.0	0.02597227722308334	0.0
ENSMUSG00000025938	0.007327545886736897	0.02110609125247894	0.0	0.0	0.009941512997512714	0.008666781940757966	0.0	0.15422458983286086	0.0	0.04882487526148869	0.0	0.0	0.0	0.03232589048780177	0.0	0.20702669080469602	0.017598804492334388	0.017261433915633312
ENSMUSG00000047591	0.0	0.02499205578988173	0.033180147651381324	0.0	0.04309713954532701	0.06822051563008692	0.0	0.09221428377165414	0.0	0.04887212048949187	0.0	0.0	0.038232176594337246	0.03989886609977804	0.0	0.16031654813426252	0.0	0.03803493460393642
ENSMUSG00000031641	0.017012431744732548	0.02264938993818029	0.0	0.04318816780538416	0.0	0.06525316867875755	0.0	0.22789350281988643	0.0	0.04123098507682675	0.0	0.0	0.0	0.03287295674701303	0.0	0.4231594416702627	0.02251623549723879	0.06841981168421074
ENSMUSG00000033192	0.0	0.021744234776160224	0.0	0.022275807157948597	0.0	0.040355496259688595	0.0	0.2294441916820542	0.0	0.05846736603469557	0.0	0.013615357088446522	0.0	0.034482647681666465	0.0	0.39972615754324703	0.019522938155060485	0.05693029299623284
ENSMUSG00000121913	-0.025596511446939554	0.0	0.0	-0.02112231694153236	0.046204908419062926	0.029639800373735613	-0.026204642876188417	-0.06447385715987977	-0.05931569436581353	0.02408634965880385	0.0	0.0	0.0	0.03283792365727321	0.0	-0.2679963065026171	0.0	0.0
ENSMUSG00000046572	0.0	0.03008335680791923	0.0	0.05703170617413925	0.0	0.031128521904971528	0.04110729304929316	0.20170207167238058	0.0	0.03884639207159545	0.0	0.0	0.029515041043513213	0.0464267094475788	0.0	0.40065552391203185	0.0	0.08045387535552882
ENSMUSG00000020402	0.0	0.0	0.0	0.07337059872553132	0.027177063687991554	0.08401948428481007	0.04948966710068599	0.1609475311805703	0.0	0.03835308622709035	0.0	0.0	0.025404668804377202	0.043484551780692826	0.0	0.27173051795619807	0.0	0.05344527603670735
ENSMUSG00000070902	-0.0086325052054554	0.0	0.0	-0.005203697868600733	0.0	-0.002192198887254637	-0.012705836300120342	-0.19267317237632314	-0.01879569363185924	0.0	0.0	-0.0032913568167305613	0.0	-0.023090389771196432	0.0	-0.21447856255774736	0.0	-0.011581188872872149
ENSMUSG00000031821	0.03235777602736503	0.03141160006171506	0.0	0.03883316450051127	0.03313227161761637	0.038459964751189804	0.0	0.21832913254838793	0.0	0.060418665174130665	0.0	0.0	0.0	0.043510210562816745	0.0	0.37300125884860585	0.0	0.07364635445873466
ENSMUSG00000097350	0.024761018447283085	0.01969167894737245	0.0	0.033078016814262284	0.0	0.04232992386691553	0.0	0.22972452230137178	0.0	0.04124285185742958	0.0	0.0	0.0	0.03594340688508081	0.0	0.5503274831779504	0.02363270385180625	0.06858156810884593
ENSMUSG00000074965	-0.02308912124980578	-0.06327174669121398	-0.014846069793235217	-0.054389210844692094	0.0	0.0	-0.03816309304112058	-0.11143933005190299	-0.0238781543378901	0.0	0.0	0.0	-0.020212294903464555	0.0	0.0	-0.32907771058014146	0.0	-0.13943801655427596
ENSMUSG00000018076	0.021433537850678586	0.0	0.0	0.054847132662117715	0.02517308947423634	0.052494040900294595	0.05508323314530582	0.15465184614781236	0.0	0.0	0.0	0.0	0.028961292773936314	0.0458250305258031	0.0	0.13441994921335534	0.0	0.054180147491749535
ENSMUSG00000113883	0.02987167240763908	0.0	0.014798634462558594	0.0	0.023217317922195932	0.040064944032560765	0.0	-0.06895899704769812	0.0	0.0594265759408212	0.0	0.0	-0.03156398626752553	0.02433027842307296	0.0	-0.21013313197973263	0.01702688289446295	0.0
ENSMUSG00000025479	0.023886737218907553	0.02114813935416523	0.0	-0.027445389280152253	0.01369928235697092	0.04225175863327639	0.0	-0.18146090596988626	0.0	0.018863518212981663	0.0	0.0	0.0	0.011649972113670998	0.0	-0.025732226819108413	0.02038197474539956	0.0
ENSMUSG00000094672	-0.004302357930021167	0.0	-0.00467304227401126	-0.03036996435688931	0.0	0.0	-0.033912764000780395	-0.1371119235010673	-0.01488303411777003	0.0	0.0	0.0	-0.010185648476464745	-0.0157992235878106	0.0	-0.15467781808436978	0.0	0.011200055686227284
ENSMUSG00000059811	0.0	0.025210304280960796	0.0	0.07911038675500204	0.0	0.03947478006369401	0.03699282308055446	0.19082471476722007	0.0	0.0	0.0	0.020805299750963457	0.0	0.03960867932871157	0.0	0.42952899293233254	0.028517060023471187	0.04994234036387859
ENSMUSG00000037773	0.0	0.041861147418253884	0.0	0.05423063081532029	0.0	0.03771104033455847	0.0	0.22493008540720746	0.0	0.04635344429767672	0.0	0.014900852934411457	0.0	0.03197370900128785	0.0	0.5234523639289022	0.0202771371052618	0.07031601653258904
ENSMUSG00000114412	-0.015321393813941563	0.0	-0.027338044948656413	-0.03360769501570478	0.0	0.0	-0.02440055824072998	-0.1346979152996069	-0.014484440260719045	0.0	0.0	0.0	-0.01743526761882431	-0.03143688930825479	0.0	-0.37301701444606683	0.0	-0.03402441333443447
ENSMUSG00000091771	-0.020465743947799632	0.0	-0.026145140787453867	-0.0722347496541414	0.0	0.0	-0.03524949260819594	-0.15169415671970188	-0.03323324712278678	0.0	0.0	0.0	-0.015831527213656688	0.0	-0.014608175766617881	-0.2772659097121435	0.0	-0.06707234063737627
