	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000001415	0.12328724474225185	0.006318930875828041	0.05342709542801458	0.03505153283040272	0.06802246179403093	0.006359154573458779	0.14062842589360766	0.13418305149825754	0.06572973894422571	-0.0009061024361601864	0.04308486458202034	-0.009903249388766458	0.11260022472384403	0.01068091148918029	0.05746338231640818	0.08626782427262307	0.1218578574930299	0.020339339502502947
ENSMUSG00000040433	0.07896243752511509	0.0009236729433074028	0.06385698305847265	0.04083474467507975	0.10983926279919355	0.0026448323668903737	0.25938123884443487	0.05238475240320051	0.0835917736909583	0.002986649002975485	0.027197692711394796	-0.0015036035679908569	0.17294445294589553	0.009470581725846777	0.04809028522540757	0.04434359788597898	0.11529073061485957	0.010272575972183923
ENSMUSG00000020346	0.088962982207782	0.007025492295672718	0.0722931428033397	0.015558888314418644	0.062440754099777354	0.0009386104105682794	0.2645003598005912	0.05107958610065647	0.08220826866480431	-0.012094157565817503	0.020221198647933696	-0.010463969987332738	0.1638142557350615	0.004092152030040909	0.06126844981840155	0.05489260029444267	0.11045687721780269	0.02116817802166874
ENSMUSG00000037202	0.09372956658309184	0.013112370272262653	0.035050901830670354	0.02269450244836792	0.1424928995719321	-0.015021657029033771	0.22039352534237489	-0.014685884523662806	0.0974071812339389	-0.005102072410746976	0.04143132770836278	0.0008285546825001283	0.2075148346361987	0.002975952954459769	0.05773468914158002	0.0005272861198526308	0.13823894798286865	0.006187678427730654
ENSMUSG00000005699	0.09722646561172692	0.012012017513032852	0.038539736395770366	0.017687551514921195	0.08551596476785822	0.005339254247207594	0.06763683728051027	0.14517661211398913	0.09716652858413519	0.006285913652391173	0.020747255216961743	-0.012376358757267423	0.14227026710380283	0.007889332561691324	0.04191786468509236	0.04086665351398031	0.12263331120892482	0.011710885477077682
ENSMUSG00000066705	0.10512406074095841	0.007416415747918239	0.07351631569763413	0.02054067890037134	0.10001524062920777	0.004222135632984906	0.22805192532866517	0.09702062851190152	0.06624631552996496	0.010922219667164817	0.02804014432097444	-0.002589936179979954	0.1616853516178318	0.004599664172461156	0.053002311560859584	0.008639353651986832	0.11683436142494819	0.005763211993429909
ENSMUSG00000078875	-0.3797030855964944	-0.011565846220972682	-0.17354077090494685	-0.006984537679922401	-0.5404218796830005	0.05520255945591219	-0.38478486815937296	-0.046688538013924176	-0.07142217563707942	0.04233804169614034	-0.08888640837428413	0.027207772309286934	-0.6356292816474056	-0.029511476001061965	-0.0527229473355484	-0.03070710760473178	-0.6375655857229763	-0.08218743422304604
ENSMUSG00000078994	-0.1570912325170606	0.0008817791554715118	-0.12145922389395959	-0.0017560788670380133	-0.14997283283222973	-0.014086998391992114	0.018367443492544617	0.19484515049207402	-0.20671789114429495	-0.008833640103148355	-0.11676833994380494	-0.011926343354675087	-0.027312127563969366	0.036678838182186674	-0.06188196933035215	0.014738262653775433	-0.035761559756013285	0.010516048761201092
ENSMUSG00000043872	0.09530410147251261	0.005203021903486972	0.03928661238018581	0.024108710904589055	0.11444815575689843	-0.00013477033893910368	0.19670891759596998	0.10654603442271764	0.08081299880185334	0.006451175220536243	0.03222188107637131	-0.0021023450573661	0.16675807357028782	0.010038313143793078	0.0487513830829682	0.05609469139399152	0.09011310006078149	0.029956144625767983
ENSMUSG00000116188	0.1432052380690428	0.01299977095763357	0.0700311544622569	0.01169577648574237	0.09648423705189739	0.010528638702453463	0.061395479809860785	-0.01037138271011437	0.0698558061078854	0.016312536915523066	0.04235243360724001	0.0036511739577690604	0.15273761307502615	0.035261860944436715	0.09876520646856599	-0.0011504950180876352	0.08245984988492897	0.02066051917006137
ENSMUSG00000060803	0.17515041309946225	0.00998254343685403	0.03221825932092283	0.007893129094009054	0.05821143955285411	-0.005331259593783346	-0.008059212648108119	0.1250481660049575	0.053190415736857434	-0.0034464437611729536	0.01957628556686229	-0.0019841253607280254	0.11461120495150681	-0.0007529901837447791	0.024686331929634823	0.004745481627781244	0.17025146088659052	0.0006047024188904158
ENSMUSG00000024907	0.09360964067065132	0.002194971416455311	0.10543088908663256	0.013681469311891955	0.05013735344244716	-0.002157568479742622	0.036175753703329455	0.021625223919701446	0.05062075008422003	0.014259861751582191	0.02318239810644757	0.003206869346935751	0.05736240670064165	0.03637631841104719	0.035011669819609126	-0.004830156949641865	0.11265857622389117	0.01924635491450317
ENSMUSG00000038172	0.09202983133244354	0.0043232779225945706	0.06715245119282502	0.0378039758907367	0.11577945836371717	0.0032216096910165754	0.25753637686131176	0.06278161233609093	0.0904646999538662	0.004834137958278006	0.029462096349379862	-0.0071917586539452065	0.18078309307394583	0.004883923951482367	0.048702961763826484	0.03388591882594483	0.1129295217354021	0.009109264444071284
ENSMUSG00000074465	0.04803784778840574	-0.00027490965595851385	0.041040707821905796	-0.009039896617728768	0.030995665081510585	-0.008007703409592587	-0.0269841378840543	-0.0029980602640405	0.054644245027364896	-0.0034912950554696312	0.02382477487491477	0.0027919709249025412	0.05350255844636454	-0.0013635185390220223	0.018550706524339537	-0.0035378793935836126	0.08147569519548727	0.023651693250472557
ENSMUSG00000087216	0.08801986630455108	0.0028017149807315687	0.05815291475706285	0.016151304674817117	0.07171539651852592	0.004541042619010633	-0.03356997739314725	0.01535690390820881	0.09949210913759349	0.03200424627793837	0.017248844174901024	-0.011813916454411811	0.04850879961959435	0.017938625281073785	0.04689537331619899	-0.0002334323458593904	0.14140213839938431	0.031995809864019974
