	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000062074	0.09099076995327805	0.0	0.08388970924302418	0.0	0.028564060870542363	0.0	0.09276462531894805	0.0	0.031945558456348555	0.0	0.022120549108739708	0.0	0.0	0.02573073555774483	0.0578117510703305	0.0	0.08862366411322373	0.021344267767667846
ENSMUSG00000028116	0.06594115509159541	0.0	0.06018357210211241	0.0	0.027360614280399563	-0.014773800885085541	-0.04264507454509369	-0.045246770710487175	0.0	0.0	0.0	0.0	0.0	0.010771313834282484	0.0	-0.01354510479870269	0.04346974877363698	0.023555894795912125
ENSMUSG00000040945	0.06157061293947861	0.0	0.07020584988050196	0.0	0.04574533821721223	0.0	0.2695763630442827	0.0	0.06422221156011466	0.0	0.0	0.0	0.09199934818529926	0.03437625039359382	0.052222721219820356	0.0	0.0825701900613084	0.029428753167160537
ENSMUSG00000120302	0.09908732538354838	0.0	0.055963850000712266	0.0	0.041230567152211885	0.0	0.0601459205247594	0.0	0.022277048019553894	0.0	0.019246777374334	0.0	0.15235540458639774	0.031816963756084025	0.07063127581505997	0.0	0.05101150481283579	0.0
ENSMUSG00000020220	0.10213176911326195	0.0	0.0462526468444861	0.0	0.017996635882532086	0.0	0.0345574261930506	0.13360225828965516	0.0538917446731056	0.0	0.0	0.0	0.06064080129807764	0.0	0.0	0.05039579383799544	0.0515434390606438	0.030394104897526402
ENSMUSG00000090762	0.08012573767995548	0.0	0.03702203498233507	-0.01807935377037262	0.026833331914277593	-0.016566039953002598	-0.04023446954222114	-0.07273391370004943	0.0	-0.02284200271440744	0.0	0.0	0.0	0.0	-0.02011760258480932	0.0	0.07799350545252862	0.0
ENSMUSG00000040479	0.10303129570206804	0.0	0.06625843379447555	0.0	0.05278978003768727	0.0	0.1817516633495364	0.08860850459352823	0.08596498941779059	0.0	0.01676825782374669	0.0	0.07487841890288444	0.0	0.038144846834886115	0.0	0.072628905257921	0.0
ENSMUSG00000031487	0.1469858657761487	0.0	0.05786775494397249	0.0	0.03130875941472092	0.007982615698014173	0.0	0.12504533815643437	0.08782368910439203	0.009412918908330448	0.0	0.0	0.0	0.0	0.007697128359099056	0.0	0.06313788388611662	0.017474191588529257
ENSMUSG00000081769	0.10859481182112836	0.0	0.06412100554804485	0.0	0.0	0.0	0.09714883195329405	0.11857829758156048	0.07444342716730432	0.0	0.0	0.0	0.07860280305229277	0.0	0.03971954578601807	0.034245564639360265	0.0793935110324229	0.031503292071768385
ENSMUSG00000005148	0.0959590969166239	0.0	0.06513718176712546	0.0	0.08493269581774078	0.0	0.2692523599785338	0.06762239640225659	0.07544148427959653	0.0	0.028496253839268126	0.0	0.08952395097883051	0.0	0.050586029468847125	0.0	0.05653278120182182	0.0
