	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000043090	0.09811624024418146	0.0	0.05880388460706713	0.0	0.06416664300977841	0.0	0.1674245114979296	0.14713030691591575	0.06743895548638783	0.0	0.0	0.0	0.0795541616614974	0.0	0.039005602093754255	0.09517801188209156	0.0720378566946847	0.0
ENSMUSG00000024039	0.11549866130865198	0.0	0.06519395572803335	0.0	0.0	0.0	0.07070286563983172	0.1673107444688672	0.0674169383506534	0.0	0.0	0.0	0.07823091908647883	0.0	0.03983172079842612	0.049960004811383255	0.08067256335294112	0.0361725908048135
ENSMUSG00000110591	-0.7075405211904245	0.0	-0.3999309050731858	0.0	-0.34360762312305343	0.0	-0.4210906483339878	0.0	-0.20414338449746824	0.0	-0.10752557958529252	0.0	-0.2985901156442156	-0.211630771875008	0.0	0.0	-0.4697151618155511	-0.3014333536148617
ENSMUSG00000055660	0.08907284313863774	0.0	0.02387129721176295	0.0	0.03607426342897137	0.0	0.06278126641489364	0.16553194570015167	0.026959013728805707	0.0	0.0	0.0	0.020590238819345852	0.0	0.0	0.17233620045860318	0.02853791050859601	0.02720220889637165
ENSMUSG00000021377	0.0	0.0	0.015564700861170866	0.06747343876924028	0.04830334366138903	0.0	0.1362993608519966	0.1444284362522564	0.0	0.0	0.010836039843323913	0.0	0.07359801167952897	0.008662830336701788	0.0	0.20929308260085294	0.0	0.03657603857859028
ENSMUSG00000044957	0.025486245172069027	0.0	0.02464199346007735	-0.020708045234289554	0.008852592921905777	0.0	0.0	-0.08165464719510715	0.0	0.0	0.0	0.0	0.02008588968084722	0.027965192728127565	0.028164651602208973	0.0	0.023686400584109556	0.02596815203639017
ENSMUSG00000090700	0.0955156362023887	0.0	0.061679591051259114	0.0	0.02169283740528513	0.0	0.07716194456029737	0.0	0.01813420737914262	0.0	0.0	0.0	0.04228132797966955	0.019502640880372023	0.029432394169822226	0.0	0.06054329395563292	0.020531377672168633
ENSMUSG00000006057	0.10117084705809795	0.0	0.040153500947237374	0.0	0.03173758407973547	0.0	0.1261759289976236	0.14124105268692588	0.08060170727306126	0.0	0.0	0.0	0.03261687879075256	0.028597775540814042	0.0	0.019490913547692945	0.04251253163941367	0.0
ENSMUSG00000079009	0.037870722052430306	0.0	0.023858597097447864	0.03566324226145361	0.055635824149918627	0.0	0.03636071040973236	0.1617627913265629	0.0	0.0	0.0	0.0	0.08609010475526205	0.0	0.0	0.14707338928472707	0.030749126389651518	0.04110984977713936
ENSMUSG00000079387	-0.07739186602482657	0.0	-0.06605423156105494	-0.02984177837418256	0.0	0.0	-0.12364182650160327	-0.053129432163241654	-0.07138451208003095	0.0	0.0	0.0	-0.05247829422668899	0.0	-0.07094773178624367	-0.03629925227388332	-0.094476891695425	0.0
ENSMUSG00000001260	-0.04037782076053311	-0.010765968025743172	-0.0299242416986749	-0.01295573569007574	0.0	0.0	0.031956888923449	-0.021944987971595515	-0.06104470685298304	0.0	0.0	0.0	0.0	0.039421425293964765	-0.03434934027123316	0.0	-0.022233961469668405	0.0
ENSMUSG00000025069	0.07902794088472063	0.0	0.05390898407982274	0.0	0.0	0.0	0.0	0.18585346649895945	0.0617227208743434	0.0	0.016955604271027158	0.0	0.07057186277270583	0.0	0.027499011416461862	0.07146106846066792	0.047194321398308696	0.022366786317416076
ENSMUSG00000019876	-0.02438422028474586	-0.006462943792695824	0.0	0.0	0.0	-0.01186519096584599	-0.010322520134209829	0.0	-0.04275990481319422	-0.02499098568375556	0.0	-0.022076591913353354	0.0	-0.018810920096986115	-0.021184560141621588	-0.05140508950914256	0.0	0.0
ENSMUSG00000054309	0.1216226330449671	0.0	0.0679726579198579	0.0	0.0	0.0	0.0711494952018332	0.16238116011522333	0.06913531192939971	0.0	0.020232055812944516	0.0	0.0	0.0	0.028908060398155862	0.09179355379618238	0.07151444069001923	0.04030722344561894
ENSMUSG00000107499	0.06631428290156109	0.008241326049497677	0.012756199772794267	0.0	0.04911196794731473	0.0	0.0	0.15954232264614734	0.07050817193346279	0.0	0.013320810909205694	0.0	0.0	0.0	0.0	0.07788076600272766	0.050732756697040214	0.013785007795783653
ENSMUSG00000070436	0.09900727817068886	0.0	0.06256293393953567	0.0	0.06087603171396653	0.0	0.1989256313792675	0.06259522430246876	0.01581258583838696	0.0	0.01814116232547254	0.0	0.05795235474197739	0.0	0.016951580726618603	0.0	0.08595715688590674	0.0
ENSMUSG00000112666	0.08674763166330222	0.0	0.03636243969918541	0.0	0.026050967588332002	0.0	0.0	0.0	0.06778646927639441	0.007359058753021286	0.010779098067919303	0.0	0.03633028724462891	0.018700090227472137	0.0	0.0	0.0845634479721554	0.024536607312531395
ENSMUSG00000018599	-0.7032834107139244	0.0	-0.40627115285462534	0.0	-0.3317389979441052	0.0	-0.4241467916699232	0.0	-0.19702002096821053	0.0	-0.11067919873393395	0.0	-0.29081160861843924	-0.22279136500993652	0.0	0.0	-0.4696397888288589	-0.30882572941109154
ENSMUSG00000030359	0.07869332371981816	0.0	0.04187097348584367	0.0	0.043503687930052125	0.0	0.0	-0.06177398044258253	0.02543370867178234	0.0	0.0	0.0	0.01691741110308814	0.02424571595958348	0.021766322941114684	0.0	0.04027406348047042	0.0287486489326511
ENSMUSG00000099568	0.03964820840309806	0.0	0.04495369774217549	0.0	0.0	0.0	0.08237605872275125	0.035012861004551414	0.07506230434885043	0.0	0.02107894107397934	0.0	0.03477988372482423	0.027110742425337817	0.0	0.0	0.09149564016409006	0.02770096830604525
ENSMUSG00000115428	0.10320163704424123	0.0	0.06238255187102879	0.0	0.06798693059597796	0.0	0.15314563301961995	0.12530839031644322	0.08243287856811672	0.0	0.02506343791308785	0.0	0.09898854298284379	0.0	0.05309875480517595	0.0	0.06600389790989747	0.0
ENSMUSG00000071064	0.1001525149471411	0.0	0.06050688292043514	0.0	0.04394547846488082	0.0	0.11460490763216398	0.07867589929981338	0.05643749379902212	0.0	0.0	0.0	0.06900195464266137	0.0	0.04243191650344282	0.0	0.05408962809879595	0.023067139764369693
ENSMUSG00000058099	0.10525778529871554	0.0	0.05885713392680796	0.0	0.02430485803299084	0.0	0.08401497241703215	0.024429093578459356	0.052258311531591245	0.0	0.0	0.0	0.09255572941302469	0.0	0.036588791138363566	0.0	0.06599960168546644	0.01899582698333513
ENSMUSG00000033107	0.09200706274951026	0.0	0.057487068861408294	0.0	0.07885438093610102	0.0	0.17035224335755086	0.11956237986815346	0.08515431908164214	0.0	0.0	0.0	0.10571209085234279	0.0	0.05106539785722328	0.0	0.06576816411723199	0.02795439814930545
ENSMUSG00000029370	0.04720539054578358	0.0	0.02851016585158391	0.0	-0.014759327056009602	0.0	-0.015685212412137117	0.09778766263699822	0.0	-0.019062821231835798	0.0	0.0	0.0	-0.017109993370738687	0.0	0.03561549019383731	0.03509169348347509	0.011950781830626128
ENSMUSG00000031758	0.10996572202707469	0.0	0.06284052562424852	0.0	0.06501927945210648	0.0	0.16879229900455292	0.1405770907290308	0.07741145242509871	0.0	0.0	0.0	0.08159009192755785	0.0	0.05361288996785196	0.09220140570445509	0.0551659288298166	0.0
ENSMUSG00000027297	0.08249330832904501	0.0	0.06394693067139791	0.0	0.09102699537608626	0.0	0.324565187954605	0.0	0.07904742036759288	0.0	0.0	0.0	0.10574602272917678	0.03373628790634364	0.10870351799332277	0.0	0.06933923767105307	0.028181824612972473
ENSMUSG00000116056	0.09986465054815816	0.0	0.044329283685073995	0.0	0.15384393368463173	0.0	0.09069539427456046	0.0	0.07666404976823823	0.0	0.041347108690105716	0.0	0.14842243055562795	0.0	0.07213049800097406	0.0	0.13561789409808028	0.03739902814945173
ENSMUSG00000062098	0.05279444469446328	0.0	0.04407663820271835	0.0	0.036808455466147694	0.0	0.2327787898716612	0.12415361848180653	0.028050685608747322	0.0	0.025698633510922164	0.0	0.08200150258354653	0.0	0.0	0.1583245969413855	0.02837669685187984	0.0
ENSMUSG00000022231	0.04240242699408435	0.0	0.017461667402801872	0.0	0.0	0.0045053020311129595	0.0	0.12936887212662654	0.0	0.0	0.011409534246721944	0.0	0.016108479596542803	0.0	0.004177636585161293	0.06033747929935253	0.0339601372171639	0.04027441792956704
ENSMUSG00000064181	0.08816001398811946	0.0	0.05449768638612611	0.0	0.049772393095058355	0.0	0.13970431253801066	0.10814774651686893	0.054267112704153665	0.0	0.0	0.0	0.08101399421968114	0.0	0.0	0.06041673265125094	0.06164552386128051	0.022347600646711374
ENSMUSG00000085148	0.08457271619815472	0.0	0.03674705353020612	0.0	0.037802695383246265	0.026861541575778122	0.1505204567314332	0.1428269212371048	0.08175568630585191	0.0	0.0	0.0	0.0	0.0	0.0	0.027747863991636323	0.022168326608555833	0.02365335299282435
ENSMUSG00000028470	0.033594342570901305	0.0	0.1759842206449737	0.0	0.010659062936592134	0.0	0.0	0.12986461063822863	-0.03747449503470898	-0.02577699292518048	0.015359103659657859	0.0	-0.028449972079845176	0.0	0.0	0.14588406295454853	0.04254225141648703	0.0
ENSMUSG00000020473	0.07672791142050786	0.0	0.05841231385500053	0.0	0.0	0.0	0.0	0.13661441068468144	0.044567992596346064	0.0	0.007272974114339914	0.0	0.047599674568977096	0.0	0.013448886463887673	0.02051031899026343	0.05915322082056596	0.02222098861715503
ENSMUSG00000115725	-0.011167795550595966	0.0	0.0	-0.01142553354707081	0.0	0.0	-0.08161040508885321	-0.03714764480588362	-0.051924669345377046	-0.03842446882248594	0.0	0.0	-0.027030971062722793	0.0	0.0	-0.04106668580416329	-0.010139819377976008	0.026242963674217246
ENSMUSG00000037331	0.09180520826300714	0.0	0.05915022866184765	0.0	0.060106377726535494	0.0	0.2058216045426367	0.11300496767258777	0.0669727338792995	0.0	0.0	0.0	0.09009884837126234	0.0	0.04972606307133631	0.09328830527972874	0.06259414396155907	0.0
ENSMUSG00000056167	0.10347273594471276	0.0	0.06405078023464175	0.03849737754102778	0.060891856373317205	0.0	0.1278577915085058	0.12109422209757542	0.08324484012958626	0.0	0.0	0.0	0.07722776290160867	0.0	0.04051614271339077	0.0	0.07860490072741254	0.0
ENSMUSG00000039087	0.0900789505039476	0.0	0.06347823864212747	0.0	0.054748382567485106	0.0	0.191846222050886	0.11617815808734398	0.05882628903676027	0.0	0.0	0.0	0.0855650068707617	0.0	0.04753888765252516	0.051892268177276324	0.0669531419058525	0.0
ENSMUSG00000047735	0.032250739387872276	0.0	0.014941663239990225	0.0	0.03488876059321451	0.03129381237125887	-0.03493691630157708	-0.05071238235647114	0.0	0.0	0.021379600554061382	0.0	0.0	0.0341579594188685	0.0	0.0	0.01957000295209125	0.027909218152705383
