	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000110767	0.02018506504505623	0.032051259243012414	0.0	0.026013930440545306	0.0	0.012846035328276717	0.0	-0.1030364893313132	0.0	0.08819656825577342	0.0	0.0	0.03252068367923282	0.031156335509942578	0.0	0.0	0.01933831151287005	0.04340599369968201
ENSMUSG00000040389	0.02141532133871949	0.027744929080852188	0.0	0.04998419055861681	0.025703325232913483	0.0	0.0	0.2559520112930646	0.0	0.032060237796370974	0.0	0.03574259959299787	0.0	0.017908509613415058	0.0	0.37332873059271543	0.0	0.07767735872791841
ENSMUSG00000002250	0.03819160131528239	0.034301206908083644	0.0	0.0	0.0	0.06156851041797316	0.07102393621496154	0.23012276550437458	0.0	0.02939399330668354	0.0	0.02705624929188276	0.026162656506514725	0.04608523220049161	0.0	0.0	0.0	0.0538027015312838
ENSMUSG00000001986	-0.032845737858478864	-0.028085720911392404	0.0	0.0	0.05491334158486035	-0.03493086114506372	-0.023580220646562157	0.055765138584441855	0.0	0.0	0.0	0.033716225958882656	-0.04277850429510447	0.0	0.0	0.3196115656196686	0.0	-0.06985742447550884
ENSMUSG00000018509	0.032312528835075856	0.0284534645790524	0.0	0.08090429424746115	0.0	0.05870959001446853	0.0345785328883523	0.2846027086039873	0.0	0.0	0.0	0.05091208041548329	0.0	0.059046638037523934	0.0	0.4819500059498572	0.0	0.10960103395369136
ENSMUSG00000028917	0.0	0.0	0.0	0.05910694304491238	0.0	0.05318697616970488	0.07831454331676037	0.20303037042052974	0.0	0.05173826970820556	0.0	0.03384596653089439	0.029591411681873625	0.06189182312928875	0.0	0.2114989402337013	0.0	0.05560369013509229
ENSMUSG00000025584	0.028657542109796385	0.0	0.0	0.07346522170870912	0.0	0.04134382085448945	0.0	0.2778787565228439	0.0	0.02694685392954499	0.0	0.04437059340111698	0.030451283822526067	0.051792026444140285	0.0	0.43940775922036446	0.0	0.10005589123423572
ENSMUSG00000040274	0.0	0.0730164888049574	0.0	0.05945738709774387	0.0	0.07344083257163547	0.03665163083826513	0.1795751936442165	0.0	0.05125278513324593	0.0	0.033932352212420525	0.0	0.05369395275034569	0.0	0.2106357001804447	0.0	0.10840556481457853
ENSMUSG00000098164	0.0	0.0	0.0	0.008006177487940334	0.0	0.042463830212673005	0.0	0.2949527186468255	-0.05153284925360335	0.017034382303644277	0.0	0.027588392811113374	0.022609239356194962	0.04411846003446537	0.0	0.5630655890226449	0.0	0.054512898251636965
ENSMUSG00000040738	0.0	0.02559531468346984	0.0	0.06672257769394929	0.02127542492831669	0.050608554549868096	0.0	0.28724087991431346	0.0	0.0	0.0	0.04927161970749598	0.028985135074599218	0.04411770721979606	0.0	0.5680018402349489	0.0	0.10369512871286206
