	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000098692	0.07976084202528	-0.006499884650111198	0.025619257241487503	0.009017210453748703	0.033706363290548325	-0.011214636266231537	0.23105089366436005	0.034055136144161224	0.05352408066391945	-0.005488721653819084	0.02635374292731285	-0.017504729330539703	0.08145792037248611	0.02201271243393421	0.05928603559732437	0.03991362452507019	0.03879028558731079	-0.005315448623150587
ENSMUSG00000100415	-0.5441112518310547	0.08470823615789413	-0.19469445943832397	-0.03987272083759308	-0.6746333837509155	0.0003250427544116974	-0.1414778083562851	-0.041370976716279984	-0.25255006551742554	-0.07135616987943649	-0.25113898515701294	0.06395817548036575	-0.331159770488739	-0.1153230369091034	-0.12130847573280334	0.10324998199939728	-0.582547128200531	-0.27408096194267273
ENSMUSG00000038152	0.048735398799180984	-0.007434197701513767	0.01605423353612423	0.025342104956507683	0.05843434855341911	0.0023148376494646072	0.024383658543229103	0.035936035215854645	0.07644534856081009	-0.004860483575612307	0.001984750386327505	-0.008613549172878265	-0.029081599786877632	0.03015768714249134	0.060701679438352585	0.08122625946998596	-0.050513334572315216	0.047925885766744614
ENSMUSG00000087214	0.049159061163663864	-0.004037427715957165	-0.0006753632333129644	-0.001813093083910644	0.045710109174251556	-0.02109462209045887	-0.03665069118142128	0.001326202997006476	0.035698432475328445	0.0098282340914011	0.014694449491798878	-0.0031789392232894897	0.04006633907556534	0.021542515605688095	-0.01044613216072321	-0.025901198387145996	0.054329823702573776	-0.006513104308396578
ENSMUSG00000108487	0.10023698210716248	0.0023681609891355038	0.0567006915807724	0.002180173760280013	0.04558023437857628	-0.01806590147316456	0.005733855534344912	-0.021218204870820045	0.04906592518091202	0.011560151353478432	0.015609041787683964	-0.0027220866177231073	0.06208106502890587	0.003419996239244938	0.034981586039066315	-0.026785733178257942	0.09586640447378159	0.016001222655177116
ENSMUSG00000037989	0.10492243617773056	-0.0037635848857462406	0.06820935010910034	-0.0016891609411686659	0.034650836139917374	-0.02380538173019886	0.04489194229245186	0.027644183486700058	0.09048131108283997	0.00979622919112444	0.020466694608330727	-0.013196825981140137	0.06188809499144554	0.0263579823076725	0.061338189989328384	0.03190833330154419	0.09426212310791016	0.019155973568558693
ENSMUSG00000109778	0.18572001159191132	0.0012471230002120137	0.08042453974485397	0.005855645053088665	0.05708175525069237	0.011822435073554516	-0.027364347130060196	-0.01759292185306549	0.1336381733417511	0.020977886393666267	0.0017893092008307576	-0.004903280641883612	-0.0650356262922287	0.005044881254434586	0.051479071378707886	-0.008364520967006683	0.04128316789865494	0.01879025623202324
ENSMUSG00000075215	0.031240208074450493	-0.012030817568302155	0.00022730529599357396	-0.01431799866259098	0.02412075735628605	-0.02130497433245182	-0.08772657066583633	-0.008395985700190067	-0.05701155215501785	-0.01853899657726288	-0.00524707417935133	-0.007670694962143898	0.002035947050899267	-0.01166554819792509	0.019019030034542084	-0.039699211716651917	0.02663600631058216	0.010878708213567734
ENSMUSG00000046080	0.005588808562606573	-0.012434379197657108	0.022819967940449715	-0.011748402379453182	0.03897995874285698	-0.02069791965186596	-0.009744676761329174	-0.015871459618210793	0.029091034084558487	-0.004456338472664356	0.002065111417323351	-0.0022227438166737556	0.013070328161120415	-0.020993996411561966	-0.02763383835554123	-0.03595661371946335	-0.0015084201004356146	0.0010638643288984895
ENSMUSG00000070392	0.11624909192323685	-0.00250222347676754	0.13433441519737244	0.01201658882200718	0.10897700488567352	0.002267217030748725	0.3857487142086029	0.014850620180368423	0.0791638195514679	0.004251466132700443	0.035640064626932144	-0.022364957258105278	0.21610382199287415	0.014160318300127983	0.14448395371437073	0.012572326697409153	0.1431201994419098	0.01705668680369854
ENSMUSG00000041268	0.07097317278385162	-0.012148884125053883	0.03698872774839401	0.0160093754529953	0.04557230323553085	0.006710437126457691	0.02320094034075737	0.05764055624604225	0.051936231553554535	0.0055052852258086205	0.01467514131218195	-0.016052301973104477	0.06292668730020523	0.02937856875360012	0.037716325372457504	0.15550610423088074	0.05261586606502533	0.036583222448825836
ENSMUSG00000090113	0.11485180258750916	-0.0032371932175010443	0.10073104500770569	0.0026629390195012093	0.021308790892362595	-0.0243983194231987	0.021189803257584572	-0.033410705626010895	0.1618964523077011	-0.013820981606841087	0.0033487656619399786	-0.003123367438092828	0.08949929475784302	-0.009551909752190113	0.04821223393082619	-0.020556705072522163	0.060309864580631256	0.005432444158941507
