	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000098692	0.0	0.0	0.0	0.032810833212832874	0.010974330981420196	-0.033449074699805646	0.040283895802150596	0.15387683681699219	0.0	0.01188358424283456	0.0	0.0	0.008202760368589258	0.022457818525845535	0.0	0.07890587206354746	0.004025155998714169	0.0
ENSMUSG00000100415	0.0	-0.21786694200652298	0.0	-0.22580642206310822	-0.2192637110405634	-0.3302265141210537	0.0	-0.2399224872745027	0.0	-0.4611396820933903	0.0	0.0	0.0	-0.16485886481407264	0.0	-0.6022259178430535	-0.14761653603084257	-0.42617387502171705
ENSMUSG00000038152	0.0	0.0	0.0	0.04472588467224069	0.00864041206660932	0.03443585256782786	0.0	0.12090440599254604	0.0	0.008493982283822433	0.0	0.007369862220705792	0.0	0.024571265202712484	0.0	0.12193776050226622	0.027670139635992692	0.07538417917311274
ENSMUSG00000087214	0.0	0.0	-0.012733981812044246	-0.00986932382888012	0.01738917021130959	0.0	-0.03203977937503219	-0.08391513062341052	-0.007138510004375546	0.030533188727957104	0.0	0.0	0.0	0.02047155465441423	0.0	-0.2552038141336446	0.0	-0.04662068306062175
ENSMUSG00000108487	0.017129165954713338	0.024296260485601923	0.0	0.006682709224018563	0.013532359253146728	0.0	-0.0167180646287511	-0.17138182169783645	0.0	0.03161740599248824	0.0	0.0	0.0	0.0	0.0	-0.15602755714619673	0.01559903891476211	0.028625357117729868
ENSMUSG00000037989	0.008305667325964874	0.022612321385356075	0.0	0.0	0.005161028173780825	0.0	0.0	0.13762750290278405	0.0	0.03584806105005502	0.0	0.007845921412567694	0.0	0.025099521708428253	0.0	0.12500714888665496	0.003748677040600612	0.045225182563357724
ENSMUSG00000109778	0.03794221224786164	0.015204171918052884	0.0	0.010842313646500734	0.011960715244921028	0.05505005604521308	0.0	-0.14464226333141125	0.017554226005450434	0.04847928017118638	0.0	0.0	0.0	0.0	0.0	0.014838321032818538	0.0	0.012822254510079052
ENSMUSG00000075215	0.0	-0.04639362943679095	0.0	-0.05081524677462253	0.0	0.0	-0.036051325025444475	-0.1639870297943898	-0.029926444044994262	-0.0643557501323455	0.0	0.0	-0.00865082130384065	-0.03557295747116742	0.0	-0.29740769257242344	0.0	-0.0104435404787602
ENSMUSG00000046080	-0.013463456675701174	-0.06909447231142146	0.0	-0.037591248002156956	0.0	0.0	-0.02245051997213653	-0.16037043433496123	-0.00995723688295471	0.0	0.0	-0.009086210811607098	0.0	-0.056465038637138094	0.0	-0.2656191630122303	0.0	-0.04893008874463038
ENSMUSG00000070392	0.0	0.0	0.030378719015925593	0.04741238656657299	0.0	0.09507424383034356	0.0	0.11013921835903366	0.0	0.04806085905895093	0.0	0.0	0.05779547985566458	0.03396563271123387	0.0	0.15531907830266534	0.03610788073318922	0.0890343260367679
ENSMUSG00000041268	0.0	0.0	0.0	0.03632206087864741	0.009625314426902867	0.04567392795974325	0.0	0.20390647442734153	0.0	0.04476434989232838	0.0	0.012904898908631161	0.0	0.024074367865590526	0.0	0.41676267295909075	0.0055362664460058	0.06915650037250912
ENSMUSG00000090113	0.021533714105713916	0.0	0.0	0.014137395916607372	0.0	-0.01540482110594825	-0.012095471744881887	-0.20851592384146495	0.031312492689563425	-0.03496522009489935	0.0	0.0	0.013148477540006198	-0.041755494875160865	0.0	-0.22715997242508085	0.0	0.0
ENSMUSG00000023036	0.01833917401422106	0.03988494804497074	0.0	0.02603963019596883	0.0	0.04579365333232506	0.04706208926968687	0.09324514889966708	0.0	0.0358582858300372	0.0	0.0	0.0	0.022227718599192075	0.0	0.0	0.016791206072051534	0.030039792071587065
ENSMUSG00000103585	0.007056353867524623	0.043095451856004274	0.0	0.00889655976451155	0.011705876463951197	0.0	0.05714774342840126	0.07313794890107557	0.0	0.06334374647307363	0.0	0.0	0.013502907802167152	0.020414264663770047	0.0	0.0	0.0	0.04351275526552401
ENSMUSG00000010175	0.006410095557244588	0.02344852435470493	0.0	0.04173467954767033	0.006949372231068096	0.0	0.0	0.12240805723901964	0.0	0.024431717431657788	0.0	0.007849370471606157	0.0	0.025206023647687346	0.0	0.06006247567226591	0.0	0.0631326819147588
ENSMUSG00000024174	0.0	0.0	0.0	-0.04129311612600379	0.01057826263447872	0.02836170798993088	-0.02139893565469586	0.22080847440347098	0.0	0.0	0.0	0.011494349603925895	0.0	0.023759313468781892	0.0	0.5359291943098079	0.008341694810612293	0.047560183893015
ENSMUSG00000032012	0.019833059210589532	0.025417752080707488	0.0	0.0479526886752751	0.0	0.06325082399465641	0.029177509306924834	0.15264509829332593	0.0	0.03112802359007552	0.0	0.0	0.0	0.030568934697996503	0.0	0.3201423593093921	0.0	0.06111704612134084
ENSMUSG00000023905	0.0	0.01850798194949288	0.0	0.02416561038289617	0.0	0.07279877429855984	0.033316915122222415	0.08175636848963592	0.0	0.04067473914855564	0.0	0.0	0.019877452323308648	0.028652012840452865	0.0	0.14188852678682906	0.0	0.040376687267112035
ENSMUSG00000107614	0.0	0.055020742628286094	0.0	-0.03327399987005548	0.011883118102922263	-0.007163711942493392	-0.02527577382504045	-0.06736576766041551	0.0	0.06120740898446122	0.0	0.0	0.0	0.01275402050965425	0.0	-0.15727664348349812	0.0	0.04567017778594159
ENSMUSG00000121606	-0.028790527956007575	0.0	-0.0042272568699359865	-0.009613757271507012	0.0	0.02580844750446193	-0.04536555389536339	-0.007155889350571298	-0.022717497400548806	-0.009431151618145459	0.0	0.0	-0.02174170108781864	0.0	0.0	-0.20260160713759118	0.0	0.0
ENSMUSG00000026686	0.010649014856249917	0.024606721675228732	0.0	0.048861197901225714	0.0	0.031883564880942544	0.0	0.18187041013337332	0.0	0.033287237359282795	0.0	0.014584639843192948	0.0	0.030031889959026566	0.0	0.27433881513428393	0.0	0.08012946044360586
ENSMUSG00000099982	0.0	-0.23524615737905352	0.0	-0.23450953416220713	-0.21687986374833845	-0.33937882095348415	0.0	-0.21992312882180481	0.0	-0.4360641078210883	0.0	0.0	0.0	-0.17630567423669438	0.0	-0.6102208790275861	-0.14697826399315383	-0.4195945221654167
ENSMUSG00000024038	0.0	0.023852254171875614	0.0	0.0	0.016306567718705423	0.040141607339571256	0.03949885211932299	0.19250147866355405	0.0	0.02624750983571021	0.0	0.0	0.02120465019495454	0.028944188616597536	0.0	0.3727724775340192	0.0	0.056844116228612546
ENSMUSG00000029630	0.0	0.05657928910153266	-0.0046000654344451886	0.0	0.0	-0.011329650634374243	-0.03240034101361674	-0.13323492276241442	-0.014809930104933259	0.04391208621013668	0.0	0.0	0.0	-0.005772963467140137	0.0	-0.21299790958877327	0.0	0.024050277742378588
ENSMUSG00000078894	0.0	-0.21662682983032508	0.0	-0.23824401446189677	-0.2218435788013573	-0.3384761323684701	0.0	-0.22516731806701587	0.0	-0.46174701258369566	0.0	0.0	0.0	-0.17740390074239384	0.0	-0.6028904025377182	-0.13116950430200536	-0.4215322586139483
ENSMUSG00000052423	0.0	-0.21920637177280414	0.0	-0.23990159004464198	-0.22458569157532135	-0.3492290033004501	0.0	-0.23298608208531207	0.0	-0.44899613389973275	0.0	0.0	0.0	-0.16309723718533203	0.0	-0.6035878163941146	-0.13384082817444343	-0.41967019787667387
