	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000098692	0.0	0.0	0.0	0.036860063703069885	0.009717180653221073	0.0	0.0388726552460688	0.16424207703978805	0.0	0.012710198690651873	0.0	0.0033372127515902492	0.006482924328929748	0.02236211450177565	0.0	0.12090023273519128	0.002713939731790016	0.0
ENSMUSG00000100415	0.0	-0.21752992361969195	0.0	-0.2181343431745054	-0.21777424607543977	-0.32227284045577415	0.0	-0.22241552924857846	0.0	-0.4597969295174086	0.0	0.0	0.0	-0.16149480331926833	0.0	-0.5609847688015615	-0.1484632764236693	-0.4180077056039737
ENSMUSG00000038152	0.0	0.0	0.0	0.051103248809871174	0.010716751762170369	0.03996011608189015	0.0	0.1367476197471138	0.0	0.01124279096610556	0.0	0.008857721016010456	0.0	0.027574845138452084	0.0	0.1680424758484364	0.025367424796271444	0.08274733622047017
ENSMUSG00000087214	0.0	0.013917621559239273	-0.013161055269171006	0.0	0.018667819774366955	0.0	-0.03135525255895589	-0.07032705174621583	-0.007033792030415764	0.03504465211825644	0.0	0.0	0.0	0.023492276482265605	0.0	-0.21951450242665468	0.0	-0.04063143907808776
ENSMUSG00000108487	0.01953216193806492	0.028577220495303035	0.0	0.012632594271971446	0.016829156780259216	0.0	-0.014952309137583122	-0.15108859043619413	0.0	0.03741903213636537	0.0	0.0	0.0	0.0	0.0	-0.12282344320707204	0.018742175309730814	0.03671344138778637
ENSMUSG00000037989	0.011258099931769454	0.0266977911235934	0.0	0.0	0.007990548059369457	0.0	0.0	0.15156891895281316	0.0	0.040970013730597166	0.0	0.010596649306542555	0.0	0.029486122361004567	0.0	0.16618614689953143	0.006906136308975741	0.05304719184430869
ENSMUSG00000109778	0.04065715685371577	0.018465296756074966	0.0	0.016677201822983156	0.014392423523541914	0.060041885903545075	0.0	-0.12257910914686546	0.01862121815912673	0.05389216069722937	0.0	0.0	0.0	0.0	0.0	0.04762419029469075	0.0	0.02048544869558573
ENSMUSG00000075215	0.0	-0.04344550312335897	-0.006238833996652926	-0.043691156249531286	0.0	0.0	-0.03311979938705887	-0.1447792754009256	-0.027937353009744485	-0.06079346066418511	0.0	0.0	-0.006681349049184954	-0.031825254372793634	0.0	-0.25686586571238784	0.0	0.0
ENSMUSG00000046080	-0.011722897785323294	-0.06711235690570234	0.0	-0.03073713223761627	0.0	0.0	-0.020336061130560072	-0.14073112860806683	-0.008902487201717293	0.0	0.0	-0.007102475039407974	0.0	-0.05367062999997948	0.0	-0.22362248396488407	0.0	-0.04086363044272473
ENSMUSG00000070392	0.0	0.0	0.03264502210889675	0.05388172356893245	0.0	0.10047702162472884	0.0	0.12612625720400242	0.0	0.053553987768583736	0.0	0.0	0.059263848578360936	0.03753514889235779	0.0	0.1904580105125492	0.0404059914200802	0.097167398860811
ENSMUSG00000041268	0.0	0.0	0.0	0.04289434584209829	0.01160084003629934	0.05114586392425423	0.0	0.21986721667278883	0.0	0.04968103765562042	0.0	0.014578501773230747	0.0	0.027312703511658924	0.0	0.45676995116904207	0.006664973038486344	0.07643798658226703
ENSMUSG00000090113	0.022604179594075482	0.015831284939371942	0.0	0.01790556942763614	0.0	0.0	-0.013090961796347056	-0.1902077847711509	0.029984492336548485	-0.03322867336853441	0.0	0.0	0.013119182089920486	-0.04041254894779493	0.0	-0.1940429772703149	0.0	0.0
