	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000098692	0.06195165693248833	0.0	0.0	0.0	0.0464407788260359	0.0	0.1715952280445489	0.03577282457497689	0.029528805650255858	0.0	0.025065769596127892	0.0	0.062170626622040946	0.016241118823661527	0.034044835589449374	0.0	0.03291750949435206	0.0
ENSMUSG00000100415	-0.5946594266233688	0.0	-0.25185537752879356	0.0	-0.6587466594416059	0.0	-0.17497527718264042	0.0	-0.3434701948525933	0.0	-0.21717003731579865	0.0	-0.3970422061070268	0.0	-0.130374982125268	0.0	-0.548709921536876	-0.23917544571685337
ENSMUSG00000038152	0.023275989720089096	0.0	0.0	0.017409917332786	0.06481782176870891	0.0	0.0	0.03223826102653368	0.04761392508432088	0.0	0.0	0.0	0.0	0.018229732992411776	0.03466367943069317	0.029260600729009857	-0.06792265135719039	0.03675617660469829
ENSMUSG00000087214	0.021820442062033842	0.0	-0.02541902955531471	0.0	0.05946109614463139	-0.013351452975087273	-0.05987291614754775	0.0	0.0	0.0	0.013456745107046414	0.0	0.015727067363844716	0.0	-0.028648128474486435	-0.020827705542634425	0.026902897869602642	0.0
ENSMUSG00000108487	0.07304971639404632	0.0	0.031209110554998438	0.0	0.05530130208430772	0.0	0.0	-0.029399306424547023	0.02096614194825815	0.0	0.01578969413273355	0.0	0.03971368230566412	0.0	0.0	-0.03169674255332504	0.0685302660575727	0.016334128310177495
ENSMUSG00000037989	0.07855437887108155	0.0	0.050407622002335034	0.0	0.04339252815847133	0.0	0.0	0.0364076364143047	0.06670483586823248	0.0	0.02404086642416331	0.0	0.04300227020197701	0.0	0.03774678010043559	0.0	0.07528545034682563	0.025180650063977964
ENSMUSG00000109778	0.1584344238876798	0.0	0.05307227231785934	0.0	0.06430705675392824	0.02368959559850713	-0.04748896946615574	0.0	0.10841010355353659	0.012636098668067529	0.0	0.0	-0.08903809190343344	0.0	0.021957919269602656	0.0	0.0	0.013117597016818472
ENSMUSG00000075215	0.0	-0.00910909524330511	-0.01908323860006156	-0.017701013897701123	0.0	0.0	-0.1043993765540641	-0.018879457641655648	-0.07805995526424143	-0.023158364874830837	0.0	0.0	-0.01504907868502144	-0.013374751382353903	0.0	-0.04343271189923822	0.0	0.0
ENSMUSG00000046080	-0.009584643610342234	-0.011932774316520548	0.0	-0.009792401913642753	0.0	0.0	-0.032325223590130646	-0.021683205630349076	0.0	-0.0033447630534779726	0.0	0.0	0.0	-0.021054899239067434	-0.04702711351602101	-0.04510441609711294	-0.02153580860406804	0.0
ENSMUSG00000070392	0.0931293824748426	0.0	0.13567069731343634	0.0	0.11697617003465387	0.0	0.3103457219461087	0.0	0.05662492961752353	0.0	0.04091710912738031	0.0	0.1951550628606413	0.0	0.11049404952904832	0.0	0.15139192550722938	0.032628524736069364
ENSMUSG00000041268	0.05070953172642638	0.0	0.024524417438415158	0.0	0.057703566686325536	0.0	0.0	0.06629938869196421	0.03069518366654033	0.0	0.0	0.0	0.047026145130193805	0.03022974101471603	0.0	0.11076634018170445	0.044747435166943614	0.04024044980936599
ENSMUSG00000090113	0.08973248661686349	0.0	0.07227886212922997	0.0	0.028279430884051906	0.0	0.0	-0.04891177970251312	0.13973100997761514	-0.021976229470135	0.0	0.0	0.06779035342911911	0.0	0.013632307837796606	-0.02811526585237502	0.03610752953376164	0.0
