	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter
ENSMUSG00000026663	0.02062601321943183	0.04369929853868533	0.004702867960479904	0.04179646048351385	0.0003425332083078761	0.06456255719320844	0.02490413567644672	0.2249529203640902	0.0034952222150228147	0.04803212372150613	0.0027531141874728095	0.007440470710142628	0.02088389252833492	0.07175967046548197	-0.0007910924794876856	0.3648724598706914	0.012711569046639072	0.1277406893350157
ENSMUSG00000048772	0.030604303157864315	0.04489016295411667	0.0034743536061146835	0.027581147304502857	0.008747712484697396	0.08161322782628173	0.04128988608839401	0.25213778076248283	0.01865011540717855	0.09088740266416348	0.004811525991362942	0.03338343702521992	0.007961394853873571	0.0628807961880219	-0.020269137190020308	0.22266047294158073	0.026272772401989643	0.1397977080187372
ENSMUSG00000062410	0.028087698401866742	0.007342107208907172	-0.00201731854735304	0.02975899120509504	-0.006827480968578519	-0.002053769043465893	-0.009166141217844728	-0.062034259845664304	0.01836805991593532	0.10539241078891531	0.002219935622166044	0.020205601496958738	-0.0031055719787608333	0.0037986796923567974	-0.004352634317988954	-0.08470705125910172	-0.004584946106946777	0.0351719333858065
ENSMUSG00000116673	0.010588295311681253	0.051417205394354175	0.0008425739576848303	0.04767096164973412	0.008417125639139808	0.027503709033693927	0.0019240383719794148	0.15093697302089432	0.009955159180916391	0.08134450550434329	0.0030880160262313438	0.007096014956290933	0.015314618352216971	0.09231390762755447	0.0013638348628384328	0.8011076644599338	0.0061179126983915925	0.23793252716313223
ENSMUSG00000031851	0.008404436543444912	0.051790659899987594	0.009695940337912492	0.012580770914896025	0.011338673743765477	0.01695277943500904	0.03694471522462663	-0.07495912182629191	0.021195114127359766	0.09999704614879842	-0.0031461196322197793	-0.0017462550744832177	0.014600718805539665	0.03746729548597614	-0.020729001677273116	-0.15686748331133588	0.012513556297536914	0.029246053968251674
ENSMUSG00000049401	0.05319784366801871	0.05827616170742788	0.004957638503966726	0.029695791071484175	-0.009273499560094933	0.06637467170807472	-0.037997763759111486	0.22696706016996748	-0.006603708963478182	0.04632224229322414	-0.0013757999348984282	0.021685498483397427	0.000687438686119484	0.02846926722576037	-0.007501521709413542	0.3697300881321618	0.019215918112695362	0.13005447507294515
ENSMUSG00000040749	0.002372884568939883	0.014935406964663602	0.000728653859420904	0.057092937692378394	0.016916007132918562	-0.012625975858411818	0.019707360402233982	0.18615252968629648	-0.00013191818382308286	0.03869620554503074	0.0071429616572524016	0.007807091400419657	0.01137084791460958	0.09168450729768145	0.0016441449154236969	0.8341438923637595	0.0035802844496434514	0.1283793406874143
ENSMUSG00000113429	-0.011179019773693913	0.030483567553346802	-0.00047980977500888653	0.006464595354555058	-0.015079929507036079	-0.02356264946902229	-0.028599437790502894	0.04721927210500455	-0.010731685290946709	0.06568220613702838	0.004566879736220082	0.00297088749786261	0.0016366914095020287	0.06413172654465597	0.0020400132551783045	0.04645549645507085	-0.011087331685225113	0.11171794434012554
ENSMUSG00000019261	0.021310138794267783	0.06357315517426351	0.016184326818685285	0.06635499253580163	0.005450760760027151	0.0449699514848492	0.023127698359790623	0.20593710274299934	0.012590701000375962	0.08354483614755606	0.007172202987158016	0.012911203041202107	0.015097962517315214	0.07156365802630457	0.005583212842741756	0.6014080563897161	-0.0007646216749110733	0.15480116705892086
ENSMUSG00000040389	0.022339581678337644	0.05195573779791565	0.007543326688281533	0.06759526935561228	0.02475071116005308	0.02252867578518557	0.019252552530523253	0.18776670756591818	0.018986623211646604	0.0803967707533827	0.008173460306079506	0.007880090955261819	0.014260811938636054	0.025166951393261375	0.0048990612191119	0.5313648207090539	0.0015458168976432976	0.14736937807356298
